GeographyCode,KS204NI0001,KS204NI0002,KS204NI0003,KS204NI0004,KS204NI0005,KS204NI0006,KS204NI0007,KS204NI0008,KS204NI0009,KS204NI0010,KS204NI0011,KS204NI0012,KS204NI0013,KS204NI0014,KS204NI0015,KS204NI0016,KS204NI0017
95BB14S2,1606,1379,103,29,2,27,4,34,28,85.87,6.41,1.81,0.12,1.68,0.25,2.12,1.74
95BB15S1,2005,1864,60,19,3,19,7,13,20,92.97,2.99,0.95,0.15,0.95,0.35,0.65,1.00
95BB15S2,1484,1364,42,15,1,19,1,18,24,91.91,2.83,1.01,0.07,1.28,0.07,1.21,1.62
95BB16S1,1533,1429,57,8,2,20,2,4,11,93.22,3.72,0.52,0.13,1.30,0.13,0.26,0.72
95BB16S2,1603,1477,57,10,1,23,3,14,18,92.14,3.56,0.62,0.06,1.43,0.19,0.87,1.12
95BB17S1,1793,1645,81,18,1,6,16,10,16,91.75,4.52,1.00,0.06,0.33,0.89,0.56,0.89
95BB17S2,1763,1589,85,23,4,20,9,12,21,90.13,4.82,1.30,0.23,1.13,0.51,0.68,1.19
95BB18S1,1688,1543,84,19,2,4,8,12,16,91.41,4.98,1.13,0.12,0.24,0.47,0.71,0.95
95BB18S2,2591,2347,140,24,7,22,16,1,34,90.58,5.40,0.93,0.27,0.85,0.62,0.04,1.31
95BB19S1,1613,1492,45,11,1,10,4,13,37,92.50,2.79,0.68,0.06,0.62,0.25,0.81,2.29
95BB19S2,1784,1659,55,15,5,4,9,8,29,92.99,3.08,0.84,0.28,0.22,0.50,0.45,1.63
95BB19S3,1391,1276,52,16,4,11,8,6,18,91.73,3.74,1.15,0.29,0.79,0.58,0.43,1.29
95BB20S1,1889,1750,59,11,4,29,3,16,17,92.64,3.12,0.58,0.21,1.54,0.16,0.85,0.90
95BB20S2,1524,1382,79,9,1,28,6,3,16,90.68,5.18,0.59,0.07,1.84,0.39,0.20,1.05
95BB21S1,2387,2203,85,21,6,6,7,42,17,92.29,3.56,0.88,0.25,0.25,0.29,1.76,0.71
95BB21S2,2332,2098,123,38,2,27,11,7,26,89.97,5.27,1.63,0.09,1.16,0.47,0.30,1.11
95BB22S1,1557,1421,65,14,1,16,14,2,24,91.27,4.17,0.90,0.06,1.03,0.90,0.13,1.54
95BB22S2,1483,1338,67,25,1,4,13,19,16,90.22,4.52,1.69,0.07,0.27,0.88,1.28,1.08
95BB23S1,1540,1391,39,18,3,22,9,28,30,90.32,2.53,1.17,0.19,1.43,0.58,1.82,1.95
95BB23S2,1485,1368,44,13,3,19,5,10,23,92.12,2.96,0.88,0.20,1.28,0.34,0.67,1.55
95CC01W1,2558,2160,79,17,1,90,11,157,43,84.44,3.09,0.66,0.04,3.52,0.43,6.14,1.68
95CC02W1,2725,2534,67,8,4,69,3,17,23,92.99,2.46,0.29,0.15,2.53,0.11,0.62,0.84
95CC03W1,2817,2192,77,18,0,114,14,324,78,77.81,2.73,0.64,0,4.05,0.50,11.50,2.77
95CC04W1,2440,2191,47,6,1,136,3,41,15,89.80,1.93,0.25,0.04,5.57,0.12,1.68,0.61
95CC05W1,2774,2505,69,7,4,49,9,104,27,90.30,2.49,0.25,0.14,1.77,0.32,3.75,0.97
95CC06S1,1468,1246,52,14,3,62,7,56,28,84.88,3.54,0.95,0.20,4.22,0.48,3.81,1.91
95CC06S2,1308,1127,44,4,4,52,4,53,20,86.16,3.36,0.31,0.31,3.98,0.31,4.05,1.53
95CC07W1,3475,3010,108,16,2,252,4,49,34,86.62,3.11,0.46,0.06,7.25,0.12,1.41,0.98
95CC08W1,2565,2235,75,10,3,80,2,125,35,87.13,2.92,0.39,0.12,3.12,0.08,4.87,1.36
95CC09S1,1496,1413,34,4,2,23,2,6,12,94.45,2.27,0.27,0.13,1.54,0.13,0.40,0.80
95CC09S2,1858,1693,49,9,7,21,7,53,19,91.12,2.64,0.48,0.38,1.13,0.38,2.85,1.02
95CC10W1,2577,2367,68,10,1,45,9,43,34,91.85,2.64,0.39,0.04,1.75,0.35,1.67,1.32
95CC11W1,1795,1473,67,9,2,112,4,116,12,82.06,3.73,0.50,0.11,6.24,0.22,6.46,0.67
95CC12W1,2785,2627,36,15,3,60,6,17,21,94.33,1.29,0.54,0.11,2.15,0.22,0.61,0.75
95CC13W1,2474,2225,48,8,1,139,7,28,18,89.94,1.94,0.32,0.04,5.62,0.28,1.13,0.73
95CC14W1,3035,2788,108,23,5,38,12,30,31,91.86,3.56,0.76,0.16,1.25,0.40,0.99,1.02
95CC15W1,2903,2674,69,15,0,35,10,80,20,92.11,2.38,0.52,0,1.21,0.34,2.76,0.69
95CC16W1,2820,2571,91,11,5,42,14,59,27,91.17,3.23,0.39,0.18,1.49,0.50,2.09,0.96
95CC17W1,2730,2478,62,9,0,105,4,43,29,90.77,2.27,0.33,0,3.85,0.15,1.58,1.06
95CC18W1,2342,1890,93,24,14,92,8,161,60,80.70,3.97,1.02,0.60,3.93,0.34,6.87,2.56
95CC19W1,2720,2509,72,13,3,56,7,29,31,92.24,2.65,0.48,0.11,2.06,0.26,1.07,1.14
95CC20S1,1308,1170,54,8,8,22,4,28,14,89.45,4.13,0.61,0.61,1.68,0.31,2.14,1.07
95CC20S2,1702,1484,59,17,4,17,10,92,19,87.19,3.47,1.00,0.24,1.00,0.59,5.41,1.12
95CC21W1,2925,2617,137,34,1,45,5,56,30,89.47,4.68,1.16,0.03,1.54,0.17,1.91,1.03
95CC22W1,1740,1400,74,17,2,46,15,137,49,80.46,4.25,0.98,0.11,2.64,0.86,7.87,2.82
95DD01W1,2099,1843,70,20,1,23,13,83,46,87.80,3.33,0.95,0.05,1.10,0.62,3.95,2.19
95DD02S1,1453,1350,48,22,0,2,3,1,27,92.91,3.30,1.51,0,0.14,0.21,0.07,1.86
95DD02S2,2435,2284,74,18,3,6,15,11,24,93.80,3.04,0.74,0.12,0.25,0.62,0.45,0.99
95DD03W1,3503,3028,125,31,6,33,18,186,76,86.44,3.57,0.88,0.17,0.94,0.51,5.31,2.17
95DD04W1,1926,1784,62,28,5,14,6,12,15,92.63,3.22,1.45,0.26,0.73,0.31,0.62,0.78
95DD05W1,1739,1621,52,20,2,7,12,3,22,93.21,2.99,1.15,0.12,0.40,0.69,0.17,1.27
95DD06W1,2588,2303,87,24,2,30,5,111,26,88.99,3.36,0.93,0.08,1.16,0.19,4.29,1.00
95DD07S1,1596,1483,34,15,1,17,12,8,26,92.92,2.13,0.94,0.06,1.07,0.75,0.50,1.63
95DD07S2,1767,1639,67,15,6,8,8,3,21,92.76,3.79,0.85,0.34,0.45,0.45,0.17,1.19
95DD08W1,2126,1557,63,22,0,31,15,374,64,73.24,2.96,1.03,0,1.46,0.71,17.59,3.01
95DD09W1,2590,2454,57,13,1,15,12,14,24,94.75,2.20,0.50,0.04,0.58,0.46,0.54,0.93
95DD10W1,2805,2632,57,30,5,7,11,43,20,93.83,2.03,1.07,0.18,0.25,0.39,1.53,0.71
95DD11W1,2363,1916,73,19,5,27,17,278,28,81.08,3.09,0.80,0.21,1.14,0.72,11.76,1.18
95DD12W1,2610,2484,57,15,1,26,2,6,19,95.17,2.18,0.57,0.04,1.00,0.08,0.23,0.73
95DD13W1,1784,1461,46,14,3,27,11,192,30,81.89,2.58,0.78,0.17,1.51,0.62,10.76,1.68
95DD14S1,1603,1489,39,17,2,5,14,8,29,92.89,2.43,1.06,0.12,0.31,0.87,0.50,1.81
95DD14S2,1674,1521,46,34,1,13,5,10,44,90.86,2.75,2.03,0.06,0.78,0.30,0.60,2.63
