GeographyCode,KS702NI0001,KS702NI0002,KS702NI0003,KS702NI0004,KS702NI0005,KS702NI0006,KS702NI0007,KS702NI0008,KS702NI0009,KS702NI0010,KS702NI0011,KS702NI0012,KS702NI0013,KS702NI0014,KS702NI0015,KS702NI0016,KS702NI0017,KS702NI0018,KS702NI0019,KS702NI0020,KS702NI0021,KS702NI0022,KS702NI0023,KS702NI0024,KS702NI0025,KS702NI0026,KS702NI0027,KS702NI0028,KS702NI0029
95AA01S1,786,103,1,148,4,178,39,50,3,78,175,7,617,140,44,8,13.10,0.13,18.83,0.51,22.65,4.96,6.36,0.38,9.92,22.26,0.89,22.69,18.18
95AA01S2,1331,194,8,181,1,593,209,77,9,4,45,10,1286,178,42,11,14.58,0.60,13.60,0.08,44.55,15.70,5.79,0.68,0.30,3.38,0.75,13.84,26.19
95AA01S3,1055,145,5,94,6,509,154,86,6,9,33,8,1021,92,27,5,13.74,0.47,8.91,0.57,48.25,14.60,8.15,0.57,0.85,3.13,0.76,9.01,18.52
95AA02W1,1026,62,16,87,3,415,168,77,35,17,138,8,859,72,167,31,6.04,1.56,8.48,0.29,40.45,16.37,7.50,3.41,1.66,13.45,0.78,8.38,18.56
95AA03W1,1050,117,4,131,8,406,148,64,41,13,114,4,853,84,197,51,11.14,0.38,12.48,0.76,38.67,14.10,6.10,3.90,1.24,10.86,0.38,9.85,25.89
95AA04W1,2158,353,5,234,12,966,353,145,15,7,51,17,2115,233,32,3,16.36,0.23,10.84,0.56,44.76,16.36,6.72,0.70,0.32,2.36,0.79,11.02,9.38
95AA05W1,1766,227,13,220,4,774,258,151,16,7,81,15,1724,226,42,7,12.85,0.74,12.46,0.23,43.83,14.61,8.55,0.91,0.40,4.59,0.85,13.11,16.67
95AA06S1,1326,132,7,215,6,505,163,88,19,5,181,5,1250,201,76,21,9.95,0.53,16.21,0.45,38.08,12.29,6.64,1.43,0.38,13.65,0.38,16.08,27.63
95AA06S2,1886,137,10,324,4,717,303,125,11,11,238,6,1793,308,93,26,7.26,0.53,17.18,0.21,38.02,16.07,6.63,0.58,0.58,12.62,0.32,17.18,27.96
95AA07W1,1392,157,13,167,1,669,192,86,14,0,84,9,1318,162,73,18,11.28,0.93,12.00,0.07,48.06,13.79,6.18,1.01,0,6.03,0.65,12.29,24.66
95AA08W1,966,86,5,152,6,330,142,71,50,3,117,4,773,107,192,50,8.90,0.52,15.73,0.62,34.16,14.70,7.35,5.18,0.31,12.11,0.41,13.84,26.04
95AA09W1,1261,124,31,103,2,437,161,81,42,12,258,10,954,91,307,43,9.83,2.46,8.17,0.16,34.66,12.77,6.42,3.33,0.95,20.46,0.79,9.54,14.01
95AA10W1,1136,104,12,116,5,431,183,76,44,5,155,5,950,86,186,42,9.15,1.06,10.21,0.44,37.94,16.11,6.69,3.87,0.44,13.64,0.44,9.05,22.58
95AA11S1,1850,132,37,138,7,796,350,142,42,20,176,10,1685,145,164,30,7.14,2.00,7.46,0.38,43.03,18.92,7.68,2.27,1.08,9.51,0.54,8.61,18.29
95AA11S2,1859,144,24,148,5,786,342,156,41,14,189,10,1691,163,73,6,7.75,1.29,7.96,0.27,42.28,18.40,8.39,2.21,0.75,10.17,0.54,9.64,8.22
95AA12W1,2045,251,11,259,6,937,355,156,7,1,42,20,2030,270,15,0,12.27,0.54,12.67,0.29,45.82,17.36,7.63,0.34,0.05,2.05,0.98,13.30,0
95AA13S1,1153,97,11,142,2,492,182,84,9,8,117,9,1077,139,76,14,8.41,0.95,12.32,0.17,42.67,15.78,7.29,0.78,0.69,10.15,0.78,12.91,18.42
95AA13S2,1051,68,8,116,4,455,140,91,6,5,148,10,993,116,57,8,6.47,0.76,11.04,0.38,43.29,13.32,8.66,0.57,0.48,14.08,0.95,11.68,14.04
95AA14W1,1586,188,17,188,7,774,237,118,11,3,30,13,1569,199,16,6,11.85,1.07,11.85,0.44,48.80,14.94,7.44,0.69,0.19,1.89,0.82,12.68,37.50
95AA15S1,1859,158,36,121,2,808,288,157,60,32,189,8,1710,134,149,23,8.50,1.94,6.51,0.11,43.46,15.49,8.45,3.23,1.72,10.17,0.43,7.84,15.44
95AA15S2,975,97,15,93,4,368,142,61,50,15,126,4,812,79,159,26,9.95,1.54,9.54,0.41,37.74,14.56,6.26,5.13,1.54,12.92,0.41,9.73,16.35
95AA16W1,1082,99,15,85,5,393,133,86,36,13,212,5,858,64,224,36,9.15,1.39,7.86,0.46,36.32,12.29,7.95,3.33,1.20,19.59,0.46,7.46,16.07
95AA17W1,1392,106,10,129,9,548,221,91,45,10,212,11,1207,107,185,32,7.61,0.72,9.27,0.65,39.37,15.88,6.54,3.23,0.72,15.23,0.79,8.86,17.30
95AA18W1,1439,161,10,181,3,695,187,114,19,3,51,15,1395,185,43,6,11.19,0.69,12.58,0.21,48.30,13.00,7.92,1.32,0.21,3.54,1.04,13.26,13.95
95AA19W1,1778,211,6,307,0,716,273,142,10,2,97,14,1680,293,98,20,11.87,0.34,17.27,0,40.27,15.35,7.99,0.56,0.11,5.46,0.79,17.44,20.41
95BB01S1,1111,94,0,148,2,579,165,74,2,5,30,12,1093,144,18,4,8.46,0,13.32,0.18,52.12,14.85,6.66,0.18,0.45,2.70,1.08,13.17,22.22
95BB01S2,1462,109,2,213,6,738,215,97,6,0,65,11,1424,206,38,9,7.46,0.14,14.57,0.41,50.48,14.71,6.63,0.41,0,4.45,0.75,14.47,23.68
95BB02W1,1217,124,11,109,7,502,144,84,10,6,217,3,1031,90,182,30,10.19,0.90,8.96,0.58,41.25,11.83,6.90,0.82,0.49,17.83,0.25,8.73,16.48
95BB03S1,1114,73,4,159,5,518,143,74,7,9,119,3,1035,135,79,28,6.55,0.36,14.27,0.45,46.50,12.84,6.64,0.63,0.81,10.68,0.27,13.04,35.44
95BB03S2,1248,156,4,155,7,569,181,97,1,6,61,11,1185,147,61,12,12.50,0.32,12.42,0.56,45.59,14.50,7.77,0.08,0.48,4.89,0.88,12.41,19.67
95BB04S1,781,69,8,69,1,368,102,56,9,0,91,8,717,64,55,13,8.83,1.02,8.83,0.13,47.12,13.06,7.17,1.15,0,11.65,1.02,8.93,23.64
95BB04S2,941,99,5,80,7,468,144,62,5,4,60,7,926,82,15,3,10.52,0.53,8.50,0.74,49.73,15.30,6.59,0.53,0.43,6.38,0.74,8.86,20.00
95BB05S1,993,153,2,95,5,478,152,56,5,3,35,9,981,95,12,2,15.41,0.20,9.57,0.50,48.14,15.31,5.64,0.50,0.30,3.52,0.91,9.68,16.67
95BB05S2,1233,195,11,103,5,568,165,89,3,1,80,13,1187,104,46,10,15.82,0.89,8.35,0.41,46.07,13.38,7.22,0.24,0.08,6.49,1.05,8.76,21.74
95BB06W1,1501,122,4,190,9,544,161,105,14,10,332,10,1191,120,310,74,8.13,0.27,12.66,0.60,36.24,10.73,7.00,0.93,0.67,22.12,0.67,10.08,23.87
95BB07S1,889,84,3,109,4,401,101,63,1,6,114,3,807,90,82,22,9.45,0.34,12.26,0.45,45.11,11.36,7.09,0.11,0.67,12.82,0.34,11.15,26.83
95BB07S2,830,71,1,110,3,395,122,41,5,6,67,9,793,102,37,9,8.55,0.12,13.25,0.36,47.59,14.70,4.94,0.60,0.72,8.07,1.08,12.86,24.32
95BB08S1,726,62,2,75,10,321,63,43,4,3,141,2,631,54,95,23,8.54,0.28,10.33,1.38,44.21,8.68,5.92,0.55,0.41,19.42,0.28,8.56,24.21
95BB08S2,909,54,0,107,8,452,123,86,2,2,70,5,896,105,13,2,5.94,0,11.77,0.88,49.72,13.53,9.46,0.22,0.22,7.70,0.55,11.72,15.38
95BB09S1,794,87,2,79,3,413,87,52,6,3,58,4,773,76,21,5,10.96,0.25,9.95,0.38,52.02,10.96,6.55,0.76,0.38,7.30,0.50,9.83,23.81
95BB09S2,1105,97,5,111,1,609,129,88,3,2,57,3,1073,112,32,4,8.78,0.45,10.05,0.09,55.11,11.67,7.96,0.27,0.18,5.16,0.27,10.44,12.50
95BB10S1,927,84,16,104,3,436,96,77,1,4,103,3,830,95,95,24,9.06,1.73,11.22,0.32,47.03,10.36,8.31,0.11,0.43,11.11,0.32,11.45,25.26
95BB10S2,1012,131,24,97,4,472,174,80,3,1,19,7,998,119,14,2,12.94,2.37,9.58,0.40,46.64,17.19,7.91,0.30,0.10,1.88,0.69,11.92,14.29
95BB11S1,810,57,6,136,8,318,70,68,3,6,135,3,695,107,115,35,7.04,0.74,16.79,0.99,39.26,8.64,8.40,0.37,0.74,16.67,0.37,15.40,30.43
95BB11S2,808,58,11,114,5,399,75,61,3,2,74,6,771,117,37,8,7.18,1.36,14.11,0.62,49.38,9.28,7.55,0.37,0.25,9.16,0.74,15.18,21.62
95BB12S1,799,68,2,104,5,274,111,37,12,3,180,3,592,67,207,39,8.51,0.25,13.02,0.63,34.29,13.89,4.63,1.50,0.38,22.53,0.38,11.32,18.84
95BB12S2,820,71,5,79,3,364,147,65,2,6,75,3,769,65,51,19,8.66,0.61,9.63,0.37,44.39,17.93,7.93,0.24,0.73,9.15,0.37,8.45,37.25
95BB13S1,977,92,1,110,5,414,189,55,9,1,90,11,906,98,71,13,9.42,0.10,11.26,0.51,42.37,19.34,5.63,0.92,0.10,9.21,1.13,10.82,18.31
95BB13S2,830,52,0,93,4,333,129,74,11,3,128,3,716,73,114,20,6.27,0,11.20,0.48,40.12,15.54,8.92,1.33,0.36,15.42,0.36,10.20,17.54
95BB13S3,1155,98,5,117,5,562,170,77,6,5,104,6,1125,112,30,10,8.48,0.43,10.13,0.43,48.66,14.72,6.67,0.52,0.43,9.00,0.52,9.96,33.33
95BB14S1,1031,134,2,129,0,507,136,88,4,5,15,11,1024,131,7,0,13.00,0.19,12.51,0,49.18,13.19,8.54,0.39,0.48,1.45,1.07,12.79,0
95BB14S2,1067,111,4,128,4,530,138,65,2,2,76,7,1039,130,28,2,10.40,0.37,12.00,0.37,49.67,12.93,6.09,0.19,0.19,7.12,0.66,12.51,7.14
95BB15S1,1279,148,2,206,3,566,190,111,4,2,37,10,1259,203,20,5,11.57,0.16,16.11,0.23,44.25,14.86,8.68,0.31,0.16,2.89,0.78,16.12,25.00
95BB15S2,949,117,1,161,8,391,104,61,4,1,93,8,862,147,87,15,12.33,0.11,16.97,0.84,41.20,10.96,6.43,0.42,0.11,9.80,0.84,17.05,17.24
95BB16S1,1027,131,8,115,4,498,135,81,3,6,40,6,1009,117,18,6,12.76,0.78,11.20,0.39,48.49,13.15,7.89,0.29,0.58,3.89,0.58,11.60,33.33
95BB16S2,1062,118,2,160,4,522,146,76,5,6,19,4,1041,158,18,4,11.11,0.19,15.07,0.38,49.15,13.75,7.16,0.47,0.56,1.79,0.38,15.18,22.22
95BB17S1,1256,108,3,138,5,589,184,82,15,8,116,8,1186,120,70,21,8.60,0.24,10.99,0.40,46.89,14.65,6.53,1.19,0.64,9.24,0.64,10.12,30.00
95BB17S2,1135,132,4,116,7,479,215,82,6,1,90,3,1048,94,87,26,11.63,0.35,10.22,0.62,42.20,18.94,7.22,0.53,0.09,7.93,0.26,8.97,29.89
95BB18S1,955,75,11,122,6,441,114,65,9,3,99,10,889,118,66,15,7.85,1.15,12.77,0.63,46.18,11.94,6.81,0.94,0.31,10.37,1.05,13.27,22.73
95BB18S2,1711,203,27,142,9,834,314,124,3,2,39,14,1685,163,26,6,11.86,1.58,8.30,0.53,48.74,18.35,7.25,0.18,0.12,2.28,0.82,9.67,23.08
95BB19S1,1016,64,3,95,5,472,138,82,10,5,133,9,939,82,77,16,6.30,0.30,9.35,0.49,46.46,13.58,8.07,0.98,0.49,13.09,0.89,8.73,20.78
95BB19S2,1338,86,8,107,10,673,298,91,8,3,49,5,1325,110,13,5,6.43,0.60,8.00,0.75,50.30,22.27,6.80,0.60,0.22,3.66,0.37,8.30,38.46
95BB19S3,1057,71,5,120,5,510,146,76,8,1,111,4,1042,121,15,4,6.72,0.47,11.35,0.47,48.25,13.81,7.19,0.76,0.09,10.50,0.38,11.61,26.67
95BB20S1,1145,182,0,131,5,465,152,89,7,0,105,9,1103,127,42,4,15.90,0,11.44,0.44,40.61,13.28,7.77,0.61,0,9.17,0.79,11.51,9.52
95BB20S2,816,69,0,123,1,264,125,64,2,1,160,7,739,104,77,19,8.46,0,15.07,0.12,32.35,15.32,7.84,0.25,0.12,19.61,0.86,14.07,24.68
95BB21S1,1404,166,2,187,6,593,194,115,4,5,109,23,1339,183,65,6,11.82,0.14,13.32,0.43,42.24,13.82,8.19,0.28,0.36,7.76,1.64,13.67,9.23
95BB21S2,1484,188,10,186,3,686,186,108,2,7,90,18,1446,188,38,8,12.67,0.67,12.53,0.20,46.23,12.53,7.28,0.13,0.47,6.06,1.21,13.00,21.05
