GeographyCode,KS207NI0001,KS207NI0002,KS207NI0003,KS207NI0004,KS207NI0005,KS207NI0006,KS207NI0007,KS207NI0008,KS207NI0009,KS207NI0010,KS207NI0011,KS207NI0012,KS207NI0013,KS207NI0014,KS207NI0015,KS207NI0016,KS207NI0017,KS207NI0018,KS207NI0019,KS207NI0020,KS207NI0021,KS207NI0022,KS207NI0023,KS207NI0024,KS207NI0025,KS207NI0026,KS207NI0027
95AA01S1,1003,976,0,4,1,0,0,0,0,0,1,0,0,21,97.31,0,0.40,0.10,0,0,0,0,0,0.10,0,0,2.09
95AA01S2,1764,1742,11,2,4,0,0,0,0,0,0,0,0,5,98.75,0.62,0.11,0.23,0,0,0,0,0,0,0,0,0.28
95AA01S3,1435,1388,15,4,0,1,2,0,0,0,1,0,10,14,96.72,1.05,0.28,0,0.07,0.14,0,0,0,0.07,0,0.70,0.98
95AA02W1,1683,1619,25,3,0,0,13,2,1,0,0,0,8,12,96.20,1.49,0.18,0,0,0.77,0.12,0.06,0,0,0,0.48,0.71
95AA03W1,1736,1699,18,2,0,0,2,0,2,0,0,0,4,9,97.87,1.04,0.12,0,0,0.12,0,0.12,0,0,0,0.23,0.52
95AA04W1,2922,2906,0,0,0,0,6,1,0,0,4,0,0,5,99.45,0,0,0,0,0.21,0.03,0,0,0.14,0,0,0.17
95AA05W1,2586,2537,4,12,5,4,2,0,3,0,3,0,0,16,98.11,0.15,0.46,0.19,0.15,0.08,0,0.12,0,0.12,0,0,0.62
95AA06S1,1860,1824,2,0,21,0,0,0,3,0,0,6,0,4,98.06,0.11,0,1.13,0,0,0,0.16,0,0,0.32,0,0.22
95AA06S2,2561,2508,15,0,27,1,2,0,2,0,1,0,1,4,97.93,0.59,0,1.05,0.04,0.08,0,0.08,0,0.04,0,0.04,0.16
95AA07W1,2070,2027,6,23,0,0,7,0,0,0,0,0,0,7,97.92,0.29,1.11,0,0,0.34,0,0,0,0,0,0,0.34
95AA08W1,1616,1539,26,16,1,4,7,0,2,0,0,2,3,16,95.24,1.61,0.99,0.06,0.25,0.43,0,0.12,0,0,0.12,0.19,0.99
95AA09W1,2105,2017,36,3,0,0,4,2,1,0,0,11,3,28,95.82,1.71,0.14,0,0,0.19,0.10,0.05,0,0,0.52,0.14,1.33
95AA10W1,1884,1816,26,10,2,0,0,1,1,3,0,0,0,25,96.39,1.38,0.53,0.11,0,0,0.05,0.05,0.16,0,0,0,1.33
95AA11S1,2685,2481,100,6,1,10,36,3,2,0,0,4,13,29,92.40,3.72,0.22,0.04,0.37,1.34,0.11,0.07,0,0,0.15,0.48,1.08
95AA11S2,2424,2312,28,12,2,1,16,5,8,1,0,15,8,16,95.38,1.16,0.50,0.08,0.04,0.66,0.21,0.33,0.04,0,0.62,0.33,0.66
95AA12W1,2690,2689,0,0,0,0,0,0,0,0,0,0,0,1,99.96,0,0,0,0,0,0,0,0,0,0,0,0.04
95AA13S1,1660,1561,9,58,6,7,7,0,1,1,0,0,3,7,94.04,0.54,3.49,0.36,0.42,0.42,0,0.06,0.06,0,0,0.18,0.42
95AA13S2,1487,1421,11,28,3,8,0,4,0,0,7,0,0,5,95.56,0.74,1.88,0.20,0.54,0,0.27,0,0,0.47,0,0,0.34
95AA14W1,2275,2267,3,0,1,0,0,3,0,0,0,0,0,1,99.65,0.13,0,0.04,0,0,0.13,0,0,0,0,0,0.04
95AA15S1,2474,2215,98,28,0,1,33,4,24,2,0,26,10,33,89.53,3.96,1.13,0,0.04,1.33,0.16,0.97,0.08,0,1.05,0.40,1.33
95AA15S2,1432,1282,48,40,0,4,8,0,7,3,0,9,0,31,89.53,3.35,2.79,0,0.28,0.56,0,0.49,0.21,0,0.63,0,2.16
95AA16W1,1722,1585,60,8,0,8,34,0,0,1,0,0,10,16,92.04,3.48,0.46,0,0.46,1.97,0,0,0.06,0,0,0.58,0.93
