GeographyCode,KS407NI0001,KS407NI0002,KS407NI0003,KS407NI0004,KS407NI0005,KS407NI0006,KS407NI0007,KS407NI0008,KS407NI0009,KS407NI0010,KS407NI0011,KS407NI0012,KS407NI0013,KS407NI0014,KS407NI0015,KS407NI0016,KS407NI0017,KS407NI0018,KS407NI0019,KS407NI0020,KS407NI0021,KS407NI0022,KS407NI0023,KS407NI0024,KS407NI0025,KS407NI0026,KS407NI0027,KS407NI0028,KS407NI0029,KS407NI0030
95AA01S1,2,131,0,0,0,0,0,0,0,0,0,131,0,0,1,2,0,0,0,0,0,0,0,0,0,100.00,0,0,0.76,1.53
95AA01S2,2,15,0,0,0,0,0,15,0,0,0,0,10,2,0,0,0,0,0,0,0,100.00,0,0,0,0,66.67,13.33,0,0
95AA01S3,3,8,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,0,0,0,0,0,0,0,0,100.00,0,0,25.00,12.50
95AA02W1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA03W1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA04W1,4,11,0,0,3,0,0,0,0,0,0,8,1,1,0,2,0,0,27.27,0,0,0,0,0,0,72.73,9.09,9.09,0,18.18
95AA05W1,4,47,0,0,9,0,0,36,0,0,0,2,28,16,0,1,0,0,19.15,0,0,76.60,0,0,0,4.26,59.57,34.04,0,2.13
95AA06S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA06S2,2,43,0,0,12,0,31,0,0,0,0,0,28,15,0,0,0,0,27.91,0,72.09,0,0,0,0,0,65.12,34.88,0,0
95AA07W1,1,21,0,0,0,0,21,0,0,0,0,0,19,1,0,0,0,0,0,0,100.00,0,0,0,0,0,90.48,4.76,0,0
95AA08W1,2,22,0,0,0,0,0,9,0,13,0,0,13,7,0,0,0,0,0,0,0,40.91,0,59.09,0,0,59.09,31.82,0,0
95AA09W1,2,77,0,0,24,0,53,0,0,0,0,0,60,17,0,0,0,0,31.17,0,68.83,0,0,0,0,0,77.92,22.08,0,0
95AA10W1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA11S1,3,102,0,25,0,0,36,41,0,0,0,0,41,54,0,0,0,24.51,0,0,35.29,40.20,0,0,0,0,40.20,52.94,0,0
95AA11S2,6,133,0,0,7,30,0,0,0,0,0,96,17,10,0,2,0,0,5.26,22.56,0,0,0,0,0,72.18,12.78,7.52,0,1.50
95AA12W1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA13S1,2,38,0,0,0,0,38,0,0,0,0,0,33,4,0,0,0,0,0,0,100.00,0,0,0,0,0,86.84,10.53,0,0
95AA13S2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,100.00,0,0,0,0,0,0,0,100.00,0,0,0
95AA14W1,2,47,0,0,0,0,26,21,0,0,0,0,44,3,0,0,0,0,0,0,55.32,44.68,0,0,0,0,93.62,6.38,0,0
95AA15S1,1,11,0,11,0,0,0,0,0,0,0,0,10,1,0,0,0,100.00,0,0,0,0,0,0,0,0,90.91,9.09,0,0
95AA15S2,2,73,0,73,0,0,0,0,0,0,0,0,49,19,0,0,0,100.00,0,0,0,0,0,0,0,0,67.12,26.03,0,0
95AA16W1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA17W1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95AA18W1,5,66,0,0,0,0,65,0,0,0,0,1,52,12,0,1,0,0,0,0,98.48,0,0,0,0,1.52,78.79,18.18,0,1.52
95AA19W1,2,42,0,0,0,0,42,0,0,0,0,0,41,1,0,0,0,0,0,0,100.00,0,0,0,0,0,97.62,2.38,0,0
95BB01S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB01S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95BB02W1,1,13,0,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,0,0,100.00,0,0,0,0,76.92,0,0,0
95BB03S1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
