GeographyCode,KS405NI0001,KS405NI0002,KS405NI0003,KS405NI0004,KS405NI0005,KS405NI0006,KS405NI0007,KS405NI0008,KS405NI0009,KS405NI0010,KS405NI0011,KS405NI0012
95AA01S1,310,23,199,82,3,3,389,7.42,64.19,26.45,0.97,0.97
95AA01S2,624,44,209,259,72,40,1122,7.05,33.49,41.51,11.54,6.41
95AA01S3,588,46,219,229,57,37,1012,7.82,37.24,38.95,9.69,6.29
95AA02W1,839,287,392,128,25,7,756,34.21,46.72,15.26,2.98,0.83
95AA03W1,845,293,399,129,22,2,731,34.67,47.22,15.27,2.60,0.24
95AA04W1,1014,46,312,418,167,71,1975,4.54,30.77,41.22,16.47,7.00
95AA05W1,920,86,357,339,93,45,1515,9.35,38.80,36.85,10.11,4.89
95AA06S1,710,125,302,222,46,15,952,17.61,42.54,31.27,6.48,2.11
95AA06S2,860,126,367,300,47,20,1191,14.65,42.67,34.88,5.47,2.33
95AA07W1,820,107,319,263,85,46,1308,13.05,38.90,32.07,10.37,5.61
95AA08W1,699,230,333,100,26,10,665,32.90,47.64,14.31,3.72,1.43
95AA09W1,943,357,370,172,34,10,861,37.86,39.24,18.24,3.61,1.06
95AA10W1,792,228,335,177,40,12,860,28.79,42.30,22.35,5.05,1.52
95AA11S1,1123,229,499,344,40,11,1353,20.39,44.43,30.63,3.56,0.98
95AA11S2,870,74,385,346,57,8,1282,8.51,44.25,39.77,6.55,0.92
95AA12W1,971,46,251,454,144,76,1933,4.74,25.85,46.76,14.83,7.83
95AA13S1,625,104,240,214,51,16,895,16.64,38.40,34.24,8.16,2.56
95AA13S2,614,117,276,175,29,17,788,19.06,44.95,28.50,4.72,2.77
95AA14W1,779,45,230,318,116,70,1521,5.78,29.53,40.82,14.89,8.99
95AA15S1,1013,153,489,318,40,13,1301,15.10,48.27,31.39,3.95,1.28
95AA15S2,582,166,264,134,18,0,586,28.52,45.36,23.02,3.09,0
95AA16W1,832,290,411,108,18,5,705,34.86,49.40,12.98,2.16,0.60
95AA17W1,855,220,405,186,33,11,922,25.73,47.37,21.75,3.86,1.29
95AA18W1,1004,66,404,409,92,33,1643,6.57,40.24,40.74,9.16,3.29
95AA19W1,832,108,321,250,95,58,1368,12.98,38.58,30.05,11.42,6.97
95BB01S1,548,45,155,235,72,41,1022,8.21,28.28,42.88,13.14,7.48
95BB01S2,759,54,288,318,81,18,1245,7.11,37.94,41.90,10.67,2.37
95BB02W1,1126,398,490,180,37,21,1052,35.35,43.52,15.99,3.29,1.87
95BB03S1,877,168,434,237,31,7,1031,19.16,49.49,27.02,3.53,0.80
95BB03S2,899,110,398,297,67,27,1311,12.24,44.27,33.04,7.45,3.00
95BB04S1,638,147,268,159,55,9,790,23.04,42.01,24.92,8.62,1.41
95BB04S2,669,52,262,267,67,21,1104,7.77,39.16,39.91,10.01,3.14
95BB05S1,564,40,174,233,81,36,1040,7.09,30.85,41.31,14.36,6.38
95BB05S2,754,84,264,294,77,35,1239,11.14,35.01,38.99,10.21,4.64
95BB06W1,1518,642,675,164,32,5,1119,42.29,44.47,10.80,2.11,0.33
95BB07S1,819,212,420,154,24,9,837,25.89,51.28,18.80,2.93,1.10
95BB07S2,496,42,207,182,48,17,789,8.47,41.73,36.69,9.68,3.43
95BB08S1,589,174,280,109,20,6,585,29.54,47.54,18.51,3.40,1.02
95BB08S2,479,22,195,204,47,11,792,4.59,40.71,42.59,9.81,2.30
95BB09S1,561,49,234,211,53,14,874,8.73,41.71,37.61,9.45,2.50
95BB09S2,692,63,302,245,54,28,1073,9.10,43.64,35.40,7.80,4.05
95BB10S1,874,255,391,188,30,10,897,29.18,44.74,21.51,3.43,1.14
95BB10S2,635,34,176,308,85,32,1189,5.35,27.72,48.50,13.39,5.04
95BB11S1,621,181,289,115,29,7,635,29.15,46.54,18.52,4.67,1.13
95BB11S2,717,136,346,190,35,10,875,18.97,48.26,26.50,4.88,1.39
95BB12S1,626,258,261,91,13,3,494,41.21,41.69,14.54,2.08,0.48
95BB12S2,504,53,175,206,52,18,823,10.52,34.72,40.87,10.32,3.57
95BB13S1,508,76,184,195,39,14,752,14.96,36.22,38.39,7.68,2.76
95BB13S2,603,147,282,136,31,7,677,24.38,46.77,22.55,5.14,1.16
95BB13S3,576,32,232,255,47,10,924,5.56,40.28,44.27,8.16,1.74
95BB14S1,551,21,147,240,92,51,1133,3.81,26.68,43.56,16.70,9.26
95BB14S2,621,38,214,254,82,33,1130,6.12,34.46,40.90,13.20,5.31
95BB15S1,706,48,260,286,70,42,1234,6.80,36.83,40.51,9.92,5.95
95BB15S2,581,122,244,160,41,14,749,21.00,42.00,27.54,7.06,2.41
95BB16S1,562,35,148,236,100,43,1112,6.23,26.33,41.99,17.79,7.65
95BB16S2,614,26,189,282,80,37,1182,4.23,30.78,45.93,13.03,6.03
95BB17S1,727,99,361,224,33,10,960,13.62,49.66,30.81,4.54,1.38
95BB17S2,672,101,276,206,61,28,1000,15.03,41.07,30.65,9.08,4.17
95BB18S1,726,148,349,187,28,14,868,20.39,48.07,25.76,3.86,1.93
95BB18S2,912,45,334,403,101,29,1571,4.93,36.62,44.19,11.07,3.18
95BB19S1,641,112,290,189,41,9,831,17.47,45.24,29.49,6.40,1.40
95BB19S2,599,18,201,306,58,16,1057,3.01,33.56,51.09,9.68,2.67
95BB19S3,484,23,183,211,54,13,820,4.75,37.81,43.60,11.16,2.69
95BB20S1,677,104,256,229,56,32,1024,15.36,37.81,33.83,8.27,4.73
95BB20S2,613,169,300,104,36,4,633,27.57,48.94,16.97,5.87,0.65
95BB21S1,932,117,444,277,72,22,1306,12.55,47.64,29.72,7.73,2.36
95BB21S2,889,99,333,337,88,32,1407,11.14,37.46,37.91,9.90,3.60
95BB22S1,596,121,278,171,20,6,706,20.30,46.64,28.69,3.36,1.01
95BB22S2,598,223,242,107,23,3,538,37.29,40.47,17.89,3.85,0.50
95BB23S1,638,72,278,222,53,13,936,11.29,43.57,34.80,8.31,2.04
95BB23S2,523,18,194,231,61,19,918,3.44,37.09,44.17,11.66,3.63
95CC01W1,904,236,393,207,51,17,1034,26.11,43.47,22.90,5.64,1.88
95CC02W1,875,55,297,349,116,58,1608,6.29,33.94,39.89,13.26,6.63
95CC03W1,1127,434,498,157,35,3,933,38.51,44.19,13.93,3.11,0.27
95CC04W1,790,99,266,274,94,57,1340,12.53,33.67,34.68,11.90,7.22
95CC05W1,954,111,361,340,96,46,1542,11.64,37.84,35.64,10.06,4.82
95CC06S1,579,48,243,226,44,18,908,8.29,41.97,39.03,7.60,3.11
95CC06S2,517,74,249,151,35,8,692,14.31,48.16,29.21,6.77,1.55
95CC07W1,1108,92,439,397,115,65,1881,8.30,39.62,35.83,10.38,5.87
95CC08W1,990,289,434,211,43,13,1059,29.19,43.84,21.31,4.34,1.31
95CC09S1,494,18,137,224,69,46,1011,3.64,27.73,45.34,13.97,9.31
95CC09S2,696,29,283,281,68,35,1204,4.17,40.66,40.37,9.77,5.03
95CC10W1,901,52,310,354,126,59,1662,5.77,34.41,39.29,13.98,6.55
