GeographyCode,KS602NI0001,KS602NI0002,KS602NI0003,KS602NI0004,KS602NI0005,KS602NI0006,KS602NI0007,KS602NI0008,KS602NI0009,KS602NI0010,KS602NI0011,KS602NI0012,KS602NI0013,KS602NI0014,KS602NI0015,KS602NI0016,KS602NI0017,KS602NI0018,KS602NI0019,KS602NI0020,KS602NI0021,KS602NI0022,KS602NI0023,KS602NI0024,KS602NI0025,KS602NI0026,KS602NI0027,KS602NI0028,KS602NI0029,KS602NI0030,KS602NI0031
95AA01S1,437,10,386,11,3,4,2,12,1,1,7,54,1,0,0,0,2.29,88.33,2.52,0.69,0.92,0.46,2.75,0.23,0.23,1.60,12.36,33.33,0,0,0
95AA01S2,670,32,309,155,21,24,50,36,2,29,12,110,4,6,4,8,4.78,46.12,23.13,3.13,3.58,7.46,5.37,0.30,4.33,1.79,16.42,19.05,28.57,19.05,38.10
95AA01S3,559,21,296,107,24,17,52,22,1,15,4,85,6,5,3,11,3.76,52.95,19.14,4.29,3.04,9.30,3.94,0.18,2.68,0.72,15.21,25.00,20.83,12.50,45.83
95AA02W1,658,25,341,45,43,17,93,18,5,59,12,64,7,10,4,24,3.80,51.82,6.84,6.53,2.58,14.13,2.74,0.76,8.97,1.82,9.73,16.28,23.26,9.30,55.81
95AA03W1,611,43,299,37,37,15,76,18,13,50,23,46,4,13,1,16,7.04,48.94,6.06,6.06,2.45,12.44,2.95,2.13,8.18,3.76,7.53,10.81,35.14,2.70,43.24
95AA04W1,1155,53,478,275,50,53,100,67,13,43,23,200,18,9,7,16,4.59,41.39,23.81,4.33,4.59,8.66,5.80,1.13,3.72,1.99,17.32,36.00,18.00,14.00,32.00
95AA05W1,959,29,419,187,52,26,107,47,10,50,32,138,20,14,8,21,3.02,43.69,19.50,5.42,2.71,11.16,4.90,1.04,5.21,3.34,14.39,38.46,26.92,15.38,40.38
95AA06S1,636,30,302,77,40,41,57,39,8,32,10,82,7,8,2,22,4.72,47.48,12.11,6.29,6.45,8.96,6.13,1.26,5.03,1.57,12.89,17.50,20.00,5.00,55.00
95AA06S2,857,33,429,106,42,32,58,57,11,70,19,105,13,3,8,13,3.85,50.06,12.37,4.90,3.73,6.77,6.65,1.28,8.17,2.22,12.25,30.95,7.14,19.05,30.95
95AA07W1,795,37,339,168,42,14,85,37,7,52,14,105,9,10,5,14,4.65,42.64,21.13,5.28,1.76,10.69,4.65,0.88,6.54,1.76,13.21,21.43,23.81,11.90,33.33
95AA08W1,603,42,255,30,63,14,80,23,8,71,17,60,16,14,3,27,6.97,42.29,4.98,10.45,2.32,13.27,3.81,1.33,11.77,2.82,9.95,25.40,22.22,4.76,42.86
95AA09W1,750,52,335,48,54,24,110,41,5,57,24,72,23,8,10,20,6.93,44.67,6.40,7.20,3.20,14.67,5.47,0.67,7.60,3.20,9.60,42.59,14.81,18.52,37.04
95AA10W1,694,42,278,58,51,28,122,23,6,65,21,80,17,9,4,28,6.05,40.06,8.36,7.35,4.03,17.58,3.31,0.86,9.37,3.03,11.53,33.33,17.65,7.84,54.90
95AA11S1,958,57,539,90,47,27,98,32,6,47,15,119,15,8,8,21,5.95,56.26,9.39,4.91,2.82,10.23,3.34,0.63,4.91,1.57,12.42,31.91,17.02,17.02,44.68
95AA11S2,950,47,589,87,23,37,76,27,5,38,21,97,7,2,2,5,4.95,62.00,9.16,2.42,3.89,8.00,2.84,0.53,4.00,2.21,10.21,30.43,8.70,8.70,21.74
95AA12W1,1034,42,469,256,22,29,107,66,6,23,14,172,11,3,2,8,4.06,45.36,24.76,2.13,2.80,10.35,6.38,0.58,2.22,1.35,16.63,50.00,13.64,9.09,36.36
95AA13S1,612,16,303,88,37,20,70,31,2,39,6,89,16,4,6,14,2.61,49.51,14.38,6.05,3.27,11.44,5.07,0.33,6.37,0.98,14.54,43.24,10.81,16.22,37.84
95AA13S2,529,23,254,78,31,15,56,27,2,34,9,69,12,5,2,14,4.35,48.02,14.74,5.86,2.84,10.59,5.10,0.38,6.43,1.70,13.04,38.71,16.13,6.45,45.16
95AA14W1,823,33,357,179,40,31,90,38,2,40,13,132,10,12,6,19,4.01,43.38,21.75,4.86,3.77,10.94,4.62,0.24,4.86,1.58,16.04,25.00,30.00,15.00,47.50
95AA15S1,930,43,560,77,49,34,70,26,4,52,15,93,12,9,5,16,4.62,60.22,8.28,5.27,3.66,7.53,2.80,0.43,5.59,1.61,10.00,24.49,18.37,10.20,32.65
95AA15S2,532,37,272,31,34,16,43,23,5,61,10,51,10,5,2,14,6.95,51.13,5.83,6.39,3.01,8.08,4.32,0.94,11.47,1.88,9.59,29.41,14.71,5.88,41.18
95AA16W1,649,32,344,36,46,19,72,21,5,55,19,46,16,10,3,21,4.93,53.00,5.55,7.09,2.93,11.09,3.24,0.77,8.47,2.93,7.09,34.78,21.74,6.52,45.65
95AA17W1,777,46,383,63,55,23,84,41,8,56,18,65,21,10,8,21,5.92,49.29,8.11,7.08,2.96,10.81,5.28,1.03,7.21,2.32,8.37,38.18,18.18,14.55,38.18
95AA18W1,885,35,370,161,25,32,162,41,3,37,19,168,8,5,4,8,3.95,41.81,18.19,2.82,3.62,18.31,4.63,0.34,4.18,2.15,18.98,32.00,20.00,16.00,32.00
95AA19W1,936,32,365,218,52,19,67,61,11,80,31,106,22,7,11,19,3.42,39.00,23.29,5.56,2.03,7.16,6.52,1.18,8.55,3.31,11.32,42.31,13.46,21.15,36.54
95BB01S1,565,21,277,110,25,15,60,35,1,13,8,82,9,2,4,9,3.72,49.03,19.47,4.42,2.65,10.62,6.19,0.18,2.30,1.42,14.51,36.00,8.00,16.00,36.00
95BB01S2,745,35,366,114,37,20,90,45,6,23,9,114,15,8,6,13,4.70,49.13,15.30,4.97,2.68,12.08,6.04,0.81,3.09,1.21,15.30,40.54,21.62,16.22,35.14
95BB02W1,864,35,328,98,69,23,138,32,12,95,34,107,17,13,10,45,4.05,37.96,11.34,7.99,2.66,15.97,3.70,1.39,11.00,3.94,12.38,24.64,18.84,14.49,65.22
95BB03S1,707,28,299,65,59,12,135,30,6,58,15,84,18,15,9,29,3.96,42.29,9.19,8.35,1.70,19.09,4.24,0.85,8.20,2.12,11.88,30.51,25.42,15.25,49.15
95BB03S2,797,28,292,150,39,15,152,40,9,55,17,110,13,8,3,14,3.51,36.64,18.82,4.89,1.88,19.07,5.02,1.13,6.90,2.13,13.80,33.33,20.51,7.69,35.90
95BB04S1,548,27,223,62,43,8,105,27,1,44,8,69,12,6,6,16,4.93,40.69,11.31,7.85,1.46,19.16,4.93,0.18,8.03,1.46,12.59,27.91,13.95,13.95,37.21
95BB04S2,572,30,239,97,20,11,126,27,1,14,7,109,5,7,2,9,5.24,41.78,16.96,3.50,1.92,22.03,4.72,0.17,2.45,1.22,19.06,25.00,35.00,10.00,45.00
95BB05S1,558,32,213,140,19,8,87,20,4,22,13,93,2,5,0,10,5.73,38.17,25.09,3.41,1.43,15.59,3.58,0.72,3.94,2.33,16.67,10.53,26.32,0,52.63
95BB05S2,705,21,275,172,34,8,99,33,7,46,10,106,14,5,2,15,2.98,39.01,24.40,4.82,1.13,14.04,4.68,0.99,6.52,1.42,15.04,41.18,14.71,5.88,44.12
95BB06W1,1077,49,444,76,107,28,165,43,13,110,42,119,47,20,14,45,4.55,41.23,7.06,9.94,2.60,15.32,3.99,1.21,10.21,3.90,11.05,43.93,18.69,13.08,42.06
95BB07S1,551,24,239,62,40,15,95,21,5,40,10,69,11,13,2,19,4.36,43.38,11.25,7.26,2.72,17.24,3.81,0.91,7.26,1.81,12.52,27.50,32.50,5.00,47.50
95BB07S2,482,24,206,61,25,15,91,25,7,20,8,71,9,3,4,6,4.98,42.74,12.66,5.19,3.11,18.88,5.19,1.45,4.15,1.66,14.73,36.00,12.00,16.00,24.00
95BB08S1,435,16,191,42,31,10,75,13,4,42,11,42,13,5,5,15,3.68,43.91,9.66,7.13,2.30,17.24,2.99,0.92,9.66,2.53,9.66,41.94,16.13,16.13,48.39
95BB08S2,481,22,269,53,28,6,60,18,2,18,5,60,6,9,3,5,4.57,55.93,11.02,5.82,1.25,12.47,3.74,0.42,3.74,1.04,12.47,21.43,32.14,10.71,17.86
95BB09S1,500,33,208,86,16,11,98,21,1,17,9,75,2,4,2,8,6.60,41.60,17.20,3.20,2.20,19.60,4.20,0.20,3.40,1.80,15.00,12.50,25.00,12.50,50.00
95BB09S2,646,28,334,70,28,22,108,29,5,18,4,107,12,5,1,13,4.33,51.70,10.84,4.33,3.41,16.72,4.49,0.77,2.79,0.62,16.56,42.86,17.86,3.57,46.43
95BB10S1,594,35,248,75,41,10,119,12,4,40,10,91,7,12,2,22,5.89,41.75,12.63,6.90,1.68,20.03,2.02,0.67,6.73,1.68,15.32,17.07,29.27,4.88,53.66
95BB10S2,606,30,203,148,22,13,120,43,4,16,7,126,7,8,0,10,4.95,33.50,24.42,3.63,2.15,19.80,7.10,0.66,2.64,1.16,20.79,31.82,36.36,0,45.45
95BB11S1,490,29,199,44,44,10,79,29,5,36,15,49,14,11,3,24,5.92,40.61,8.98,8.98,2.04,16.12,5.92,1.02,7.35,3.06,10.00,31.82,25.00,6.82,54.55
95BB11S2,542,28,222,59,22,15,125,28,4,31,8,75,5,11,2,7,5.17,40.96,10.89,4.06,2.77,23.06,5.17,0.74,5.72,1.48,13.84,22.73,50.00,9.09,31.82
95BB12S1,478,36,195,31,44,12,78,17,5,48,12,53,18,7,3,26,7.53,40.79,6.49,9.21,2.51,16.32,3.56,1.05,10.04,2.51,11.09,40.91,15.91,6.82,59.09
95BB12S2,461,30,187,66,20,10,90,26,5,17,10,92,7,5,3,9,6.51,40.56,14.32,4.34,2.17,19.52,5.64,1.08,3.69,2.17,19.96,35.00,25.00,15.00,45.00
95BB13S1,474,29,207,58,19,28,59,32,3,32,7,71,5,4,3,8,6.12,43.67,12.24,4.01,5.91,12.45,6.75,0.63,6.75,1.48,14.98,26.32,21.05,15.79,42.11
95BB13S2,552,32,215,50,36,14,116,23,4,51,11,58,12,12,7,16,5.80,38.95,9.06,6.52,2.54,21.01,4.17,0.72,9.24,1.99,10.51,33.33,33.33,19.44,44.44
95BB13S3,559,26,309,78,24,15,58,27,2,12,8,74,6,6,2,7,4.65,55.28,13.95,4.29,2.68,10.38,4.83,0.36,2.15,1.43,13.24,25.00,25.00,8.33,29.17
95BB14S1,561,18,213,154,16,15,87,36,0,10,12,91,6,6,0,7,3.21,37.97,27.45,2.85,2.67,15.51,6.42,0,1.78,2.14,16.22,37.50,37.50,0,43.75
95BB14S2,578,26,246,122,19,13,80,38,2,19,13,94,5,3,2,9,4.50,42.56,21.11,3.29,2.25,13.84,6.57,0.35,3.29,2.25,16.26,26.32,15.79,10.53,47.37
95BB15S1,712,22,235,207,37,15,95,36,10,42,13,94,9,7,4,18,3.09,33.01,29.07,5.20,2.11,13.34,5.06,1.40,5.90,1.83,13.20,24.32,18.92,10.81,48.65
95BB15S2,539,22,224,87,40,20,66,29,3,34,14,65,9,7,4,25,4.08,41.56,16.14,7.42,3.71,12.24,5.38,0.56,6.31,2.60,12.06,22.50,17.50,10.00,62.50
95BB16S1,611,29,253,135,16,19,94,38,0,17,10,106,5,5,3,6,4.75,41.41,22.09,2.62,3.11,15.38,6.22,0,2.78,1.64,17.35,31.25,31.25,18.75,37.50
95BB16S2,588,20,270,131,15,14,77,29,2,19,11,107,6,1,2,5,3.40,45.92,22.28,2.55,2.38,13.10,4.93,0.34,3.23,1.87,18.20,40.00,6.67,13.33,33.33
95BB17S1,603,27,328,81,28,18,58,26,1,27,9,63,7,6,3,12,4.48,54.39,13.43,4.64,2.99,9.62,4.31,0.17,4.48,1.49,10.45,25.00,21.43,10.71,42.86
95BB17S2,593,31,250,105,36,15,83,25,6,34,8,81,17,5,6,14,5.23,42.16,17.71,6.07,2.53,14.00,4.22,1.01,5.73,1.35,13.66,47.22,13.89,16.67,38.89
95BB18S1,575,24,246,72,31,7,89,22,6,58,20,65,6,9,4,17,4.17,42.78,12.52,5.39,1.22,15.48,3.83,1.04,10.09,3.48,11.30,19.35,29.03,12.90,54.84
95BB18S2,876,24,434,181,28,14,106,35,9,32,13,143,12,3,5,8,2.74,49.54,20.66,3.20,1.60,12.10,4.00,1.03,3.65,1.48,16.32,42.86,10.71,17.86,28.57
95BB19S1,582,37,301,44,27,19,91,23,2,24,14,62,7,8,5,10,6.36,51.72,7.56,4.64,3.26,15.64,3.95,0.34,4.12,2.41,10.65,25.93,29.63,18.52,37.04
95BB19S2,640,31,351,83,21,28,68,35,3,15,5,96,9,3,4,4,4.84,54.84,12.97,3.28,4.38,10.63,5.47,0.47,2.34,0.78,15.00,42.86,14.29,19.05,19.05
95BB19S3,499,31,286,51,14,24,48,24,2,13,6,66,2,4,2,4,6.21,57.31,10.22,2.81,4.81,9.62,4.81,0.40,2.61,1.20,13.23,14.29,28.57,14.29,28.57
95BB20S1,695,24,203,183,56,16,85,40,4,58,26,116,11,15,2,17,3.45,29.21,26.33,8.06,2.30,12.23,5.76,0.58,8.35,3.74,16.69,19.64,26.79,3.57,30.36
95BB20S2,584,22,166,72,78,16,83,45,7,73,22,74,14,10,10,31,3.77,28.42,12.33,13.36,2.74,14.21,7.71,1.20,12.50,3.77,12.67,17.95,12.82,12.82,39.74
95BB21S1,852,32,302,154,51,12,150,39,14,77,21,85,14,14,6,20,3.76,35.45,18.08,5.99,1.41,17.61,4.58,1.64,9.04,2.46,9.98,27.45,27.45,11.76,39.22
