GeographyCode,KS104NI0001,KS104NI0002,KS104NI0003,KS104NI0004,KS104NI0005,KS104NI0006,KS104NI0007,KS104NI0008,KS104NI0009,KS104NI0010,KS104NI0011,KS104NI0012,KS104NI0013,KS104NI0014,KS104NI0015
95AA01S1,626,532,18,50,9,7,8,2,84.98,2.88,7.99,1.44,1.12,1.28,0.32
95AA01S2,1378,826,70,344,13,33,29,63,59.94,5.08,24.96,0.94,2.39,2.10,4.57
95AA01S3,1190,644,78,313,9,41,44,61,54.12,6.55,26.30,0.76,3.45,3.70,5.13
95AA02W1,1468,606,132,416,15,58,91,150,41.28,8.99,28.34,1.02,3.95,6.20,10.22
95AA03W1,1436,548,120,434,11,79,120,124,38.16,8.36,30.22,0.77,5.50,8.36,8.64
95AA04W1,2364,1372,112,651,20,58,56,95,58.04,4.74,27.54,0.85,2.45,2.37,4.02
95AA05W1,2036,1140,98,589,12,42,56,99,55.99,4.81,28.93,0.59,2.06,2.75,4.86
95AA06S1,1437,712,90,416,14,68,44,93,49.55,6.26,28.95,0.97,4.73,3.06,6.47
95AA06S2,1866,974,106,570,13,75,55,73,52.20,5.68,30.55,0.70,4.02,2.95,3.91
95AA07W1,1693,908,112,446,17,49,74,87,53.63,6.62,26.34,1.00,2.89,4.37,5.14
95AA08W1,1325,490,124,432,15,72,110,82,36.98,9.36,32.60,1.13,5.43,8.30,6.19
95AA09W1,1695,706,152,507,21,94,114,101,41.65,8.97,29.91,1.24,5.55,6.73,5.96
95AA10W1,1551,720,112,486,8,59,76,90,46.42,7.22,31.33,0.52,3.80,4.90,5.80
95AA11S1,2125,1030,234,556,26,66,87,126,48.47,11.01,26.16,1.22,3.11,4.09,5.93
95AA11S2,1792,1086,132,400,8,57,55,54,60.60,7.37,22.32,0.45,3.18,3.07,3.01
95AA12W1,2162,1350,88,509,15,27,50,123,62.44,4.07,23.54,0.69,1.25,2.31,5.69
95AA13S1,1292,630,85,403,16,47,61,50,48.76,6.58,31.19,1.24,3.64,4.72,3.87
95AA13S2,1198,580,104,325,10,45,58,76,48.41,8.68,27.13,0.83,3.76,4.84,6.34
95AA14W1,1805,1098,48,474,18,30,32,105,60.83,2.66,26.26,1.00,1.66,1.77,5.82
95AA15S1,2005,1022,216,524,24,76,86,57,50.97,10.77,26.13,1.20,3.79,4.29,2.84
95AA15S2,1061,424,130,326,11,50,89,31,39.96,12.25,30.73,1.04,4.71,8.39,2.92
95AA16W1,1463,592,136,444,9,68,116,98,40.46,9.30,30.35,0.62,4.65,7.93,6.70
95AA17W1,1669,738,142,500,14,65,125,85,44.22,8.51,29.96,0.84,3.89,7.49,5.09
95AA18W1,1997,1202,112,430,19,40,64,130,60.19,5.61,21.53,0.95,2.00,3.20,6.51
95AA19W1,1964,994,40,702,22,51,45,110,50.61,2.04,35.74,1.12,2.60,2.29,5.60
95BB01S1,1242,728,50,322,9,21,44,68,58.62,4.03,25.93,0.72,1.69,3.54,5.48
95BB01S2,1595,930,98,394,10,42,52,69,58.31,6.14,24.70,0.63,2.63,3.26,4.33
95BB02W1,2007,844,136,547,13,89,151,227,42.05,6.78,27.25,0.65,4.43,7.52,11.31
95BB03S1,1614,812,150,356,19,54,93,130,50.31,9.29,22.06,1.18,3.35,5.76,8.05
95BB03S2,1786,1020,142,376,22,37,79,110,57.11,7.95,21.05,1.23,2.07,4.42,6.16
95BB04S1,1222,650,62,307,14,28,83,78,53.19,5.07,25.12,1.15,2.29,6.79,6.38
95BB04S2,1356,850,64,269,9,27,35,102,62.68,4.72,19.84,0.66,1.99,2.58,7.52
95BB05S1,1209,764,52,256,10,24,39,64,63.19,4.30,21.17,0.83,1.99,3.23,5.29
95BB05S2,1550,880,108,361,19,39,56,87,56.77,6.97,23.29,1.23,2.52,3.61,5.61
95BB06W1,2484,864,230,765,24,111,220,270,34.78,9.26,30.80,0.97,4.47,8.86,10.87
95BB07S1,1333,492,164,339,12,71,110,145,36.91,12.30,25.43,0.90,5.33,8.25,10.88
95BB07S2,1055,618,62,248,7,18,41,61,58.58,5.88,23.51,0.66,1.71,3.89,5.78
95BB08S1,1085,494,70,285,8,31,93,104,45.53,6.45,26.27,0.74,2.86,8.57,9.59
95BB08S2,1017,656,52,214,3,23,31,38,64.50,5.11,21.04,0.29,2.26,3.05,3.74
95BB09S1,1095,658,56,207,20,25,57,72,60.09,5.11,18.90,1.83,2.28,5.21,6.58
95BB09S2,1378,754,94,347,8,26,69,80,54.72,6.82,25.18,0.58,1.89,5.01,5.81
95BB10S1,1436,612,120,352,19,64,124,145,42.62,8.36,24.51,1.32,4.46,8.64,10.10
95BB10S2,1344,870,64,272,16,24,38,60,64.73,4.76,20.24,1.19,1.79,2.83,4.46
95BB11S1,1122,506,82,296,13,50,105,70,45.10,7.31,26.38,1.16,4.46,9.36,6.24
95BB11S2,1306,664,54,319,16,35,81,137,50.84,4.13,24.43,1.23,2.68,6.20,10.49
95BB12S1,1115,422,126,355,9,41,99,63,37.85,11.30,31.84,0.81,3.68,8.88,5.65
95BB12S2,1062,642,54,241,7,24,38,56,60.45,5.08,22.69,0.66,2.26,3.58,5.27
95BB13S1,1050,576,64,280,8,30,58,34,54.86,6.10,26.67,0.76,2.86,5.52,3.24
95BB13S2,1191,624,92,296,9,29,60,81,52.39,7.72,24.85,0.76,2.43,5.04,6.80
95BB13S3,1201,730,92,262,6,27,42,42,60.78,7.66,21.82,0.50,2.25,3.50,3.50
95BB14S1,1234,760,72,275,6,16,31,74,61.59,5.83,22.29,0.49,1.30,2.51,6.00
95BB14S2,1271,716,76,297,13,22,57,90,56.33,5.98,23.37,1.02,1.73,4.48,7.08
95BB15S1,1535,894,86,367,23,39,44,82,58.24,5.60,23.91,1.50,2.54,2.87,5.34
95BB15S2,1164,514,80,384,9,35,64,78,44.16,6.87,32.99,0.77,3.01,5.50,6.70
95BB16S1,1281,800,34,321,11,21,28,66,62.45,2.65,25.06,0.86,1.64,2.19,5.15
95BB16S2,1287,810,62,267,11,17,38,82,62.94,4.82,20.75,0.85,1.32,2.95,6.37
95BB17S1,1352,704,134,301,6,56,84,67,52.07,9.91,22.26,0.44,4.14,6.21,4.96
95BB17S2,1338,706,86,329,8,49,71,89,52.77,6.43,24.59,0.60,3.66,5.31,6.65
95BB18S1,1328,648,126,304,6,62,88,94,48.80,9.49,22.89,0.45,4.67,6.63,7.08
95BB18S2,1913,1204,122,379,11,45,61,91,62.94,6.38,19.81,0.58,2.35,3.19,4.76
95BB19S1,1262,700,78,303,4,29,56,92,55.47,6.18,24.01,0.32,2.30,4.44,7.29
95BB19S2,1331,868,68,295,5,23,34,38,65.21,5.11,22.16,0.38,1.73,2.55,2.85
95BB19S3,1063,644,64,247,6,28,35,39,60.58,6.02,23.24,0.56,2.63,3.29,3.67
95BB20S1,1454,788,50,451,8,30,40,87,54.20,3.44,31.02,0.55,2.06,2.75,5.98
95BB20S2,1230,538,78,406,9,48,58,93,43.74,6.34,33.01,0.73,3.90,4.72,7.56
95BB21S1,1845,1026,122,436,14,50,83,114,55.61,6.61,23.63,0.76,2.71,4.50,6.18
95BB21S2,1806,1068,90,413,20,43,66,106,59.14,4.98,22.87,1.11,2.38,3.65,5.87
95BB22S1,1113,554,113,283,7,48,69,39,49.78,10.15,25.43,0.63,4.31,6.20,3.50
95BB22S2,1078,406,82,362,7,59,95,67,37.66,7.61,33.58,0.65,5.47,8.81,6.22
95BB23S1,1303,814,47,277,14,25,40,86,62.47,3.61,21.26,1.07,1.92,3.07,6.60
95BB23S2,1179,708,48,304,10,20,40,49,60.05,4.07,25.78,0.85,1.70,3.39,4.16
95CC01W1,1864,784,103,660,16,86,93,122,42.06,5.53,35.41,0.86,4.61,4.99,6.55
95CC02W1,2108,1106,94,698,22,47,41,100,52.47,4.46,33.11,1.04,2.23,1.94,4.74
95CC03W1,2115,696,190,791,28,138,120,152,32.91,8.98,37.40,1.32,6.52,5.67,7.19
95CC04W1,1824,916,66,633,25,42,36,106,50.22,3.62,34.70,1.37,2.30,1.97,5.81
95CC05W1,2087,1090,73,640,29,64,57,134,52.23,3.50,30.67,1.39,3.07,2.73,6.42
95CC06S1,1163,662,66,296,10,22,34,73,56.92,5.67,25.45,0.86,1.89,2.92,6.28
95CC06S2,997,486,56,289,8,31,45,82,48.75,5.62,28.99,0.80,3.11,4.51,8.22
95CC07W1,2554,1266,97,904,41,63,63,120,49.57,3.80,35.40,1.61,2.47,2.47,4.70
95CC08W1,1934,822,123,703,15,83,68,120,42.50,6.36,36.35,0.78,4.29,3.52,6.20
95CC09S1,1153,712,34,309,9,14,18,57,61.75,2.95,26.80,0.78,1.21,1.56,4.94
95CC09S2,1446,820,84,379,24,37,35,67,56.71,5.81,26.21,1.66,2.56,2.42,4.63
95CC10W1,2019,1132,82,567,17,32,58,131,56.07,4.06,28.08,0.84,1.58,2.87,6.49
95CC11W1,1474,596,68,522,22,65,72,129,40.43,4.61,35.41,1.49,4.41,4.88,8.75
