GeographyCode,KS406NI0001,KS406NI0002,KS406NI0003,KS406NI0004,KS406NI0005,KS406NI0006,KS406NI0007,KS406NI0008,KS406NI0009,KS406NI0010,KS406NI0011,KS406NI0012,KS406NI0013
95XX01S1,633,22,27,3,3,1,591,3.48,4.27,0.47,0.47,0.16,93.36
95XX01S2,608,14,15,0,2,0,580,2.30,2.47,0,0.33,0,95.39
95XX01S3,608,1,14,1,1,0,593,0.16,2.30,0.16,0.16,0,97.53
95XX02W1,1066,37,55,1,9,4,977,3.47,5.16,0.09,0.84,0.38,91.65
95XX03S1,498,6,15,1,2,0,476,1.20,3.01,0.20,0.40,0,95.58
95XX03S2,559,12,19,0,3,1,526,2.15,3.40,0,0.54,0.18,94.10
95XX04S1,663,8,22,1,1,0,633,1.21,3.32,0.15,0.15,0,95.48
95XX04S2,739,17,36,0,3,1,689,2.30,4.87,0,0.41,0.14,93.23
95XX05W1,1238,43,92,8,12,4,1110,3.47,7.43,0.65,0.97,0.32,89.66
95XX06S1,755,15,55,0,5,2,685,1.99,7.28,0,0.66,0.26,90.73
95XX06S2,843,51,65,7,9,6,743,6.05,7.71,0.83,1.07,0.71,88.14
95XX07S1,633,15,35,0,1,2,584,2.37,5.53,0,0.16,0.32,92.26
95XX07S2,645,60,84,2,4,9,525,9.30,13.02,0.31,0.62,1.40,81.40
95XX08S1,591,16,24,1,0,1,550,2.71,4.06,0.17,0,0.17,93.06
95XX08S2,582,28,37,1,5,4,520,4.81,6.36,0.17,0.86,0.69,89.35
95XX09S1,629,49,75,4,6,4,524,7.79,11.92,0.64,0.95,0.64,83.31
95XX09S2,626,25,50,6,8,4,551,3.99,7.99,0.96,1.28,0.64,88.02
95XX10S1,676,17,39,0,5,0,619,2.51,5.77,0,0.74,0,91.57
95XX10S2,678,14,23,0,3,0,640,2.06,3.39,0,0.44,0,94.40
95XX10S3,488,6,31,2,1,0,451,1.23,6.35,0.41,0.20,0,92.42
95XX11S1,998,89,49,1,2,1,871,8.92,4.91,0.10,0.20,0.10,87.27
95XX11S2,905,98,64,1,0,0,772,10.83,7.07,0.11,0,0,85.30
95XX11S3,718,92,95,1,1,2,563,12.81,13.23,0.14,0.14,0.28,78.41
95XX12W1,1002,42,49,1,2,0,920,4.19,4.89,0.10,0.20,0,91.82
95XX13W1,1176,32,44,1,2,1,1101,2.72,3.74,0.09,0.17,0.09,93.62
95XX14W1,955,23,27,1,1,0,911,2.41,2.83,0.10,0.10,0,95.39
95XX15W1,1192,94,133,1,5,3,988,7.89,11.16,0.08,0.42,0.25,82.89
95XX16W1,1392,72,96,1,4,3,1250,5.17,6.90,0.07,0.29,0.22,89.80
95XX17S1,763,12,40,1,2,0,712,1.57,5.24,0.13,0.26,0,93.32
95XX17S2,662,8,28,0,2,3,622,1.21,4.23,0,0.30,0.45,93.96
95XX18W1,1348,81,98,6,9,14,1183,6.01,7.27,0.45,0.67,1.04,87.76
95XX19W1,1106,61,66,2,4,1,995,5.52,5.97,0.18,0.36,0.09,89.96
95XX20S1,909,69,95,3,3,1,764,7.59,10.45,0.33,0.33,0.11,84.05
95XX20S2,454,11,16,0,1,1,430,2.42,3.52,0,0.22,0.22,94.71
95XX21W1,1176,60,59,2,9,3,1076,5.10,5.02,0.17,0.77,0.26,91.50
95XX22W1,1010,22,53,1,4,4,937,2.18,5.25,0.10,0.40,0.40,92.77
95XX23W1,1451,74,95,6,6,6,1298,5.10,6.55,0.41,0.41,0.41,89.46
95XX24S1,540,12,32,2,1,0,500,2.22,5.93,0.37,0.19,0,92.59
95XX24S2,644,14,37,0,7,2,588,2.17,5.75,0,1.09,0.31,91.30
95XX25W1,1096,51,102,3,7,3,955,4.65,9.31,0.27,0.64,0.27,87.14
95YY01W1,861,109,34,0,3,0,730,12.66,3.95,0,0.35,0,84.79
95YY02W1,883,55,64,1,2,0,772,6.23,7.25,0.11,0.23,0,87.43
95YY03W1,991,134,39,1,4,0,829,13.52,3.94,0.10,0.40,0,83.65
95YY04W1,1270,72,69,0,5,2,1137,5.67,5.43,0,0.39,0.16,89.53
95YY05W1,745,34,45,2,7,0,665,4.56,6.04,0.27,0.94,0,89.26
