GeographyCode,KS402NI0001,KS402NI0002,KS402NI0003,KS402NI0004,KS402NI0005,KS402NI0006,KS402NI0007,KS402NI0008,KS402NI0009,KS402NI0010,KS402NI0011,KS402NI0012,KS402NI0013,KS402NI0014,KS402NI0015,KS402NI0016,KS402NI0017
95AA01S1,310,5,21,0,2,7,24,246,5,1.61,6.77,0,0.65,2.26,7.74,79.35,1.61
95AA01S2,624,230,310,0,11,1,45,13,14,36.86,49.68,0,1.76,0.16,7.21,2.08,2.24
95AA01S3,588,215,253,1,3,1,85,14,16,36.56,43.03,0.17,0.51,0.17,14.46,2.38,2.72
95AA02W1,839,253,245,5,141,7,148,14,26,30.15,29.20,0.60,16.81,0.83,17.64,1.67,3.10
95AA03W1,845,206,263,7,226,7,112,9,15,24.38,31.12,0.83,26.75,0.83,13.25,1.07,1.78
95AA04W1,1014,480,439,5,5,0,53,8,24,47.34,43.29,0.49,0.49,0,5.23,0.79,2.37
95AA05W1,920,357,370,3,68,0,83,15,24,38.80,40.22,0.33,7.39,0,9.02,1.63,2.61
95AA06S1,710,180,362,10,38,36,54,17,13,25.35,50.99,1.41,5.35,5.07,7.61,2.39,1.83
95AA06S2,860,157,513,9,58,27,61,17,18,18.26,59.65,1.05,6.74,3.14,7.09,1.98,2.09
95AA07W1,820,344,273,1,69,1,95,15,22,41.95,33.29,0.12,8.41,0.12,11.59,1.83,2.68
95AA08W1,699,171,233,12,160,1,96,5,21,24.46,33.33,1.72,22.89,0.14,13.73,0.72,3.00
95AA09W1,943,248,267,1,274,2,124,5,22,26.30,28.31,0.11,29.06,0.21,13.15,0.53,2.33
95AA10W1,792,234,249,6,216,6,54,8,19,29.55,31.44,0.76,27.27,0.76,6.82,1.01,2.40
95AA11S1,1123,274,520,6,61,27,185,20,30,24.40,46.30,0.53,5.43,2.40,16.47,1.78,2.67
95AA11S2,870,204,533,8,2,10,98,5,10,23.45,61.26,0.92,0.23,1.15,11.26,0.57,1.15
95AA12W1,971,420,417,1,22,11,56,8,36,43.25,42.95,0.10,2.27,1.13,5.77,0.82,3.71
95AA13S1,625,195,232,3,21,25,115,14,20,31.20,37.12,0.48,3.36,4.00,18.40,2.24,3.20
95AA13S2,614,147,271,2,36,34,107,8,9,23.94,44.14,0.33,5.86,5.54,17.43,1.30,1.47
95AA14W1,779,425,281,1,3,1,42,7,19,54.56,36.07,0.13,0.39,0.13,5.39,0.90,2.44
95AA15S1,1013,160,536,18,97,0,168,18,16,15.79,52.91,1.78,9.58,0,16.58,1.78,1.58
95AA15S2,582,70,207,6,182,1,94,6,16,12.03,35.57,1.03,31.27,0.17,16.15,1.03,2.75
95AA16W1,832,183,264,6,204,3,139,9,24,22.00,31.73,0.72,24.52,0.36,16.71,1.08,2.88
95AA17W1,855,195,388,15,141,17,70,8,21,22.81,45.38,1.75,16.49,1.99,8.19,0.94,2.46
