GeographyCode,KS612NI0001,KS612NI0002,KS612NI0003,KS612NI0004,KS612NI0005,KS612NI0006,KS612NI0007,KS612NI0008,KS612NI0009,KS612NI0010,KS612NI0011,KS612NI0012,KS612NI0013,KS612NI0014,KS612NI0015,KS612NI0016,KS612NI0017,KS612NI0018,KS612NI0019,KS612NI0020,KS612NI0021,KS612NI0022,KS612NI0023
95AA01S1,437,26,16,194,119,10,30,13,12,2,0,15,5.95,3.66,44.39,27.23,2.29,6.86,2.97,2.75,0.46,0,3.43
95AA01S2,670,15,70,117,38,161,62,52,70,18,8,59,2.24,10.45,17.46,5.67,24.03,9.25,7.76,10.45,2.69,1.19,8.81
95AA01S3,559,17,62,116,48,100,49,45,65,8,11,38,3.04,11.09,20.75,8.59,17.89,8.77,8.05,11.63,1.43,1.97,6.80
95AA02W1,658,5,23,92,57,60,102,93,149,18,24,35,0.76,3.50,13.98,8.66,9.12,15.50,14.13,22.64,2.74,3.65,5.32
95AA03W1,611,4,18,61,60,45,96,91,176,12,16,32,0.65,2.95,9.98,9.82,7.36,15.71,14.89,28.81,1.96,2.62,5.24
95AA04W1,1155,28,91,216,67,289,102,79,126,21,16,120,2.42,7.88,18.70,5.80,25.02,8.83,6.84,10.91,1.82,1.39,10.39
95AA05W1,959,22,80,140,41,218,109,83,148,24,21,73,2.29,8.34,14.60,4.28,22.73,11.37,8.65,15.43,2.50,2.19,7.61
95AA06S1,636,13,22,121,52,90,76,61,86,13,22,80,2.04,3.46,19.03,8.18,14.15,11.95,9.59,13.52,2.04,3.46,12.58
95AA06S2,857,17,43,167,58,114,93,96,136,32,13,88,1.98,5.02,19.49,6.77,13.30,10.85,11.20,15.87,3.73,1.52,10.27
95AA07W1,795,14,61,107,41,169,86,86,145,21,14,51,1.76,7.67,13.46,5.16,21.26,10.82,10.82,18.24,2.64,1.76,6.42
95AA08W1,603,6,9,81,45,44,81,93,156,24,27,37,1.00,1.49,13.43,7.46,7.30,13.43,15.42,25.87,3.98,4.48,6.14
95AA09W1,750,7,54,106,55,56,85,129,145,31,20,62,0.93,7.20,14.13,7.33,7.47,11.33,17.20,19.33,4.13,2.67,8.27
95AA10W1,694,14,32,97,67,73,90,86,125,31,28,51,2.02,4.61,13.98,9.65,10.52,12.97,12.39,18.01,4.47,4.03,7.35
95AA11S1,958,14,57,183,93,97,98,128,187,21,21,59,1.46,5.95,19.10,9.71,10.13,10.23,13.36,19.52,2.19,2.19,6.16
95AA11S2,950,25,75,195,149,83,114,106,115,19,5,64,2.63,7.89,20.53,15.68,8.74,12.00,11.16,12.11,2.00,0.53,6.74
95AA12W1,1034,34,111,225,82,226,87,61,95,11,8,94,3.29,10.74,21.76,7.93,21.86,8.41,5.90,9.19,1.06,0.77,9.09
95AA13S1,612,12,56,95,41,93,69,56,112,16,14,48,1.96,9.15,15.52,6.70,15.20,11.27,9.15,18.30,2.61,2.29,7.84
95AA13S2,529,13,42,84,36,85,56,57,96,5,14,41,2.46,7.94,15.88,6.81,16.07,10.59,10.78,18.15,0.95,2.65,7.75
95AA14W1,823,26,78,152,42,191,77,63,82,25,19,68,3.16,9.48,18.47,5.10,23.21,9.36,7.65,9.96,3.04,2.31,8.26
95AA15S1,930,10,71,176,81,78,111,127,174,26,16,60,1.08,7.63,18.92,8.71,8.39,11.94,13.66,18.71,2.80,1.72,6.45
95AA15S2,532,4,19,83,37,36,65,83,127,27,14,37,0.75,3.57,15.60,6.95,6.77,12.22,15.60,23.87,5.08,2.63,6.95
