GeographyCode,KS608NI0001,KS608NI0002,KS608NI0003,KS608NI0004,KS608NI0005,KS608NI0006,KS608NI0007,KS608NI0008,KS608NI0009,KS608NI0010,KS608NI0011,KS608NI0012,KS608NI0013,KS608NI0014,KS608NI0015,KS608NI0016,KS608NI0017,KS608NI0018,KS608NI0019
95AA01S1,591,65,30,163,199,33,31,29,18,23,11.00,5.08,27.58,33.67,5.58,5.25,4.91,3.05,3.89
95AA01S2,939,93,181,84,123,163,69,81,64,81,9.90,19.28,8.95,13.10,17.36,7.35,8.63,6.82,8.63
95AA01S3,813,102,178,67,115,122,52,57,50,70,12.55,21.89,8.24,14.15,15.01,6.40,7.01,6.15,8.61
95AA02W1,826,33,80,79,103,104,93,103,76,155,4.00,9.69,9.56,12.47,12.59,11.26,12.47,9.20,18.77
95AA03W1,775,30,67,49,81,112,107,85,84,160,3.87,8.65,6.32,10.45,14.45,13.81,10.97,10.84,20.65
95AA04W1,1570,174,243,171,209,298,132,116,114,113,11.08,15.48,10.89,13.31,18.98,8.41,7.39,7.26,7.20
95AA05W1,1276,113,235,94,153,249,144,86,94,108,8.86,18.42,7.37,11.99,19.51,11.29,6.74,7.37,8.46
95AA06S1,892,61,106,90,153,107,113,103,72,87,6.84,11.88,10.09,17.15,12.00,12.67,11.55,8.07,9.75
95AA06S2,1201,102,154,125,206,114,121,132,120,127,8.49,12.82,10.41,17.15,9.49,10.07,10.99,9.99,10.57
95AA07W1,1046,83,170,65,135,193,99,78,103,120,7.93,16.25,6.21,12.91,18.45,9.46,7.46,9.85,11.47
95AA08W1,700,23,58,55,65,89,99,86,90,135,3.29,8.29,7.86,9.29,12.71,14.14,12.29,12.86,19.29
95AA09W1,915,76,117,61,95,88,97,106,99,176,8.31,12.79,6.67,10.38,9.62,10.60,11.58,10.82,19.23
95AA10W1,807,60,114,49,107,92,91,92,68,134,7.43,14.13,6.07,13.26,11.40,11.28,11.40,8.43,16.60
95AA11S1,1405,115,216,118,204,145,145,117,140,205,8.19,15.37,8.40,14.52,10.32,10.32,8.33,9.96,14.59
95AA11S2,1395,116,267,168,205,161,115,129,96,138,8.32,19.14,12.04,14.70,11.54,8.24,9.25,6.88,9.89
95AA12W1,1459,206,294,142,225,230,88,90,75,109,14.12,20.15,9.73,15.42,15.76,6.03,6.17,5.14,7.47
95AA13S1,823,61,166,69,112,139,83,51,57,85,7.41,20.17,8.38,13.61,16.89,10.09,6.20,6.93,10.33
95AA13S2,750,61,137,61,109,116,76,53,62,75,8.13,18.27,8.13,14.53,15.47,10.13,7.07,8.27,10.00
95AA14W1,1151,122,227,117,162,198,76,101,73,75,10.60,19.72,10.17,14.07,17.20,6.60,8.77,6.34,6.52
95AA15S1,1428,95,280,113,196,158,135,129,106,216,6.65,19.61,7.91,13.73,11.06,9.45,9.03,7.42,15.13
95AA15S2,687,40,90,43,84,80,89,61,74,126,5.82,13.10,6.26,12.23,11.64,12.95,8.88,10.77,18.34
95AA16W1,828,39,58,41,101,104,83,97,100,205,4.71,7.00,4.95,12.20,12.56,10.02,11.71,12.08,24.76
