GeographyCode,KS107NI0001,KS107NI0002,KS107NI0003,KS107NI0004,KS107NI0005,KS107NI0006,KS107NI0007,KS107NI0008,KS107NI0009,KS107NI0010,KS107NI0011,KS107NI0012,KS107NI0013,KS107NI0014,KS107NI0015,KS107NI0016,KS107NI0017,KS107NI0018,KS107NI0019,KS107NI0020,KS107NI0021
95AA01S1,5,3,2,0,0,0,0,0,5,3,2,0,60.00,40.00,0,0,0,0,60.00,40.00,0
95AA01S2,21,11,5,5,2,1,1,0,19,10,4,5,52.38,23.81,23.81,50.00,50.00,0,52.63,21.05,26.32
95AA01S3,34,12,14,8,2,0,2,0,32,12,12,8,35.29,41.18,23.53,0,100.00,0,37.50,37.50,25.00
95AA02W1,60,28,17,15,8,0,5,3,52,28,12,12,46.67,28.33,25.00,0,62.50,37.50,53.85,23.08,23.08
95AA03W1,102,39,15,48,5,0,4,1,97,39,11,47,38.24,14.71,47.06,0,80.00,20.00,40.21,11.34,48.45
95AA04W1,31,13,7,11,3,0,2,1,28,13,5,10,41.94,22.58,35.48,0,66.67,33.33,46.43,17.86,35.71
95AA05W1,57,15,21,21,6,0,4,2,51,15,17,19,26.32,36.84,36.84,0,66.67,33.33,29.41,33.33,37.25
95AA06S1,75,39,13,23,5,0,2,3,70,39,11,20,52.00,17.33,30.67,0,40.00,60.00,55.71,15.71,28.57
95AA06S2,102,39,23,40,7,1,1,5,95,38,22,35,38.24,22.55,39.22,14.29,14.29,71.43,40.00,23.16,36.84
95AA07W1,56,13,18,25,12,2,3,7,44,11,15,18,23.21,32.14,44.64,16.67,25.00,58.33,25.00,34.09,40.91
95AA08W1,100,36,18,46,4,0,2,2,96,36,16,44,36.00,18.00,46.00,0,50.00,50.00,37.50,16.67,45.83
95AA09W1,129,40,27,62,6,0,2,4,123,40,25,58,31.01,20.93,48.06,0,33.33,66.67,32.52,20.33,47.15
95AA10W1,94,33,15,46,4,1,1,2,90,32,14,44,35.11,15.96,48.94,25.00,25.00,50.00,35.56,15.56,48.89
95AA11S1,76,27,32,17,3,1,1,1,73,26,31,16,35.53,42.11,22.37,33.33,33.33,33.33,35.62,42.47,21.92
95AA11S2,51,14,16,21,5,0,3,2,46,14,13,19,27.45,31.37,41.18,0,60.00,40.00,30.43,28.26,41.30
95AA12W1,33,13,13,7,5,0,4,1,28,13,9,6,39.39,39.39,21.21,0,80.00,20.00,46.43,32.14,21.43
95AA13S1,62,15,17,30,3,1,0,2,59,14,17,28,24.19,27.42,48.39,33.33,0,66.67,23.73,28.81,47.46
95AA13S2,53,18,21,14,2,0,2,0,51,18,19,14,33.96,39.62,26.42,0,100.00,0,35.29,37.25,27.45
95AA14W1,30,8,9,13,5,0,5,0,25,8,4,13,26.67,30.00,43.33,0,100.00,0,32.00,16.00,52.00
95AA15S1,100,46,27,27,4,1,3,0,96,45,24,27,46.00,27.00,27.00,25.00,75.00,0,46.88,25.00,28.13
95AA15S2,93,33,17,43,4,1,2,1,89,32,15,42,35.48,18.28,46.24,25.00,50.00,25.00,35.96,16.85,47.19
95AA16W1,76,29,13,34,3,0,0,3,73,29,13,31,38.16,17.11,44.74,0,0,100.00,39.73,17.81,42.47
95AA17W1,106,36,28,42,9,1,4,4,97,35,24,38,33.96,26.42,39.62,11.11,44.44,44.44,36.08,24.74,39.18
95AA18W1,42,11,20,11,5,1,4,0,37,10,16,11,26.19,47.62,26.19,20.00,80.00,0,27.03,43.24,29.73
95AA19W1,70,20,23,27,11,0,6,5,59,20,17,22,28.57,32.86,38.57,0,54.55,45.45,33.90,28.81,37.29
95BB01S1,29,7,10,12,2,0,2,0,27,7,8,12,24.14,34.48,41.38,0,100.00,0,25.93,29.63,44.44
95BB01S2,48,17,19,12,10,1,4,5,38,16,15,7,35.42,39.58,25.00,10.00,40.00,50.00,42.11,39.47,18.42
95BB02W1,85,29,16,40,11,1,5,5,74,28,11,35,34.12,18.82,47.06,9.09,45.45,45.45,37.84,14.86,47.30
95BB03S1,69,24,21,24,8,2,6,0,61,22,15,24,34.78,30.43,34.78,25.00,75.00,0,36.07,24.59,39.34
95BB03S2,52,16,16,20,12,2,5,5,40,14,11,15,30.77,30.77,38.46,16.67,41.67,41.67,35.00,27.50,37.50
95BB04S1,36,11,10,15,2,0,1,1,34,11,9,14,30.56,27.78,41.67,0,50.00,50.00,32.35,26.47,41.18
95BB04S2,24,8,8,8,4,1,2,1,20,7,6,7,33.33,33.33,33.33,25.00,50.00,25.00,35.00,30.00,35.00
95BB05S1,24,7,8,9,4,0,2,2,20,7,6,7,29.17,33.33,37.50,0,50.00,50.00,35.00,30.00,35.00
95BB05S2,41,14,15,12,2,0,2,0,39,14,13,12,34.15,36.59,29.27,0,100.00,0,35.90,33.33,30.77
95BB06W1,141,54,29,58,13,4,4,5,128,50,25,53,38.30,20.57,41.13,30.77,30.77,38.46,39.06,19.53,41.41
95BB07S1,90,35,23,32,7,1,3,3,83,34,20,29,38.89,25.56,35.56,14.29,42.86,42.86,40.96,24.10,34.94
95BB07S2,29,11,6,12,1,0,1,0,28,11,5,12,37.93,20.69,41.38,0,100.00,0,39.29,17.86,42.86
