GeographyCode,KS607NI0001,KS607NI0002,KS607NI0003,KS607NI0004,KS607NI0005,KS607NI0006,KS607NI0007,KS607NI0008,KS607NI0009,KS607NI0010,KS607NI0011,KS607NI0012,KS607NI0013,KS607NI0014,KS607NI0015,KS607NI0016,KS607NI0017,KS607NI0018,KS607NI0019,KS607NI0020,KS607NI0021,KS607NI0022,KS607NI0023,KS607NI0024,KS607NI0025,KS607NI0026,KS607NI0027,KS607NI0028,KS607NI0029,KS607NI0030,KS607NI0031,KS607NI0032,KS607NI0033,KS607NI0034,KS607NI0035,KS607NI0036,KS607NI0037
95AA01S1,180,0,0,7,1,0,3,22,3,15,2,5,1,12,15,28,19,37,10,0,0,3.89,0.56,0,1.67,12.22,1.67,8.33,1.11,2.78,0.56,6.67,8.33,15.56,10.56,20.56,5.56
95AA01S2,424,9,0,30,1,1,10,65,8,17,11,24,4,20,14,25,74,89,22,2.12,0,7.08,0.24,0.24,2.36,15.33,1.89,4.01,2.59,5.66,0.94,4.72,3.30,5.90,17.45,20.99,5.19
95AA01S3,376,7,0,26,1,4,9,53,13,16,9,18,2,11,16,24,58,97,12,1.86,0,6.91,0.27,1.06,2.39,14.10,3.46,4.26,2.39,4.79,0.53,2.93,4.26,6.38,15.43,25.80,3.19
95AA02W1,401,1,0,20,0,1,4,92,9,35,6,6,3,14,14,29,33,108,26,0.25,0,4.99,0,0.25,1.00,22.94,2.24,8.73,1.50,1.50,0.75,3.49,3.49,7.23,8.23,26.93,6.48
95AA03W1,384,1,0,22,0,0,7,76,18,37,5,6,1,9,21,20,27,118,16,0.26,0,5.73,0,0,1.82,19.79,4.69,9.64,1.30,1.56,0.26,2.34,5.47,5.21,7.03,30.73,4.17
95AA04W1,722,17,0,33,0,1,19,123,20,44,11,17,6,35,12,64,119,158,43,2.35,0,4.57,0,0.14,2.63,17.04,2.77,6.09,1.52,2.35,0.83,4.85,1.66,8.86,16.48,21.88,5.96
95AA05W1,619,3,0,27,3,2,12,99,17,26,10,16,7,21,12,60,88,198,18,0.48,0,4.36,0.48,0.32,1.94,15.99,2.75,4.20,1.62,2.58,1.13,3.39,1.94,9.69,14.22,31.99,2.91
95AA06S1,450,2,0,20,1,0,4,91,12,21,4,15,5,18,13,44,52,127,21,0.44,0,4.44,0.22,0,0.89,20.22,2.67,4.67,0.89,3.33,1.11,4.00,2.89,9.78,11.56,28.22,4.67
95AA06S2,612,2,0,34,2,0,6,116,21,32,17,22,7,29,16,54,78,146,30,0.33,0,5.56,0.33,0,0.98,18.95,3.43,5.23,2.78,3.59,1.14,4.74,2.61,8.82,12.75,23.86,4.90
95AA07W1,491,7,0,24,0,7,12,80,8,28,5,14,3,16,15,34,63,155,20,1.43,0,4.89,0,1.43,2.44,16.29,1.63,5.70,1.02,2.85,0.61,3.26,3.05,6.92,12.83,31.57,4.07
95AA08W1,365,1,0,33,0,0,2,68,12,30,3,7,2,7,18,20,26,119,17,0.27,0,9.04,0,0,0.55,18.63,3.29,8.22,0.82,1.92,0.55,1.92,4.93,5.48,7.12,32.60,4.66
95AA09W1,461,2,0,26,0,2,4,93,21,41,6,8,1,14,29,25,41,126,22,0.43,0,5.64,0,0.43,0.87,20.17,4.56,8.89,1.30,1.74,0.22,3.04,6.29,5.42,8.89,27.33,4.77
95AA10W1,406,0,0,23,0,1,7,68,14,40,5,7,5,8,8,24,50,126,20,0,0,5.67,0,0.25,1.72,16.75,3.45,9.85,1.23,1.72,1.23,1.97,1.97,5.91,12.32,31.03,4.93
95AA11S1,699,2,0,56,1,4,13,131,29,40,3,16,3,19,24,58,78,193,29,0.29,0,8.01,0.14,0.57,1.86,18.74,4.15,5.72,0.43,2.29,0.43,2.72,3.43,8.30,11.16,27.61,4.15
95AA11S2,642,1,0,32,0,1,4,112,24,43,7,28,10,26,15,60,66,196,17,0.16,0,4.98,0,0.16,0.62,17.45,3.74,6.70,1.09,4.36,1.56,4.05,2.34,9.35,10.28,30.53,2.65
95AA12W1,665,17,0,31,1,2,15,110,16,27,13,37,7,43,19,60,103,132,32,2.56,0,4.66,0.15,0.30,2.26,16.54,2.41,4.06,1.95,5.56,1.05,6.47,2.86,9.02,15.49,19.85,4.81
95AA13S1,399,2,0,14,0,8,16,60,8,20,7,13,3,16,10,33,51,127,11,0.50,0,3.51,0,2.01,4.01,15.04,2.01,5.01,1.75,3.26,0.75,4.01,2.51,8.27,12.78,31.83,2.76
95AA13S2,383,2,0,19,0,8,7,49,8,31,7,17,4,6,8,34,33,137,13,0.52,0,4.96,0,2.09,1.83,12.79,2.09,8.09,1.83,4.44,1.04,1.57,2.09,8.88,8.62,35.77,3.39
95AA14W1,558,11,0,19,2,2,17,98,7,19,7,20,3,32,17,58,71,155,20,1.97,0,3.41,0.36,0.36,3.05,17.56,1.25,3.41,1.25,3.58,0.54,5.73,3.05,10.39,12.72,27.78,3.58
