GeographyCode,KS401NI0001,KS401NI0002,KS401NI0003,KS401NI0004,KS401NI0005,KS401NI0006,KS401NI0007,KS401NI0008,KS401NI0009,KS401NI0010,KS401NI0011,KS401NI0012,KS401NI0013,KS401NI0014,KS401NI0015,KS401NI0016,KS401NI0017,KS401NI0018,KS401NI0019,KS401NI0020
95AA01S1,368,368,0,368,310,58,74,216,72,6,0,0,0,20.11,58.70,19.57,1.63,0,0,0
95AA01S2,652,652,0,652,624,28,502,62,58,25,2,0,3,76.99,9.51,8.90,3.83,0.31,0,0.46
95AA01S3,633,633,0,633,588,45,301,108,143,73,5,0,3,47.55,17.06,22.59,11.53,0.79,0,0.47
95AA02W1,929,929,0,929,839,90,78,100,514,234,3,0,0,8.40,10.76,55.33,25.19,0.32,0,0
95AA03W1,880,880,0,880,845,35,77,177,581,42,3,0,0,8.75,20.11,66.02,4.77,0.34,0,0
95AA04W1,1061,1061,0,1061,1014,47,887,84,66,9,0,0,15,83.60,7.92,6.22,0.85,0,0,1.41
95AA05W1,960,960,0,960,920,40,553,336,59,8,1,1,2,57.60,35.00,6.15,0.83,0.10,0.10,0.21
95AA06S1,741,741,0,741,710,31,270,267,130,68,3,3,0,36.44,36.03,17.54,9.18,0.40,0.40,0
95AA06S2,888,888,0,888,860,28,348,293,196,42,3,6,0,39.19,33.00,22.07,4.73,0.34,0.68,0
95AA07W1,854,854,0,854,820,34,449,135,250,17,1,0,2,52.58,15.81,29.27,1.99,0.12,0,0.23
95AA08W1,734,734,0,734,699,35,74,106,517,37,0,0,0,10.08,14.44,70.44,5.04,0,0,0
95AA09W1,975,975,0,975,943,32,255,75,511,125,6,2,1,26.15,7.69,52.41,12.82,0.62,0.21,0.10
95AA10W1,812,812,0,812,792,20,223,250,253,84,2,0,0,27.46,30.79,31.16,10.34,0.25,0,0
95AA11S1,1159,1159,0,1159,1123,36,414,264,375,95,9,2,0,35.72,22.78,32.36,8.20,0.78,0.17,0
95AA11S2,885,885,0,885,870,15,357,364,146,16,1,1,0,40.34,41.13,16.50,1.81,0.11,0.11,0
95AA12W1,1014,1014,0,1014,971,43,824,131,51,1,4,1,2,81.26,12.92,5.03,0.10,0.39,0.10,0.20
95AA13S1,680,679,1,681,625,56,297,199,108,46,10,21,0,43.61,29.22,15.86,6.75,1.47,3.08,0
95AA13S2,631,631,0,631,614,17,201,277,110,31,0,12,0,31.85,43.90,17.43,4.91,0,1.90,0
95AA14W1,820,820,0,820,779,41,739,51,21,1,1,1,6,90.12,6.22,2.56,0.12,0.12,0.12,0.73
95AA15S1,1050,1050,0,1050,1013,37,203,475,255,114,3,0,0,19.33,45.24,24.29,10.86,0.29,0,0
95AA15S2,591,591,0,591,582,9,69,155,309,55,3,0,0,11.68,26.23,52.28,9.31,0.51,0,0
95AA16W1,865,865,0,865,832,33,53,137,515,158,2,0,0,6.13,15.84,59.54,18.27,0.23,0,0
95AA17W1,884,884,0,884,855,29,147,329,340,63,5,0,0,16.63,37.22,38.46,7.13,0.57,0,0
95AA18W1,1076,1076,0,1076,1004,72,660,163,139,108,5,1,0,61.34,15.15,12.92,10.04,0.46,0.09,0
95AA19W1,848,848,0,848,832,16,540,183,108,11,0,2,4,63.68,21.58,12.74,1.30,0,0.24,0.47
95BB01S1,577,577,0,577,548,29,353,132,90,1,1,0,0,61.18,22.88,15.60,0.17,0.17,0,0
95BB01S2,779,779,0,779,759,20,258,362,129,27,0,3,0,33.12,46.47,16.56,3.47,0,0.39,0
95BB02W1,1167,1167,0,1167,1126,41,220,355,259,322,11,0,0,18.85,30.42,22.19,27.59,0.94,0,0
95BB03S1,962,962,0,962,877,85,339,261,324,32,2,4,0,35.24,27.13,33.68,3.33,0.21,0.42,0
95BB03S2,1008,1008,0,1008,899,109,543,200,214,6,3,0,42,53.87,19.84,21.23,0.60,0.30,0,4.17
95BB04S1,665,665,0,665,638,27,222,117,262,51,10,3,0,33.38,17.59,39.40,7.67,1.50,0.45,0
95BB04S2,693,693,0,693,669,24,374,268,41,10,0,0,0,53.97,38.67,5.92,1.44,0,0,0
95BB05S1,600,600,0,600,564,36,399,120,68,6,5,1,1,66.50,20.00,11.33,1.00,0.83,0.17,0.17
95BB05S2,805,805,0,805,754,51,456,150,187,8,4,0,0,56.65,18.63,23.23,0.99,0.50,0,0
95BB06W1,1670,1670,0,1670,1518,152,73,233,872,452,20,20,0,4.37,13.95,52.22,27.07,1.20,1.20,0
95BB07S1,877,877,0,877,819,58,104,222,348,175,12,16,0,11.86,25.31,39.68,19.95,1.37,1.82,0
95BB07S2,506,506,0,506,496,10,196,208,101,0,0,0,1,38.74,41.11,19.96,0,0,0,0.20
95BB08S1,596,596,0,596,589,7,33,349,197,16,1,0,0,5.54,58.56,33.05,2.68,0.17,0,0
95BB08S2,487,487,0,487,479,8,125,299,56,7,0,0,0,25.67,61.40,11.50,1.44,0,0,0
95BB09S1,580,580,0,580,561,19,290,189,79,19,3,0,0,50.00,32.59,13.62,3.28,0.52,0,0
95BB09S2,752,752,0,752,692,60,251,179,233,63,25,0,1,33.38,23.80,30.98,8.38,3.32,0,0.13
95BB10S1,1002,1002,0,1002,874,128,155,117,471,226,13,19,1,15.47,11.68,47.01,22.55,1.30,1.90,0.10
95BB10S2,683,683,0,683,635,48,490,90,77,25,1,0,0,71.74,13.18,11.27,3.66,0.15,0,0
95BB11S1,643,643,0,643,621,22,83,234,246,80,0,0,0,12.91,36.39,38.26,12.44,0,0,0
95BB11S2,789,789,0,789,717,72,273,197,258,60,1,0,0,34.60,24.97,32.70,7.60,0.13,0,0
95BB12S1,663,663,0,663,626,37,65,88,458,45,6,1,0,9.80,13.27,69.08,6.79,0.90,0.15,0
95BB12S2,528,528,0,528,504,24,379,34,115,0,0,0,0,71.78,6.44,21.78,0,0,0,0
95BB13S1,519,519,0,519,508,11,252,174,89,1,2,1,0,48.55,33.53,17.15,0.19,0.39,0.19,0
95BB13S2,623,623,0,623,603,20,122,211,256,33,1,0,0,19.58,33.87,41.09,5.30,0.16,0,0
95BB13S3,586,586,0,586,576,10,186,364,31,2,3,0,0,31.74,62.12,5.29,0.34,0.51,0,0
95BB14S1,590,590,0,590,551,39,515,58,16,0,0,0,1,87.29,9.83,2.71,0,0,0,0.17
95BB14S2,661,661,0,661,621,40,448,91,111,10,1,0,0,67.78,13.77,16.79,1.51,0.15,0,0
95BB15S1,782,782,0,782,706,76,549,152,78,0,1,0,2,70.20,19.44,9.97,0,0.13,0,0.26
95BB15S2,626,626,0,626,581,45,208,151,255,8,0,2,2,33.23,24.12,40.73,1.28,0,0.32,0.32
95BB16S1,594,594,0,594,562,32,488,66,37,1,1,1,0,82.15,11.11,6.23,0.17,0.17,0.17,0
95BB16S2,637,637,0,637,614,23,476,87,66,4,3,1,0,74.73,13.66,10.36,0.63,0.47,0.16,0
95BB17S1,745,745,0,745,727,18,118,483,130,10,4,0,0,15.84,64.83,17.45,1.34,0.54,0,0
95BB17S2,702,702,0,702,672,30,328,179,192,1,1,1,0,46.72,25.50,27.35,0.14,0.14,0.14,0
95BB18S1,789,789,0,789,726,63,155,316,280,27,6,5,0,19.65,40.05,35.49,3.42,0.76,0.63,0
95BB18S2,970,970,0,970,912,58,591,309,62,1,4,0,3,60.93,31.86,6.39,0.10,0.41,0,0.31
95BB19S1,676,676,0,676,641,35,190,295,160,27,4,0,0,28.11,43.64,23.67,3.99,0.59,0,0
95BB19S2,605,605,0,605,599,6,329,253,17,6,0,0,0,54.38,41.82,2.81,0.99,0,0,0
95BB19S3,490,490,0,490,484,6,187,285,12,6,0,0,0,38.16,58.16,2.45,1.22,0,0,0
95BB20S1,745,745,0,745,677,68,417,162,151,5,0,9,1,55.97,21.74,20.27,0.67,0,1.21,0.13
95BB20S2,696,696,0,696,613,83,94,149,376,70,4,3,0,13.51,21.41,54.02,10.06,0.57,0.43,0
