GeographyCode,KS205NI0001,KS205NI0002,KS205NI0003,KS205NI0004,KS205NI0005,KS205NI0006,KS205NI0007,KS205NI0008,KS205NI0009,KS205NI0010,KS205NI0011,KS205NI0012,KS205NI0013,KS205NI0014,KS205NI0015,KS205NI0016,KS205NI0017,KS205NI0018,KS205NI0019,KS205NI0020,KS205NI0021,KS205NI0022,KS205NI0023
95AA01S1,1113,125,911,29,9,0,22,6,14,0,1,13,11.23,81.85,2.61,0.81,0,1.98,0.54,1.26,0,0.09,1.17
95AA01S2,1829,214,1177,465,18,0,8,2,6,0,0,1,11.70,64.35,25.42,0.98,0,0.44,0.11,0.33,0,0,0.05
95AA01S3,1502,195,1134,152,40,0,0,5,5,1,0,9,12.98,75.50,10.12,2.66,0,0,0.33,0.33,0.07,0,0.60
95AA02W1,1734,335,1202,155,55,1,0,1,6,0,0,8,19.32,69.32,8.94,3.17,0.06,0,0.06,0.35,0,0,0.46
95AA03W1,1822,502,1223,63,31,2,7,8,1,0,0,1,27.55,67.12,3.46,1.70,0.11,0.38,0.44,0.05,0,0,0.05
95AA04W1,3013,352,2313,396,8,8,2,0,9,0,0,5,11.68,76.77,13.14,0.27,0.27,0.07,0,0.30,0,0,0.17
95AA05W1,2701,519,1527,650,32,1,3,2,6,0,0,11,19.22,56.53,24.07,1.18,0.04,0.11,0.07,0.22,0,0,0.41
95AA06S1,1953,288,941,754,6,0,1,11,8,0,0,7,14.75,48.18,38.61,0.31,0,0.05,0.56,0.41,0,0,0.36
95AA06S2,2694,393,1288,1030,22,0,2,0,6,0,0,1,14.59,47.81,38.23,0.82,0,0.07,0,0.22,0,0,0.04
95AA07W1,2140,481,1515,135,42,0,0,1,4,0,0,4,22.48,70.79,6.31,1.96,0,0,0.05,0.19,0,0,0.19
95AA08W1,1698,495,966,181,68,5,2,3,2,0,0,0,29.15,56.89,10.66,4.00,0.29,0.12,0.18,0.12,0,0,0
95AA09W1,2220,459,1563,119,60,0,1,34,3,0,0,0,20.68,70.41,5.36,2.70,0,0.05,1.53,0.14,0,0,0
95AA10W1,1953,393,1326,200,48,0,4,4,0,0,0,2,20.12,67.90,10.24,2.46,0,0.20,0.20,0,0,0,0.10
95AA11S1,2800,477,1913,243,177,2,3,16,6,0,0,13,17.04,68.32,8.68,6.32,0.07,0.11,0.57,0.21,0,0,0.46
95AA11S2,2564,249,1951,290,81,1,0,39,3,0,4,12,9.71,76.09,11.31,3.16,0.04,0,1.52,0.12,0,0.16,0.47
95AA12W1,2775,390,2286,131,8,0,1,0,6,0,0,0,14.05,82.38,4.72,0.29,0,0.04,0,0.22,0,0,0
95AA13S1,1745,266,1010,401,96,0,0,3,4,0,0,2,15.24,57.88,22.98,5.50,0,0,0.17,0.23,0,0,0.11
95AA13S2,1562,295,900,342,59,1,2,4,6,0,1,0,18.89,57.62,21.90,3.78,0.06,0.13,0.26,0.38,0,0.06,0
95AA14W1,2349,477,1565,342,6,0,0,3,6,0,0,3,20.31,66.62,14.56,0.26,0,0,0.13,0.26,0,0,0.13
95AA15S1,2641,330,1843,247,188,0,5,60,6,0,1,9,12.50,69.78,9.35,7.12,0,0.19,2.27,0.23,0,0.04,0.34
95AA15S2,1545,354,878,160,118,0,7,46,2,0,0,0,22.91,56.83,10.36,7.64,0,0.45,2.98,0.13,0,0,0
95AA16W1,1807,413,1210,67,121,0,6,7,1,0,0,1,22.86,66.96,3.71,6.70,0,0.33,0.39,0.06,0,0,0.06
95AA17W1,2142,426,1486,161,69,1,1,19,2,0,1,1,19.89,69.37,7.52,3.22,0.05,0.05,0.89,0.09,0,0.05,0.05
95AA18W1,2439,299,1974,200,25,3,5,15,5,1,0,3,12.26,80.93,8.20,1.03,0.12,0.21,0.62,0.21,0.04,0,0.12
95AA19W1,2687,740,1047,920,23,0,0,16,13,0,0,6,27.54,38.97,34.24,0.86,0,0,0.60,0.48,0,0,0.22
95BB01S1,1574,215,1262,105,4,1,4,1,6,0,0,6,13.66,80.18,6.67,0.25,0.06,0.25,0.06,0.38,0,0,0.38
95BB01S2,2035,301,1651,91,13,0,7,1,4,3,1,0,14.79,81.13,4.47,0.64,0,0.34,0.05,0.20,0.15,0.05,0
95BB02W1,2347,570,1638,134,39,3,2,5,0,0,0,0,24.29,69.79,5.71,1.66,0.13,0.09,0.21,0,0,0,0
95BB03S1,2026,413,1547,66,12,0,1,2,10,0,0,1,20.38,76.36,3.26,0.59,0,0.05,0.10,0.49,0,0,0.05
95BB03S2,2193,383,1720,106,7,1,0,1,3,0,0,3,17.46,78.43,4.83,0.32,0.05,0,0.05,0.14,0,0,0.14
95BB04S1,1438,208,1172,71,15,5,0,2,6,0,0,0,14.46,81.50,4.94,1.04,0.35,0,0.14,0.42,0,0,0
95BB04S2,1610,165,1382,95,8,1,0,0,3,0,0,1,10.25,85.84,5.90,0.50,0.06,0,0,0.19,0,0,0.06
95BB05S1,1490,207,1205,98,1,1,1,6,0,0,0,2,13.89,80.87,6.58,0.07,0.07,0.07,0.40,0,0,0,0.13
95BB05S2,1911,336,1500,102,5,0,0,0,9,0,0,0,17.58,78.49,5.34,0.26,0,0,0,0.47,0,0,0
95BB06W1,2870,674,1993,153,51,3,0,26,8,0,1,4,23.48,69.44,5.33,1.78,0.10,0,0.91,0.28,0,0.03,0.14
95BB07S1,1658,345,1203,75,35,2,0,15,9,0,0,1,20.81,72.56,4.52,2.11,0.12,0,0.90,0.54,0,0,0.06
95BB07S2,1295,177,1089,33,4,2,2,0,5,0,0,1,13.67,84.09,2.55,0.31,0.15,0.15,0,0.39,0,0,0.08
95BB08S1,1331,347,921,44,19,0,2,6,4,0,0,1,26.07,69.20,3.31,1.43,0,0.15,0.45,0.30,0,0,0.08
95BB08S2,1294,151,1086,38,21,0,0,6,1,0,0,0,11.67,83.93,2.94,1.62,0,0,0.46,0.08,0,0,0
95BB09S1,1325,174,1088,59,15,2,0,13,8,0,1,2,13.13,82.11,4.45,1.13,0.15,0,0.98,0.60,0,0.08,0.15
95BB09S2,1618,202,1367,56,17,0,1,3,6,0,0,0,12.48,84.49,3.46,1.05,0,0.06,0.19,0.37,0,0,0
95BB10S1,1690,273,1291,89,13,3,6,48,5,3,0,2,16.15,76.39,5.27,0.77,0.18,0.36,2.84,0.30,0.18,0,0.12
