GeographyCode,KS605NI0001,KS605NI0002,KS605NI0003,KS605NI0004,KS605NI0005,KS605NI0006,KS605NI0007,KS605NI0008,KS605NI0009,KS605NI0010,KS605NI0011,KS605NI0012,KS605NI0013,KS605NI0014,KS605NI0015,KS605NI0016,KS605NI0017,KS605NI0018,KS605NI0019,KS605NI0020,KS605NI0021,KS605NI0022,KS605NI0023,KS605NI0024,KS605NI0025,KS605NI0026,KS605NI0027,KS605NI0028,KS605NI0029,KS605NI0030,KS605NI0031,KS605NI0032,KS605NI0033,KS605NI0034,KS605NI0035,KS605NI0036,KS605NI0037
95AA01S1,591,1,0,26,1,0,15,35,16,16,3,7,1,17,66,314,20,39,14,0.17,0,4.40,0.17,0,2.54,5.92,2.71,2.71,0.51,1.18,0.17,2.88,11.17,53.13,3.38,6.60,2.37
95AA01S2,939,50,1,98,5,9,83,146,51,41,27,29,5,43,37,57,108,118,31,5.32,0.11,10.44,0.53,0.96,8.84,15.55,5.43,4.37,2.88,3.09,0.53,4.58,3.94,6.07,11.50,12.57,3.30
95AA01S3,813,26,4,90,2,8,62,121,49,36,24,27,4,33,31,67,75,122,32,3.20,0.49,11.07,0.25,0.98,7.63,14.88,6.03,4.43,2.95,3.32,0.49,4.06,3.81,8.24,9.23,15.01,3.94
95AA02W1,826,3,0,84,1,7,43,163,62,68,16,11,3,23,45,69,52,132,44,0.36,0,10.17,0.12,0.85,5.21,19.73,7.51,8.23,1.94,1.33,0.36,2.78,5.45,8.35,6.30,15.98,5.33
95AA03W1,775,4,1,84,0,5,42,150,76,54,10,17,2,15,45,52,38,148,32,0.52,0.13,10.84,0,0.65,5.42,19.35,9.81,6.97,1.29,2.19,0.26,1.94,5.81,6.71,4.90,19.10,4.13
95AA04W1,1570,94,3,130,4,14,124,269,101,72,46,37,16,74,46,124,151,192,73,5.99,0.19,8.28,0.25,0.89,7.90,17.13,6.43,4.59,2.93,2.36,1.02,4.71,2.93,7.90,9.62,12.23,4.65
95AA05W1,1276,39,1,118,6,11,191,187,50,49,21,32,11,47,29,97,115,238,34,3.06,0.08,9.25,0.47,0.86,14.97,14.66,3.92,3.84,1.65,2.51,0.86,3.68,2.27,7.60,9.01,18.65,2.66
95AA06S1,892,13,1,80,1,4,74,169,60,37,20,22,8,36,25,87,68,157,30,1.46,0.11,8.97,0.11,0.45,8.30,18.95,6.73,4.15,2.24,2.47,0.90,4.04,2.80,9.75,7.62,17.60,3.36
95AA06S2,1201,4,4,105,5,8,87,201,101,51,45,39,11,54,38,112,106,171,59,0.33,0.33,8.74,0.42,0.67,7.24,16.74,8.41,4.25,3.75,3.25,0.92,4.50,3.16,9.33,8.83,14.24,4.91
95AA07W1,1046,40,1,112,5,24,114,153,45,44,26,29,5,36,41,63,77,189,42,3.82,0.10,10.71,0.48,2.29,10.90,14.63,4.30,4.21,2.49,2.77,0.48,3.44,3.92,6.02,7.36,18.07,4.02
95AA08W1,700,2,0,121,1,4,28,135,58,47,4,8,4,18,29,40,30,142,29,0.29,0,17.29,0.14,0.57,4.00,19.29,8.29,6.71,0.57,1.14,0.57,2.57,4.14,5.71,4.29,20.29,4.14
95AA09W1,915,4,0,106,4,7,49,186,63,77,15,17,5,26,55,52,53,159,37,0.44,0,11.58,0.44,0.77,5.36,20.33,6.89,8.42,1.64,1.86,0.55,2.84,6.01,5.68,5.79,17.38,4.04
95AA10W1,807,3,1,89,3,5,46,143,54,71,18,13,8,15,28,56,63,158,33,0.37,0.12,11.03,0.37,0.62,5.70,17.72,6.69,8.80,2.23,1.61,0.99,1.86,3.47,6.94,7.81,19.58,4.09
