GeographyCode,KS302NI0001,KS302NI0002,KS302NI0003,KS302NI0004,KS302NI0005,KS302NI0006,KS302NI0007,KS302NI0008,KS302NI0009,KS302NI0010,KS302NI0011,KS302NI0012,KS302NI0013,KS302NI0014,KS302NI0015,KS302NI0016,KS302NI0017,KS302NI0018,KS302NI0019,KS302NI0020,KS302NI0021,KS302NI0022,KS302NI0023,KS302NI0024,KS302NI0025
95AA01S1,1113,14,5,7,16,20,17,36,33,3,13,12,980,1.26,0.45,0.63,1.44,1.80,1.53,3.23,2.96,0.27,1.17,1.08,88.05
95AA01S2,1829,75,22,24,148,42,65,134,119,19,90,92,1341,4.10,1.20,1.31,8.09,2.30,3.55,7.33,6.51,1.04,4.92,5.03,73.32
95AA01S3,1502,48,11,18,101,21,41,107,99,16,82,66,1151,3.20,0.73,1.20,6.72,1.40,2.73,7.12,6.59,1.07,5.46,4.39,76.63
95AA02W1,1734,121,37,33,290,27,120,256,185,37,124,117,1064,6.98,2.13,1.90,16.72,1.56,6.92,14.76,10.67,2.13,7.15,6.75,61.36
95AA03W1,1822,105,34,25,255,62,143,271,220,37,152,105,1103,5.76,1.87,1.37,14.00,3.40,7.85,14.87,12.07,2.03,8.34,5.76,60.54
95AA04W1,3013,127,30,28,228,46,94,228,203,27,159,132,2259,4.22,1.00,0.93,7.57,1.53,3.12,7.57,6.74,0.90,5.28,4.38,74.98
95AA05W1,2701,144,44,40,255,41,118,223,185,52,154,151,1917,5.33,1.63,1.48,9.44,1.52,4.37,8.26,6.85,1.93,5.70,5.59,70.97
95AA06S1,1953,95,28,28,221,41,82,186,223,28,137,103,1351,4.86,1.43,1.43,11.32,2.10,4.20,9.52,11.42,1.43,7.01,5.27,69.18
95AA06S2,2694,92,25,44,246,79,149,197,211,30,109,143,1934,3.41,0.93,1.63,9.13,2.93,5.53,7.31,7.83,1.11,4.05,5.31,71.79
95AA07W1,2140,98,26,42,239,59,109,207,160,31,145,106,1471,4.58,1.21,1.96,11.17,2.76,5.09,9.67,7.48,1.45,6.78,4.95,68.74
95AA08W1,1698,76,29,26,236,64,144,221,198,42,126,101,1071,4.48,1.71,1.53,13.90,3.77,8.48,13.02,11.66,2.47,7.42,5.95,63.07
95AA09W1,2220,148,33,67,310,57,140,263,210,84,159,100,1426,6.67,1.49,3.02,13.96,2.57,6.31,11.85,9.46,3.78,7.16,4.50,64.23
95AA10W1,1953,114,44,40,256,64,129,235,176,31,155,130,1227,5.84,2.25,2.05,13.11,3.28,6.61,12.03,9.01,1.59,7.94,6.66,62.83
95AA11S1,2800,151,40,39,303,50,169,252,221,106,193,137,1921,5.39,1.43,1.39,10.82,1.79,6.04,9.00,7.89,3.79,6.89,4.89,68.61
95AA11S2,2564,75,30,36,163,64,86,173,168,23,110,95,1951,2.93,1.17,1.40,6.36,2.50,3.35,6.75,6.55,0.90,4.29,3.71,76.09
95AA12W1,2775,137,33,13,209,24,76,192,187,18,127,121,2068,4.94,1.19,0.47,7.53,0.86,2.74,6.92,6.74,0.65,4.58,4.36,74.52
95AA13S1,1745,69,14,34,177,44,74,110,119,19,121,73,1284,3.95,0.80,1.95,10.14,2.52,4.24,6.30,6.82,1.09,6.93,4.18,73.58
95AA13S2,1562,71,18,23,155,34,86,142,116,30,97,79,1130,4.55,1.15,1.47,9.92,2.18,5.51,9.09,7.43,1.92,6.21,5.06,72.34
95AA14W1,2349,116,27,37,204,48,73,198,164,23,123,132,1696,4.94,1.15,1.58,8.68,2.04,3.11,8.43,6.98,0.98,5.24,5.62,72.20
95AA15S1,2641,91,18,44,214,42,132,212,199,32,140,110,1964,3.45,0.68,1.67,8.10,1.59,5.00,8.03,7.54,1.21,5.30,4.17,74.37
95AA15S2,1545,37,32,17,121,36,157,110,112,45,102,83,1082,2.39,2.07,1.10,7.83,2.33,10.16,7.12,7.25,2.91,6.60,5.37,70.03
