GeographyCode,KS101NI0001,KS101NI0002,KS101NI0003,KS101NI0004,KS101NI0005,KS101NI0006,KS101NI0007,KS101NI0008,KS101NI0009
95AA01S1,1113,608,505,982,131,54.63,45.37,88.23,11.77
95AA01S2,1829,920,909,1814,15,50.30,49.70,99.18,0.82
95AA01S3,1502,744,758,1494,8,49.53,50.47,99.47,0.53
95AA02W1,1734,860,874,1734,0,49.60,50.40,100.00,0
95AA03W1,1822,856,966,1822,0,46.98,53.02,100.00,0
95AA04W1,3013,1557,1456,3002,11,51.68,48.32,99.63,0.37
95AA05W1,2701,1352,1349,2654,47,50.06,49.94,98.26,1.74
95AA06S1,1953,947,1006,1953,0,48.49,51.51,100.00,0
95AA06S2,2694,1277,1417,2651,43,47.40,52.60,98.40,1.60
95AA07W1,2140,1070,1070,2119,21,50.00,50.00,99.02,0.98
95AA08W1,1698,830,868,1676,22,48.88,51.12,98.70,1.30
95AA09W1,2220,1036,1184,2143,77,46.67,53.33,96.53,3.47
95AA10W1,1953,948,1005,1953,0,48.54,51.46,100.00,0
95AA11S1,2800,1353,1447,2698,102,48.32,51.68,96.36,3.64
95AA11S2,2564,1325,1239,2431,133,51.68,48.32,94.81,5.19
95AA12W1,2775,1401,1374,2775,0,50.49,49.51,100.00,0
95AA13S1,1745,859,886,1707,38,49.23,50.77,97.82,2.18
95AA13S2,1562,759,803,1561,1,48.59,51.41,99.94,0.06
95AA14W1,2349,1150,1199,2302,47,48.96,51.04,98.00,2.00
95AA15S1,2641,1286,1355,2630,11,48.69,51.31,99.58,0.42
95AA15S2,1545,761,784,1472,73,49.26,50.74,95.28,4.72
95AA16W1,1807,876,931,1807,0,48.48,51.52,100.00,0
95AA17W1,2142,1051,1091,2142,0,49.07,50.93,100.00,0
95AA18W1,2439,1175,1264,2373,66,48.18,51.82,97.29,2.71
95AA19W1,2687,1309,1378,2645,42,48.72,51.28,98.44,1.56
95BB01S1,1574,766,808,1574,0,48.67,51.33,100.00,0
95BB01S2,2035,1017,1018,2035,0,49.98,50.02,100.00,0
95BB02W1,2347,1141,1206,2334,13,48.62,51.38,99.45,0.55
95BB03S1,2026,990,1036,2026,0,48.86,51.14,100.00,0
95BB03S2,2193,1075,1118,2191,2,49.02,50.98,99.91,0.09
95BB04S1,1438,706,732,1399,39,49.10,50.90,97.29,2.71
95BB04S2,1610,799,811,1610,0,49.63,50.37,100.00,0
95BB05S1,1490,737,753,1490,0,49.46,50.54,100.00,0
95BB05S2,1911,945,966,1911,0,49.45,50.55,100.00,0
95BB06W1,2870,1369,1501,2870,0,47.70,52.30,100.00,0
95BB07S1,1658,756,902,1601,57,45.60,54.40,96.56,3.44
95BB07S2,1295,640,655,1295,0,49.42,50.58,100.00,0
95BB08S1,1331,603,728,1331,0,45.30,54.70,100.00,0
95BB08S2,1294,619,675,1294,0,47.84,52.16,100.00,0
95BB09S1,1325,647,678,1291,34,48.83,51.17,97.43,2.57
95BB09S2,1618,801,817,1618,0,49.51,50.49,100.00,0
95BB10S1,1690,792,898,1663,27,46.86,53.14,98.40,1.60
95BB10S2,1637,814,823,1615,22,49.73,50.27,98.66,1.34
95BB11S1,1408,696,712,1408,0,49.43,50.57,100.00,0
95BB11S2,1547,737,810,1495,52,47.64,52.36,96.64,3.36
95BB12S1,1440,681,759,1440,0,47.29,52.71,100.00,0
95BB12S2,1336,649,687,1336,0,48.58,51.42,100.00,0
95BB13S1,1392,661,731,1392,0,47.49,52.51,100.00,0
95BB13S2,1472,713,759,1466,6,48.44,51.56,99.59,0.41
95BB13S3,1580,783,797,1580,0,49.56,50.44,100.00,0
95BB14S1,1510,759,751,1510,0,50.26,49.74,100.00,0
95BB14S2,1606,783,823,1578,28,48.75,51.25,98.26,1.74
95BB15S1,2005,999,1006,2005,0,49.83,50.17,100.00,0
95BB15S2,1484,737,747,1484,0,49.66,50.34,100.00,0
95BB16S1,1533,793,740,1533,0,51.73,48.27,100.00,0
95BB16S2,1603,791,812,1600,3,49.34,50.66,99.81,0.19
95BB17S1,1793,848,945,1793,0,47.30,52.70,100.00,0
95BB17S2,1763,849,914,1742,21,48.16,51.84,98.81,1.19
95BB18S1,1688,813,875,1688,0,48.16,51.84,100.00,0
95BB18S2,2591,1232,1359,2524,67,47.55,52.45,97.41,2.59
95BB19S1,1613,774,839,1557,56,47.99,52.01,96.53,3.47
95BB19S2,1784,908,876,1777,7,50.90,49.10,99.61,0.39
95BB19S3,1391,696,695,1391,0,50.04,49.96,100.00,0
95BB20S1,1889,949,940,1844,45,50.24,49.76,97.62,2.38
95BB20S2,1524,793,731,1524,0,52.03,47.97,100.00,0
95BB21S1,2387,1197,1190,2379,8,50.15,49.85,99.66,0.34
95BB21S2,2332,1119,1213,2320,12,47.98,52.02,99.49,0.51
95BB22S1,1557,752,805,1525,32,48.30,51.70,97.94,2.06
95BB22S2,1483,677,806,1468,15,45.65,54.35,98.99,1.01
95BB23S1,1540,746,794,1540,0,48.44,51.56,100.00,0
95BB23S2,1485,734,751,1436,49,49.43,50.57,96.70,3.30
95CC01W1,2558,1244,1314,2376,182,48.63,51.37,92.89,7.11
95CC02W1,2725,1423,1302,2693,32,52.22,47.78,98.83,1.17
95CC03W1,2817,1325,1492,2791,26,47.04,52.96,99.08,0.92
95CC04W1,2440,1254,1186,2384,56,51.39,48.61,97.70,2.30
95CC05W1,2774,1398,1376,2749,25,50.40,49.60,99.10,0.90
95CC06S1,1468,698,770,1458,10,47.55,52.45,99.32,0.68
95CC06S2,1308,611,697,1292,16,46.71,53.29,98.78,1.22
95CC07W1,3475,1761,1714,3475,0,50.68,49.32,100.00,0
95CC08W1,2565,1214,1351,2511,54,47.33,52.67,97.89,2.11
95CC09S1,1496,746,750,1485,11,49.87,50.13,99.26,0.74
95CC09S2,1858,911,947,1838,20,49.03,50.97,98.92,1.08
95CC10W1,2577,1324,1253,2495,82,51.38,48.62,96.82,3.18
95CC11W1,1795,879,916,1787,8,48.97,51.03,99.55,0.45
95CC12W1,2785,1426,1359,2751,34,51.20,48.80,98.78,1.22
95CC13W1,2474,1286,1188,2474,0,51.98,48.02,100.00,0
95CC14W1,3035,1529,1506,3017,18,50.38,49.62,99.41,0.59
95CC15W1,2903,1457,1446,2893,10,50.19,49.81,99.66,0.34
95CC16W1,2820,1355,1465,2801,19,48.05,51.95,99.33,0.67
95CC17W1,2730,1414,1316,2724,6,51.79,48.21,99.78,0.22
95CC18W1,2342,1108,1234,2309,33,47.31,52.69,98.59,1.41
95CC19W1,2720,1365,1355,2720,0,50.18,49.82,100.00,0
95CC20S1,1308,641,667,1308,0,49.01,50.99,100.00,0
95CC20S2,1702,848,854,1658,44,49.82,50.18,97.41,2.59
95CC21W1,2925,1456,1469,2925,0,49.78,50.22,100.00,0
95CC22W1,1740,836,904,1724,16,48.05,51.95,99.08,0.92
95DD01W1,2099,1019,1080,2031,68,48.55,51.45,96.76,3.24
95DD02S1,1453,723,730,1453,0,49.76,50.24,100.00,0
95DD02S2,2435,1184,1251,2419,16,48.62,51.38,99.34,0.66
95DD03W1,3503,1666,1837,3474,29,47.56,52.44,99.17,0.83
95DD04W1,1926,903,1023,1926,0,46.88,53.12,100.00,0
95DD05W1,1739,813,926,1739,0,46.75,53.25,100.00,0
95DD06W1,2588,1202,1386,2427,161,46.45,53.55,93.78,6.22
95DD07S1,1596,780,816,1596,0,48.87,51.13,100.00,0
95DD07S2,1767,842,925,1767,0,47.65,52.35,100.00,0
95DD08W1,2126,1044,1082,2083,43,49.11,50.89,97.98,2.02
95DD09W1,2590,1337,1253,2572,18,51.62,48.38,99.31,0.69
95DD10W1,2805,1343,1462,2805,0,47.88,52.12,100.00,0
95DD11W1,2363,1098,1265,2363,0,46.47,53.53,100.00,0
95DD12W1,2610,1355,1255,2582,28,51.92,48.08,98.93,1.07
95DD13W1,1784,883,901,1743,41,49.50,50.50,97.70,2.30
95DD14S1,1603,766,837,1601,2,47.79,52.21,99.88,0.12
95DD14S2,1674,824,850,1667,7,49.22,50.78,99.58,0.42
95DD15W1,3451,1728,1723,3451,0,50.07,49.93,100.00,0
95DD16W1,2981,1526,1455,2943,38,51.19,48.81,98.73,1.27
95DD17W1,3461,1715,1746,3461,0,49.55,50.45,100.00,0
95DD18W1,1885,928,957,1813,72,49.23,50.77,96.18,3.82
95DD19S1,1904,915,989,1855,49,48.06,51.94,97.43,2.57
95DD19S2,1460,739,721,1460,0,50.62,49.38,100.00,0
95DD20W1,1746,852,894,1742,4,48.80,51.20,99.77,0.23
95DD21W1,2139,1031,1108,2130,9,48.20,51.80,99.58,0.42
95DD22S1,1555,772,783,1537,18,49.65,50.35,98.84,1.16
95DD22S2,1581,802,779,1581,0,50.73,49.27,100.00,0
95DD23W1,2509,1283,1226,2490,19,51.14,48.86,99.24,0.76
95DD24W1,2711,1325,1386,2692,19,48.87,51.13,99.30,0.70
95EE01W1,1895,961,934,1895,0,50.71,49.29,100.00,0
95EE02W1,2095,1051,1044,2095,0,50.17,49.83,100.00,0
95EE03W1,1999,959,1040,1983,16,47.97,52.03,99.20,0.80
95EE04W1,1993,987,1006,1990,3,49.52,50.48,99.85,0.15
95EE05W1,1509,760,749,1497,12,50.36,49.64,99.20,0.80
95EE06W1,2278,1138,1140,2278,0,49.96,50.04,100.00,0
95EE07W1,1798,843,955,1798,0,46.89,53.11,100.00,0
95EE08W1,1719,795,924,1633,86,46.25,53.75,95.00,5.00
95EE09W1,1890,954,936,1859,31,50.48,49.52,98.36,1.64
95EE10W1,1797,908,889,1797,0,50.53,49.47,100.00,0
95EE11W1,1677,862,815,1677,0,51.40,48.60,100.00,0
95EE12W1,2507,1169,1338,2500,7,46.63,53.37,99.72,0.28
95EE13W1,1529,752,777,1529,0,49.18,50.82,100.00,0
95EE14W1,2684,1329,1355,2684,0,49.52,50.48,100.00,0
95EE15W1,1728,889,839,1728,0,51.45,48.55,100.00,0
95EE16W1,2126,1085,1041,2111,15,51.03,48.97,99.29,0.71
95FF01S1,2129,1041,1088,2098,31,48.90,51.10,98.54,1.46
95FF01S2,2667,1350,1317,2655,12,50.62,49.38,99.55,0.45
95FF02W1,2817,1467,1350,2817,0,52.08,47.92,100.00,0
95FF03W1,3006,1462,1544,3006,0,48.64,51.36,100.00,0
95FF04W1,2629,1318,1311,2629,0,50.13,49.87,100.00,0
95FF05W1,2563,1225,1338,2563,0,47.80,52.20,100.00,0
95FF06S1,2036,959,1077,1974,62,47.10,52.90,96.95,3.05
95FF06S2,2080,1041,1039,2080,0,50.05,49.95,100.00,0
95FF07W1,2769,1308,1461,2763,6,47.24,52.76,99.78,0.22
95FF08W1,2364,1140,1224,2328,36,48.22,51.78,98.48,1.52
95FF09W1,2522,1256,1266,2521,1,49.80,50.20,99.96,0.04
95FF10W1,3473,1760,1713,3473,0,50.68,49.32,100.00,0
