GeographyCode,KS404NI0001,KS404NI0002,KS404NI0003,KS404NI0004,KS404NI0005,KS404NI0006,KS404NI0007,KS404NI0008,KS404NI0009,KS404NI0010,KS404NI0011,KS404NI0012,KS404NI0013,KS404NI0014,KS404NI0015
95TT01W1,838,7,7,3,574,22,4,221,0.84,0.84,0.36,68.50,2.63,0.48,26.37
95TT02W1,857,3,2,5,598,26,10,213,0.35,0.23,0.58,69.78,3.03,1.17,24.85
95TT03S1,601,2,1,4,444,21,0,129,0.33,0.17,0.67,73.88,3.49,0,21.46
95TT03S2,574,4,1,4,393,28,7,137,0.70,0.17,0.70,68.47,4.88,1.22,23.87
95TT04W1,1018,7,16,9,691,30,8,257,0.69,1.57,0.88,67.88,2.95,0.79,25.25
95TT05S1,611,1,23,10,458,5,3,111,0.16,3.76,1.64,74.96,0.82,0.49,18.17
95TT05S2,518,2,0,24,386,27,3,76,0.39,0,4.63,74.52,5.21,0.58,14.67
95TT06W1,886,2,7,25,588,39,11,214,0.23,0.79,2.82,66.37,4.40,1.24,24.15
95TT07W1,874,10,4,4,568,28,12,248,1.14,0.46,0.46,64.99,3.20,1.37,28.38
95TT08W1,851,6,6,3,538,23,11,264,0.71,0.71,0.35,63.22,2.70,1.29,31.02
95TT09S1,439,1,0,2,215,25,3,193,0.23,0,0.46,48.97,5.69,0.68,43.96
95TT09S2,435,1,4,0,262,19,9,140,0.23,0.92,0,60.23,4.37,2.07,32.18
95TT10W1,1056,5,3,12,762,63,5,206,0.47,0.28,1.14,72.16,5.97,0.47,19.51
95TT11S1,488,2,2,2,306,24,7,145,0.41,0.41,0.41,62.70,4.92,1.43,29.71
95TT11S2,457,1,3,5,277,23,7,141,0.22,0.66,1.09,60.61,5.03,1.53,30.85
95TT12W1,898,5,7,5,605,27,7,242,0.56,0.78,0.56,67.37,3.01,0.78,26.95
95TT13S1,552,2,3,2,429,3,2,111,0.36,0.54,0.36,77.72,0.54,0.36,20.11
95TT13S2,555,2,0,11,430,21,7,84,0.36,0,1.98,77.48,3.78,1.26,15.14
95TT14W1,830,3,3,18,628,19,3,156,0.36,0.36,2.17,75.66,2.29,0.36,18.80
95TT15W1,833,5,2,1,537,39,10,239,0.60,0.24,0.12,64.47,4.68,1.20,28.69
95TT16W1,866,7,4,7,563,36,12,237,0.81,0.46,0.81,65.01,4.16,1.39,27.37
95UU06W1,569,2,11,2,404,20,6,124,0.35,1.93,0.35,71.00,3.51,1.05,21.79
95UU09W1,594,5,13,2,391,27,2,154,0.84,2.19,0.34,65.82,4.55,0.34,25.93
95UU14W1,718,3,2,23,552,21,9,108,0.42,0.28,3.20,76.88,2.92,1.25,15.04
95UU99C1,744,3,4,6,481,52,8,190,0.40,0.54,0.81,64.65,6.99,1.08,25.54
95UU99C2,789,2,20,15,592,42,5,113,0.25,2.53,1.90,75.03,5.32,0.63,14.32
95UU99C3,736,18,10,53,463,24,5,163,2.45,1.36,7.20,62.91,3.26,0.68,22.15
95UU99C4,680,7,13,2,463,24,3,168,1.03,1.91,0.29,68.09,3.53,0.44,24.71
95UU99C5,881,12,26,23,497,63,3,257,1.36,2.95,2.61,56.41,7.15,0.34,29.17
95UU99C6,897,9,39,19,604,44,4,178,1.00,4.35,2.12,67.34,4.91,0.45,19.84
95VV01S1,563,8,9,2,374,21,5,144,1.42,1.60,0.36,66.43,3.73,0.89,25.58
95VV01S2,608,13,7,7,397,46,5,133,2.14,1.15,1.15,65.30,7.57,0.82,21.88
95VV02W1,985,5,29,86,735,29,11,90,0.51,2.94,8.73,74.62,2.94,1.12,9.14
95VV03W1,996,8,3,26,693,73,5,188,0.80,0.30,2.61,69.58,7.33,0.50,18.88
95VV04W1,1052,3,6,6,715,32,18,272,0.29,0.57,0.57,67.97,3.04,1.71,25.86
95VV05S1,611,3,7,20,427,9,5,140,0.49,1.15,3.27,69.89,1.47,0.82,22.91
95VV05S2,753,1,13,0,572,14,4,149,0.13,1.73,0,75.96,1.86,0.53,19.79
95VV06W1,1153,5,24,4,870,33,11,206,0.43,2.08,0.35,75.46,2.86,0.95,17.87
95VV07S1,877,12,3,59,593,40,10,160,1.37,0.34,6.73,67.62,4.56,1.14,18.24
95VV07S2,780,2,13,1,608,14,2,140,0.26,1.67,0.13,77.95,1.79,0.26,17.95
95VV08W1,1006,4,5,7,687,44,23,236,0.40,0.50,0.70,68.29,4.37,2.29,23.46
95VV09W1,967,4,8,15,703,36,14,187,0.41,0.83,1.55,72.70,3.72,1.45,19.34
95VV10S1,560,1,60,11,404,16,1,67,0.18,10.71,1.96,72.14,2.86,0.18,11.96
95VV10S2,626,2,27,43,480,8,6,60,0.32,4.31,6.87,76.68,1.28,0.96,9.58
95VV11S1,678,1,4,1,542,9,6,115,0.15,0.59,0.15,79.94,1.33,0.88,16.96
95VV11S2,806,1,11,7,636,15,3,133,0.12,1.36,0.87,78.91,1.86,0.37,16.50
95VV12S1,584,0,4,0,468,15,6,91,0,0.68,0,80.14,2.57,1.03,15.58
95VV12S2,580,5,35,23,404,25,5,83,0.86,6.03,3.97,69.66,4.31,0.86,14.31
95VV13S1,630,9,4,5,431,22,7,152,1.43,0.63,0.79,68.41,3.49,1.11,24.13
95VV13S2,424,4,3,0,285,17,5,110,0.94,0.71,0,67.22,4.01,1.18,25.94
95VV14S1,718,1,80,11,529,14,4,79,0.14,11.14,1.53,73.68,1.95,0.56,11.00
95VV14S2,569,5,7,14,444,23,3,73,0.88,1.23,2.46,78.03,4.04,0.53,12.83
95VV15S1,555,3,94,13,372,30,1,42,0.54,16.94,2.34,67.03,5.41,0.18,7.57
95VV15S2,585,1,14,4,455,8,1,102,0.17,2.39,0.68,77.78,1.37,0.17,17.44
95VV16W1,1043,8,18,7,758,23,9,220,0.77,1.73,0.67,72.67,2.21,0.86,21.09
95VV17S1,719,0,0,4,490,13,11,201,0,0,0.56,68.15,1.81,1.53,27.96
95VV17S2,691,4,5,7,486,20,6,163,0.58,0.72,1.01,70.33,2.89,0.87,23.59
95VV18S1,705,4,18,12,494,8,2,167,0.57,2.55,1.70,70.07,1.13,0.28,23.69
95VV18S2,697,11,11,34,492,31,9,109,1.58,1.58,4.88,70.59,4.45,1.29,15.64
95VV19S1,524,3,12,12,385,15,1,96,0.57,2.29,2.29,73.47,2.86,0.19,18.32
95VV19S2,648,6,8,8,487,10,5,124,0.93,1.23,1.23,75.15,1.54,0.77,19.14
95VV20W1,925,10,24,2,608,27,26,228,1.08,2.59,0.22,65.73,2.92,2.81,24.65
95VV21S1,741,8,6,4,563,17,11,132,1.08,0.81,0.54,75.98,2.29,1.48,17.81
95VV21S2,512,0,1,4,375,16,5,111,0,0.20,0.78,73.24,3.13,0.98,21.68
95VV22W1,956,3,9,4,679,40,10,211,0.31,0.94,0.42,71.03,4.18,1.05,22.07
95VV23W1,1123,5,116,41,738,27,17,179,0.45,10.33,3.65,65.72,2.40,1.51,15.94
95VV24S1,591,4,42,49,410,9,4,73,0.68,7.11,8.29,69.37,1.52,0.68,12.35
95VV24S2,667,4,4,69,437,43,7,103,0.60,0.60,10.34,65.52,6.45,1.05,15.44
95VV25S1,614,4,4,3,443,17,9,134,0.65,0.65,0.49,72.15,2.77,1.47,21.82
95VV25S2,613,1,5,1,478,11,7,110,0.16,0.82,0.16,77.98,1.79,1.14,17.94
95VV26W1,1172,12,7,5,846,39,16,247,1.02,0.60,0.43,72.18,3.33,1.37,21.08
95VV27W1,912,5,26,55,693,28,2,103,0.55,2.85,6.03,75.99,3.07,0.22,11.29
95VV28S1,801,4,24,53,607,14,7,92,0.50,3.00,6.62,75.78,1.75,0.87,11.49
95VV28S2,542,2,2,75,353,26,3,81,0.37,0.37,13.84,65.13,4.80,0.55,14.94
95VV29W1,1071,4,6,11,758,36,16,240,0.37,0.56,1.03,70.77,3.36,1.49,22.41
95VV30S1,573,1,54,6,409,3,3,97,0.17,9.42,1.05,71.38,0.52,0.52,16.93
95VV30S2,525,2,55,12,380,11,4,61,0.38,10.48,2.29,72.38,2.10,0.76,11.62
95WW01S1,636,1,126,125,346,10,1,27,0.16,19.81,19.65,54.40,1.57,0.16,4.25
95WW01S2,621,7,46,28,502,11,1,26,1.13,7.41,4.51,80.84,1.77,0.16,4.19
95WW02S1,742,4,21,103,538,20,3,53,0.54,2.83,13.88,72.51,2.70,0.40,7.14
95WW02S2,791,3,26,22,645,15,2,78,0.38,3.29,2.78,81.54,1.90,0.25,9.86
95WW03S1,767,4,42,132,460,29,2,98,0.52,5.48,17.21,59.97,3.78,0.26,12.78
95WW03S2,816,4,43,3,634,17,3,112,0.49,5.27,0.37,77.70,2.08,0.37,13.73
95WW04S1,614,1,156,5,426,4,0,22,0.16,25.41,0.81,69.38,0.65,0,3.58
95WW04S2,484,1,56,3,389,4,2,29,0.21,11.57,0.62,80.37,0.83,0.41,5.99
95WW05S1,580,1,72,7,470,2,2,26,0.17,12.41,1.21,81.03,0.34,0.34,4.48
95WW05S2,577,1,121,51,376,4,2,22,0.17,20.97,8.84,65.16,0.69,0.35,3.81
95WW06S1,580,2,53,6,405,22,3,89,0.34,9.14,1.03,69.83,3.79,0.52,15.34
95WW06S2,618,1,21,3,495,11,2,85,0.16,3.40,0.49,80.10,1.78,0.32,13.75
95WW07S1,677,7,18,3,546,8,3,92,1.03,2.66,0.44,80.65,1.18,0.44,13.59
95WW07S2,925,0,29,16,732,10,2,136,0,3.14,1.73,79.14,1.08,0.22,14.70
95WW08S1,465,0,33,8,390,6,0,28,0,7.10,1.72,83.87,1.29,0,6.02
95WW08S2,572,1,88,9,429,5,0,40,0.17,15.38,1.57,75.00,0.87,0,6.99
95WW09S1,596,0,256,42,275,5,1,17,0,42.95,7.05,46.14,0.84,0.17,2.85
95WW09S2,515,1,99,2,385,3,0,25,0.19,19.22,0.39,74.76,0.58,0,4.85
95WW10S1,653,2,60,14,533,13,0,31,0.31,9.19,2.14,81.62,1.99,0,4.75
