GeographyCode,KS103NI0001,KS103NI0002,KS103NI0003,KS103NI0004,KS103NI0005,KS103NI0006,KS103NI0007,KS103NI0008,KS103NI0009,KS103NI0010,KS103NI0011,KS103NI0012,KS103NI0013
95AA01S1,757,171,549,2,17,14,4,22.59,72.52,0.26,2.25,1.85,0.53
95AA01S2,1393,402,841,0,43,40,67,28.86,60.37,0,3.09,2.87,4.81
95AA01S3,1194,371,662,0,44,54,63,31.07,55.44,0,3.69,4.52,5.28
95AA02W1,1468,513,620,0,75,109,151,34.95,42.23,0,5.11,7.43,10.29
95AA03W1,1436,515,568,0,93,136,124,35.86,39.55,0,6.48,9.47,8.64
95AA04W1,2373,722,1394,2,68,87,100,30.43,58.74,0.08,2.87,3.67,4.21
95AA05W1,2083,657,1164,0,51,83,128,31.54,55.88,0,2.45,3.98,6.14
95AA06S1,1437,482,721,1,84,55,94,33.54,50.17,0.07,5.85,3.83,6.54
95AA06S2,1909,665,991,2,86,74,91,34.83,51.91,0.10,4.50,3.88,4.77
95AA07W1,1714,537,929,0,62,96,90,31.33,54.20,0,3.62,5.60,5.25
95AA08W1,1347,533,503,1,82,138,90,39.57,37.34,0.07,6.09,10.24,6.68
95AA09W1,1772,623,746,1,100,147,155,35.16,42.10,0.06,5.64,8.30,8.75
95AA10W1,1551,555,733,0,72,97,94,35.78,47.26,0,4.64,6.25,6.06
95AA11S1,2227,745,1079,9,83,121,190,33.45,48.45,0.40,3.73,5.43,8.53
95AA11S2,1925,618,1096,2,69,80,60,32.10,56.94,0.10,3.58,4.16,3.12
95AA12W1,2162,564,1364,3,35,69,127,26.09,63.09,0.14,1.62,3.19,5.87
95AA13S1,1330,465,659,0,57,77,72,34.96,49.55,0,4.29,5.79,5.41
95AA13S2,1198,397,592,0,51,81,77,33.14,49.42,0,4.26,6.76,6.43
95AA14W1,1852,526,1119,1,35,48,123,28.40,60.42,0.05,1.89,2.59,6.64
95AA15S1,2016,710,1045,0,94,108,59,35.22,51.84,0,4.66,5.36,2.93
95AA15S2,1134,466,447,1,66,109,45,41.09,39.42,0.09,5.82,9.61,3.97
95AA16W1,1463,548,604,0,80,131,100,37.46,41.29,0,5.47,8.95,6.84
95AA17W1,1669,589,753,2,84,151,90,35.29,45.12,0.12,5.03,9.05,5.39
95AA18W1,2063,530,1230,2,51,88,162,25.69,59.62,0.10,2.47,4.27,7.85
95AA19W1,2006,766,1021,2,54,52,111,38.19,50.90,0.10,2.69,2.59,5.53
95BB01S1,1242,347,738,2,24,62,69,27.94,59.42,0.16,1.93,4.99,5.56
95BB01S2,1595,457,938,0,56,72,72,28.65,58.81,0,3.51,4.51,4.51
95BB02W1,2020,642,860,2,97,184,235,31.78,42.57,0.10,4.80,9.11,11.63
95BB03S1,1614,452,839,4,71,114,134,28.00,51.98,0.25,4.40,7.06,8.30
95BB03S2,1788,464,1048,0,52,111,113,25.95,58.61,0,2.91,6.21,6.32
95BB04S1,1258,349,676,0,31,105,97,27.74,53.74,0,2.46,8.35,7.71
95BB04S2,1356,301,862,2,31,56,104,22.20,63.57,0.15,2.29,4.13,7.67
95BB05S1,1209,290,773,2,27,51,66,23.99,63.94,0.17,2.23,4.22,5.46
95BB05S2,1550,431,900,0,44,86,89,27.81,58.06,0,2.84,5.55,5.74
95BB06W1,2484,940,876,8,130,255,275,37.84,35.27,0.32,5.23,10.27,11.07
95BB07S1,1390,461,516,0,81,143,189,33.17,37.12,0,5.83,10.29,13.60
95BB07S2,1055,285,629,0,23,55,63,27.01,59.62,0,2.18,5.21,5.97
95BB08S1,1085,327,497,0,40,113,108,30.14,45.81,0,3.69,10.41,9.95
95BB08S2,1017,250,656,0,27,44,40,24.58,64.50,0,2.65,4.33,3.93
95BB09S1,1129,251,680,0,30,71,97,22.23,60.23,0,2.66,6.29,8.59
95BB09S2,1378,413,759,4,30,92,80,29.97,55.08,0.29,2.18,6.68,5.81
95BB10S1,1462,436,635,0,77,147,167,29.82,43.43,0,5.27,10.05,11.42
95BB10S2,1366,310,892,0,31,52,81,22.69,65.30,0,2.27,3.81,5.93
95BB11S1,1122,340,521,0,60,128,73,30.30,46.43,0,5.35,11.41,6.51
95BB11S2,1358,362,686,2,44,96,168,26.66,50.52,0.15,3.24,7.07,12.37
95BB12S1,1115,445,438,0,49,115,68,39.91,39.28,0,4.39,10.31,6.10
95BB12S2,1062,276,650,0,28,51,57,25.99,61.21,0,2.64,4.80,5.37
95BB13S1,1050,314,581,0,38,79,38,29.90,55.33,0,3.62,7.52,3.62
95BB13S2,1197,358,635,0,39,79,86,29.91,53.05,0,3.26,6.60,7.18
95BB13S3,1201,325,731,2,37,63,43,27.06,60.87,0.17,3.08,5.25,3.58
95BB14S1,1234,316,769,0,19,52,78,25.61,62.32,0,1.54,4.21,6.32
95BB14S2,1299,345,732,6,25,79,112,26.56,56.35,0.46,1.92,6.08,8.62
95BB15S1,1535,419,926,1,43,63,83,27.30,60.33,0.07,2.80,4.10,5.41
95BB15S2,1164,434,527,1,39,80,83,37.29,45.27,0.09,3.35,6.87,7.13
95BB16S1,1281,345,812,2,21,34,67,26.93,63.39,0.16,1.64,2.65,5.23
95BB16S2,1290,287,832,0,23,60,88,22.25,64.50,0,1.78,4.65,6.82
95BB17S1,1352,398,710,0,66,108,70,29.44,52.51,0,4.88,7.99,5.18
95BB17S2,1359,395,715,0,58,85,106,29.07,52.61,0,4.27,6.25,7.80
95BB18S1,1328,384,649,2,83,114,96,28.92,48.87,0.15,6.25,8.58,7.23
95BB18S2,1980,470,1218,0,57,96,139,23.74,61.52,0,2.88,4.85,7.02
95BB19S1,1318,365,709,1,38,76,129,27.69,53.79,0.08,2.88,5.77,9.79
95BB19S2,1338,340,873,0,29,51,45,25.41,65.25,0,2.17,3.81,3.36
95BB19S3,1063,286,654,0,33,49,41,26.90,61.52,0,3.10,4.61,3.86
95BB20S1,1499,489,798,0,36,56,120,32.62,53.24,0,2.40,3.74,8.01
95BB20S2,1230,463,546,0,56,69,96,37.64,44.39,0,4.55,5.61,7.80
95BB21S1,1853,498,1044,0,63,115,133,26.88,56.34,0,3.40,6.21,7.18
95BB21S2,1818,478,1083,0,53,87,117,26.29,59.57,0,2.92,4.79,6.44
95BB22S1,1145,374,563,3,62,93,50,32.66,49.17,0.26,5.41,8.12,4.37
95BB22S2,1093,421,412,0,72,111,77,38.52,37.69,0,6.59,10.16,7.04
95BB23S1,1303,309,823,6,28,50,87,23.71,63.16,0.46,2.15,3.84,6.68
95BB23S2,1228,338,732,0,24,54,80,27.52,59.61,0,1.95,4.40,6.51
95CC01W1,2046,826,817,1,102,121,179,40.37,39.93,0.05,4.99,5.91,8.75
95CC02W1,2140,789,1133,2,51,52,113,36.87,52.94,0.09,2.38,2.43,5.28
95CC03W1,2141,946,739,0,158,144,154,44.18,34.52,0,7.38,6.73,7.19
95CC04W1,1879,703,949,0,51,41,135,37.41,50.51,0,2.71,2.18,7.18
95CC05W1,2112,705,1124,2,72,64,145,33.38,53.22,0.09,3.41,3.03,6.87
95CC06S1,1173,346,678,0,26,47,76,29.50,57.80,0,2.22,4.01,6.48
95CC06S2,1013,343,490,0,42,56,82,33.86,48.37,0,4.15,5.53,8.09
95CC07W1,2554,973,1316,0,68,75,122,38.10,51.53,0,2.66,2.94,4.78
95CC08W1,1988,819,846,0,88,84,151,41.20,42.56,0,4.43,4.23,7.60
95CC09S1,1164,337,723,0,16,22,66,28.95,62.11,0,1.37,1.89,5.67
95CC09S2,1466,460,850,0,43,45,68,31.38,57.98,0,2.93,3.07,4.64
95CC10W1,2101,651,1155,0,41,83,171,30.99,54.97,0,1.95,3.95,8.14
95CC11W1,1482,579,618,0,75,79,131,39.07,41.70,0,5.06,5.33,8.84
95CC12W1,2119,689,1188,0,55,60,127,32.52,56.06,0,2.60,2.83,5.99
95CC13W1,1923,652,1071,3,44,54,99,33.91,55.69,0.16,2.29,2.81,5.15
95CC14W1,2328,630,1367,0,84,97,150,27.06,58.72,0,3.61,4.17,6.44
95CC15W1,2228,733,1216,0,60,68,151,32.90,54.58,0,2.69,3.05,6.78
95CC16W1,2155,687,1118,0,86,107,157,31.88,51.88,0,3.99,4.97,7.29
95CC17W1,2117,738,1163,0,50,56,110,34.86,54.94,0,2.36,2.65,5.20
95CC18W1,1899,620,909,4,71,122,173,32.65,47.87,0.21,3.74,6.42,9.11
95CC19W1,2070,637,1167,2,43,91,130,30.77,56.38,0.10,2.08,4.40,6.28
95CC20S1,997,250,605,0,30,45,67,25.08,60.68,0,3.01,4.51,6.72
95CC20S2,1345,442,695,2,35,85,86,32.86,51.67,0.15,2.60,6.32,6.39
95CC21W1,2289,683,1240,1,67,146,152,29.84,54.17,0.04,2.93,6.38,6.64
95CC22W1,1466,534,547,0,72,134,179,36.43,37.31,0,4.91,9.14,12.21
95DD01W1,1765,450,1051,0,44,79,141,25.50,59.55,0,2.49,4.48,7.99
95DD02S1,1182,343,617,2,64,70,86,29.02,52.20,0.17,5.41,5.92,7.28
95DD02S2,1859,525,1085,0,63,87,99,28.24,58.36,0,3.39,4.68,5.33
95DD03W1,2779,796,1567,3,105,134,174,28.64,56.39,0.11,3.78,4.82,6.26
95DD04W1,1512,580,518,1,112,160,141,38.36,34.26,0.07,7.41,10.58,9.33
95DD05W1,1330,535,532,0,76,120,67,40.23,40.00,0,5.71,9.02,5.04
95DD06W1,2216,566,1302,2,42,80,224,25.54,58.75,0.09,1.90,3.61,10.11
95DD07S1,1320,360,742,2,50,72,94,27.27,56.21,0.15,3.79,5.45,7.12
95DD07S2,1390,380,769,1,58,65,117,27.34,55.32,0.07,4.17,4.68,8.42
95DD08W1,1842,821,525,1,97,200,198,44.57,28.50,0.05,5.27,10.86,10.75
95DD09W1,2059,551,1273,4,42,64,125,26.76,61.83,0.19,2.04,3.11,6.07
95DD10W1,2297,750,1136,0,94,128,189,32.65,49.46,0,4.09,5.57,8.23
95DD11W1,1718,742,603,1,102,176,94,43.19,35.10,0.06,5.94,10.24,5.47
95DD12W1,2069,576,1270,2,28,66,127,27.84,61.38,0.10,1.35,3.19,6.14
95DD13W1,1435,553,570,2,86,95,129,38.54,39.72,0.14,5.99,6.62,8.99
95DD14S1,1252,343,718,0,44,65,82,27.40,57.35,0,3.51,5.19,6.55
95DD14S2,1348,341,857,0,40,46,64,25.30,63.58,0,2.97,3.41,4.75
95DD15W1,2606,890,1429,0,66,102,119,34.15,54.83,0,2.53,3.91,4.57
95DD16W1,2368,697,1403,2,55,84,127,29.43,59.25,0.08,2.32,3.55,5.36
95DD17W1,2658,816,1605,0,49,70,118,30.70,60.38,0,1.84,2.63,4.44
95DD18W1,1635,531,742,0,76,140,146,32.48,45.38,0,4.65,8.56,8.93
95DD19S1,1472,424,763,1,72,94,118,28.80,51.83,0.07,4.89,6.39,8.02
95DD19S2,1189,290,740,0,40,50,69,24.39,62.24,0,3.36,4.21,5.80
95DD20W1,1442,559,500,2,87,179,115,38.77,34.67,0.14,6.03,12.41,7.98
95DD21W1,1744,626,830,2,70,90,126,35.89,47.59,0.11,4.01,5.16,7.22
95DD22S1,1275,430,698,2,29,46,70,33.73,54.75,0.16,2.27,3.61,5.49
95DD22S2,1244,391,669,0,36,62,86,31.43,53.78,0,2.89,4.98,6.91
95DD23W1,2027,589,1187,0,33,81,137,29.06,58.56,0,1.63,4.00,6.76
95DD24W1,2152,717,1120,1,87,102,125,33.32,52.04,0.05,4.04,4.74,5.81
95EE01W1,1421,493,791,4,32,35,66,34.69,55.67,0.28,2.25,2.46,4.64
95EE02W1,1644,530,890,2,55,80,87,32.24,54.14,0.12,3.35,4.87,5.29
95EE03W1,1605,522,797,1,46,135,104,32.52,49.66,0.06,2.87,8.41,6.48
95EE04W1,1602,538,827,0,60,79,98,33.58,51.62,0,3.75,4.93,6.12
95EE05W1,1243,368,670,0,41,71,93,29.61,53.90,0,3.30,5.71,7.48
95EE06W1,1700,610,915,0,45,50,80,35.88,53.82,0,2.65,2.94,4.71
95EE07W1,1407,423,724,0,47,97,116,30.06,51.46,0,3.34,6.89,8.24
95EE08W1,1457,447,733,0,43,84,150,30.68,50.31,0,2.95,5.77,10.30
95EE09W1,1500,510,800,0,29,56,105,34.00,53.33,0,1.93,3.73,7.00
95EE10W1,1388,489,736,2,43,46,72,35.23,53.03,0.14,3.10,3.31,5.19
95EE11W1,1339,437,737,2,35,52,76,32.64,55.04,0.15,2.61,3.88,5.68
95EE12W1,1968,722,861,3,88,190,104,36.69,43.75,0.15,4.47,9.65,5.28
95EE13W1,1280,423,581,1,58,82,135,33.05,45.39,0.08,4.53,6.41,10.55
95EE14W1,2083,623,1158,1,70,112,119,29.91,55.59,0.05,3.36,5.38,5.71
95EE15W1,1357,430,772,0,29,46,80,31.69,56.89,0,2.14,3.39,5.90
95EE16W1,1614,476,931,0,48,72,87,29.49,57.68,0,2.97,4.46,5.39
95FF01S1,1671,488,976,0,58,60,89,29.20,58.41,0,3.47,3.59,5.33
95FF01S2,1989,621,1147,3,52,98,68,31.22,57.67,0.15,2.61,4.93,3.42
95FF02W1,2105,656,1221,0,48,46,134,31.16,58.00,0,2.28,2.19,6.37
95FF03W1,2304,840,1145,0,83,128,108,36.46,49.70,0,3.60,5.56,4.69
95FF04W1,2038,612,1229,4,29,51,113,30.03,60.30,0.20,1.42,2.50,5.54
95FF05W1,2045,658,994,2,106,126,159,32.18,48.61,0.10,5.18,6.16,7.78
95FF06S1,1586,471,863,2,43,87,120,29.70,54.41,0.13,2.71,5.49,7.57
95FF06S2,1507,408,933,0,49,66,51,27.07,61.91,0,3.25,4.38,3.38
95FF07W1,2091,780,868,0,106,208,129,37.30,41.51,0,5.07,9.95,6.17
95FF08W1,1941,616,943,0,66,128,188,31.74,48.58,0,3.40,6.59,9.69
95FF09W1,1935,636,976,0,85,119,119,32.87,50.44,0,4.39,6.15,6.15
95FF10W1,2625,805,1532,4,59,122,103,30.67,58.36,0.15,2.25,4.65,3.92
95FF11W1,2014,591,1213,3,35,55,117,29.34,60.23,0.15,1.74,2.73,5.81
95FF12W1,2184,750,1157,0,61,92,124,34.34,52.98,0,2.79,4.21,5.68
95FF13W1,2087,626,1195,1,50,98,117,30.00,57.26,0.05,2.40,4.70,5.61
95FF14W1,1917,483,1229,2,27,60,116,25.20,64.11,0.10,1.41,3.13,6.05
95FF15W1,2144,741,956,0,102,136,209,34.56,44.59,0,4.76,6.34,9.75
95FF16W1,1910,537,1056,0,64,101,152,28.12,55.29,0,3.35,5.29,7.96
95FF17W1,1434,535,566,4,83,114,132,37.31,39.47,0.28,5.79,7.95,9.21
95GG01S1,1507,557,642,0,76,67,165,36.96,42.60,0,5.04,4.45,10.95
95GG01S2,1293,507,437,0,93,66,190,39.21,33.80,0,7.19,5.10,14.69
95GG01S3,1351,582,503,0,72,60,134,43.08,37.23,0,5.33,4.44,9.92
95GG02S1,1326,677,299,0,135,93,122,51.06,22.55,0,10.18,7.01,9.20
95GG02S2,1469,793,316,0,145,98,117,53.98,21.51,0,9.87,6.67,7.96
95GG02S3,1659,871,318,2,192,136,140,52.50,19.17,0.12,11.57,8.20,8.44
95GG03S1,1603,511,817,7,52,88,128,31.88,50.97,0.44,3.24,5.49,7.99
95GG03S2,1520,511,781,4,31,78,115,33.62,51.38,0.26,2.04,5.13,7.57
95GG03S3,1774,734,680,4,77,157,122,41.38,38.33,0.23,4.34,8.85,6.88
95GG04S1,1356,663,332,2,126,112,121,48.89,24.48,0.15,9.29,8.26,8.92
95GG04S2,1151,578,274,0,119,92,88,50.22,23.81,0,10.34,7.99,7.65
95GG04S3,1355,636,353,3,81,156,126,46.94,26.05,0.22,5.98,11.51,9.30
95GG05S1,1514,850,443,3,58,90,70,56.14,29.26,0.20,3.83,5.94,4.62
95GG05S2,1721,1023,485,7,56,84,66,59.44,28.18,0.41,3.25,4.88,3.83
95GG05S3,1808,1180,361,2,74,110,81,65.27,19.97,0.11,4.09,6.08,4.48
95GG06S1,1529,653,548,2,79,109,138,42.71,35.84,0.13,5.17,7.13,9.03
95GG06S2,1486,572,589,9,69,107,140,38.49,39.64,0.61,4.64,7.20,9.42
95GG06S3,1488,542,694,0,64,87,101,36.42,46.64,0,4.30,5.85,6.79
95GG07S1,1487,722,472,1,95,89,108,48.55,31.74,0.07,6.39,5.99,7.26
95GG07S2,1399,746,332,4,129,95,93,53.32,23.73,0.29,9.22,6.79,6.65
95GG07S3,1356,646,412,0,132,74,92,47.64,30.38,0,9.73,5.46,6.78
95GG08S1,1113,360,582,2,48,39,82,32.35,52.29,0.18,4.31,3.50,7.37
95GG08S2,1371,630,425,8,98,111,99,45.95,31.00,0.58,7.15,8.10,7.22
95GG08S3,1386,629,495,3,90,95,74,45.38,35.71,0.22,6.49,6.85,5.34
95GG09S1,1721,429,1020,2,38,79,153,24.93,59.27,0.12,2.21,4.59,8.89
95GG09S2,1635,542,797,0,51,90,155,33.15,48.75,0,3.12,5.50,9.48
95GG09S3,1662,688,602,4,83,170,115,41.40,36.22,0.24,4.99,10.23,6.92
95GG10S1,1568,843,406,2,79,138,100,53.76,25.89,0.13,5.04,8.80,6.38
95GG10S2,1820,1055,399,2,96,149,119,57.97,21.92,0.11,5.27,8.19,6.54
95GG11S1,1562,800,404,2,88,146,122,51.22,25.86,0.13,5.63,9.35,7.81
95GG11S2,1370,522,635,6,35,80,92,38.10,46.35,0.44,2.55,5.84,6.72
95GG11S3,1612,761,492,4,79,159,117,47.21,30.52,0.25,4.90,9.86,7.26
95GG12S1,1453,1235,149,0,25,33,11,85.00,10.25,0,1.72,2.27,0.76
95GG12S2,1855,1650,100,3,27,46,29,88.95,5.39,0.16,1.46,2.48,1.56
95GG12S3,1394,1161,153,2,18,35,25,83.29,10.98,0.14,1.29,2.51,1.79
95GG12S4,1636,1419,135,2,23,50,7,86.74,8.25,0.12,1.41,3.06,0.43
95GG12S5,1733,1079,314,5,102,147,86,62.26,18.12,0.29,5.89,8.48,4.96
95GG13S1,1089,434,371,0,70,98,116,39.85,34.07,0,6.43,9.00,10.65
95GG13S2,1360,464,684,1,37,73,101,34.12,50.29,0.07,2.72,5.37,7.43
95GG13S3,1371,511,560,5,70,103,122,37.27,40.85,0.36,5.11,7.51,8.90
95GG14S1,1292,397,707,0,44,45,99,30.73,54.72,0,3.41,3.48,7.66
95GG14S2,1294,434,721,0,30,41,68,33.54,55.72,0,2.32,3.17,5.26
95GG14S3,1304,429,698,2,40,50,85,32.90,53.53,0.15,3.07,3.83,6.52
95GG15S1,1610,366,956,2,25,51,210,22.73,59.38,0.12,1.55,3.17,13.04
95GG15S2,1677,511,863,0,40,110,153,30.47,51.46,0,2.39,6.56,9.12
95GG15S3,1614,515,702,3,52,151,191,31.91,43.49,0.19,3.22,9.36,11.83
95GG16S1,1596,807,485,6,112,97,89,50.56,30.39,0.38,7.02,6.08,5.58
95GG16S2,1581,744,526,10,87,95,119,47.06,33.27,0.63,5.50,6.01,7.53
95GG16S3,1166,434,530,4,58,63,77,37.22,45.45,0.34,4.97,5.40,6.60
95GG17S1,1450,689,488,3,105,72,93,47.52,33.66,0.21,7.24,4.97,6.41
95GG17S2,1328,499,603,0,66,59,101,37.58,45.41,0,4.97,4.44,7.61
95GG17S3,1270,506,451,3,97,104,109,39.84,35.51,0.24,7.64,8.19,8.58
95GG18S1,1905,1000,427,1,184,140,153,52.49,22.41,0.05,9.66,7.35,8.03
95GG18S2,1936,1090,396,2,179,144,125,56.30,20.45,0.10,9.25,7.44,6.46
95GG19S1,1695,645,478,0,127,174,271,38.05,28.20,0,7.49,10.27,15.99
95GG19S2,1924,914,504,2,174,158,172,47.51,26.20,0.10,9.04,8.21,8.94
95GG20S1,2375,1300,527,8,164,220,156,54.74,22.19,0.34,6.91,9.26,6.57
95GG20S2,1617,704,476,4,112,160,161,43.54,29.44,0.25,6.93,9.89,9.96
95GG21S1,1212,639,257,0,129,70,117,52.72,21.20,0,10.64,5.78,9.65
95GG21S2,1305,744,240,1,119,90,111,57.01,18.39,0.08,9.12,6.90,8.51
95GG21S3,1617,913,288,0,169,129,118,56.46,17.81,0,10.45,7.98,7.30
95GG22S1,1393,603,515,0,104,55,116,43.29,36.97,0,7.47,3.95,8.33
95GG22S2,1620,610,650,3,80,76,201,37.65,40.12,0.19,4.94,4.69,12.41
95GG22S3,1387,577,523,0,108,72,107,41.60,37.71,0,7.79,5.19,7.71
95GG23S1,1160,308,715,0,28,42,67,26.55,61.64,0,2.41,3.62,5.78
95GG23S2,1269,429,653,0,27,31,129,33.81,51.46,0,2.13,2.44,10.17
95GG23S3,1337,441,678,4,41,58,115,32.98,50.71,0.30,3.07,4.34,8.60
95GG24S1,1186,466,463,0,30,67,160,39.29,39.04,0,2.53,5.65,13.49
95GG24S2,1279,499,532,1,65,90,92,39.01,41.59,0.08,5.08,7.04,7.19
95GG24S3,1291,456,589,4,44,67,131,35.32,45.62,0.31,3.41,5.19,10.15
95GG25S1,1742,738,621,0,97,101,185,42.37,35.65,0,5.57,5.80,10.62
95GG25S2,1509,685,515,2,91,91,125,45.39,34.13,0.13,6.03,6.03,8.28
95GG25S3,1232,575,371,0,87,80,119,46.67,30.11,0,7.06,6.49,9.66
95GG26S1,1560,658,543,0,130,108,121,42.18,34.81,0,8.33,6.92,7.76
95GG26S2,1430,525,504,2,103,117,179,36.71,35.24,0.14,7.20,8.18,12.52
95GG27S1,1150,509,429,0,83,54,75,44.26,37.30,0,7.22,4.70,6.52
95GG27S2,1207,565,371,1,127,67,76,46.81,30.74,0.08,10.52,5.55,6.30
95GG27S3,1413,637,462,0,115,106,93,45.08,32.70,0,8.14,7.50,6.58
95GG27S4,1287,573,381,3,101,103,126,44.52,29.60,0.23,7.85,8.00,9.79
95GG28S1,1651,541,869,5,65,75,96,32.77,52.63,0.30,3.94,4.54,5.81
95GG28S2,1393,490,647,1,56,93,106,35.18,46.45,0.07,4.02,6.68,7.61
95GG28S3,1349,596,419,0,121,117,96,44.18,31.06,0,8.97,8.67,7.12
95GG29S1,1754,778,526,2,118,190,140,44.36,29.99,0.11,6.73,10.83,7.98
95GG29S2,2238,1064,720,4,107,193,150,47.54,32.17,0.18,4.78,8.62,6.70
95GG30S1,1315,419,578,0,65,113,140,31.86,43.95,0,4.94,8.59,10.65
95GG30S2,1347,357,788,0,42,72,88,26.50,58.50,0,3.12,5.35,6.53
95GG30S3,1285,356,750,0,30,54,95,27.70,58.37,0,2.33,4.20,7.39
95GG31S1,1760,661,877,0,82,55,85,37.56,49.83,0,4.66,3.13,4.83
95GG31S2,1652,657,695,0,83,82,135,39.77,42.07,0,5.02,4.96,8.17
95GG31S3,1703,807,544,1,132,106,113,47.39,31.94,0.06,7.75,6.22,6.64
95GG32S1,2308,1014,841,1,199,137,116,43.93,36.44,0.04,8.62,5.94,5.03
95GG32S2,1250,485,503,2,67,81,112,38.80,40.24,0.16,5.36,6.48,8.96
95GG32S3,1357,508,615,0,55,68,111,37.44,45.32,0,4.05,5.01,8.18
95GG33S1,1595,524,912,2,25,40,92,32.85,57.18,0.13,1.57,2.51,5.77
95GG33S2,1338,429,739,0,26,38,106,32.06,55.23,0,1.94,2.84,7.92
95GG33S3,1601,730,681,2,31,63,94,45.60,42.54,0.12,1.94,3.94,5.87
95GG34S1,1150,448,436,0,46,104,116,38.96,37.91,0,4.00,9.04,10.09
95GG34S2,1334,440,737,0,41,49,67,32.98,55.25,0,3.07,3.67,5.02
95GG34S3,1573,623,721,5,53,61,110,39.61,45.84,0.32,3.37,3.88,6.99
95GG35S1,1606,812,346,0,169,111,168,50.56,21.54,0,10.52,6.91,10.46
95GG35S2,1206,622,232,1,123,115,113,51.58,19.24,0.08,10.20,9.54,9.37
95GG35S3,1119,598,271,2,90,79,79,53.44,24.22,0.18,8.04,7.06,7.06
95GG36S1,1481,567,651,3,52,90,118,38.28,43.96,0.20,3.51,6.08,7.97
95GG36S2,1582,469,849,5,34,75,150,29.65,53.67,0.32,2.15,4.74,9.48
95GG36S3,1562,523,799,6,37,71,126,33.48,51.15,0.38,2.37,4.55,8.07
95GG37S1,1714,663,851,4,34,52,110,38.68,49.65,0.23,1.98,3.03,6.42
95GG37S2,1545,700,612,6,31,83,113,45.31,39.61,0.39,2.01,5.37,7.31
95GG37S3,1859,1096,518,1,49,98,97,58.96,27.86,0.05,2.64,5.27,5.22
95GG38S1,2633,1269,993,2,79,127,163,48.20,37.71,0.08,3.00,4.82,6.19
95GG38S2,1591,801,514,6,53,84,133,50.35,32.31,0.38,3.33,5.28,8.36
95GG38S3,1287,493,587,0,34,47,126,38.31,45.61,0,2.64,3.65,9.79
95GG39S1,2034,1179,492,3,138,121,101,57.96,24.19,0.15,6.78,5.95,4.97
95GG39S2,2327,1339,472,1,144,220,151,57.54,20.28,0.04,6.19,9.45,6.49
95GG39S3,1773,1023,347,1,101,141,160,57.70,19.57,0.06,5.70,7.95,9.02
95GG40S1,1294,577,358,1,118,109,131,44.59,27.67,0.08,9.12,8.42,10.12
95GG40S2,1726,780,410,2,136,196,202,45.19,23.75,0.12,7.88,11.36,11.70
95GG41S1,1619,339,1056,2,31,52,139,20.94,65.23,0.12,1.91,3.21,8.59
95GG41S2,1246,305,777,9,26,33,96,24.48,62.36,0.72,2.09,2.65,7.70
95GG41S3,1658,540,790,5,48,91,184,32.57,47.65,0.30,2.90,5.49,11.10
95GG42S1,1472,483,832,4,22,41,90,32.81,56.52,0.27,1.49,2.79,6.11
95GG42S2,1708,1453,200,4,7,15,29,85.07,11.71,0.23,0.41,0.88,1.70
95GG42S3,2062,1587,387,1,19,38,30,76.96,18.77,0.05,0.92,1.84,1.45
95GG42S4,1878,912,777,0,37,61,91,48.56,41.37,0,1.97,3.25,4.85
95GG43S1,1259,503,431,4,86,89,146,39.95,34.23,0.32,6.83,7.07,11.60
95GG43S2,1396,485,670,2,45,82,112,34.74,47.99,0.14,3.22,5.87,8.02
