GeographyCode,KS701NI0001,KS701NI0002,KS701NI0003,KS701NI0004,KS701NI0005,KS701NI0006,KS701NI0007,KS701NI0008,KS701NI0009,KS701NI0010,KS701NI0011,KS701NI0012,KS701NI0013,KS701NI0014,KS701NI0015,KS701NI0016,KS701NI0017,KS701NI0018,KS701NI0019,KS701NI0020,KS701NI0021,KS701NI0022,KS701NI0023,KS701NI0024,KS701NI0025,KS701NI0026,KS701NI0027,KS701NI0028,KS701NI0029
95AA01S1,574,84,1,8,4,175,6,47,1,78,163,7,419,7,30,1,14.63,0.17,1.39,0.70,30.49,1.05,8.19,0.17,13.59,28.40,1.22,1.67,3.33
95AA01S2,884,146,5,11,1,570,33,75,5,3,27,8,857,13,24,3,16.52,0.57,1.24,0.11,64.48,3.73,8.48,0.57,0.34,3.05,0.90,1.52,12.50
95AA01S3,767,116,3,18,5,483,19,83,4,8,21,7,747,20,17,1,15.12,0.39,2.35,0.65,62.97,2.48,10.82,0.52,1.04,2.74,0.91,2.68,5.88
95AA02W1,771,45,15,31,3,403,66,74,31,13,83,7,642,27,129,19,5.84,1.95,4.02,0.39,52.27,8.56,9.60,4.02,1.69,10.77,0.91,4.21,14.73
95AA03W1,727,65,1,42,8,398,43,64,33,7,62,4,620,25,107,18,8.94,0.14,5.78,1.10,54.75,5.91,8.80,4.54,0.96,8.53,0.55,4.03,16.82
95AA04W1,1456,269,2,26,9,907,60,134,11,6,17,15,1432,26,19,1,18.48,0.14,1.79,0.62,62.29,4.12,9.20,0.76,0.41,1.17,1.03,1.82,5.26
95AA05W1,1183,146,7,36,4,740,47,136,10,4,39,14,1161,40,22,3,12.34,0.59,3.04,0.34,62.55,3.97,11.50,0.85,0.34,3.30,1.18,3.45,13.64
95AA06S1,822,83,5,28,6,480,50,85,9,3,68,5,775,26,47,7,10.10,0.61,3.41,0.73,58.39,6.08,10.34,1.09,0.36,8.27,0.61,3.35,14.89
95AA06S2,1109,68,7,46,4,685,70,119,5,7,92,6,1066,46,43,7,6.13,0.63,4.15,0.36,61.77,6.31,10.73,0.45,0.63,8.30,0.54,4.32,16.28
95AA07W1,985,132,4,18,1,646,50,80,9,0,36,9,944,19,40,3,13.40,0.41,1.83,0.10,65.58,5.08,8.12,0.91,0,3.65,0.91,2.01,7.50
