GeographyCode,LC6503NI0001,LC6503NI0002,LC6503NI0003,LC6503NI0004,LC6503NI0005,LC6503NI0006,LC6503NI0007,LC6503NI0008,LC6503NI0009,LC6503NI0010,LC6503NI0011,LC6503NI0012,LC6503NI0013,LC6503NI0014,LC6503NI0015,LC6503NI0016,LC6503NI0017,LC6503NI0018,LC6503NI0019,LC6503NI0020,LC6503NI0021,LC6503NI0022,LC6503NI0023,LC6503NI0024,LC6503NI0025,LC6503NI0026,LC6503NI0027,LC6503NI0028,LC6503NI0029,LC6503NI0030,LC6503NI0031,LC6503NI0032,LC6503NI0033,LC6503NI0034,LC6503NI0035,LC6503NI0036,LC6503NI0037,LC6503NI0038,LC6503NI0039,LC6503NI0040,LC6503NI0041,LC6503NI0042,LC6503NI0043,LC6503NI0044,LC6503NI0045,LC6503NI0046,LC6503NI0047,LC6503NI0048,LC6503NI0049,LC6503NI0050,LC6503NI0051,LC6503NI0052,LC6503NI0053,LC6503NI0054,LC6503NI0055,LC6503NI0056,LC6503NI0057,LC6503NI0058,LC6503NI0059,LC6503NI0060,LC6503NI0061,LC6503NI0062,LC6503NI0063
N92000002,1313420,869767,443653,334159,127817,206342,161645,112011,49634,208549,145055,63494,173483,134428,39055,324415,269771,54644,111169,80685,30484,725680,555724,169956,101558,50177,51381,102652,73899,28753,141742,100997,40745,131199,103834,27365,197440,182473,14967,51089,44344,6745,587740,314043,273697,232601,77640,154961,58993,38112,20881,66807,44058,22749,42284,30594,11690,126975,87298,39677,60080,36341,23739
BHSCT,257160,166648,90512,64901,21643,43258,29910,19838,10072,35534,24484,11050,36015,26678,9337,72565,61716,10849,18235,12289,5946,149642,112578,37064,21082,9604,11478,19518,13463,6055,24839,17634,7205,28560,21418,7142,47325,43564,3761,8318,6895,1423,107518,54070,53448,43819,12039,31780,10392,6375,4017,10695,6850,3845,7455,5260,2195,25240,18152,7088,9917,5394,4523
NHSCT,335761,227093,108668,84399,34852,49547,42637,30502,12135,55649,39579,16070,44868,35313,9555,78676,64977,13699,29532,21870,7662,181021,141494,39527,23704,12528,11176,26872,20056,6816,37384,27343,10041,33802,27220,6582,46378,42921,3457,12881,11426,1455,154740,85599,69141,60695,22324,38371,15765,10446,5319,18265,12236,6029,11066,8093,2973,32298,22056,10242,16651,10444,6207
SEHSCT,251647,170549,81098,52495,19967,32528,32088,22688,9400,42875,30056,12819,34037,26875,7162,69020,56345,12675,21132,14618,6514,130731,103380,27351,15161,7315,7846,19197,14347,4850,27035,19925,7110,23615,19534,4081,37823,35286,2537,7900,6973,927,120916,67169,53747,37334,12652,24682,12891,8341,4550,15840,10131,5709,10422,7341,3081,31197,21059,10138,13232,7645,5587
SHSCT,256035,172195,83840,67755,27480,40275,30951,21572,9379,41168,28703,12465,32248,25444,6804,58240,49040,9200,25673,19956,5717,145731,112435,33296,20836,10903,9933,19951,14385,5566,28506,20138,8368,24946,20017,4929,37527,34719,2808,13965,12273,1692,110304,59760,50544,46919,16577,30342,11000,7187,3813,12662,8565,4097,7302,5427,1875,20713,14321,6392,11708,7683,4025
WHSCT,212817,133282,79535,64609,23875,40734,26059,17411,8648,33323,22233,11090,26315,20118,6197,45914,37693,8221,16597,11952,4645,118555,85837,32718,20775,9827,10948,17114,11648,5466,23978,15957,8021,20276,15645,4631,28387,25983,2404,8025,6777,1248,94262,47445,46817,43834,14048,29786,8945,5763,3182,9345,6276,3069,6039,4473,1566,17527,11710,5817,8572,5175,3397
BELB,208609,132666,75943,55631,18178,37453,24041,15618,8423,27888,19101,8787,29599,21593,8006,56983,48396,8587,14467,9780,4687,124643,92253,32390,18676,8415,10261,16180,10937,5243,20102,14152,5950,24157,17797,6360,38505,35197,3308,7023,5755,1268,83966,40413,43553,36955,9763,27192,7861,4681,3180,7786,4949,2837,5442,3796,1646,18478,13199,5279,7444,4025,3419
NEELB,309116,209675,99441,76366,31540,44826,39320,28168,11152,51350,36615,14735,41534,32768,8766,73441,60618,12823,27105,19966,7139,165478,129733,35745,21201,11172,10029,24564,18394,6170,34206,25139,9067,31132,25154,5978,42863,39661,3202,11512,10213,1299,143638,79942,63696,55165,20368,34797,14756,9774,4982,17144,11476,5668,10402,7614,2788,30578,20957,9621,15593,9753,5840
SEELB,300198,204531,95667,61765,23432,38333,37957,26908,11049,50521,35439,15082,40453,31960,8493,84602,69665,14937,24900,17127,7773,155730,123705,32025,17567,8504,9063,22535,16873,5662,31772,23407,8365,28018,23155,4863,46643,43653,2990,9195,8113,1082,144468,80826,63642,44198,14928,29270,15422,10035,5387,18749,12032,6717,12435,8805,3630,37959,26012,11947,15705,9014,6691
SELB,282680,189613,93067,75788,30792,44996,34268,23906,10362,45467,31667,13800,35582,27989,7593,63475,53399,10076,28100,21860,6240,161274,124196,37078,23339,12259,11080,22259,16047,6212,31684,22342,9342,27616,22083,5533,41042,37979,3063,15334,13486,1848,121406,65417,55989,52449,18533,33916,12009,7859,4150,13783,9325,4458,7966,5906,2060,22433,15420,7013,12766,8374,4392
WELB,212817,133282,79535,64609,23875,40734,26059,17411,8648,33323,22233,11090,26315,20118,6197,45914,37693,8221,16597,11952,4645,118555,85837,32718,20775,9827,10948,17114,11648,5466,23978,15957,8021,20276,15645,4631,28387,25983,2404,8025,6777,1248,94262,47445,46817,43834,14048,29786,8945,5763,3182,9345,6276,3069,6039,4473,1566,17527,11710,5817,8572,5175,3397
UKN01,208609,132666,75943,55631,18178,37453,24041,15618,8423,27888,19101,8787,29599,21593,8006,56983,48396,8587,14467,9780,4687,124643,92253,32390,18676,8415,10261,16180,10937,5243,20102,14152,5950,24157,17797,6360,38505,35197,3308,7023,5755,1268,83966,40413,43553,36955,9763,27192,7861,4681,3180,7786,4949,2837,5442,3796,1646,18478,13199,5279,7444,4025,3419
UKN02,283218,194967,88251,57220,21830,35390,36370,26001,10369,47116,33435,13681,38947,30776,8171,80823,67321,13502,22742,15604,7138,149329,119326,30003,16058,7856,8202,21836,16471,5365,29735,22143,7592,27428,22570,4858,46042,43080,2962,8230,7206,1024,133889,75641,58248,41162,13974,27188,14534,9530,5004,17381,11292,6089,11519,8206,3313,34781,24241,10540,14512,8398,6114
