GeographyCode,LC4407NI0001,LC4407NI0002,LC4407NI0003,LC4407NI0004,LC4407NI0005,LC4407NI0006,LC4407NI0007,LC4407NI0008,LC4407NI0009,LC4407NI0010,LC4407NI0011,LC4407NI0012,LC4407NI0013,LC4407NI0014,LC4407NI0015,LC4407NI0016,LC4407NI0017,LC4407NI0018,LC4407NI0019,LC4407NI0020,LC4407NI0021,LC4407NI0022,LC4407NI0023,LC4407NI0024,LC4407NI0025,LC4407NI0026,LC4407NI0027,LC4407NI0028,LC4407NI0029,LC4407NI0030,LC4407NI0031,LC4407NI0032
N92000002,703275,474751,104885,123639,3766,2412,438,916,120956,54233,40571,26152,24671,7032,11269,6370,437269,323604,42654,71011,18120,9987,5592,2541,4083,2302,994,787,94410,75181,3367,15862
BHSCT,148328,83915,34700,29713,807,430,134,243,67107,27630,23603,15874,7906,2205,3881,1820,65170,49440,5293,10437,1718,834,689,195,651,127,353,171,4969,3249,747,973
NHSCT,177914,127620,21174,29120,953,657,92,204,20090,10070,6101,3919,5459,1652,2453,1354,118256,89648,10273,18335,5026,2975,1325,726,918,582,162,174,27212,22036,768,4408
SEHSCT,136698,99826,17644,19228,773,509,78,186,27226,14762,8101,4363,4899,1743,2042,1114,84554,67885,5725,10944,3307,1822,1102,383,665,394,144,127,15274,12711,452,2111
SHSCT,131129,92001,14218,24910,676,426,77,173,3007,1052,1001,954,3696,912,1713,1071,94745,67602,9374,17769,4171,2279,1264,628,1009,696,159,154,23825,19034,630,4161
WHSCT,109206,71389,17149,20668,557,390,57,110,3526,719,1765,1042,2711,520,1180,1011,74544,49029,11989,13526,3898,2077,1212,609,840,503,176,161,23130,18151,770,4209
BELB,120595,63019,30818,26758,715,367,118,230,59897,23427,21575,14895,6272,1665,2995,1612,48073,34599,4599,8875,1394,671,548,175,536,89,301,146,3708,2201,682,825
NEELB,165010,118144,20122,26744,871,603,84,184,20008,10023,6100,3885,5344,1619,2412,1313,109163,83000,9469,16694,4562,2705,1196,661,773,464,150,159,24289,19730,711,3848
SEELB,164431,120722,21526,22183,865,572,94,199,34436,18965,10129,5342,6533,2283,2928,1322,101651,82726,6419,12506,3631,1985,1243,403,780,432,196,152,16535,13759,517,2259
SELB,144033,101477,15270,27286,758,480,85,193,3089,1099,1002,988,3811,945,1754,1112,103838,74250,10178,19410,4635,2549,1393,693,1154,814,171,169,26748,21340,687,4721
WELB,109206,71389,17149,20668,557,390,57,110,3526,719,1765,1042,2711,520,1180,1011,74544,49029,11989,13526,3898,2077,1212,609,840,503,176,161,23130,18151,770,4209
UKN01,120595,63019,30818,26758,715,367,118,230,59897,23427,21575,14895,6272,1665,2995,1612,48073,34599,4599,8875,1394,671,548,175,536,89,301,146,3708,2201,682,825
UKN02,156882,115712,21552,19618,638,408,86,144,42135,23477,12385,6273,6798,2494,2977,1327,92518,77747,4660,10111,2529,1502,799,228,622,309,185,128,11642,9775,460,1407
UKN03,170132,121340,19772,29020,1039,720,80,239,12510,5427,4257,2826,5347,1485,2519,1343,119043,88775,10667,19601,5197,3005,1421,771,873,541,162,170,26123,21387,666,4070
UKN04,109318,69848,18728,20742,496,319,60,117,4636,1169,2084,1383,3376,648,1598,1130,76191,49797,12727,13667,3738,1827,1351,560,661,335,174,152,20220,15753,734,3733
UKN05,146348,104832,14015,27501,878,598,94,186,1778,733,270,775,2878,740,1180,958,101444,72686,10001,18757,5262,2982,1473,807,1391,1028,172,191,32717,26065,825,5827
