GeographyCode,LC2120NI0001,LC2120NI0002,LC2120NI0003,LC2120NI0004,LC2120NI0005,LC2120NI0006,LC2120NI0007,LC2120NI0008,LC2120NI0009,LC2120NI0010,LC2120NI0011,LC2120NI0012,LC2120NI0013,LC2120NI0014,LC2120NI0015,LC2120NI0016,LC2120NI0017,LC2120NI0018,LC2120NI0019,LC2120NI0020,LC2120NI0021,LC2120NI0022,LC2120NI0023,LC2120NI0024,LC2120NI0025,LC2120NI0026,LC2120NI0027,LC2120NI0028,LC2120NI0029,LC2120NI0030,LC2120NI0031,LC2120NI0032,LC2120NI0033,LC2120NI0034,LC2120NI0035,LC2120NI0036
N92000002,1409368,622457,713042,73869,683400,298794,343092,41514,725968,323663,369950,32355,750247,308700,406500,35047,375102,150601,204700,19801,375145,158099,201800,15246,659121,313757,306542,38822,308298,148193,138392,21713,350823,165564,168150,17109
BHSCT,277668,118565,137564,21539,131909,55058,64568,12283,145759,63507,72996,9256,123308,47776,66378,9154,61867,23125,33581,5161,61441,24651,32797,3993,154360,70789,71186,12385,70042,31933,30987,7122,84318,38856,40199,5263
NHSCT,360672,117684,223995,18993,175253,56798,107892,10563,185419,60886,116103,8430,204341,64236,130918,9187,102090,31168,65739,5183,102251,33068,65179,4004,156331,53448,93077,9806,73163,25630,42153,5380,83168,27818,50924,4426
SEHSCT,270942,81582,170493,18867,130020,38316,81222,10482,140922,43266,89271,8385,157144,43490,104087,9567,78524,20887,52208,5429,78620,22603,51879,4138,113798,38092,66406,9300,51496,17429,29014,5053,62302,20663,37392,4247
SHSCT,274244,153432,111233,9579,135209,75292,54530,5387,139035,78140,56703,4192,150898,80112,66073,4713,75375,39481,33269,2625,75523,40631,32804,2088,123346,73320,45160,4866,59834,35811,21261,2762,63512,37509,23899,2104
WHSCT,225842,151194,69757,4891,111009,73330,34880,2799,114833,77864,34877,2092,114556,73086,39044,2426,57246,35940,19903,1403,57310,37146,19141,1023,111286,78108,30713,2465,53763,37390,14977,1396,57523,40718,15736,1069
BELB,224006,107452,99184,17370,106551,50030,46546,9975,117455,57422,52638,7395,92136,40765,44314,7057,46243,19836,22463,3944,45893,20929,21851,3113,131870,66687,54870,10313,60308,30194,24083,6031,71562,36493,30787,4282
NEELB,332245,101216,212772,18257,161188,48717,102338,10133,171057,52499,110434,8124,188793,55550,124428,8815,94324,26878,62460,4986,94469,28672,61968,3829,143452,45666,88344,9442,66864,21839,39878,5147,76588,23827,48466,4295
SEELB,324604,92695,208873,23036,155378,43344,99244,12790,169226,49351,109629,10246,188316,50501,126151,11664,94148,24176,63326,6646,94168,26325,62825,5018,136288,42194,82722,11372,61230,19168,35918,6144,75058,23026,46804,5228
SELB,302671,169900,122456,10315,149274,83373,60084,5817,153397,86527,62372,4498,166446,88798,72563,5085,83141,43771,36548,2822,83305,45027,36015,2263,136225,81102,49893,5230,66133,39602,23536,2995,70092,41500,26357,2235
WELB,225842,151194,69757,4891,111009,73330,34880,2799,114833,77864,34877,2092,114556,73086,39044,2426,57246,35940,19903,1403,57310,37146,19141,1023,111286,78108,30713,2465,53763,37390,14977,1396,57523,40718,15736,1069
UKN01,224006,107452,99184,17370,106551,50030,46546,9975,117455,57422,52638,7395,92136,40765,44314,7057,46243,19836,22463,3944,45893,20929,21851,3113,131870,66687,54870,10313,60308,30194,24083,6031,71562,36493,30787,4282
UKN02,305528,68695,213417,23416,145219,31474,100749,12996,160309,37221,112668,10420,176662,38332,126650,11680,88335,18105,63533,6697,88327,20227,63117,4983,128866,30363,86767,11736,56884,13369,37216,6299,71982,16994,49551,5437
UKN03,342075,119136,204076,18863,166518,57383,98614,10521,175557,61753,105462,8342,196867,64173,123327,9367,98323,31141,61926,5256,98544,33032,61401,4111,145208,54963,80749,9496,68195,26242,36688,5265,77013,28721,44061,4231
UKN04,222904,123751,92588,6565,108779,59573,45489,3717,114125,64178,47099,2848,113859,58902,51897,3060,56877,28872,26266,1739,56982,30030,25631,1321,109045,64849,40691,3505,51902,30701,19223,1978,57143,34148,21468,1527
UKN05,314855,203423,103777,7655,156333,100334,51694,4305,158522,103089,52083,3350,170723,106528,60312,3883,85324,52647,30512,2165,85399,53881,29800,1718,144132,96895,43465,3772,71009,47687,21182,2140,73123,49208,22283,1632
95AA,40598,16352,21670,2576,19691,7771,10503,1417,20907,8581,11167,1159,23715,9208,13112,1395,11842,4452,6628,762,11873,4756,6484,633,16883,7144,8558,1181,7849,3319,3875,655,9034,3825,4683,526
95BB,62222,7884,49439,4899,30020,3745,23562,2713,32202,4139,25877,2186,37586,4473,30622,2491,18785,2128,15264,1393,18801,2345,15358,1098,24636,3411,18817,2408,11235,1617,8298,1320,13401,1794,10519,1088
95CC,45501,21840,22240,1421,22525,10722,11022,781,22976,11118,11218,640,25358,11407,13183,768,12665,5630,6623,412,12693,5777,6560,356,20143,10433,9057,653,9860,5092,4399,369,10283,5341,4658,284
95DD,50553,11099,37069,2385,24686,5380,17993,1313,25867,5719,19076,1072,29163,6077,21964,1122,14578,2939,10999,640,14585,3138,10965,482,21390,5022,15105,1263,10108,2441,6994,673,11282,2581,8111,590
