GeographyCode,LC2407NI0001,LC2407NI0002,LC2407NI0003,LC2407NI0004,LC2407NI0005,LC2407NI0006,LC2407NI0007,LC2407NI0008,LC2407NI0009,LC2407NI0010,LC2407NI0011,LC2407NI0012,LC2407NI0013,LC2407NI0014,LC2407NI0015,LC2407NI0016,LC2407NI0017,LC2407NI0018,LC2407NI0019,LC2407NI0020,LC2407NI0021,LC2407NI0022,LC2407NI0023,LC2407NI0024,LC2407NI0025,LC2407NI0026,LC2407NI0027,LC2407NI0028
N92000002,703275,263153,312808,145109,104505,63194,127314,159659,62795,64003,28371,23947,11685,32861,291016,107483,128498,58879,43322,26297,55035,252600,92875,120307,57859,37236,25212,39418
BHSCT,148328,50967,62030,26727,20617,14686,35331,53341,19200,21059,8969,7691,4399,13082,61963,20619,26417,11275,8658,6484,14927,33024,11148,14554,6483,4268,3803,7322
NHSCT,177914,48294,98398,52927,26943,18528,31222,33276,8145,18400,9272,6021,3107,6731,73877,19590,40722,21781,11295,7646,13565,70761,20559,39276,21874,9627,7775,10926
SEHSCT,136698,34368,73335,35184,23144,15007,28995,24173,6939,12113,5783,4166,2164,5121,56979,14258,30131,14228,9623,6280,12590,55546,13171,31091,15173,9355,6563,11284
SHSCT,131129,64273,48215,18443,19436,10336,18641,23463,12399,7001,2344,3360,1297,4063,53579,26261,18986,6895,8035,4056,8332,54087,25613,22228,9204,8041,4983,6246
WHSCT,109206,65251,30830,11828,14365,4637,13125,25406,16112,5430,2003,2709,718,3864,44618,26755,12242,4700,5711,1831,5621,39182,22384,13158,5125,5945,2088,3640
BELB,120595,46467,45058,19193,15507,10358,29070,48321,18843,17505,7394,6512,3599,11973,49528,18722,18762,7903,6330,4529,12044,22746,8902,8791,3896,2665,2230,5053
NEELB,165010,41682,93598,50993,24898,17707,29730,31316,7146,17768,9037,5746,2985,6402,68853,17021,38910,21099,10471,7340,12922,64841,17515,36920,20857,8681,7382,10406
SEELB,164431,38868,90307,42718,28254,19335,35256,29193,7296,15667,7358,5345,2964,6230,69414,16155,37786,17600,11951,8235,15473,65824,15417,36854,17760,10958,8136,13553
SELB,144033,70885,53015,20377,21481,11157,20133,25423,13398,7633,2579,3635,1419,4392,58603,28830,20798,7577,8859,4362,8975,60007,28657,24584,10221,8987,5376,6766
WELB,109206,65251,30830,11828,14365,4637,13125,25406,16112,5430,2003,2709,718,3864,44618,26755,12242,4700,5711,1831,5621,39182,22384,13158,5125,5945,2088,3640
UKN01,120595,46467,45058,19193,15507,10358,29070,48321,18843,17505,7394,6512,3599,11973,49528,18722,18762,7903,6330,4529,12044,22746,8902,8791,3896,2665,2230,5053
UKN02,156882,28442,93220,42348,29023,21849,35220,29952,5259,17964,8028,6102,3834,6729,67854,12236,39908,18078,12412,9418,15710,59076,10947,35348,16242,10509,8597,12781
UKN03,170132,50801,89192,46254,25459,17479,30139,30921,10247,14630,7318,4860,2452,6044,69934,21095,35880,18201,10568,7111,12959,69277,19459,38682,20735,10031,7916,11136
UKN04,109318,53129,40975,21461,14507,5007,15214,26581,14099,8049,3724,3500,825,4433,45925,22354,17071,8839,6152,2080,6500,36812,16676,15855,8898,4855,2102,4281
UKN05,146348,84314,44363,15853,20009,8501,17671,23884,14347,5855,1907,2973,975,3682,57775,33076,16877,5858,7860,3159,7822,64689,36891,21631,8088,9176,4367,6167
95AA,20064,6861,9419,5533,2450,1436,3784,3616,1212,1634,887,536,211,770,8288,2876,3753,2192,1011,550,1659,8160,2773,4032,2454,903,675,1355
95BB,31514,3166,21213,11909,5229,4075,7135,5233,591,3473,1994,899,580,1169,12903,1279,8614,4749,2189,1676,3010,13378,1296,9126,5166,2141,1819,2956
95CC,21594,9266,9534,3619,4039,1876,2794,3210,1614,1086,372,554,160,510,8497,3680,3571,1308,1605,658,1246,9887,3972,4877,1939,1880,1058,1038
95DD,24817,4582,16263,10569,2774,2920,3972,4284,831,2596,1640,555,401,857,10037,1859,6528,4233,1143,1152,1650,10496,1892,7139,4696,1076,1367,1465
95EE,11508,2965,7000,4394,1561,1045,1543,1778,408,1094,652,336,106,276,4731,1158,2921,1841,669,411,652,4999,1399,2985,1901,556,528,615
95FF,18303,5099,10291,5262,3157,1872,2913,2596,781,1376,635,557,184,439,7138,2022,3856,1914,1245,697,1260,8569,2296,5059,2713,1355,991,1214
95GG,120595,46467,45058,19193,15507,10358,29070,48321,18843,17505,7394,6512,3599,11973,49528,18722,18762,7903,6330,4529,12044,22746,8902,8791,3896,2665,2230,5053
95HH,16200,1189,11071,5008,3132,2931,3940,3432,278,2334,1006,746,582,820,6989,511,4749,2129,1358,1262,1729,5779,400,3988,1873,1028,1087,1391
95II,27733,4500,16972,7534,5110,4328,6261,5020,357,3554,1575,1179,800,1109,12435,1897,7655,3372,2328,1955,2883,10278,2246,5763,2587,1603,1573,2269
95JJ,23508,5267,13934,6909,5189,1836,4307,4986,1107,2812,1215,1306,291,1067,10032,2201,5929,2878,2233,818,1902,8490,1959,5193,2816,1650,727,1338
95KK,12904,6612,4800,1934,2045,821,1492,1960,999,632,235,275,122,329,5024,2569,1812,682,824,306,643,5920,3044,2356,1017,946,393,520
95LL,35931,13953,16191,4138,7688,4365,5787,7946,3490,2916,671,1555,690,1540,15489,6068,6818,1635,3314,1869,2603,12496,4395,6457,1832,2819,1806,1644
95MM,40779,26374,8648,4193,3387,1068,5757,12839,8530,2138,934,925,279,2171,17083,11077,3647,1750,1455,442,2359,10857,6767,2863,1509,1007,347,1227
95NN,26206,14363,7727,3791,2520,1416,4116,4373,2612,1053,505,401,147,708,10485,5826,2916,1374,991,551,1743,11348,5925,3758,1912,1128,718,1665
95OO,20270,11205,6590,2202,3171,1217,2475,3245,1918,802,229,444,129,525,8139,4460,2582,813,1323,446,1097,8886,4827,3206,1160,1404,642,853
95PP,23069,12168,8204,768,5476,1960,2697,3702,2120,1086,83,766,237,496,9098,4732,3122,308,2050,764,1244,10269,5316,3996,377,2660,959,957
95QQ,13297,2777,8088,5052,1641,1395,2432,2873,730,1582,986,357,239,561,5594,1165,3395,2104,675,616,1034,4830,882,3111,1962,609,540,837
95RR,12098,6421,4443,2413,1634,396,1234,2359,1293,770,371,342,57,296,5013,2663,1820,965,693,162,530,4726,2465,1853,1077,599,177,408
95SS,45723,13428,23634,9304,9255,5075,8661,8752,3122,3961,1485,1732,744,1669,19170,5713,9665,3748,3886,2031,3792,17801,4593,10008,4071,3637,2300,3200
95TT,15037,8750,4763,2111,1765,887,1524,2152,1100,772,305,355,112,280,5511,3135,1783,786,683,314,593,7374,4515,2208,1020,727,461,651
95UU,6608,3377,2278,1095,1000,183,953,1262,592,455,183,244,28,215,2832,1441,949,464,416,69,442,2514,1344,874,448,340,86,296
95VV,35031,24750,5609,3222,1381,1006,4672,6466,4596,821,437,250,134,1049,14316,10031,2159,1225,548,386,2126,14249,10123,2629,1560,583,486,1497
95WW,33971,5914,20782,10322,5386,5074,7275,6933,888,4489,2163,1311,1015,1556,14839,2675,8903,4472,2283,2148,3261,12199,2351,7390,3687,1792,1911,2458
95XX,33255,3411,20761,10180,6140,4441,9083,5815,614,3626,1799,1134,693,1575,14421,1440,8936,4357,2557,2022,4045,13019,1357,8199,4024,2449,1726,3463
95YY,18443,11563,4863,1997,2132,734,2017,3149,2000,656,246,329,81,493,7190,4469,1848,736,827,285,873,8104,5094,2359,1015,976,368,651
95ZZ,14817,8725,4672,2457,1736,479,1420,3357,2169,780,369,347,64,408,6234,3814,1805,941,686,178,615,5226,2742,2087,1147,703,237,397
