GeographyCode,LC4404NI0001,LC4404NI0002,LC4404NI0003,LC4404NI0004,LC4404NI0005,LC4404NI0006,LC4404NI0007,LC4404NI0008,LC4404NI0009,LC4404NI0010,LC4404NI0011,LC4404NI0012,LC4404NI0013,LC4404NI0014,LC4404NI0015,LC4404NI0016,LC4404NI0017,LC4404NI0018,LC4404NI0019,LC4404NI0020,LC4404NI0021,LC4404NI0022,LC4404NI0023,LC4404NI0024,LC4404NI0025,LC4404NI0026,LC4404NI0027,LC4404NI0028,LC4404NI0029,LC4404NI0030,LC4404NI0031,LC4404NI0032,LC4404NI0033,LC4404NI0034,LC4404NI0035,LC4404NI0036,LC4404NI0037,LC4404NI0038,LC4404NI0039,LC4404NI0040,LC4404NI0041,LC4404NI0042,LC4404NI0043,LC4404NI0044,LC4404NI0045,LC4404NI0046,LC4404NI0047,LC4404NI0048,LC4404NI0049,LC4404NI0050,LC4404NI0051,LC4404NI0052,LC4404NI0053,LC4404NI0054,LC4404NI0055,LC4404NI0056,LC4404NI0057,LC4404NI0058,LC4404NI0059,LC4404NI0060
N92000002,703275,639784,63491,492550,443536,49014,198042,184990,13052,9963,9089,874,2720,2169,551,474751,460569,14182,336571,325298,11273,131817,129147,2670,5247,5076,171,1116,1048,68,104885,77602,27283,72229,49114,23115,29724,25877,3847,2246,2081,165,686,530,156,123639,101613,22026,83750,69124,14626,36501,29966,6535,2470,1932,538,918,591,327
BHSCT,148328,123477,24851,104180,85887,18293,41049,35181,5868,2336,1907,429,763,502,261,83915,78713,5202,61093,56930,4163,21727,20752,975,872,826,46,223,205,18,34700,24264,10436,23686,15082,8604,9966,8302,1664,819,729,90,229,151,78,29713,20500,9213,19401,13875,5526,9356,6127,3229,645,352,293,311,146,165
NHSCT,177914,164192,13722,127228,116123,11105,48127,45697,2430,2051,1928,123,508,444,64,127620,124247,3373,91778,89090,2688,34368,33739,629,1225,1180,45,249,238,11,21174,15101,6073,15340,9952,5388,5399,4744,655,325,308,17,110,97,13,29120,24844,4276,20110,17081,3029,8360,7214,1146,501,440,61,149,109,40
SEHSCT,136698,124870,11828,98696,89192,9504,36140,33964,2176,1486,1390,96,376,324,52,99826,96317,3509,73534,70661,2873,25350,24750,600,781,754,27,161,152,9,17644,12751,4893,11782,7703,4079,5333,4563,770,410,385,25,119,100,19,19228,15802,3426,13380,10828,2552,5457,4651,806,295,251,44,96,72,24
SHSCT,131129,124606,6523,88792,83895,4897,39622,38243,1379,2168,2022,146,547,446,101,92001,90815,1186,62492,61634,858,28030,27755,275,1260,1225,35,219,201,18,14218,11326,2892,10011,7517,2494,3834,3473,361,272,258,14,101,78,23,24910,22465,2445,16289,14744,1545,7758,7015,743,636,539,97,227,167,60
WHSCT,109206,102639,6567,73654,68439,5215,33104,31905,1199,1922,1842,80,526,453,73,71389,70477,912,47674,46983,691,22342,22151,191,1109,1091,18,264,252,12,17149,14160,2989,11410,8860,2550,5192,4795,397,420,401,19,127,104,23,20668,18002,2666,14570,12596,1974,5570,4959,611,393,350,43,135,97,38
BELB,120595,99098,21497,83863,68359,15504,33945,28603,5342,2085,1681,404,702,455,247,63019,58729,4290,45700,42292,3408,16397,15574,823,730,685,45,192,178,14,30818,22196,8622,20780,13752,7028,9061,7622,1439,762,683,79,215,139,76,26758,18173,8585,17383,12315,5068,8487,5407,3080,593,313,280,295,138,157
NEELB,165010,151730,13280,118694,107926,10768,44052,41712,2340,1825,1712,113,439,380,59,118144,114849,3295,85578,82942,2636,31294,30686,608,1061,1020,41,211,201,10,20122,14220,5902,14595,9352,5243,5121,4488,633,308,294,14,98,86,12,26744,22661,4083,18521,15632,2889,7637,6538,1099,456,398,58,130,93,37
SEELB,164431,149249,15182,119013,106720,12293,43244,40542,2702,1737,1616,121,437,371,66,120722,116301,4421,88927,85299,3628,30680,29928,752,923,895,28,192,179,13,21526,14819,6707,14688,9033,5655,6238,5243,995,467,431,36,133,112,21,22183,18129,4054,15398,12388,3010,6326,5371,955,347,290,57,112,80,32
SELB,144033,137068,6965,97326,92092,5234,43697,42228,1469,2394,2238,156,616,510,106,101477,100213,1264,68692,67782,910,31104,30808,296,1424,1385,39,257,238,19,15270,12207,3063,10756,8117,2639,4112,3729,383,289,272,17,113,89,24,27286,24648,2638,17878,16193,1685,8481,7691,790,681,581,100,246,183,63
WELB,109206,102639,6567,73654,68439,5215,33104,31905,1199,1922,1842,80,526,453,73,71389,70477,912,47674,46983,691,22342,22151,191,1109,1091,18,264,252,12,17149,14160,2989,11410,8860,2550,5192,4795,397,420,401,19,127,104,23,20668,18002,2666,14570,12596,1974,5570,4959,611,393,350,43,135,97,38
UKN01,120595,99098,21497,83863,68359,15504,33945,28603,5342,2085,1681,404,702,455,247,63019,58729,4290,45700,42292,3408,16397,15574,823,730,685,45,192,178,14,30818,22196,8622,20780,13752,7028,9061,7622,1439,762,683,79,215,139,76,26758,18173,8585,17383,12315,5068,8487,5407,3080,593,313,280,295,138,157
UKN02,156882,139580,17302,114289,100103,14186,40713,37784,2929,1521,1394,127,359,299,60,115712,110541,5171,85693,81397,4296,29056,28224,832,809,780,29,154,140,14,21552,13725,7827,15093,8375,6718,5929,4878,1051,419,380,39,111,92,19,19618,15314,4304,13503,10331,3172,5728,4682,1046,293,234,59,94,67,27
UKN03,170132,159145,10987,121638,112841,8797,46102,44101,2001,1913,1791,122,479,412,67,121340,119002,2338,87459,85645,1814,32619,32136,483,1061,1029,32,201,192,9,19772,14723,5049,14176,9764,4412,5183,4580,603,300,286,14,113,93,20,29020,25420,3600,20003,17432,2571,8300,7385,915,552,476,76,165,127,38
UKN04,109318,101719,7599,74738,68686,6052,32264,30875,1389,1829,1743,86,487,415,72,69848,68654,1194,47736,46799,937,20902,20675,227,990,970,20,220,210,10,18728,15250,3478,12414,9432,2982,5712,5258,454,465,445,20,137,115,22,20742,17815,2927,14588,12455,2133,5650,4942,708,374,328,46,130,90,40
UKN05,146348,140242,6106,98022,93547,4475,45018,43627,1391,2615,2480,135,693,588,105,104832,103643,1189,69983,69165,818,32843,32538,305,1657,1612,45,349,328,21,14015,11708,2307,9766,7791,1975,3839,3539,300,300,287,13,110,91,19,27501,24891,2610,18273,16591,1682,8336,7550,786,658,581,77,234,169,65
95AA,20064,18660,1404,13983,12856,1127,5780,5524,256,251,237,14,50,43,7,14372,14054,318,10137,9884,253,4066,4006,60,141,136,5,28,28,0,2385,1762,623,1701,1141,560,631,569,62,44,43,1,9,9,0,3307,2844,463,2145,1831,314,1083,949,134,66,58,8,13,6,7
95BB,31514,29380,2134,23030,21322,1708,8144,7738,406,269,259,10,71,61,10,23303,22734,569,17239,16793,446,5891,5773,118,146,142,4,27,26,1,4094,3111,983,2898,2066,832,1118,974,144,58,56,2,20,15,5,4117,3535,582,2893,2463,430,1135,991,144,65,61,4,24,20,4
95CC,21594,20720,874,14997,14332,665,6207,6036,171,310,295,15,80,57,23,15928,15750,178,11038,10922,116,4650,4598,52,199,194,5,41,36,5,2029,1649,380,1476,1145,331,497,457,40,42,38,4,14,9,5,3637,3321,316,2483,2265,218,1060,981,79,69,63,6,25,12,13
95DD,24817,23048,1769,18297,16894,1403,6181,5851,330,266,239,27,73,64,9,17844,17483,361,13390,13107,283,4289,4219,70,140,133,7,25,24,1,2778,1951,827,1996,1263,733,727,638,89,39,37,2,16,13,3,4195,3614,581,2911,2524,387,1165,994,171,87,69,18,32,27,5
95EE,11508,11120,388,7919,7624,295,3371,3288,83,176,171,5,42,37,5,8120,8065,55,5544,5512,32,2449,2431,18,104,101,3,23,21,2,1437,1259,178,1004,849,155,382,361,21,39,38,1,12,11,1,1951,1796,155,1371,1263,108,540,496,44,33,32,1,7,5,2
95FF,18303,17454,849,13088,12383,705,5001,4871,130,181,171,10,33,29,4,13545,13346,199,9630,9470,160,3779,3743,36,117,114,3,19,19,0,1806,1431,375,1329,990,339,451,417,34,21,20,1,5,4,1,2952,2677,275,2129,1923,206,771,711,60,43,37,6,9,6,3
95GG,120595,99098,21497,83863,68359,15504,33945,28603,5342,2085,1681,404,702,455,247,63019,58729,4290,45700,42292,3408,16397,15574,823,730,685,45,192,178,14,30818,22196,8622,20780,13752,7028,9061,7622,1439,762,683,79,215,139,76,26758,18173,8585,17383,12315,5068,8487,5407,3080,593,313,280,295,138,157
95HH,16200,14237,1963,12074,10463,1611,4002,3663,339,104,94,10,20,17,3,11747,11131,616,8784,8285,499,2892,2779,113,61,58,3,10,9,1,2214,1419,795,1707,1000,707,487,401,86,14,14,0,6,4,2,2239,1687,552,1583,1178,405,623,483,140,29,22,7,4,4,0
95II,27733,24379,3354,20317,17528,2789,7104,6578,526,251,226,25,61,47,14,20896,19984,912,15393,14638,755,5330,5178,152,142,141,1,31,27,4,3882,2068,1814,2906,1330,1576,905,680,225,57,46,11,14,12,2,2955,2327,628,2018,1560,458,869,720,149,52,39,13,16,8,8
95JJ,23508,21456,2052,17417,15788,1629,5771,5387,384,242,220,22,78,61,17,15585,15120,465,11873,11489,384,3570,3496,74,113,107,6,29,28,1,3235,2451,784,2297,1597,700,869,789,80,53,50,3,16,15,1,4688,3885,803,3247,2702,545,1332,1102,230,76,63,13,33,18,15
95KK,12904,12462,442,8534,8197,337,4075,3985,90,226,216,10,69,64,5,9476,9398,78,6200,6148,52,3074,3053,21,164,160,4,38,37,1,1052,881,171,745,600,145,278,256,22,17,14,3,12,11,1,2376,2183,193,1589,1449,140,723,676,47,45,42,3,19,16,3
95LL,35931,33838,2093,24878,23224,1654,10418,10041,377,494,455,39,141,118,23,23929,23661,268,16654,16452,202,6993,6934,59,241,238,3,41,37,4,4710,3593,1117,3424,2447,977,1175,1048,127,77,71,6,34,27,7,7292,6584,708,4800,4325,475,2250,2059,191,176,146,30,66,54,12
95MM,40779,36668,4111,26564,23300,3264,13120,12362,758,865,816,49,230,190,40,23600,23086,514,15240,14831,409,7840,7746,94,428,421,7,92,88,4,9271,7241,2030,5819,4122,1697,3105,2804,301,265,251,14,82,64,18,7908,6341,1567,5505,4347,1158,2175,1812,363,172,144,28,56,38,18
95NN,26206,24535,1671,18271,16985,1286,7497,7142,355,348,328,20,90,80,10,18706,18298,408,13102,12805,297,5338,5239,99,216,206,10,50,48,2,2575,1999,576,1725,1246,479,780,686,94,47,46,1,23,21,2,4925,4238,687,3444,2934,510,1379,1217,162,85,76,9,17,11,6
95OO,20270,19400,870,13197,12636,561,6502,6251,251,442,406,36,129,107,22,14028,13906,122,9377,9293,84,4382,4354,28,226,219,7,43,40,3,2083,1723,360,1387,1098,289,638,572,66,42,40,2,16,13,3,4159,3771,388,2433,2245,188,1482,1325,157,174,147,27,70,54,16
95PP,23069,22182,887,16366,15672,694,6294,6121,173,310,299,11,99,90,9,16782,16584,198,11836,11691,145,4678,4630,48,208,205,3,60,58,2,2170,1914,256,1593,1366,227,530,504,26,34,31,3,13,13,0,4117,3684,433,2937,2615,322,1086,987,99,68,63,5,26,19,7
95QQ,13297,12230,1067,10091,9177,914,3081,2934,147,104,102,2,21,17,4,9641,9426,215,7307,7134,173,2263,2222,41,60,60,0,11,10,1,1424,876,548,1103,611,492,301,248,53,14,13,1,6,4,2,2232,1928,304,1681,1432,249,517,464,53,30,29,1,4,3,1
95RR,12098,11690,408,8220,7882,338,3659,3596,63,173,169,4,46,43,3,8392,8348,44,5647,5615,32,2608,2597,11,111,110,1,26,26,0,1557,1334,223,1084,889,195,433,408,25,30,28,2,10,9,1,2149,2008,141,1489,1378,111,618,591,27,32,31,1,10,8,2
95SS,45723,41741,3982,31677,28534,3143,13217,12429,788,690,655,35,139,123,16,32686,31580,1106,23339,22445,894,8955,8752,203,332,327,5,60,56,4,7699,5675,2024,4760,3082,1678,2622,2301,321,262,244,18,55,48,7,5338,4486,852,3578,3007,571,1640,1376,264,96,84,12,24,19,5
