GeographyCode,LC6403NI0001,LC6403NI0002,LC6403NI0003,LC6403NI0004,LC6403NI0005,LC6403NI0006,LC6403NI0007,LC6403NI0008,LC6403NI0009,LC6403NI0010,LC6403NI0011,LC6403NI0012,LC6403NI0013,LC6403NI0014,LC6403NI0015,LC6403NI0016,LC6403NI0017,LC6403NI0018,LC6403NI0019,LC6403NI0020
N92000002,618559,414728,90303,113528,184519,150228,8653,25638,149855,117473,12046,20336,235371,134358,50813,50200,48814,12669,18791,17354
BHSCT,129324,71373,30034,27917,42654,30998,3038,8618,24666,16058,3997,4611,48039,21882,16532,9625,13965,2435,6467,5063
NHSCT,155804,111670,17759,26375,45328,38520,1629,5179,39565,32378,2367,4820,61793,38128,10655,13010,9118,2644,3108,3366
SEHSCT,119897,87662,14874,17361,42302,36196,1543,4563,31729,25631,2295,3803,39700,24133,8436,7131,6166,1702,2600,1864
SHSCT,116175,81089,12257,22829,30603,25490,1131,3982,29857,24438,1618,3801,47062,28117,7039,11906,8653,3044,2469,3140
WHSCT,97359,62934,15379,19046,23632,19024,1312,3296,24038,18968,1769,3301,38777,22098,8151,8528,10912,2844,4147,3921
BELB,105808,53697,26853,25258,32790,22451,2662,7677,19108,11649,3401,4058,40773,17388,14709,8676,13137,2209,6081,4847
NEELB,144392,103364,16840,24188,42899,36487,1554,4858,36350,29652,2258,4440,56953,34983,10118,11852,8190,2242,2910,3038
SEELB,143413,105338,18055,20020,52166,44743,1919,5504,37287,30040,2891,4356,46966,28627,10259,8080,6994,1928,2986,2080
SELB,127587,89395,13176,25016,33032,27523,1206,4303,33072,27164,1727,4181,51902,31262,7576,13064,9581,3446,2667,3468
WELB,97359,62934,15379,19046,23632,19024,1312,3296,24038,18968,1769,3301,38777,22098,8151,8528,10912,2844,4147,3921
UKN01,105808,53697,26853,25258,32790,22451,2662,7677,19108,11649,3401,4058,40773,17388,14709,8676,13137,2209,6081,4847
UKN02,136674,101027,17884,17763,51024,43978,1916,5130,33145,26649,2831,3665,46055,28651,10121,7283,6450,1749,3016,1685
UKN03,149886,106953,16625,26308,44410,37774,1580,5056,38644,31370,2286,4988,58810,35578,10117,13115,8022,2231,2642,3149
UKN04,97172,61389,16670,19113,24632,19848,1383,3401,23399,18081,1963,3355,38383,21004,9109,8270,10758,2456,4215,4087
UKN05,129019,91662,12271,25086,31663,26177,1112,4374,35559,29724,1565,4270,51350,31737,6757,12856,10447,4024,2837,3586
95AA,18099,12933,2111,3055,5674,4698,234,742,4618,3745,306,567,6985,4257,1237,1491,822,233,334,255
95BB,27622,20583,3380,3659,8612,7525,302,785,7856,6491,526,839,10023,6224,2136,1663,1131,343,416,372
95CC,18983,13963,1740,3280,5016,4250,182,584,5405,4581,251,573,7272,4661,951,1660,1290,471,356,463
95DD,21468,15422,2286,3760,6200,5287,236,677,5130,4258,260,612,9064,5587,1402,2075,1074,290,388,396
95EE,10052,7077,1244,1731,2276,1920,94,262,2895,2424,157,314,4226,2565,755,906,655,168,238,249
95FF,16209,12079,1506,2624,5000,4266,157,577,4603,3840,222,541,5822,3719,887,1216,784,254,240,290
95GG,105808,53697,26853,25258,32790,22451,2662,7677,19108,11649,3401,4058,40773,17388,14709,8676,13137,2209,6081,4847
95HH,14213,10429,1742,2042,4682,4051,170,461,3313,2675,259,379,5511,3499,1045,967,707,204,268,235
95II,23516,17676,3181,2659,9864,8547,376,941,5558,4409,596,553,7266,4494,1823,949,828,226,386,216
95JJ,20398,13383,2744,4271,6094,5009,217,868,5104,4027,338,739,7516,3986,1686,1844,1684,361,503,820
95KK,11412,8306,919,2187,2429,2033,75,321,3215,2726,109,380,4840,3145,537,1158,928,402,198,328
95LL,31956,21229,3981,6746,8528,7181,314,1033,7013,5467,486,1060,14278,8046,2498,3734,2137,535,683,919
95MM,37039,21104,8425,7510,9837,7603,781,1453,7489,5200,1011,1278,14647,7327,4335,2985,5066,974,2298,1794
95NN,22986,16317,2199,4470,7242,6114,228,900,6566,5246,326,994,7672,4545,1227,1900,1506,412,418,676
95OO,17974,12306,1847,3821,4274,3523,168,583,4685,3919,199,567,7566,4288,1063,2215,1449,576,417,456
95PP,20097,14512,1872,3713,4786,3915,170,701,5682,4814,220,648,8165,5231,1053,1881,1464,552,429,483
95QQ,11546,8390,1162,1994,3154,2703,109,342,2858,2323,160,375,4966,3200,730,1036,568,164,163,241
95RR,10892,7531,1389,1972,2449,2079,87,283,3002,2457,157,388,4299,2649,783,867,1142,346,362,434
95SS,40680,29145,6713,4822,14342,12171,681,1490,10103,8081,1006,1016,13797,8249,3630,1918,2438,644,1396,398
95TT,13239,9744,1095,2400,3330,2805,77,448,3803,3215,143,445,5303,3394,663,1246,803,330,212,261
95UU,5721,3826,790,1105,1459,1191,60,208,1662,1314,102,246,2109,1201,420,488,491,120,208,163
95VV,31053,21512,3183,6358,7785,6270,310,1205,8151,6631,460,1060,12124,7403,1640,3081,2993,1208,773,1012
95WW,29656,22160,3666,3830,10030,8823,357,850,6967,5671,533,763,11273,7294,2180,1799,1386,372,596,418
95XX,28609,21617,2582,4410,12106,10386,332,1388,7204,5813,437,954,8208,5115,1443,1650,1091,303,370,418
95YY,16261,11319,1615,3327,4043,3381,130,532,4618,3838,183,597,6080,3615,850,1615,1520,485,452,583
95ZZ,13070,8468,2078,2524,2517,2046,144,327,3247,2659,198,390,5586,3276,1130,1180,1720,487,606,627
