GeographyCode,LC2109NI0001,LC2109NI0002,LC2109NI0003,LC2109NI0004,LC2109NI0005,LC2109NI0006,LC2109NI0007,LC2109NI0008,LC2109NI0009,LC2109NI0010,LC2109NI0011,LC2109NI0012,LC2109NI0013,LC2109NI0014,LC2109NI0015,LC2109NI0016,LC2109NI0017,LC2109NI0018,LC2109NI0019,LC2109NI0020,LC2109NI0021,LC2109NI0022,LC2109NI0023,LC2109NI0024,LC2109NI0025,LC2109NI0026,LC2109NI0027,LC2109NI0028,LC2109NI0029,LC2109NI0030,LC2109NI0031,LC2109NI0032
N92000002,1810863,738033,752555,345101,248821,158633,320275,183164,606957,271482,216521,96698,71811,48012,118954,69409,498046,212211,182643,82984,58874,40785,103192,62111,705860,254340,353391,165419,118136,69836,98129,51644
BHSCT,348204,130813,134436,57385,43155,33896,82955,48241,115633,48139,37388,16040,11310,10038,30106,17724,99134,37979,31247,13239,9635,8373,29908,18095,133437,44695,65801,28106,22210,15485,22941,12422
NHSCT,463297,141816,240423,127421,65547,47455,81058,50147,152790,52352,69729,35687,19600,14442,30709,19780,124656,41360,58321,30203,15783,12335,24975,16347,185851,48104,112373,61531,30164,20678,25374,14020
SEHSCT,346911,96805,175255,83481,54136,37638,74851,50833,110982,35785,47461,22368,14106,10987,27736,19343,91054,27750,40981,19569,11904,9508,22323,15813,144875,33270,86813,41544,28126,17143,24792,15677
SHSCT,358034,185603,123822,47461,48829,27532,48609,21744,125236,68592,38135,14342,15015,8778,18509,8349,101875,54053,32120,12408,12202,7510,15702,7680,130923,62958,53567,20711,21612,11244,14398,5715
WHSCT,294417,182996,78619,29353,37154,12112,32802,12199,102316,66614,23808,8261,11780,3767,11894,4213,81327,51069,19974,7565,9350,3059,10284,4176,110774,65313,34837,13527,16024,5286,10624,3810
BELB,280962,117712,95919,40463,32035,23421,67331,37239,95456,43350,27329,11597,8620,7112,24777,13848,81470,33792,22901,9569,7322,6010,24777,14335,104036,40570,45689,19297,16093,10299,17777,9056
NEELB,426284,121437,227855,122568,60074,45213,76992,48555,139584,44561,65836,34276,17824,13736,29187,19167,114025,35277,55048,29005,14344,11699,23700,15749,172675,41599,106971,59287,27906,19778,24105,13639
SEELB,414153,109906,213772,100403,65256,48113,90475,61835,131159,40574,57520,26811,16796,13913,33065,23219,108718,31937,49327,23239,14217,11871,27454,19573,174276,37395,106925,50353,34243,22329,29956,19043
SELB,395047,205982,136390,52314,54302,29774,52675,23336,138442,76383,42028,15753,16791,9484,20031,8962,112506,60136,35393,13606,13641,8146,16977,8278,144099,69463,58969,22955,23870,12144,15667,6096
WELB,294417,182996,78619,29353,37154,12112,32802,12199,102316,66614,23808,8261,11780,3767,11894,4213,81327,51069,19974,7565,9350,3059,10284,4176,110774,65313,34837,13527,16024,5286,10624,3810
UKN01,280962,117712,95919,40463,32035,23421,67331,37239,95456,43350,27329,11597,8620,7112,24777,13848,81470,33792,22901,9569,7322,6010,24777,14335,104036,40570,45689,19297,16093,10299,17777,9056
UKN02,390597,81243,219255,98142,66825,54288,90099,62670,124206,30766,60249,26529,17664,16056,33191,23733,104072,24704,51140,22848,14869,13423,28228,20409,162319,25773,107866,48765,34292,24809,28680,18528
