GeographyCode,LC4409NI0001,LC4409NI0002,LC4409NI0003,LC4409NI0004,LC4409NI0005,LC4409NI0006,LC4409NI0007,LC4409NI0008,LC4409NI0009,LC4409NI0010,LC4409NI0011,LC4409NI0012,LC4409NI0013,LC4409NI0014,LC4409NI0015,LC4409NI0016,LC4409NI0017,LC4409NI0018,LC4409NI0019,LC4409NI0020,LC4409NI0021,LC4409NI0022,LC4409NI0023,LC4409NI0024,LC4409NI0025
N92000002,703275,14395,133431,350956,204493,196414,9474,70250,91538,25152,212286,3309,40678,112388,55911,117920,949,13548,66136,37287,176655,663,8955,80894,86143
BHSCT,148328,5192,43902,73010,26224,50611,3297,22717,20517,4080,45387,1284,13776,23030,7297,23640,385,4750,13674,4831,28690,226,2659,15789,10016
NHSCT,177914,2573,27882,89530,57929,46858,1732,15072,23207,6847,55248,568,8408,29973,16299,30174,154,2585,16875,10560,45634,119,1817,19475,24223
SEHSCT,136698,2283,24986,66536,42893,36574,1554,13144,16903,4973,44255,514,7971,22268,13502,23269,130,2444,12647,8048,32600,85,1427,14718,16370
SHSCT,131129,2052,19141,66185,43751,32965,1275,9918,16723,5049,37040,488,5509,20545,10498,22440,158,2015,12503,7764,38684,131,1699,16414,20440
WHSCT,109206,2295,17520,55695,33696,29406,1616,9399,14188,4203,30356,455,5014,16572,8315,18397,122,1754,10437,6084,31047,102,1353,14498,15094
BELB,120595,4802,38982,57373,19438,42401,3032,19876,16203,3290,36385,1195,12317,17544,5329,19166,361,4356,10898,3551,22643,214,2433,12728,7268
NEELB,165010,2403,26224,83291,53092,43835,1629,14285,21645,6276,51762,521,7923,28094,15224,28079,141,2393,15771,9774,41334,112,1623,17781,21818
SEELB,164431,2673,29906,82173,49679,44784,1819,15985,21217,5763,53257,603,9430,27754,15470,27743,154,2838,15423,9328,38647,97,1653,17779,19118
SELB,144033,2222,20799,72424,48588,35988,1378,10705,18285,5620,40526,535,5994,22424,11573,24535,171,2207,13607,8550,42984,138,1893,18108,22845
WELB,109206,2295,17520,55695,33696,29406,1616,9399,14188,4203,30356,455,5014,16572,8315,18397,122,1754,10437,6084,31047,102,1353,14498,15094
UKN01,120595,4802,38982,57373,19438,42401,3032,19876,16203,3290,36385,1195,12317,17544,5329,19166,361,4356,10898,3551,22643,214,2433,12728,7268
UKN02,156882,2436,28587,81031,44828,43525,1658,15578,21254,5035,51209,544,8964,27889,13812,26741,153,2599,15277,8712,35407,81,1446,16611,17269
UKN03,170132,2530,27812,85415,54375,44655,1698,14974,21614,6369,53121,576,8450,28405,15690,29312,141,2627,16424,10120,43044,115,1761,18972,22196
UKN04,109318,2359,18011,56896,32052,29564,1670,9522,14205,4167,32001,452,5373,17548,8628,18607,127,1815,10866,5799,29146,110,1301,14277,13458
UKN05,146348,2268,20039,70241,53800,36269,1416,10300,18262,6291,39570,542,5574,21002,12452,24094,167,2151,12671,9105,46415,143,2014,18306,25952
95AA,20064,262,2987,10234,6581,5093,179,1647,2555,712,5960,54,846,3223,1837,3555,13,292,2082,1168,5456,16,202,2374,2864
95BB,31514,526,6040,15552,9396,8310,371,3094,3786,1059,10811,122,2053,5490,3146,5258,17,589,2903,1749,7135,16,304,3373,3442
95CC,21594,286,2715,10785,7808,5464,179,1468,2931,886,6080,61,740,3369,1910,3655,25,293,1944,1393,6395,21,214,2541,3619
95DD,24817,340,3782,11768,8927,6381,213,2031,3036,1101,7927,85,1130,4061,2651,4335,26,347,2252,1710,6174,16,274,2419,3465
95EE,11508,182,1541,5790,3995,2741,107,764,1430,440,3451,45,465,1867,1074,1978,15,192,1080,691,3338,15,120,1413,1790
95FF,18303,242,2841,8543,6677,4613,155,1551,2170,737,5539,69,898,2821,1751,3067,10,239,1610,1208,5084,8,153,1942,2981
95GG,120595,4802,38982,57373,19438,42401,3032,19876,16203,3290,36385,1195,12317,17544,5329,19166,361,4356,10898,3551,22643,214,2433,12728,7268
95HH,16200,244,3169,8243,4544,4674,179,1835,2166,494,5293,53,956,2932,1352,2808,6,257,1595,950,3425,6,121,1550,1748
95II,27733,390,4920,15637,6786,8210,265,2841,4314,790,9002,89,1459,5486,1968,4474,24,394,2776,1280,6047,12,226,3061,2748
95JJ,23508,437,3660,11431,7980,6715,316,1977,3200,1222,7651,73,1108,3887,2583,3819,21,331,2074,1393,5323,27,244,2270,2782
95KK,12904,170,1658,6239,4837,3023,103,787,1562,571,3486,47,485,1879,1075,2095,13,192,1104,786,4300,7,194,1694,2405
95LL,35931,570,5347,19961,10053,9528,381,2894,5063,1190,10740,112,1502,6472,2654,6389,43,532,3868,1946,9274,34,419,4558,4263
95MM,40779,1209,7946,22113,9511,11366,876,4137,5131,1222,11364,227,2425,6374,2338,7079,62,820,4396,1801,10970,44,564,6212,4150
95NN,26206,424,4337,12676,8769,6888,288,2332,3190,1078,7708,92,1266,3959,2391,4477,23,436,2449,1569,7133,21,303,3078,3731
95OO,20270,359,2878,9735,7298,4856,202,1350,2428,876,5341,97,787,2891,1566,3424,35,346,1797,1246,6649,25,395,2619,3610
95PP,23069,324,3306,10871,8568,6356,211,1880,3116,1149,6549,83,869,3347,2250,3696,13,312,1858,1513,6468,17,245,2550,3656
95QQ,13297,166,2478,6681,3972,3842,111,1425,1814,492,4436,42,755,2379,1260,2231,9,192,1260,770,2788,4,106,1228,1450
95RR,12098,159,1672,6309,3958,2811,102,871,1428,410,3562,37,514,2036,975,2219,10,168,1244,797,3506,10,119,1601,1776
95SS,45723,773,8310,22695,13945,11384,489,4064,5389,1442,14276,191,2676,7294,4115,8238,64,976,4507,2691,11825,29,594,5505,5697
95TT,15037,187,1693,7072,6085,3174,119,839,1662,554,3933,47,489,2083,1314,2420,11,167,1261,981,5510,10,198,2066,3236
95UU,6608,116,1025,3229,2238,1950,86,583,935,346,1933,20,277,1010,626,1008,7,86,556,359,1717,3,79,728,907
95VV,35031,595,5360,17161,11915,8504,358,2655,4131,1360,9340,149,1582,4992,2617,5905,45,605,3284,1971,11282,43,518,4754,5967
95WW,33971,469,5889,18843,8770,9265,319,3184,4847,915,11178,102,1897,6652,2527,5925,33,529,3611,1752,7603,15,279,3733,3576
95XX,33255,560,6299,15613,10783,9992,406,3654,4538,1394,11460,109,1976,5525,3850,5296,26,443,2788,2039,6507,19,226,2762,3500
95YY,18443,347,2429,8378,7289,4892,244,1321,2432,895,4841,58,622,2441,1720,2899,25,236,1423,1215,5811,20,250,2082,3459
95ZZ,14817,256,2167,8024,4370,3981,183,1190,2081,527,4040,50,584,2374,1032,2504,12,218,1516,758,4292,11,175,2053,2053
