GeographyCode,LC1103NI0001,LC1103NI0002,LC1103NI0003,LC1103NI0004,LC1103NI0005,LC1103NI0006,LC1103NI0007,LC1103NI0008,LC1103NI0009,LC1103NI0010,LC1103NI0011,LC1103NI0012,LC1103NI0013,LC1103NI0014,LC1103NI0015,LC1103NI0016,LC1103NI0017,LC1103NI0018,LC1103NI0019,LC1103NI0020,LC1103NI0021,LC1103NI0022,LC1103NI0023,LC1103NI0024,LC1103NI0025,LC1103NI0026,LC1103NI0027,LC1103NI0028,LC1103NI0029,LC1103NI0030,LC1103NI0031,LC1103NI0032,LC1103NI0033,LC1103NI0034,LC1103NI0035,LC1103NI0036
N92000002,703275,339125,364150,404777,259694,145083,298498,79431,219067,264558,110773,153785,150984,85531,65453,113574,25242,88332,264093,152136,111957,165207,115032,50175,98886,37104,61782,174624,76216,98408,88586,59131,29455,86038,17085,68953
BHSCT,148328,53352,94976,77601,40019,37582,70727,13333,57394,61224,16571,44653,31555,12444,19111,29669,4127,25542,50930,23400,27530,29437,17462,11975,21493,5938,15555,36174,13381,22793,16609,10113,6496,19565,3268,16297
NHSCT,177914,93029,84885,106011,72183,33828,71903,20846,51057,64009,30245,33764,38194,23745,14449,25815,6500,19315,67938,41540,26398,43903,31806,12097,24035,9734,14301,45967,21244,24723,23914,16632,7282,22053,4612,17441
SEHSCT,136698,71034,65664,80002,54543,25459,56696,16491,40205,47895,21616,26279,28038,16930,11108,19857,4686,15171,53229,32477,20752,33366,24435,8931,19863,8042,11821,35574,16941,18633,18598,13178,5420,16976,3763,13213
SHSCT,131129,69016,62113,78797,53213,25584,52332,15803,36529,50536,25007,25529,30721,19394,11327,19815,5613,14202,49160,30250,18910,31872,23087,8785,17288,7163,10125,31433,13759,17674,16204,10732,5472,15229,3027,12202
WHSCT,109206,52694,56512,62366,39736,22630,46840,12958,33882,40894,17334,23560,22476,13018,9458,18418,4316,14102,42836,24469,18367,26629,18242,8387,16207,6227,9980,25476,10891,14585,13261,8476,4785,12215,2415,9800
BELB,120595,39266,81329,61594,29165,32429,59001,10101,48900,51827,12255,39572,25933,9117,16816,25894,3138,22756,40456,17167,23289,22911,12680,10231,17545,4487,13058,28312,9844,18468,12750,7368,5382,15562,2476,13086
NEELB,165010,85808,79202,98174,66626,31548,66836,19182,47654,59084,27570,31514,35159,21678,13481,23925,5892,18033,63114,38415,24699,40771,29470,11301,22343,8945,13398,42812,19823,22989,22244,15478,6766,20568,4345,16223
SEELB,164431,85120,79311,96009,65397,30612,68422,19723,48699,57292,25932,31360,33660,20257,13403,23632,5675,17957,63703,38710,24993,39892,29217,10675,23811,9493,14318,43436,20478,22958,22457,15923,6534,20979,4555,16424
SELB,144033,76237,67796,86634,58770,27864,57399,17467,39932,55461,27682,27779,33756,21461,12295,21705,6221,15484,53984,33375,20609,35004,25423,9581,18980,7952,11028,34588,15180,19408,17874,11886,5988,16714,3294,13420
WELB,109206,52694,56512,62366,39736,22630,46840,12958,33882,40894,17334,23560,22476,13018,9458,18418,4316,14102,42836,24469,18367,26629,18242,8387,16207,6227,9980,25476,10891,14585,13261,8476,4785,12215,2415,9800
UKN01,120595,39266,81329,61594,29165,32429,59001,10101,48900,51827,12255,39572,25933,9117,16816,25894,3138,22756,40456,17167,23289,22911,12680,10231,17545,4487,13058,28312,9844,18468,12750,7368,5382,15562,2476,13086
UKN02,156882,79521,77361,90892,61385,29507,65990,18136,47854,56420,24637,31783,32810,19288,13522,23610,5349,18261,59624,35860,23764,37300,27282,10018,22324,8578,13746,40838,19024,21814,20782,14815,5967,20056,4209,15847
UKN03,170132,88990,81142,101448,68570,32878,68684,20420,48264,61706,29051,32655,37071,22803,14268,24635,6248,18387,65285,39825,25460,41894,30218,11676,23391,9607,13784,43141,20114,23027,22483,15549,6934,20658,4565,16093
UKN04,109318,52071,57247,62095,39520,22575,47223,12551,34672,40705,16469,24236,22057,12488,9569,18648,3981,14667,42285,23903,18382,26253,17943,8310,16032,5960,10072,26328,11699,14629,13785,9089,4696,12543,2610,9933
UKN05,146348,79277,67071,88748,61054,27694,57600,18223,39377,53900,28361,25539,33113,21835,11278,20787,6526,14261,56443,35381,21062,36849,26909,9940,19594,8472,11122,36005,15535,20470,18786,12310,6476,17219,3225,13994
95AA,20064,10640,9424,12017,8211,3806,8047,2429,5618,7971,3829,4142,4744,2985,1759,3227,844,2383,7629,4676,2953,4923,3580,1343,2706,1096,1610,4464,2135,2329,2350,1646,704,2114,489,1625
95BB,31514,17051,14463,18867,13095,5772,12647,3956,8691,10275,4899,5376,6233,3868,2365,4042,1031,3011,12580,7863,4717,7963,5880,2083,4617,1983,2634,8659,4289,4370,4671,3347,1324,3988,942,3046
95CC,21594,11806,9788,13142,9151,3991,8452,2655,5797,7781,4055,3726,4846,3204,1642,2935,851,2084,8241,5295,2946,5341,3995,1346,2900,1300,1600,5572,2456,3116,2955,1952,1003,2617,504,2113
95DD,24817,13350,11467,14989,10452,4537,9828,2898,6930,8587,4261,4326,5281,3424,1857,3306,837,2469,9413,5858,3555,6196,4536,1660,3217,1322,1895,6817,3231,3586,3512,2492,1020,3305,739,2566
95EE,11508,6436,5072,7091,5042,2049,4417,1394,3023,4175,2295,1880,2650,1833,817,1525,462,1063,4326,2712,1614,2870,2102,768,1456,610,846,3007,1429,1578,1571,1107,464,1436,322,1114
95FF,18303,10057,8246,11358,7893,3465,6945,2164,4781,6934,3564,3370,4436,2853,1583,2498,711,1787,6976,4461,2515,4618,3442,1176,2358,1019,1339,4393,2032,2361,2304,1598,706,2089,434,1655
95GG,120595,39266,81329,61594,29165,32429,59001,10101,48900,51827,12255,39572,25933,9117,16816,25894,3138,22756,40456,17167,23289,22911,12680,10231,17545,4487,13058,28312,9844,18468,12750,7368,5382,15562,2476,13086
95HH,16200,8068,8132,9481,6272,3209,6719,1796,4923,5746,2385,3361,3329,1884,1445,2417,501,1916,6318,3792,2526,4022,2901,1121,2296,891,1405,4136,1891,2245,2130,1487,643,2006,404,1602
95II,27733,14086,13647,16007,10854,5153,11726,3232,8494,9397,4316,5081,5622,3327,2295,3775,989,2786,10474,6233,4241,6526,4782,1744,3948,1451,2497,7862,3537,4325,3859,2745,1114,4003,792,3211
95JJ,23508,11621,11887,13686,8980,4706,9822,2641,7181,7903,3231,4672,4474,2480,1994,3429,751,2678,9125,5364,3761,5819,4101,1718,3306,1263,2043,6480,3026,3454,3393,2399,994,3087,627,2460
95KK,12904,7221,5683,7837,5557,2280,5067,1664,3403,4925,2675,2250,3035,2067,968,1890,608,1282,4824,3125,1699,3132,2336,796,1692,789,903,3155,1421,1734,1670,1154,516,1485,267,1218
95LL,35931,17827,18104,21073,13662,7411,14858,4165,10693,14524,6568,7956,8615,5078,3537,5909,1490,4419,12996,7516,5480,8217,5720,2497,4779,1796,2983,8411,3743,4668,4241,2864,1377,4170,879,3291
95MM,40779,17046,23733,21766,12649,9117,19013,4397,14616,16436,5399,11037,8152,4008,4144,8284,1391,6893,15922,8119,7803,9275,5956,3319,6647,2163,4484,8421,3528,4893,4339,2685,1654,4082,843,3239
95NN,26206,13568,12638,15285,10238,5047,10921,3330,7591,9093,4199,4894,5225,3211,2014,3868,988,2880,10349,6338,4011,6534,4710,1824,3815,1628,2187,6764,3031,3733,3526,2317,1209,3238,714,2524
95OO,20270,10952,9318,12363,8449,3914,7907,2503,5404,8032,4195,3837,4924,3207,1717,3108,988,2120,7411,4646,2765,4921,3580,1341,2490,1066,1424,4827,2111,2716,2518,1662,856,2309,449,1860
95PP,23069,12058,11011,13849,9183,4666,9220,2875,6345,7754,3862,3892,4702,2918,1784,3052,944,2108,9247,5623,3624,5977,4219,1758,3270,1404,1866,6068,2573,3495,3170,2046,1124,2898,527,2371
95QQ,13297,6497,6800,7859,5019,2840,5438,1478,3960,4322,1731,2591,2537,1384,1153,1785,347,1438,5342,3113,2229,3443,2350,1093,1899,763,1136,3633,1653,1980,1879,1285,594,1754,368,1386
95RR,12098,6362,5736,7135,4838,2297,4963,1524,3439,4757,2203,2554,2695,1674,1021,2062,529,1533,4581,2881,1700,2975,2167,808,1606,714,892,2760,1278,1482,1465,997,468,1295,281,1014
95SS,45723,23470,22253,26344,18070,8274,19379,5400,13979,17548,7704,9844,9929,6021,3908,7619,1683,5936,17463,10600,6863,10848,8039,2809,6615,2561,4054,10712,5166,5546,5567,4010,1557,5145,1156,3989
95TT,15037,8917,6120,9548,7035,2513,5489,1882,3607,5610,3456,2154,3696,2716,980,1914,740,1174,5775,3829,1946,3901,3007,894,1874,822,1052,3652,1632,2020,1951,1312,639,1701,320,1381
95UU,6608,3327,3281,3949,2566,1383,2659,761,1898,2020,964,1056,1169,746,423,851,218,633,2654,1512,1142,1714,1139,575,940,373,567,1934,851,1083,1066,681,385,868,170,698
