GeographyCode,LC1105NI0001,LC1105NI0002,LC1105NI0003,LC1105NI0004,LC1105NI0005,LC1105NI0006,LC1105NI0007,LC1105NI0008,LC1105NI0009,LC1105NI0010,LC1105NI0011,LC1105NI0012,LC1105NI0013,LC1105NI0014,LC1105NI0015,LC1105NI0016,LC1105NI0017,LC1105NI0018,LC1105NI0019,LC1105NI0020,LC1105NI0021,LC1105NI0022,LC1105NI0023,LC1105NI0024,LC1105NI0025,LC1105NI0026,LC1105NI0027,LC1105NI0028,LC1105NI0029,LC1105NI0030,LC1105NI0031,LC1105NI0032,LC1105NI0033,LC1105NI0034,LC1105NI0035,LC1105NI0036
N92000002,703275,371761,331514,404777,283625,121152,298498,88136,210362,264558,138732,125826,150984,105242,45742,113574,33490,80084,264093,158937,105156,165207,120023,45184,98886,38914,59972,174624,74092,100532,88586,58360,30226,86038,15732,70306
BHSCT,148328,61179,87149,77601,45588,32013,70727,15591,55136,61224,23404,37820,31555,17149,14406,29669,6255,23414,50930,24808,26122,29437,18476,10961,21493,6332,15161,36174,12967,23207,16609,9963,6646,19565,3004,16561
NHSCT,177914,101272,76642,106011,78343,27668,71903,22929,48974,64009,37061,26948,38194,28625,9569,25815,8436,17379,67938,43537,24401,43903,33302,10601,24035,10235,13800,45967,20674,25293,23914,16416,7498,22053,4258,17795
SEHSCT,136698,78007,58691,80002,59682,20320,56696,18325,38371,47895,27245,20650,28038,20938,7100,19857,6307,13550,53229,34150,19079,33366,25650,7716,19863,8500,11363,35574,16612,18962,18598,13094,5504,16976,3518,13458
SHSCT,131129,74664,56465,78797,57366,21431,52332,17298,35034,50536,30149,20387,30721,23005,7716,19815,7144,12671,49160,31183,17977,31872,23795,8077,17288,7388,9900,31433,13332,18101,16204,10566,5638,15229,2766,12463
WHSCT,109206,56639,52567,62366,42646,19720,46840,13993,32847,40894,20873,20021,22476,15525,6951,18418,5348,13070,42836,25259,17577,26629,18800,7829,16207,6459,9748,25476,10507,14969,13261,8321,4940,12215,2186,10029
BELB,120595,45669,74926,61594,33675,27919,59001,11994,47007,51827,17916,33911,25933,12986,12947,25894,4930,20964,40456,18227,22229,22911,13438,9473,17545,4789,12756,28312,9526,18786,12750,7251,5499,15562,2275,13287
NEELB,165010,93584,71426,98174,72434,25740,66836,21150,45686,59084,33950,25134,35159,26259,8900,23925,7691,16234,63114,40336,22778,40771,30893,9878,22343,9443,12900,42812,19298,23514,22244,15282,6962,20568,4016,16552
SEELB,164431,93517,70914,96009,71595,24414,68422,21922,46500,57292,32733,24559,33660,25101,8559,23632,7632,16000,63703,40731,22972,39892,30688,9204,23811,10043,13768,43436,20053,23383,22457,15806,6651,20979,4247,16732
SELB,144033,82352,61681,86634,63275,23359,57399,19077,38322,55461,33260,22201,33756,25371,8385,21705,7889,13816,53984,34384,19600,35004,26204,8800,18980,8180,10800,34588,14708,19880,17874,11700,6174,16714,3008,13706
WELB,109206,56639,52567,62366,42646,19720,46840,13993,32847,40894,20873,20021,22476,15525,6951,18418,5348,13070,42836,25259,17577,26629,18800,7829,16207,6459,9748,25476,10507,14969,13261,8321,4940,12215,2186,10029
UKN01,120595,45669,74926,61594,33675,27919,59001,11994,47007,51827,17916,33911,25933,12986,12947,25894,4930,20964,40456,18227,22229,22911,13438,9473,17545,4789,12756,28312,9526,18786,12750,7251,5499,15562,2275,13287
UKN02,156882,87815,69067,90892,67584,23308,65990,20231,45759,56420,31387,25033,32810,24147,8663,23610,7240,16370,59624,37822,21802,37300,28751,8549,22324,9071,13253,40838,18606,22232,20782,14686,6096,20056,3920,16136
UKN03,170132,97579,72553,101448,74833,26615,68684,22746,45938,61706,36114,25592,37071,27785,9286,24635,8329,16306,65285,41799,23486,41894,31637,10257,23391,10162,13229,43141,19666,23475,22483,15411,7072,20658,4255,16403
UKN04,109318,56310,53008,62095,42632,19463,47223,13678,33545,40705,20117,20588,22057,15056,7001,18648,5061,13587,42285,24898,17387,26253,18655,7598,16032,6243,9789,26328,11295,15033,13785,8921,4864,12543,2374,10169
UKN05,146348,84388,61960,88748,64901,23847,57600,19487,38113,53900,33198,20702,33113,25268,7845,20787,7930,12857,56443,36191,20252,36849,27542,9307,19594,8649,10945,36005,14999,21006,18786,12091,6695,17219,2908,14311
95AA,20064,11733,8331,12017,9005,3012,8047,2728,5319,7971,4692,3279,4744,3605,1139,3227,1087,2140,7629,4934,2695,4923,3756,1167,2706,1178,1528,4464,2107,2357,2350,1644,706,2114,463,1651
95BB,31514,18662,12852,18867,14281,4586,12647,4381,8266,10275,6133,4142,6233,4754,1479,4042,1379,2663,12580,8296,4284,7963,6189,1774,4617,2107,2510,8659,4233,4426,4671,3338,1333,3988,895,3093
95CC,21594,12564,9030,13142,9727,3415,8452,2837,5615,7781,4751,3030,4846,3712,1134,2935,1039,1896,8241,5428,2813,5341,4092,1249,2900,1336,1564,5572,2385,3187,2955,1923,1032,2617,462,2155
95DD,24817,14431,10386,14989,11264,3725,9828,3167,6661,8587,5168,3419,5281,4057,1224,3306,1111,2195,9413,6136,3277,6196,4757,1439,3217,1379,1838,6817,3127,3690,3512,2450,1062,3305,677,2628
95EE,11508,7020,4488,7091,5450,1641,4417,1570,2847,4175,2770,1405,2650,2150,500,1525,620,905,4326,2868,1458,2870,2210,660,1456,658,798,3007,1382,1625,1571,1090,481,1436,292,1144
95FF,18303,10958,7345,11358,8533,2825,6945,2425,4520,6934,4315,2619,4436,3375,1061,2498,940,1558,6976,4658,2318,4618,3582,1036,2358,1076,1282,4393,1985,2408,2304,1576,728,2089,409,1680
95GG,120595,45669,74926,61594,33675,27919,59001,11994,47007,51827,17916,33911,25933,12986,12947,25894,4930,20964,40456,18227,22229,22911,13438,9473,17545,4789,12756,28312,9526,18786,12750,7251,5499,15562,2275,13287
95HH,16200,8896,7304,9481,6904,2577,6719,1992,4727,5746,2998,2748,3329,2339,990,2417,659,1758,6318,4035,2283,4022,3088,934,2296,947,1349,4136,1863,2273,2130,1477,653,2006,386,1620
95II,27733,15510,12223,16007,11913,4094,11726,3597,8129,9397,5488,3909,5622,4163,1459,3775,1325,2450,10474,6581,3893,6526,5038,1488,3948,1543,2405,7862,3441,4421,3859,2712,1147,4003,729,3274
95JJ,23508,12590,10918,13686,9700,3986,9822,2890,6932,7903,4056,3847,4474,3062,1412,3429,994,2435,9125,5619,3506,5819,4285,1534,3306,1334,1972,6480,2915,3565,3393,2353,1040,3087,562,2525
95KK,12904,7688,5216,7837,5909,1928,5067,1779,3288,4925,3111,1814,3035,2366,669,1890,745,1145,4824,3201,1623,3132,2409,723,1692,792,900,3155,1376,1779,1670,1134,536,1485,242,1243
95LL,35931,19879,16052,21073,15143,5930,14858,4736,10122,14524,8356,6168,8615,6329,2286,5909,2027,3882,12996,7885,5111,8217,5981,2236,4779,1904,2875,8411,3638,4773,4241,2833,1408,4170,805,3365
95MM,40779,18507,22272,21766,13724,8042,19013,4783,14230,16436,6677,9759,8152,4921,3231,8284,1756,6528,15922,8426,7496,9275,6177,3098,6647,2249,4398,8421,3404,5017,4339,2626,1713,4082,778,3304
95NN,26206,14697,11509,15285,11058,4227,10921,3639,7282,9093,5161,3932,5225,3868,1357,3868,1293,2575,10349,6590,3759,6534,4896,1638,3815,1694,2121,6764,2946,3818,3526,2294,1232,3238,652,2586
