ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC6401NI0001,Count,PERSONS,"All categories: NS-SEC, All categories: Tenure"
LC6401NI0002,Count,PERSONS,"All categories: NS-SEC, Owner occupied"
LC6401NI0003,Count,PERSONS,"All categories: NS-SEC, Social rented"
LC6401NI0004,Count,PERSONS,"All categories: NS-SEC, Private rented"
LC6401NI0005,Count,PERSONS,"Managerial, administrative and professional occupations, All categories: Tenure"
LC6401NI0006,Count,PERSONS,"Managerial, administrative and professional occupations, Owner occupied"
LC6401NI0007,Count,PERSONS,"Managerial, administrative and professional occupations, Social rented"
LC6401NI0008,Count,PERSONS,"Managerial, administrative and professional occupations, Private rented"
LC6401NI0009,Count,PERSONS,"Intermediate occupations and small employers, All categories: Tenure"
LC6401NI0010,Count,PERSONS,"Intermediate occupations and small employers, Owner occupied"
LC6401NI0011,Count,PERSONS,"Intermediate occupations and small employers, Social rented"
LC6401NI0012,Count,PERSONS,"Intermediate occupations and small employers, Private rented"
LC6401NI0013,Count,PERSONS,"Routine and manual occupations, All categories: Tenure"
LC6401NI0014,Count,PERSONS,"Routine and manual occupations, Owner occupied"
LC6401NI0015,Count,PERSONS,"Routine and manual occupations, Social rented"
LC6401NI0016,Count,PERSONS,"Routine and manual occupations, Private rented"
LC6401NI0017,Count,PERSONS,"Never worked, long-term unemployed and full-time students, All categories: Tenure"
LC6401NI0018,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Owner occupied"
LC6401NI0019,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Social rented"
LC6401NI0020,Count,PERSONS,"Never worked, long-term unemployed and full-time students, Private rented"
