GeographyCode,LC6302NI0001,LC6302NI0002,LC6302NI0003,LC6302NI0004,LC6302NI0005,LC6302NI0006,LC6302NI0007,LC6302NI0008,LC6302NI0009
N92000002,1431540,213851,1217689,354622,31379,323243,1076918,182472,894446
BHSCT,283079,43158,239921,75932,6052,69880,207147,37106,170041
NHSCT,366872,53975,312897,86388,7873,78515,280484,46102,234382
SEHSCT,275606,43217,232389,64890,6487,58403,210716,36730,173986
SHSCT,276654,39908,236746,66489,5784,60705,210165,34124,176041
WHSCT,229329,33593,195736,60923,5183,55740,168406,28410,139996
BELB,228679,34407,194272,63135,4816,58319,165544,29591,135953
NEELB,338153,50153,288000,78976,7263,71713,259177,42890,216287
SEELB,330006,51968,278038,77687,7723,69964,252319,44245,208074
SELB,305373,43730,261643,73901,6394,67507,231472,37336,194136
WELB,229329,33593,195736,60923,5183,55740,168406,28410,139996
UKN01,228679,34407,194272,63135,4816,58319,165544,29591,135953
UKN02,311648,48632,263016,71962,7041,64921,239686,41591,198095
UKN03,346252,50184,296068,83316,7641,75675,262936,42543,220393
UKN04,226804,32457,194347,59205,4919,54286,167599,27538,140061
UKN05,318157,48171,269986,77004,6962,70042,241153,41209,199944
95AA,41479,5784,35695,9120,833,8287,32359,4951,27408
95BB,62813,9075,53738,15783,1438,14345,47030,7637,39393
95CC,46195,7049,39146,10960,1016,9944,35235,6033,29202
95DD,51185,7640,43545,11624,1069,10555,39561,6571,32990
95EE,24608,3439,21169,5980,474,5506,18628,2965,15663
95FF,37527,5636,31891,8728,765,7963,28799,4871,23928
95GG,228679,34407,194272,63135,4816,58319,165544,29591,135953
95HH,31409,4677,26732,7772,770,7002,23637,3907,19730
95II,54400,8751,45649,12797,1236,11561,41603,7515,34088
95JJ,47617,7967,39650,11093,1138,9955,36524,6829,29695
95KK,28719,3822,24897,7412,610,6802,21307,3212,18095
95LL,72503,9629,62874,18227,1520,16707,54276,8109,46167
95MM,83663,11510,72153,22822,1853,20969,60841,9657,51184
95NN,54746,8779,45967,13470,1422,12048,41276,7357,33919
95OO,44467,6266,38201,10403,924,9479,34064,5342,28722
95PP,48664,8164,40500,11687,1197,10490,36977,6967,30010
95QQ,25999,3641,22358,6364,594,5770,19635,3047,16588
95RR,26293,3363,22930,6627,476,6151,19666,2887,16779
95SS,93625,14276,79349,21266,2019,19247,72359,12257,60102
95TT,34461,4976,29485,7803,653,7150,26658,4323,22335
95UU,13603,2188,11415,3464,324,3140,10139,1864,8275
95VV,75962,11328,64634,18171,1559,16612,57791,9769,48022
95WW,67792,9841,57951,15756,1408,14348,52036,8433,43603
95XX,64422,11087,53335,14371,1608,12763,50051,9479,40572
95YY,39689,6566,33123,10568,1003,9565,29121,5563,23558
95ZZ,31020,3990,27030,9219,654,8565,21801,3336,18465
