GeographyCode,LC6107NI0001,LC6107NI0002,LC6107NI0003,LC6107NI0004,LC6107NI0005,LC6107NI0006,LC6107NI0007,LC6107NI0008,LC6107NI0009,LC6107NI0010,LC6107NI0011,LC6107NI0012,LC6107NI0013,LC6107NI0014,LC6107NI0015,LC6107NI0016,LC6107NI0017,LC6107NI0018,LC6107NI0019,LC6107NI0020,LC6107NI0021
N92000002,1313420,725680,587740,869767,555724,314043,203403,132769,70634,474065,310257,163808,117795,55247,62548,74504,57451,17053,443653,169956,273697
BHSCT,257160,149642,107518,166648,112578,54070,42209,29561,12648,94012,63182,30830,14649,7405,7244,15778,12430,3348,90512,37064,53448
NHSCT,335761,181021,154740,227093,141494,85599,52356,33498,18858,125825,80333,45492,31966,14763,17203,16946,12900,4046,108668,39527,69141
SEHSCT,251647,130731,120916,170549,103380,67169,40134,24810,15324,94424,58962,35462,23973,10551,13422,12018,9057,2961,81098,27351,53747
SHSCT,256035,145731,110304,172195,112435,59760,38395,25048,13347,92679,63279,29400,26562,12932,13630,14559,11176,3383,83840,33296,50544
WHSCT,212817,118555,94262,133282,85837,47445,30309,19852,10457,67125,44501,22624,20645,9596,11049,15203,11888,3315,79535,32718,46817
BELB,208609,124643,83966,132666,92253,40413,34270,24715,9555,73292,50709,22583,11192,5798,5394,13912,11031,2881,75943,32390,43553
NEELB,309116,165478,143638,209675,129733,79942,48401,30842,17559,116941,73868,43073,28809,13236,15573,15524,11787,3737,99441,35745,63696
SEELB,300198,155730,144468,204531,123705,80826,48073,29656,18417,115144,71435,43709,27430,12158,15272,13884,10456,3428,95667,32025,63642
SELB,282680,161274,121406,189613,124196,65417,42350,27704,14646,101563,69744,31819,29719,14459,15260,15981,12289,3692,93067,37078,55989
WELB,212817,118555,94262,133282,85837,47445,30309,19852,10457,67125,44501,22624,20645,9596,11049,15203,11888,3315,79535,32718,46817
UKN01,208609,124643,83966,132666,92253,40413,34270,24715,9555,73292,50709,22583,11192,5798,5394,13912,11031,2881,75943,32390,43553
UKN02,283218,149329,133889,194967,119326,75641,46528,29185,17343,113902,70752,43150,21637,9637,12000,12900,9752,3148,88251,30003,58248
UKN03,317543,169511,148032,216558,134518,82040,48990,31164,17826,120963,77271,43692,31017,14197,16820,15588,11886,3702,100985,34993,65992
UKN04,209839,115592,94247,130109,83208,46901,30941,20508,10433,64442,41599,22843,19165,8914,10251,15561,12187,3374,79730,32384,47346
UKN05,294211,166605,127606,195467,126419,69048,42674,27197,15477,101466,69926,31540,34784,16701,18083,16543,12595,3948,98744,40186,58558
95AA,38597,21442,17155,27361,17410,9951,6113,4039,2074,15924,10365,5559,3558,1633,1925,1766,1373,393,11236,4032,7204
95BB,57290,28056,29234,38371,22538,15833,9054,5426,3628,20843,12645,8198,5846,2516,3330,2628,1951,677,18919,5518,13401
95CC,42544,23426,19118,28911,18209,10702,6373,3951,2422,15303,10146,5157,4910,2338,2572,2325,1774,551,13633,5217,8416
95DD,46337,24456,21881,32020,19650,12370,7177,4451,2726,18096,11463,6633,4647,2147,2500,2100,1589,511,14317,4806,9511
95EE,22558,12428,10130,14740,9289,5451,3055,1914,1141,7672,5088,2584,2699,1282,1417,1314,1005,309,7818,3139,4679
95FF,34555,19020,15535,24187,15276,8911,5179,3315,1864,13447,8934,4513,3995,1836,2159,1566,1191,375,10368,3744,6624
95GG,208609,124643,83966,132666,92253,40413,34270,24715,9555,73292,50709,22583,11192,5798,5394,13912,11031,2881,75943,32390,43553
95HH,28657,14662,13995,19596,11769,7827,4618,2885,1733,11598,6945,4653,1888,836,1052,1492,1103,389,9061,2893,6168
95II,48551,24999,23552,33982,20325,13657,7939,4846,3093,20720,12473,8247,3457,1607,1850,1866,1399,467,14569,4674,9895
95JJ,43277,22353,20924,27795,16587,11208,7207,4643,2564,13857,8234,5623,4208,1778,2430,2523,1932,591,15482,5766,9716
95KK,26645,15543,11102,17418,11761,5657,3955,2656,1299,8884,6465,2419,3157,1527,1630,1422,1113,309,9227,3782,5445
95LL,67061,38244,28817,45009,29805,15204,10217,6924,3293,26118,17552,8566,4985,2428,2557,3689,2901,788,22052,8439,13613
95MM,78409,44839,33570,47447,31595,15852,11894,8290,3604,23461,15267,8194,5257,2557,2700,6835,5481,1354,30962,13244,17718
95NN,50138,26726,23412,33648,20566,13082,7677,4840,2837,17390,10884,6506,5843,2746,3097,2738,2096,642,16490,6160,10330
95OO,41315,24384,16931,27881,18669,9212,6002,3879,2123,14928,10803,4125,4716,2246,2470,2235,1741,494,13434,5715,7719
95PP,44465,23616,20849,29852,18168,11684,6464,3837,2627,15592,10282,5310,5518,2359,3159,2278,1690,588,14613,5448,9165
95QQ,23565,11567,11998,15962,9273,6689,3573,2169,1404,9145,5428,3717,2143,891,1252,1101,785,316,7603,2294,5309
95RR,24610,13931,10679,15067,9770,5297,3239,2069,1170,7521,5011,2510,2457,1262,1195,1850,1428,422,9543,4161,5382
95SS,86371,47443,38928,59061,37106,21955,14135,9135,5000,33593,21622,11971,7234,3208,4026,4099,3141,958,27310,10337,16973
95TT,31959,18658,13301,21505,14174,7331,4395,2800,1595,11619,8199,3420,3969,2024,1945,1522,1151,371,10454,4484,5970
95UU,12375,6193,6182,7837,4625,3212,1695,1031,664,3637,2245,1392,1689,740,949,816,609,207,4538,1568,2970
95VV,70560,40657,29903,46207,30476,15731,10624,6979,3645,22883,15844,7039,7956,4084,3872,4744,3569,1175,24353,10181,14172
95WW,61791,33719,28072,42859,26956,15903,10568,6910,3658,25393,15901,9492,4008,1905,2103,2890,2240,650,18932,6763,12169
95XX,57848,28506,29342,39469,23170,16299,9268,5409,3859,22598,13811,8787,5050,2081,2969,2553,1869,684,18379,5336,13043
95YY,36723,20321,16402,23693,14962,8731,4861,3095,1766,12257,8187,4070,4558,2123,2435,2017,1557,460,13030,5359,7671
95ZZ,28610,15848,12762,17223,11342,5881,3851,2561,1290,8294,5754,2540,2855,1295,1560,2223,1732,491,11387,4506,6881
