GeographyCode,LC2211NI0001,LC2211NI0002,LC2211NI0003,LC2211NI0004,LC2211NI0005,LC2211NI0006,LC2211NI0007,LC2211NI0008,LC2211NI0009,LC2211NI0010,LC2211NI0011,LC2211NI0012
N92000002,1735711,780372,848933,106406,184898,166696,13715,4487,1550813,613676,835218,101919
BHSCT,334560,145103,160126,29331,40329,35859,2913,1557,294231,109244,157213,27774
NHSCT,444578,148536,267659,28383,35823,31016,3925,882,408755,117520,263734,27501
SEHSCT,333088,103035,201587,28466,21388,17571,2970,847,311700,85464,198617,27619
SHSCT,341383,193111,134901,13371,48625,45812,2064,749,292758,147299,132837,12622
WHSCT,282102,190587,84660,6855,38733,36438,1843,452,243369,154149,82817,6403
BELB,269804,130914,115564,23326,36837,33134,2324,1379,232967,97780,113240,21947
NEELB,409258,127705,254144,27409,30691,26150,3712,829,378567,101555,250432,26580
SEELB,397844,117224,246149,34471,24880,20296,3559,1025,372964,96928,242590,33446
SELB,376703,213942,148416,14345,53757,50678,2277,802,322946,163264,146139,13543
WELB,282102,190587,84660,6855,38733,36438,1843,452,243369,154149,82817,6403
UKN01,269804,130914,115564,23326,36837,33134,2324,1379,232967,97780,113240,21947
UKN02,374966,87889,251996,35081,20547,16271,3337,939,354419,71618,248659,34142
UKN03,420580,148918,243839,27823,30487,26171,3366,950,390093,122747,240473,26873
UKN04,277050,156298,111122,9630,31630,28792,2298,540,245420,127506,108824,9090
UKN05,393311,256353,126412,10546,65397,62328,2390,679,327914,194025,124022,9867
95AA,51042,20928,26148,3966,4283,3846,328,109,46759,17082,25820,3857
95BB,75313,9556,58402,7355,2328,1295,834,199,72985,8261,57568,7156
95CC,56792,27367,27434,1991,7716,7136,464,116,49076,20231,26970,1875
95DD,61601,13800,44315,3486,3261,2556,600,105,58340,11244,43715,3381
95EE,29937,9500,19004,1433,2326,1918,362,46,27611,7582,18642,1387
95FF,46112,14662,28890,2560,3027,2572,357,98,43085,12090,28533,2462
95GG,269804,130914,115564,23326,36837,33134,2324,1379,232967,97780,113240,21947
95HH,37739,3615,30151,3973,841,446,322,73,36898,3169,29829,3900
95II,64756,14189,44562,6005,3492,2725,589,178,61264,11464,43973,5827
95JJ,56990,15872,37549,3569,3657,2827,689,141,53333,13045,36860,3428
95KK,35320,20831,13515,974,5132,4866,213,53,30188,15965,13302,921
95LL,88565,40583,42966,5016,9016,8238,556,222,79549,32345,42410,4794
95MM,103341,77275,23282,2784,14605,13770,596,239,88736,63505,22686,2545
95NN,66882,41663,21792,3427,7207,6665,388,154,59675,34998,21404,3273
95OO,55075,35234,18373,1468,10050,9642,303,105,45025,25592,18070,1363
95PP,59282,35007,22560,1715,7766,7163,511,92,51516,27844,22049,1623
95QQ,31065,7726,21326,2013,1365,999,303,63,29700,6727,21023,1950
95RR,32150,19086,12257,807,3270,3056,194,20,28880,16030,12063,787
95SS,114825,41512,65116,8197,9411,8245,908,258,105414,33267,64208,7939
95TT,42883,28219,13652,1012,7924,7610,266,48,34959,20609,13386,964
95UU,16423,9776,6109,538,2673,2459,164,50,13750,7317,5945,488
95VV,94839,75265,17238,2336,18816,18224,384,208,76023,57041,16854,2128
95WW,81578,18269,55890,7419,4361,3489,678,194,77217,14780,55212,7225
95XX,76068,10304,56277,9487,2442,1366,840,236,73626,8938,55437,9251
95YY,49120,34430,13640,1050,7993,7687,249,57,41127,26743,13391,993
95ZZ,38209,24789,12921,499,5099,4762,293,44,33110,20027,12628,455
