GeographyCode,LC2609NI0001,LC2609NI0002,LC2609NI0003,LC2609NI0004,LC2609NI0005,LC2609NI0006,LC2609NI0007,LC2609NI0008,LC2609NI0009,LC2609NI0010,LC2609NI0011,LC2609NI0012,LC2609NI0013,LC2609NI0014,LC2609NI0015,LC2609NI0016,LC2609NI0017,LC2609NI0018,LC2609NI0019,LC2609NI0020,LC2609NI0021,LC2609NI0022,LC2609NI0023,LC2609NI0024,LC2609NI0025,LC2609NI0026,LC2609NI0027,LC2609NI0028,LC2609NI0029,LC2609NI0030,LC2609NI0031,LC2609NI0032,LC2609NI0033,LC2609NI0034,LC2609NI0035
N92000002,795263,312385,335192,156235,106284,72673,147686,176791,71747,70033,32066,20233,17734,35011,203720,77593,87847,42273,27259,18315,38280,328877,129007,141427,65451,46422,29554,58443,85875,34038,35885,16445,12370,7070,15952
BHSCT,150870,55472,55353,23661,17126,14566,40045,39239,15577,12465,5332,3522,3611,11197,31132,10317,11575,5016,3577,2982,9240,61596,22712,23877,10167,7514,6196,15007,18903,6866,7436,3146,2513,1777,4601
NHSCT,210147,64432,108352,58450,28025,21877,37363,43770,14349,21450,11322,4984,5144,7971,56739,17755,28971,16297,7072,5602,10013,86653,25516,45962,24522,12510,8930,15175,22985,6812,11969,6309,3459,2201,4204
SEHSCT,158531,42976,80150,38416,23925,17809,35405,36696,9897,18440,8532,5371,4537,8359,40785,10572,20612,10054,6051,4507,9601,66622,18423,33990,16390,10206,7394,14209,14428,4084,7108,3440,2297,1371,3236
SHSCT,157636,78619,57257,22695,21573,12989,21760,33117,16887,11739,4598,3958,3183,4491,42993,20560,16550,6991,5969,3590,5883,64729,32339,23539,9068,9433,5038,8851,16797,8833,5429,2038,2213,1178,2535
WHSCT,118079,70886,34080,13013,15635,5432,13113,23969,15037,5939,2282,2398,1259,2993,32071,18389,10139,3915,4590,1634,3543,49277,30017,14059,5304,6759,1996,5201,12762,7443,3943,1512,1888,543,1376
BELB,118754,48410,38270,16165,12242,9863,32074,30103,12451,8626,3733,2482,2411,9026,23976,9028,7693,3233,2483,1977,7255,48782,20460,16409,6903,5347,4159,11913,15893,6471,5542,2296,1930,1316,3880
NEELB,194151,55946,102578,56132,25590,20856,35627,40753,12688,20400,10873,4584,4943,7665,51790,15133,27184,15542,6334,5308,9473,80370,22215,43652,23640,11489,8523,14503,21238,5910,11342,6077,3183,2082,3986
SEELB,190647,50038,97233,45912,28809,22512,43376,45832,13023,22279,10131,6411,5737,10530,47941,11861,24494,11837,7145,5512,11586,79436,20675,41458,19654,12373,9431,17303,17438,4479,9002,4290,2880,1832,3957
SELB,173632,87105,63031,25013,24008,14010,23496,36134,18548,12789,5047,4358,3384,4797,47942,23182,18337,7746,6707,3884,6423,71012,35640,25849,9950,10454,5445,9523,18544,9735,6056,2270,2489,1297,2753
WELB,118079,70886,34080,13013,15635,5432,13113,23969,15037,5939,2282,2398,1259,2993,32071,18389,10139,3915,4590,1634,3543,49277,30017,14059,5304,6759,1996,5201,12762,7443,3943,1512,1888,543,1376
UKN01,118754,48410,38270,16165,12242,9863,32074,30103,12451,8626,3733,2482,2411,9026,23976,9028,7693,3233,2483,1977,7255,48782,20460,16409,6903,5347,4159,11913,15893,6471,5542,2296,1930,1316,3880
UKN02,182067,38720,99478,44716,29571,25191,43869,44538,10985,22885,10124,6457,6304,10668,43103,8088,23827,10853,7017,5957,11188,77197,16212,43131,19475,12972,10684,17854,17229,3435,9635,4264,3125,2246,4159
UKN03,200970,64074,100799,52954,26934,20911,36097,41717,13228,20893,10555,5272,5066,7596,53382,16238,27317,14916,6890,5511,9827,84749,27383,42622,22188,11922,8512,14744,21122,7225,9967,5295,2850,1822,3930
UKN04,114548,56374,42724,22867,14172,5685,15450,23323,11838,7851,4065,2277,1509,3634,30279,14306,11921,6788,3653,1480,4052,48134,24219,17782,9321,6351,2110,6133,12812,6011,5170,2693,1891,586,1631
UKN05,178924,104807,53921,19533,23365,11023,20196,37110,23245,9778,3589,3745,2444,4087,52980,29933,17089,6483,7216,3390,5958,70015,40733,21483,7564,9830,4089,7799,18819,10896,5571,1897,2574,1100,2352
95AA,25595,9620,11041,6417,2697,1927,4934,5529,2125,2334,1335,530,469,1070,6688,2367,3024,1860,630,534,1297,10318,3984,4394,2492,1176,726,1940,3060,1144,1289,730,361,198,627
95BB,35743,3978,23231,13172,5460,4599,8534,7012,732,4552,2424,1079,1049,1728,9639,1189,6058,3550,1359,1149,2392,15597,1659,10350,5837,2475,2038,3588,3495,398,2271,1361,547,363,826
95CC,26586,11325,11945,4652,4704,2589,3316,5555,2484,2399,910,864,625,672,7439,2938,3551,1486,1309,756,950,10786,4606,4865,1824,2084,957,1315,2806,1297,1130,432,447,251,379
95DD,29920,6243,18741,12193,2983,3565,4936,6284,1457,3834,2429,555,850,993,7959,1607,5053,3384,695,974,1299,12497,2516,7893,5096,1392,1405,2088,3180,663,1961,1284,341,336,556
95EE,13426,3944,7733,4871,1596,1266,1749,2468,726,1411,830,259,322,331,4061,1299,2253,1482,412,359,509,5558,1584,3237,2028,727,482,737,1339,335,832,531,198,103,172
95FF,22621,6562,12594,6610,3549,2435,3465,5020,1450,2781,1405,735,641,789,6319,1872,3486,1858,952,676,961,9199,2630,5197,2763,1520,914,1372,2083,610,1130,584,342,204,343
95GG,118754,48410,38270,16165,12242,9863,32074,30103,12451,8626,3733,2482,2411,9026,23976,9028,7693,3233,2483,1977,7255,48782,20460,16409,6903,5347,4159,11913,15893,6471,5542,2296,1930,1316,3880
