GeographyCode,LC2119NI0001,LC2119NI0002,LC2119NI0003,LC2119NI0004,LC2119NI0005,LC2119NI0006,LC2119NI0007,LC2119NI0008,LC2119NI0009,LC2119NI0010,LC2119NI0011,LC2119NI0012,LC2119NI0013,LC2119NI0014,LC2119NI0015,LC2119NI0016,LC2119NI0017,LC2119NI0018,LC2119NI0019,LC2119NI0020,LC2119NI0021,LC2119NI0022,LC2119NI0023,LC2119NI0024,LC2119NI0025,LC2119NI0026,LC2119NI0027,LC2119NI0028,LC2119NI0029,LC2119NI0030,LC2119NI0031,LC2119NI0032,LC2119NI0033,LC2119NI0034,LC2119NI0035,LC2119NI0036,LC2119NI0037,LC2119NI0038,LC2119NI0039,LC2119NI0040,LC2119NI0041,LC2119NI0042,LC2119NI0043,LC2119NI0044,LC2119NI0045,LC2119NI0046,LC2119NI0047,LC2119NI0048,LC2119NI0049,LC2119NI0050,LC2119NI0051,LC2119NI0052,LC2119NI0053,LC2119NI0054,LC2119NI0055,LC2119NI0056,LC2119NI0057,LC2119NI0058,LC2119NI0059,LC2119NI0060,LC2119NI0061,LC2119NI0062,LC2119NI0063,LC2119NI0064,LC2119NI0065,LC2119NI0066,LC2119NI0067,LC2119NI0068,LC2119NI0069,LC2119NI0070,LC2119NI0071,LC2119NI0072
N92000002,1409368,559477,607541,281190,200286,126065,242350,139212,683400,265039,286510,134296,94127,58087,131851,79445,725968,294438,321031,146894,106159,67978,110499,59767,750247,283833,353114,162928,113031,77155,113300,74540,375102,137435,175079,81711,55503,37865,62588,42937,375145,146398,178035,81217,57528,39290,50712,31603,659121,275644,254427,118262,87255,48910,129050,64672,308298,127604,111431,52585,38624,20222,69263,36508,350823,148040,142996,65677,48631,28688,59787,28164
BHSCT,277668,101542,111415,47563,36271,27581,64711,38081,131909,45864,50569,21887,16430,12252,35476,21932,145759,55678,60846,25676,19841,15329,29235,16149,123308,41881,55145,23187,17258,14700,26282,17704,61867,19990,27273,11629,8468,7176,14604,10256,61441,21891,27872,11558,8790,7524,11678,7448,154360,59661,56270,24376,19013,12881,38429,20377,70042,25874,23296,10258,7962,5076,20872,11676,84318,33787,32974,14118,11051,7805,17557,8701
NHSCT,360672,106700,193535,103612,52257,37666,60437,37188,175253,50951,91551,49644,24579,17328,32751,20942,185419,55749,101984,53968,27678,20338,27686,16246,204341,59059,114796,61179,29926,23691,30486,20806,102090,28466,56833,30722,14567,11544,16791,11840,102251,30593,57963,30457,15359,12147,13695,8966,156331,47641,78739,42433,22331,13975,29951,16382,73163,22485,34718,18922,10012,5784,15960,9102,83168,25156,44021,23511,12319,8191,13991,7280
SEHSCT,270942,72609,142432,68300,44342,29790,55901,38009,130020,33620,66293,32129,20399,13765,30107,21252,140922,38989,76139,36171,23943,16025,25794,16757,157144,39165,88111,41822,26934,19355,29868,22183,78524,18611,43382,20719,13111,9552,16531,12649,78620,20554,44729,21103,13823,9803,13337,9534,113798,33444,54321,26478,17408,10435,26033,15826,51496,15009,22911,11410,7288,4213,13576,8603,62302,18435,31410,15068,10120,6222,12457,7223
SHSCT,274244,139959,97769,37806,38491,21472,36516,16443,135209,68062,47270,18704,18473,10093,19877,9613,139035,71897,50499,19102,20018,11379,16639,6830,150898,74900,59360,23081,22711,13568,16638,8951,75375,36729,29558,11679,11242,6637,9088,5218,75523,38171,29802,11402,11469,6931,7550,3733,123346,65059,38409,14725,15780,7904,19878,7492,59834,31333,17712,7025,7231,3456,10789,4395,63512,33726,20697,7700,8549,4448,9089,3097
WHSCT,225842,138667,62390,23909,28925,9556,24785,9491,111009,66542,30827,11932,14246,4649,13640,5706,114833,72125,31563,11977,14679,4907,11145,3785,114556,68828,35702,13659,16202,5841,10026,4896,57246,33639,18033,6962,8115,2956,5574,2974,57310,35189,17669,6697,8087,2885,4452,1922,111286,69839,26688,10250,12723,3715,14759,4595,53763,32903,12794,4970,6131,1693,8066,2732,57523,36936,13894,5280,6592,2022,6693,1863
BELB,224006,91961,79403,33465,26873,19065,52642,29578,106551,41644,35944,15338,12220,8386,28963,17152,117455,50317,43459,18127,14653,10679,23679,12426,92136,35756,36506,15123,11903,9480,19874,12875,46243,17175,18066,7588,5871,4607,11002,7453,45893,18581,18440,7535,6032,4873,8872,5422,131870,56205,42897,18342,14970,9585,32768,16703,60308,24469,17878,7750,6349,3779,17961,9699,71562,31736,25019,10592,8621,5806,14807,7004
NEELB,332245,91394,183498,99639,47973,35886,57353,35962,161188,43512,86624,47669,22480,16475,31052,20218,171057,47882,96874,51970,25493,19411,26301,15744,188793,50817,108855,58865,27398,22592,29121,20167,94324,24419,53849,29531,13319,10999,16056,11483,94469,26398,55006,29334,14079,11593,13065,8684,143452,40577,74643,40774,20575,13294,28232,15795,66864,19093,32775,18138,9161,5476,14996,8735,76588,21484,41868,22636,11414,7818,13236,7060
SEELB,324604,82190,174444,82398,53740,38306,67970,46512,155378,37840,80918,38678,24609,17631,36620,26032,169226,44350,93526,43720,29131,20675,31350,20480,188316,45290,106750,49886,32289,24575,36276,27012,94148,21426,52589,24760,15708,12121,20133,15452,94168,23864,54161,25126,16581,12454,16143,11560,136288,36900,67694,32512,21451,13731,31694,19500,61230,16414,28329,13918,8901,5510,16487,10580,75058,20486,39365,18594,12550,8221,15207,8920
SELB,302671,155265,107806,41779,42775,23252,39600,17669,149274,75501,52197,20679,20572,10946,21576,10337,153397,79764,55609,21100,22203,12306,18024,7332,166446,83142,65301,25395,25239,14667,18003,9590,83141,40776,32542,12870,12490,7182,9823,5575,83305,42366,32759,12525,12749,7485,8180,4015,136225,72123,42505,16384,17536,8585,21597,8079,66133,34725,19655,7809,8082,3764,11753,4762,70092,37398,22850,8575,9454,4821,9844,3317
WELB,225842,138667,62390,23909,28925,9556,24785,9491,111009,66542,30827,11932,14246,4649,13640,5706,114833,72125,31563,11977,14679,4907,11145,3785,114556,68828,35702,13659,16202,5841,10026,4896,57246,33639,18033,6962,8115,2956,5574,2974,57310,35189,17669,6697,8087,2885,4452,1922,111286,69839,26688,10250,12723,3715,14759,4595,53763,32903,12794,4970,6131,1693,8066,2732,57523,36936,13894,5280,6592,2022,6693,1863
UKN01,224006,91961,79403,33465,26873,19065,52642,29578,106551,41644,35944,15338,12220,8386,28963,17152,117455,50317,43459,18127,14653,10679,23679,12426,92136,35756,36506,15123,11903,9480,19874,12875,46243,17175,18066,7588,5871,4607,11002,7453,45893,18581,18440,7535,6032,4873,8872,5422,131870,56205,42897,18342,14970,9585,32768,16703,60308,24469,17878,7750,6349,3779,17961,9699,71562,31736,25019,10592,8621,5806,14807,7004
UKN02,305528,59686,178335,80350,54780,43205,67507,46982,145219,26760,82078,37387,25050,19641,36381,26312,160309,32926,96257,42963,29730,23564,31126,20670,176662,33577,107185,47785,32401,26999,35900,26961,88335,15588,52737,23738,15748,13251,20010,15472,88327,17989,54448,24047,16653,13748,15890,11489,128866,26109,71150,32565,22379,16206,31607,20021,56884,11172,29341,13649,9302,6390,16371,10840,71982,14937,41809,18916,13077,9816,15236,9181
UKN03,342075,107936,175916,91478,49201,35237,58223,35988,166518,51483,83491,44021,23077,16393,31544,20322,175557,56453,92425,47457,26124,18844,26679,15666,196867,59065,107994,55720,29452,22822,29808,20605,98323,28477,53439,27909,14374,11156,16407,11749,98544,30588,54555,27811,15078,11666,13401,8856,145208,48871,67922,35758,19749,12415,28415,15383,68195,23006,30052,16112,8703,5237,15137,8573,77013,25865,37870,19646,11046,7178,13278,6810
UKN04,222904,112452,81380,42750,28310,10320,29072,13388,108779,53462,39385,20914,13594,4877,15932,7801,114125,58990,41995,21836,14716,5443,13140,5587,113859,54933,46533,24645,15451,6437,12393,6984,56877,26750,23295,12487,7605,3203,6832,4091,56982,28183,23238,12158,7846,3234,5561,2893,109045,57519,34847,18105,12859,3883,16679,6404,51902,26712,16090,8427,5989,1674,9100,3710,57143,30807,18757,9678,6870,2209,7579,2694
UKN05,314855,187442,92507,33147,41122,18238,34906,13276,156333,91690,45612,16636,20186,8790,19031,7858,158522,95752,46895,16511,20936,9448,15875,5418,170723,100502,54896,19655,23824,11417,15325,7115,85324,49445,27542,9989,11905,5648,8337,4172,85399,51057,27354,9666,11919,5769,6988,2943,144132,86940,37611,13492,17298,6821,19581,6161,71009,42245,18070,6647,8281,3142,10694,3686,73123,44695,19541,6845,9017,3679,8887,2475
95AA,40598,14802,18451,10829,4693,2929,7345,4630,19691,6948,8788,5230,2161,1397,3955,2608,20907,7854,9663,5599,2532,1532,3390,2022,23715,8412,11369,6557,2812,2000,3934,2737,11842,4025,5642,3295,1354,993,2175,1566,11873,4387,5727,3262,1458,1007,1759,1171,16883,6390,7082,4272,1881,929,3411,1893,7849,2923,3146,1935,807,404,1780,1042,9034,3467,3936,2337,1074,525,1631,851
