GeographyCode,LC2604NI0001,LC2604NI0002,LC2604NI0003,LC2604NI0004,LC2604NI0005,LC2604NI0006,LC2604NI0007,LC2604NI0008,LC2604NI0009,LC2604NI0010,LC2604NI0011,LC2604NI0012,LC2604NI0013,LC2604NI0014,LC2604NI0015,LC2604NI0016,LC2604NI0017,LC2604NI0018,LC2604NI0019,LC2604NI0020,LC2604NI0021,LC2604NI0022,LC2604NI0023,LC2604NI0024,LC2604NI0025,LC2604NI0026,LC2604NI0027,LC2604NI0028,LC2604NI0029,LC2604NI0030,LC2604NI0031,LC2604NI0032,LC2604NI0033,LC2604NI0034,LC2604NI0035,LC2604NI0036,LC2604NI0037,LC2604NI0038,LC2604NI0039,LC2604NI0040
N92000002,1313420,530962,547699,252094,180055,115550,234759,138153,339969,128392,143438,65198,43873,34367,68139,44593,288750,109158,130608,62325,40420,27863,48984,29305,463909,187176,200902,91529,71115,38258,75831,41067,220792,106236,72751,33042,24647,15062,41805,23188
BHSCT,257160,96162,98205,41762,31767,24676,62793,37775,72035,26730,25237,10691,7545,7001,20068,13260,46243,16102,18500,7969,5670,4861,11641,7237,86449,30139,37911,15914,13291,8706,18399,9942,52433,23191,16557,7188,5261,4108,12685,7336
NHSCT,335761,101735,175302,92955,47652,34695,58724,37044,85390,25353,44069,23100,11016,9953,15968,10842,76865,22934,41434,22909,10302,8223,12497,7880,123274,35754,67040,35218,19642,12180,20480,12288,50232,17694,22759,11728,6692,4339,9779,6034
SEHSCT,251647,69273,128148,61141,39446,27561,54226,37610,76279,18963,39676,18152,12128,9396,17640,13109,62107,16114,33096,16200,9672,7224,12897,8972,79306,22255,41278,20013,13358,7907,15773,10196,33955,11941,14098,6776,4288,3034,7916,5333
SHSCT,256035,132234,88791,34285,34679,19827,35010,16226,60356,29425,22352,8507,8131,5714,8579,4455,57836,27718,22979,9602,8226,5151,7139,3274,96408,50346,32874,12162,14075,6637,13188,5909,41435,24745,10586,4014,4247,2325,6104,2588
WHSCT,212817,131558,57253,21951,26511,8791,24006,9498,45909,27921,12104,4748,5053,2303,5884,2927,45699,26290,14599,5645,6550,2404,4810,1942,78472,48682,21799,8222,10749,2828,7991,2732,42737,28665,8751,3336,4159,1256,5321,1897
BELB,208609,86866,70504,29546,23752,17206,51239,29478,55030,21996,17031,7169,5240,4622,16003,10283,35243,14345,11890,5036,3810,3044,9008,5337,71978,28586,28251,11601,10341,6309,15141,7660,46358,21939,13332,5740,4361,3231,11087,6198
NEELB,309116,87197,166173,89386,43725,33062,55746,35826,79977,22475,42136,22313,10246,9577,15366,10595,70843,19760,39167,21907,9449,7811,11916,7663,112831,30189,63356,33919,17890,11547,19286,11760,45465,14773,21514,11247,6140,4127,9178,5808
SEELB,300198,78569,155849,73357,47461,35031,65780,45907,93284,23697,47882,21674,14433,11775,21705,16086,73107,17871,39706,19133,11532,9041,15530,10872,93777,23808,50938,24326,16308,10304,19031,12478,40030,13193,17323,8224,5188,3911,9514,6471
SELB,282680,146772,97920,37854,38606,21460,37988,17444,65769,32303,24285,9294,8901,6090,9181,4702,63858,30892,25246,10604,9079,5563,7720,3491,106851,55911,36558,13461,15827,7270,14382,6437,46202,27666,11831,4495,4799,2537,6705,2814
WELB,212817,131558,57253,21951,26511,8791,24006,9498,45909,27921,12104,4748,5053,2303,5884,2927,45699,26290,14599,5645,6550,2404,4810,1942,78472,48682,21799,8222,10749,2828,7991,2732,42737,28665,8751,3336,4159,1256,5321,1897
UKN01,208609,86866,70504,29546,23752,17206,51239,29478,55030,21996,17031,7169,5240,4622,16003,10283,35243,14345,11890,5036,3810,3044,9008,5337,71978,28586,28251,11601,10341,6309,15141,7660,46358,21939,13332,5740,4361,3231,11087,6198
UKN02,283218,58107,159516,71569,48496,39451,65595,46564,89464,19395,48594,21505,14369,12720,21475,16041,65185,12216,38143,17347,11270,9526,14826,10608,90068,16472,53981,24150,17313,12518,19615,13179,38501,10024,18798,8567,5544,4687,9679,6736
UKN03,317543,102118,159198,82310,44453,32435,56227,35519,83195,24796,42797,21275,11604,9918,15602,10715,75461,22812,40052,21438,10270,8344,12597,7987,116179,38208,58510,30430,17372,10708,19461,11601,42708,16302,17839,9167,5207,3465,8567,5216
