GeographyCode,LC6110NI0001,LC6110NI0002,LC6110NI0003,LC6110NI0004,LC6110NI0005,LC6110NI0006,LC6110NI0007,LC6110NI0008,LC6110NI0009
N92000002,795263,230721,564542,412130,60441,351689,383133,170280,212853
BHSCT,150870,46410,104460,75152,12924,62228,75718,33486,42232
NHSCT,210147,59485,150662,109901,14587,95314,100246,44898,55348
SEHSCT,158531,46157,112374,81236,11203,70033,77295,34954,42341
SHSCT,157636,43990,113646,83677,11343,72334,73959,32647,41312
WHSCT,118079,34679,83400,62164,10384,51780,55915,24295,31620
BELB,118754,37529,81225,59097,10775,48322,59657,26754,32903
NEELB,194151,54881,139270,101241,13318,87923,92910,41563,51347
SEELB,190647,55038,135609,97291,13352,83939,93356,41686,51670
SELB,173632,48594,125038,92337,12612,79725,81295,35982,45313
WELB,118079,34679,83400,62164,10384,51780,55915,24295,31620
UKN01,118754,37529,81225,59097,10775,48322,59657,26754,32903
UKN02,182067,52421,129646,92493,12577,79916,89574,39844,49730
UKN03,200970,55932,145038,104503,13217,91286,96467,42715,53752
UKN04,114548,35289,79259,59898,10227,49671,54650,25062,29588
UKN05,178924,49550,129374,96139,13645,82494,82785,35905,46880
95AA,25595,6910,18685,13322,1672,11650,12273,5238,7035
95BB,35743,10496,25247,18220,2415,15805,17523,8081,9442
95CC,26586,7409,19177,14128,1871,12257,12458,5538,6920
95DD,29920,8165,21755,15788,1841,13947,14132,6324,7808
95EE,13426,3604,9822,7171,868,6303,6255,2736,3519
95FF,22621,5991,16630,11945,1369,10576,10676,4622,6054
95GG,118754,37529,81225,59097,10775,48322,59657,26754,32903
95HH,18104,5175,12929,9189,1156,8033,8915,4019,4896
95II,32116,8881,23235,16055,2149,13906,16061,6732,9329
95JJ,25272,8239,17033,13122,2346,10776,12150,5893,6257
95KK,15996,4604,11392,8660,1269,7391,7336,3335,4001
95LL,41320,11369,29951,21615,2763,18852,19705,8606,11099
95MM,40612,13373,27239,20649,4139,16510,19963,9234,10729
95NN,30910,8928,21982,15918,2249,13669,14992,6679,8313
95OO,25646,7000,18646,13955,1918,12037,11691,5082,6609
95PP,27574,7549,20025,14749,2261,12488,12825,5288,7537
95QQ,14861,4073,10788,7695,908,6787,7166,3165,4001
95RR,13217,3686,9531,7010,1000,6010,6207,2686,3521
95SS,54962,15966,38996,28211,3850,24361,26751,12116,14635
95TT,19983,5066,14917,11010,1268,9742,8973,3798,5175
95UU,7021,2017,5004,3793,526,3267,3228,1491,1737
95VV,41463,12221,29242,22034,3422,18612,19429,8799,10630
95WW,39969,11632,28337,20151,2733,17418,19818,8899,10919
95XX,36916,10767,26149,18887,2689,16198,18029,8078,9951
95YY,21676,5701,15975,11603,1636,9967,10073,4065,6008
95ZZ,15000,4370,10630,8153,1348,6805,6847,3022,3825
