GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
N92000002,1810863,738033,752555,345101,248821,158633,320275,183164,864187,375753,331791,151311,104871,75609,156643,92472,575616,217477,251989,117527,83677,50785,106150,62811,371060,144803,168775,76263,60273,32239,57482,27881
BHSCT,348204,130813,134436,57385,43155,33896,82955,48241,159848,65452,54114,23198,16063,14853,40282,24150,107256,36668,43375,18676,13888,10811,27213,16513,81100,28693,36947,15511,13204,8232,15460,7578
NHSCT,463297,141816,240423,127421,65547,47455,81058,50147,218824,73637,105873,55584,27744,22545,39314,25098,153822,43918,82335,44550,22355,15430,27569,17444,90651,24261,52215,27287,15448,9480,14175,7605
SEHSCT,346911,96805,175255,83481,54136,37638,74851,50833,166516,50132,78937,37152,23399,18386,37447,26392,113941,28939,59942,29031,18743,12168,25060,17207,66454,17734,36376,17298,11994,7084,12344,7234
SHSCT,358034,185603,123822,47461,48829,27532,48609,21744,177389,95454,58022,22589,21464,13969,23913,10941,111201,54876,40273,15500,16331,8442,16052,7547,69444,35273,25527,9372,11034,5121,8644,3256
WHSCT,294417,182996,78619,29353,37154,12112,32802,12199,141610,91078,34845,12788,16201,5856,15687,5891,89396,53076,26064,9770,12360,3934,10256,4100,63411,38842,17710,6795,8593,2322,6859,2208
BELB,280962,117712,95919,40463,32035,23421,67331,37239,127861,57236,38099,16188,11804,10107,32526,18518,85293,33046,30280,12885,9966,7429,21967,12765,67808,27430,27540,11390,10265,5885,12838,5956
NEELB,426284,121437,227855,122568,60074,45213,76992,48555,201476,63520,100511,53548,25456,21507,37445,24324,142209,37814,78134,42868,20566,14700,26261,16903,82599,20103,49210,26152,14052,9006,13286,7328
SEELB,414153,109906,213772,100403,65256,48113,90475,61835,198503,58348,94952,44162,27658,23132,45203,32024,135904,32561,73037,34822,22665,15550,30306,20955,79746,18997,45783,21419,14933,9431,14966,8856
SELB,395047,205982,136390,52314,54302,29774,52675,23336,194737,105571,63384,24625,23752,15007,25782,11715,122814,60980,44474,17182,18120,9172,17360,8088,77496,39431,28532,10507,12430,5595,9533,3533
