GeographyCode,LC3102NI0001,LC3102NI0002,LC3102NI0003,LC3102NI0004,LC3102NI0005,LC3102NI0006,LC3102NI0007,LC3102NI0008,LC3102NI0009
N92000002,1788339,1574927,213412,877577,789490,88087,910762,785437,125325
BHSCT,342643,299873,42770,165118,147250,17868,177525,152623,24902
NHSCT,457038,403714,53324,224514,202712,21802,232524,201002,31522
SEHSCT,342197,297836,44361,166723,148612,18111,175474,149224,26250
SHSCT,355580,314996,40584,176877,160035,16842,178703,154961,23742
WHSCT,290881,258508,32373,144345,130881,13464,146536,127627,18909
BELB,276141,242416,33725,133147,119025,14122,142994,123391,19603
NEELB,420327,371104,49223,206162,186110,20052,214165,184994,29171
SEELB,408699,355293,53406,198694,176837,21857,210005,178456,31549
SELB,392291,347606,44685,195229,176637,18592,197062,170969,26093
WELB,290881,258508,32373,144345,130881,13464,146536,127627,18909
UKN01,276141,242416,33725,133147,119025,14122,142994,123391,19603
UKN02,384428,334579,49849,185804,165383,20421,198624,169196,29428
UKN03,434612,381683,52929,213896,192176,21720,220716,189507,31209
UKN04,284667,253041,31626,140354,127255,13099,144313,125786,18527
UKN05,408491,363208,45283,204376,185651,18725,204115,177557,26558
95AA,52540,46562,5978,25823,23416,2407,26717,23146,3571
95BB,77483,66905,10578,37934,33586,4348,39549,33319,6230
95CC,58638,52042,6596,29230,26497,2733,29408,25545,3863
95DD,63403,56268,7135,31191,28307,2884,32212,27961,4251
95EE,31054,27631,3423,15392,13984,1408,15662,13647,2015
95FF,48045,42279,5766,23895,21493,2402,24150,20786,3364
95GG,276141,242416,33725,133147,119025,14122,142994,123391,19603
95HH,38785,33820,4965,18749,16708,2041,20036,17112,2924
95II,66502,57457,9045,31971,28225,3746,34531,29232,5299
95JJ,57761,51460,6301,28258,25650,2608,29503,25810,3693
95KK,36711,32610,4101,18352,16602,1750,18359,16008,2351
95LL,92513,81673,10840,45615,41034,4581,46898,40639,6259
95MM,106500,94319,12181,52089,46934,5155,54411,47385,7026
95NN,68714,60088,8626,33857,30385,3472,34857,29703,5154
95OO,57462,51377,6085,28846,26307,2539,28616,25070,3546
95PP,61064,54340,6724,30687,27892,2795,30377,26448,3929
95QQ,31914,27908,4006,15581,13955,1626,16333,13953,2380
95RR,32850,29492,3358,16387,15061,1326,16463,14431,2032
95SS,118525,103676,14849,57681,51641,6040,60844,52035,8809
95TT,44822,40039,4783,22512,20565,1947,22310,19474,2836
95UU,16907,14957,1950,8504,7716,788,8403,7241,1162
95VV,98922,87625,11297,49291,44704,4587,49631,42921,6710
95WW,83141,72459,10682,40152,35809,4343,42989,36650,6339
95XX,77475,67167,10308,37251,33000,4251,40224,34167,6057
95YY,50872,45175,5697,25458,23084,2374,25414,22091,3323
95ZZ,39595,35182,4413,19724,17910,1814,19871,17272,2599
