GeographyCode,LC3103NI0001,LC3103NI0002,LC3103NI0003,LC3103NI0004,LC3103NI0005,LC3103NI0006,LC3103NI0007,LC3103NI0008,LC3103NI0009,LC3103NI0010,LC3103NI0011,LC3103NI0012,LC3103NI0013,LC3103NI0014,LC3103NI0015,LC3103NI0016,LC3103NI0017,LC3103NI0018
N92000002,1788339,1429222,359117,843565,793862,49703,500410,395305,105105,192395,121276,71119,143911,76857,67054,108058,41922,66136
BHSCT,342643,264200,78443,166237,154076,12161,92701,69663,23038,33525,19134,14391,26393,12599,13794,23787,8728,15059
NHSCT,457038,369457,87581,208870,197596,11274,130070,104910,25160,50739,33469,17270,38928,21983,16945,28431,11499,16932
SEHSCT,342197,278278,63919,152445,143959,8486,96794,78876,17918,40684,27753,12931,30533,18347,12186,21741,9343,12398
SHSCT,355580,287847,67733,175370,166218,9152,98955,78737,20218,35950,22310,13640,26286,13483,12803,19019,7099,11920
WHSCT,290881,229440,61441,140643,132013,8630,81890,63119,18771,31497,18610,12887,21771,10445,11326,15080,5253,9827
BELB,276141,210442,65699,138286,127601,10685,72527,52880,19647,26482,14383,12099,20489,9136,11353,18357,6442,11915
NEELB,420327,340585,79742,190306,180148,10158,120101,97320,22781,47113,31426,15687,36267,20795,15472,26540,10896,15644
SEELB,408699,332036,76663,180396,170434,9962,116968,95659,21309,47727,32504,15223,36437,21810,14627,27171,11629,15542
SELB,392291,316719,75572,193934,183666,10268,108924,86327,22597,39576,24353,15223,28947,14671,14276,20910,7702,13208
WELB,290881,229440,61441,140643,132013,8630,81890,63119,18771,31497,18610,12887,21771,10445,11326,15080,5253,9827
UKN01,276141,210442,65699,138286,127601,10685,72527,52880,19647,26482,14383,12099,20489,9136,11353,18357,6442,11915
UKN02,384428,312575,71853,170475,161227,9248,110892,90734,20158,43494,29581,13913,33574,19980,13594,25993,11053,14940
UKN03,434612,350699,83913,198536,187601,10935,123596,99396,24200,49220,32363,16857,37102,20861,16241,26158,10478,15680
UKN04,284667,224577,60090,134584,126223,8361,80775,62111,18664,30823,18637,12186,22913,11663,11250,15572,5943,9629
UKN05,408491,330929,77562,201684,191210,10474,112620,90184,22436,42376,26312,16064,29833,15217,14616,21978,8006,13972
95AA,52540,43470,9070,25115,23827,1288,15171,12449,2722,5597,3776,1821,4104,2382,1722,2553,1036,1517
95BB,77483,61709,15774,32345,30538,1807,22324,18062,4262,10073,6652,3421,7684,4453,3231,5057,2004,3053
95CC,58638,47945,10693,28229,26958,1271,16153,13204,2949,6268,3972,2296,4685,2521,2164,3303,1290,2013
95DD,63403,51897,11506,27922,26536,1386,17866,14783,3083,7492,5236,2256,5746,3449,2297,4377,1893,2484
95EE,31054,25035,6019,14423,13678,745,8970,7168,1802,3156,2011,1145,2592,1405,1187,1913,773,1140
95FF,48045,39187,8858,22528,21326,1202,14134,11543,2591,4956,3230,1726,3706,2041,1665,2721,1047,1674
95GG,276141,210442,65699,138286,127601,10685,72527,52880,19647,26482,14383,12099,20489,9136,11353,18357,6442,11915
95HH,38785,30921,7864,16727,15734,993,11609,9230,2379,4472,2982,1490,3473,1973,1500,2504,1002,1502
95II,66502,53758,12744,27951,26475,1476,20174,16783,3391,7043,4751,2292,5904,3463,2441,5430,2286,3144
95JJ,57761,46734,11027,25132,23697,1435,16414,13224,3190,6784,4648,2136,5490,3369,2121,3941,1796,2145
95KK,36711,28872,7839,18564,17448,1116,9969,7590,2379,3626,2043,1583,2661,1188,1473,1891,603,1288
95LL,92513,73318,19195,45351,42725,2626,25651,19695,5956,9322,5559,3763,7124,3504,3620,5065,1835,3230
95MM,106500,83307,23193,53186,49704,3482,29981,22279,7702,11012,6275,4737,7492,3408,4084,4829,1641,3188
95NN,68714,55724,12990,31973,30072,1901,19081,15336,3745,7808,5266,2542,5720,3294,2426,4132,1756,2376
95OO,57462,46774,10688,29357,27894,1463,15707,12467,3240,5533,3401,2132,3980,1974,2006,2885,1038,1847
95PP,61064,49851,11213,28074,26781,1293,17086,14143,2943,7190,4829,2361,4939,2719,2220,3775,1379,2396
95QQ,31914,25394,6520,13302,12577,725,9369,7528,1841,3972,2644,1328,3018,1738,1280,2253,907,1346
95RR,32850,26220,6630,15789,14792,997,9453,7433,2020,3576,2137,1439,2507,1269,1238,1525,589,936
95SS,118525,96908,21617,56499,53183,3316,33470,27098,6372,12628,8417,4211,9308,5390,3918,6620,2820,3800
95TT,44822,36632,8190,22718,21511,1207,12268,9920,2348,4384,2775,1609,3094,1576,1518,2358,850,1508
95UU,16907,13451,3456,7297,6919,378,4714,3775,939,2080,1341,739,1682,959,723,1134,457,677
95VV,98922,80623,18299,49905,47315,2590,27310,21828,5482,9871,6148,3723,6791,3443,3348,5045,1889,3156
95WW,83141,67051,16090,37670,35669,2001,23720,19243,4477,9176,6013,3163,7068,3944,3124,5507,2182,3325
95XX,77475,63937,13538,31628,30166,1462,21919,18380,3539,10175,7418,2757,7821,5210,2611,5932,2763,3169
95YY,50872,40232,10640,24837,23303,1534,14127,11032,3095,5504,3144,2360,3683,1796,1887,2721,957,1764
95ZZ,39595,29830,9765,18757,17433,1324,11243,8232,3011,4215,2225,1990,3150,1253,1897,2230,687,1543
