GeographyCode,LC3602NI0001,LC3602NI0002,LC3602NI0003,LC3602NI0004,LC3602NI0005,LC3602NI0006,LC3602NI0007,LC3602NI0008,LC3602NI0009,LC3602NI0010,LC3602NI0011,LC3602NI0012,LC3602NI0013,LC3602NI0014,LC3602NI0015,LC3602NI0016,LC3602NI0017,LC3602NI0018,LC3602NI0019,LC3602NI0020,LC3602NI0021,LC3602NI0022,LC3602NI0023,LC3602NI0024,LC3602NI0025,LC3602NI0026,LC3602NI0027,LC3602NI0028,LC3602NI0029,LC3602NI0030,LC3602NI0031,LC3602NI0032,LC3602NI0033,LC3602NI0034,LC3602NI0035,LC3602NI0036,LC3602NI0037,LC3602NI0038,LC3602NI0039,LC3602NI0040,LC3602NI0041,LC3602NI0042,LC3602NI0043,LC3602NI0044,LC3602NI0045
N92000002,1313420,339969,288750,463909,220792,268146,43292,53232,125709,45913,1045274,296677,235518,338200,174879,647369,161996,143110,235268,106995,128479,20126,27600,59361,21392,518890,141870,115510,175907,85603,666051,177973,145640,228641,113797,139667,23166,25632,66348,24521,526384,154807,120008,162293,89276
BHSCT,257160,72035,46243,86449,52433,56683,8489,9065,27861,11268,200477,63546,37178,58588,41165,124707,35696,20300,43206,25505,26727,4022,4011,13473,5221,97980,31674,16289,29733,20284,132453,36339,25943,43243,26928,29956,4467,5054,14388,6047,102497,31872,20889,28855,20881
NHSCT,335761,85390,76865,123274,50232,64152,10880,13587,30328,9357,271609,74510,63278,92946,40875,165437,40269,37843,63501,23824,30418,4966,6964,14164,4324,135019,35303,30879,49337,19500,170324,45121,39022,59773,26408,33734,5914,6623,16164,5033,136590,39207,32399,43609,21375
SEHSCT,251647,76279,62107,79306,33955,47878,9604,11221,20642,6411,203769,66675,50886,58664,27544,123169,37649,30039,38788,16693,22695,4602,5616,9451,3026,100474,33047,24423,29337,13667,128478,38630,32068,40518,17262,25183,5002,5605,11191,3385,103295,33628,26463,29327,13877
SHSCT,256035,60356,57836,96408,41435,51089,7746,10573,24043,8727,204946,52610,47263,72365,32708,128028,27394,30034,50447,20153,24871,3419,5904,11502,4046,103157,23975,24130,38945,16107,128007,32962,27802,45961,21282,26218,4327,4669,12541,4681,101789,28635,23133,33420,16601
WHSCT,212817,45909,45699,78472,42737,48344,6573,8786,22835,10150,164473,39336,36913,55637,32587,106028,20988,24894,39326,20820,23768,3117,5105,10771,4775,82260,17871,19789,28555,16045,106789,24921,20805,39146,21917,24576,3456,3681,12064,5375,82213,21465,17124,27082,16542
BELB,208609,55030,35243,71978,46358,47957,6562,7038,24129,10228,160652,48468,28205,47849,36130,101270,27311,15529,35967,22463,22689,3073,3140,11746,4730,78581,24238,12389,24221,17733,107339,27719,19714,36011,23895,25268,3489,3898,12383,5498,82071,24230,15816,23628,18397
NEELB,309116,79977,70843,112831,45465,58336,10145,12388,27583,8220,250780,69832,58455,85248,37245,152114,37952,34459,58026,21677,27599,4654,6252,12867,3826,124515,33298,28207,45159,17851,157002,42025,36384,54805,23788,30737,5491,6136,14716,4394,126265,36534,30248,40089,19394
SEELB,300198,93284,73107,93777,40030,56604,11531,13248,24374,7451,243594,81753,59859,69403,32579,146606,46034,34810,46027,19735,26733,5551,6487,11178,3517,119873,40483,28323,34849,16218,153592,47250,38297,47750,20295,29871,5980,6761,13196,3934,123721,41270,31536,34554,16361
SELB,282680,65769,63858,106851,46202,56905,8481,11772,26788,9864,225775,57288,52086,80063,36338,141351,29711,33418,55922,22300,27690,3731,6616,12799,4544,113661,25980,26802,43123,17756,141329,36058,30440,50929,23902,29215,4750,5156,13989,5320,112114,31308,25284,36940,18582
WELB,212817,45909,45699,78472,42737,48344,6573,8786,22835,10150,164473,39336,36913,55637,32587,106028,20988,24894,39326,20820,23768,3117,5105,10771,4775,82260,17871,19789,28555,16045,106789,24921,20805,39146,21917,24576,3456,3681,12064,5375,82213,21465,17124,27082,16542
UKN01,208609,55030,35243,71978,46358,47957,6562,7038,24129,10228,160652,48468,28205,47849,36130,101270,27311,15529,35967,22463,22689,3073,3140,11746,4730,78581,24238,12389,24221,17733,107339,27719,19714,36011,23895,25268,3489,3898,12383,5498,82071,24230,15816,23628,18397
UKN02,283218,89464,65185,90068,38501,51878,10512,11468,23132,6766,231340,78952,53717,66936,31735,137423,44874,28925,44681,18943,23847,5088,5130,10483,3146,113576,39786,23795,34198,15797,145795,44590,36260,45387,19558,28031,5424,6338,12649,3620,117764,39166,29922,32738,15938
UKN03,317543,83195,75461,116179,42708,62546,10966,13760,29482,8338,254997,72229,61701,86697,34370,156921,39241,37270,59418,20992,29966,5054,7194,13726,3992,126955,34187,30076,45692,17000,160622,43954,38191,56761,21716,32580,5912,6566,15756,4346,128042,38042,31625,41005,17370
UKN04,209839,46170,44311,77013,42345,46750,6621,8359,22574,9196,163089,39549,35952,54439,33149,103684,21713,23591,37947,20433,22612,3173,4649,10465,4325,81072,18540,18942,27482,16108,106155,24457,20720,39066,21912,24138,3448,3710,12109,4871,82017,21009,17010,26957,17041
UKN05,294211,66110,68550,108671,50880,59015,8631,12607,26392,11385,235196,57479,55943,82279,39495,148071,28857,37795,57255,24164,29365,3738,7487,12941,5199,118706,25119,30308,44314,18965,146140,37253,30755,51416,26716,29650,4893,5120,13451,6186,116490,32360,25635,37965,20530
95AA,38597,10708,8945,13941,5003,7013,1270,1426,3289,1028,31584,9438,7519,10652,3975,18999,5013,4351,7226,2409,3342,548,721,1560,513,15657,4465,3630,5666,1896,19598,5695,4594,6715,2594,3671,722,705,1729,515,15927,4973,3889,4986,2079
95BB,57290,15659,15367,19551,6713,11751,2275,3025,5272,1179,45539,13384,12342,14279,5534,28032,7555,7565,9613,3299,5672,1122,1563,2421,566,22360,6433,6002,7192,2733,29258,8104,7802,9938,3414,6079,1153,1462,2851,613,23179,6951,6340,7087,2801
95CC,42544,10271,10474,15063,6736,8262,1433,1937,3540,1352,34282,8838,8537,11523,5384,21391,4567,5536,7964,3324,4088,634,1106,1705,643,17303,3933,4430,6259,2681,21153,5704,4938,7099,3412,4174,799,831,1835,709,16979,4905,4107,5264,2703
95DD,46337,11888,10278,18348,5823,8256,1414,1705,4025,1112,38081,10474,8573,14323,4711,22991,5620,5026,9553,2792,3934,652,885,1870,527,19057,4968,4141,7683,2265,23346,6268,5252,8795,3031,4322,762,820,2155,585,19024,5506,4432,6640,2446
95EE,22558,4674,5546,8839,3499,4534,619,1004,2230,681,18024,4055,4542,6609,2818,11298,2091,3013,4465,1729,2194,266,568,1035,325,9104,1825,2445,3430,1404,11260,2583,2533,4374,1770,2340,353,436,1195,356,8920,2230,2097,3179,1414
95FF,34555,9471,8790,11944,4350,6545,1101,1601,2997,846,28010,8370,7189,8947,3504,17280,4453,4552,6046,2229,3169,487,908,1349,425,14111,3966,3644,4697,1804,17275,5018,4238,5898,2121,3376,614,693,1648,421,13899,4404,3545,4250,1700
95GG,208609,55030,35243,71978,46358,47957,6562,7038,24129,10228,160652,48468,28205,47849,36130,101270,27311,15529,35967,22463,22689,3073,3140,11746,4730,78581,24238,12389,24221,17733,107339,27719,19714,36011,23895,25268,3489,3898,12383,5498,82071,24230,15816,23628,18397
95HH,28657,8108,6439,10270,3840,5786,1130,1218,2756,682,22871,6978,5221,7514,3158,13905,4109,2745,5160,1891,2635,525,540,1254,316,11270,3584,2205,3906,1575,14752,3999,3694,5110,1949,3151,605,678,1502,366,11601,3394,3016,3608,1583
