GeographyCode,LC6601NI0001,LC6601NI0002,LC6601NI0003,LC6601NI0004,LC6601NI0005,LC6601NI0006,LC6601NI0007,LC6601NI0008,LC6601NI0009,LC6601NI0010,LC6601NI0011,LC6601NI0012,LC6601NI0013,LC6601NI0014,LC6601NI0015,LC6601NI0016,LC6601NI0017,LC6601NI0018,LC6601NI0019,LC6601NI0020,LC6601NI0021,LC6601NI0022,LC6601NI0023,LC6601NI0024
N92000002,1313420,205513,1107907,795263,137062,658201,230721,44780,185941,564542,92282,472260,518157,68451,449706,170016,24151,145865,90466,20860,69606,257675,23440,234235
BHSCT,257160,41284,215876,150870,27512,123358,46410,9395,37015,104460,18117,86343,106290,13772,92518,31330,4083,27247,20304,5110,15194,54656,4579,50077
NHSCT,335761,51908,283853,210147,34930,175217,59485,11398,48087,150662,23532,127130,125614,16978,108636,45739,6500,39239,22054,5022,17032,57821,5456,52365
SEHSCT,251647,41237,210410,158531,27231,131300,46157,8930,37227,112374,18301,94073,93116,14006,79110,37460,6201,31259,14869,3505,11364,40787,4300,36487
SHSCT,256035,38576,217459,157636,26451,131185,43990,8351,35639,113646,18100,95546,98399,12125,86274,29837,4078,25759,16764,3477,13287,51798,4570,47228
WHSCT,212817,32508,180309,118079,20938,97141,34679,6706,27973,83400,14232,69168,94738,11570,83168,25650,3289,22361,16475,3746,12729,52613,4535,48078
BELB,208609,32972,175637,118754,21806,96948,37529,7629,29900,81225,14177,67048,89855,11166,78689,24126,2942,21184,17504,4348,13156,48225,3876,44349
NEELB,309116,48201,260915,194151,32481,161670,54881,10613,44268,139270,21868,117402,114965,15720,99245,42768,6136,36632,20040,4607,15433,52157,4977,47180
SEELB,300198,49549,250649,190647,32937,157710,55038,10696,44342,135609,22241,113368,109551,16612,92939,44664,7342,37322,17669,4267,13402,47218,5003,42215
SELB,282680,42283,240397,173632,28900,144732,48594,9136,39458,125038,19764,105274,109048,13383,95665,32808,4442,28366,18778,3892,14886,57462,5049,52413
WELB,212817,32508,180309,118079,20938,97141,34679,6706,27973,83400,14232,69168,94738,11570,83168,25650,3289,22361,16475,3746,12729,52613,4535,48078
UKN01,208609,32972,175637,118754,21806,96948,37529,7629,29900,81225,14177,67048,89855,11166,78689,24126,2942,21184,17504,4348,13156,48225,3876,44349
UKN02,283218,46375,236843,182067,31017,151050,52421,10105,42316,129646,20912,108734,101151,15358,85793,41199,6568,34631,17365,4327,13038,42587,4463,38124
UKN03,317543,48221,269322,200970,32873,168097,55932,10509,45423,145038,22364,122674,116573,15348,101225,44138,6417,37721,18025,3815,14210,54410,5116,49294
UKN04,209839,31317,178522,114548,19669,94879,35289,6719,28570,79259,12950,66309,95291,11648,83643,27182,3562,23620,16799,3771,13028,51310,4315,46995
UKN05,294211,46628,247583,178924,31697,147227,49550,9818,39732,129374,21879,107495,115287,14931,100356,33371,4662,28709,20773,4599,16174,61143,5670,55473
95AA,38597,5592,33005,25595,3924,21671,6910,1242,5668,18685,2682,16003,13002,1668,11334,4778,670,4108,2027,409,1618,6197,589,5608
95BB,57290,8705,48585,35743,5874,29869,10496,1923,8573,25247,3951,21296,21547,2831,18716,9681,1390,8291,2930,594,2336,8936,847,8089
95CC,42544,6799,35745,26586,4700,21886,7409,1474,5935,19177,3226,15951,15958,2099,13859,5267,794,4473,2876,624,2252,7815,681,7134
95DD,46337,7317,39020,29920,5033,24887,8165,1583,6582,21755,3450,18305,16417,2284,14133,6641,922,5719,2496,579,1917,7280,783,6497
95EE,22558,3328,19230,13426,2232,11194,3604,659,2945,9822,1573,8249,9132,1096,8036,2901,317,2584,1606,363,1243,4625,416,4209
95FF,34555,5457,29098,22621,3982,18639,5991,1220,4771,16630,2762,13868,11934,1475,10459,4276,585,3691,1958,387,1571,5700,503,5197
95GG,208609,32972,175637,118754,21806,96948,37529,7629,29900,81225,14177,67048,89855,11166,78689,24126,2942,21184,17504,4348,13156,48225,3876,44349
95HH,28657,4481,24176,18104,2979,15125,5175,1014,4161,12929,1965,10964,10553,1502,9051,4333,636,3697,1670,406,1264,4550,460,4090
95II,48551,8312,40239,32116,5706,26410,8881,1766,7115,23235,3940,19295,16435,2606,13829,7204,1141,6063,2800,762,2038,6431,703,5728
95JJ,43277,7618,35659,25272,4808,20464,8239,1806,6433,17033,3002,14031,18005,2810,15195,6530,1139,5391,3511,883,2628,7964,788,7176
