GeographyCode,LC4401NI0001,LC4401NI0002,LC4401NI0003,LC4401NI0004,LC4401NI0005,LC4401NI0006,LC4401NI0007,LC4401NI0008,LC4401NI0009,LC4401NI0010,LC4401NI0011,LC4401NI0012,LC4401NI0013,LC4401NI0014,LC4401NI0015,LC4401NI0016,LC4401NI0017,LC4401NI0018,LC4401NI0019,LC4401NI0020,LC4401NI0021,LC4401NI0022,LC4401NI0023,LC4401NI0024,LC4401NI0025,LC4401NI0026,LC4401NI0027,LC4401NI0028,LC4401NI0029,LC4401NI0030,LC4401NI0031,LC4401NI0032,LC4401NI0033,LC4401NI0034,LC4401NI0035,LC4401NI0036,LC4401NI0037,LC4401NI0038,LC4401NI0039,LC4401NI0040,LC4401NI0041,LC4401NI0042,LC4401NI0043,LC4401NI0044,LC4401NI0045,LC4401NI0046,LC4401NI0047,LC4401NI0048
WELB,109206,37948,71258,25406,17544,7862,44618,18938,25680,39182,1466,37716,71389,16763,54626,7112,4639,2473,28718,10923,17795,35559,1201,34358,17149,10166,6983,9839,6942,2897,6478,3165,3313,832,59,773,20668,11019,9649,8455,5963,2492,9422,4850,4572,2791,206,2585
UKN01,120595,53095,67500,48321,30938,17383,49528,21124,28404,22746,1033,21713,63019,22016,41003,13355,8435,4920,31101,12904,18197,18563,677,17886,30818,18529,12289,21126,14259,6867,8854,4153,4701,838,117,721,26758,12550,14208,13840,8244,5596,9573,4067,5506,3345,239,3106
UKN02,156882,53782,103100,29952,21211,8741,67854,30609,37245,59076,1962,57114,115712,30820,84892,11044,7589,3455,49968,21618,28350,54700,1613,53087,21552,13426,8126,12265,8986,3279,8294,4331,3963,993,109,884,19618,9536,10082,6643,4636,2007,9592,4660,4932,3383,240,3143
UKN03,170132,55423,114709,30921,21998,8923,69934,30852,39082,69277,2573,66704,121340,28798,92542,9863,6820,3043,48042,19904,28138,63435,2074,61361,19772,12024,7748,10865,8015,2850,7796,3907,3889,1111,102,1009,29020,14601,14419,10193,7163,3030,14096,7041,7055,4731,397,4334
UKN04,109318,38359,70959,26581,18115,8466,45925,18855,27070,36812,1389,35423,69848,16573,53275,7093,4537,2556,29618,10918,18700,33137,1118,32019,18728,10871,7857,10793,7530,3263,6996,3279,3717,939,62,877,20742,10915,9827,8695,6048,2647,9311,4658,4653,2736,209,2527
UKN05,146348,44777,101571,23884,16874,7010,57775,25447,32328,64689,2456,62233,104832,23629,81203,8305,5971,2334,38170,15666,22504,58357,1992,56365,14015,8338,5677,7066,5164,1902,5974,3110,2864,975,64,911,27501,12810,14691,8513,5739,2774,13631,6671,6960,5357,400,4957
95AA,20064,6381,13683,3616,2502,1114,8288,3592,4696,8160,287,7873,14372,3385,10987,1180,778,402,5707,2367,3340,7485,240,7245,2385,1550,835,1399,1057,342,878,486,392,108,7,101,3307,1446,1861,1037,667,370,1703,739,964,567,40,527
95BB,31514,10125,21389,5233,3769,1464,12903,5853,7050,13378,503,12875,23303,5652,17651,1770,1291,479,9164,3950,5214,12369,411,11958,4094,2389,1705,2103,1502,601,1707,861,846,284,26,258,4117,2084,2033,1360,976,384,2032,1042,990,725,66,659
95CC,21594,6733,14861,3210,2370,840,8497,4018,4479,9887,345,9542,15928,3725,12203,1142,870,272,5813,2571,3242,8973,284,8689,2029,1253,776,1005,744,261,863,498,365,161,11,150,3637,1755,1882,1063,756,307,1821,949,872,753,50,703
95DD,24817,7789,17028,4284,3039,1245,10037,4382,5655,10496,368,10128,17844,4104,13740,1325,928,397,6902,2870,4032,9617,306,9311,2778,1699,1079,1561,1174,387,1081,509,572,136,16,120,4195,1986,2209,1398,937,461,2054,1003,1051,743,46,697
95EE,11508,3241,8267,1778,1235,543,4731,1850,2881,4999,156,4843,8120,1594,6526,508,347,161,3126,1126,2000,4486,121,4365,1437,744,693,678,466,212,633,272,361,126,6,120,1951,903,1048,592,422,170,972,452,520,387,29,358
95FF,18303,5683,12620,2596,1980,616,7138,3381,3757,8569,322,8247,13545,2980,10565,841,605,236,4872,2109,2763,7832,266,7566,1806,1147,659,891,708,183,786,434,352,129,5,124,2952,1556,1396,864,667,197,1480,838,642,608,51,557
95GG,120595,53095,67500,48321,30938,17383,49528,21124,28404,22746,1033,21713,63019,22016,41003,13355,8435,4920,31101,12904,18197,18563,677,17886,30818,18529,12289,21126,14259,6867,8854,4153,4701,838,117,721,26758,12550,14208,13840,8244,5596,9573,4067,5506,3345,239,3106
95HH,16200,5835,10365,3432,2517,915,6989,3095,3894,5779,223,5556,11747,3127,8620,1172,839,333,5183,2110,3073,5392,178,5214,2214,1458,756,1336,1018,318,789,432,357,89,8,81,2239,1250,989,924,660,264,1017,553,464,298,37,261
95II,27733,9520,18213,5020,3573,1447,12435,5669,6766,10278,278,10000,20896,5828,15068,2120,1485,635,9314,4129,5185,9462,214,9248,3882,2417,1465,2012,1498,514,1625,885,740,245,34,211,2955,1275,1680,888,590,298,1496,655,841,571,30,541
95JJ,23508,8193,15315,4986,3423,1563,10032,4401,5631,8490,369,8121,15585,4105,11480,1377,947,430,6726,2862,3864,7482,296,7186,3235,1897,1338,1908,1349,559,1173,533,640,154,15,139,4688,2191,2497,1701,1127,574,2133,1006,1127,854,58,796
95KK,12904,3742,9162,1960,1404,556,5024,2110,2914,5920,228,5692,9476,1985,7491,736,530,206,3367,1275,2092,5373,180,5193,1052,616,436,499,370,129,477,241,236,76,5,71,2376,1141,1235,725,504,221,1180,594,586,471,43,428
95LL,35931,12114,23817,7946,5436,2510,15489,6247,9242,12496,431,12065,23929,5713,18216,2335,1517,818,10226,3863,6363,11368,333,11035,4710,2851,1859,2670,1956,714,1823,872,951,217,23,194,7292,3550,3742,2941,1963,978,3440,1512,1928,911,75,836
95MM,40779,15726,25053,12839,8549,4290,17083,6762,10321,10857,415,10442,23600,5849,17751,3147,1869,1278,10655,3653,7002,9798,327,9471,9271,5453,3818,5659,3913,1746,3252,1514,1738,360,26,334,7908,4424,3484,4033,2767,1266,3176,1595,1581,699,62,637
95NN,26206,8583,17623,4373,3207,1166,10485,4890,5595,11348,486,10862,18706,4409,14297,1395,1019,376,7012,3016,3996,10299,374,9925,2575,1475,1100,1335,955,380,1061,500,561,179,20,159,4925,2699,2226,1643,1233,410,2412,1374,1038,870,92,778
95OO,20270,6104,14166,3245,2208,1037,8139,3544,4595,8886,352,8534,14028,3202,10826,1006,750,256,5168,2170,2998,7854,282,7572,2083,1244,839,1016,741,275,923,492,431,144,11,133,4159,1658,2501,1223,717,506,2048,882,1166,888,59,829
95PP,23069,7484,15585,3702,2708,994,9098,4370,4728,10269,406,9863,16782,4156,12626,1399,1029,370,6129,2794,3335,9254,333,8921,2170,1318,852,1132,832,300,900,474,426,138,12,126,4117,2010,2107,1171,847,324,2069,1102,967,877,61,816
95QQ,13297,4748,8549,2873,2065,808,5594,2507,3087,4830,176,4654,9641,2555,7086,1017,682,335,4159,1729,2430,4465,144,4321,1424,913,511,906,663,243,460,245,215,58,5,53,2232,1280,952,950,720,230,975,533,442,307,27,280
95RR,12098,3695,8403,2359,1597,762,5013,1965,3048,4726,133,4593,8392,1702,6690,708,439,269,3333,1152,2181,4351,111,4240,1557,885,672,843,595,248,629,284,345,85,6,79,2149,1108,1041,808,563,245,1051,529,522,290,16,274
95SS,45723,14893,30830,8752,5869,2883,19170,8428,10742,17801,596,17205,32686,8060,24626,2795,1813,982,13499,5740,7759,16392,507,15885,7699,4482,3217,4360,2978,1382,2990,1472,1518,349,32,317,5338,2351,2987,1597,1078,519,2681,1216,1465,1060,57,1003
95TT,15037,3844,11193,2152,1487,665,5511,2124,3387,7374,233,7141,11106,2020,9086,774,530,244,3688,1304,2384,6644,186,6458,1278,688,590,640,457,183,533,228,305,105,3,102,2653,1136,1517,738,500,238,1290,592,698,625,44,581
95UU,6608,2333,4275,1262,924,338,2832,1293,1539,2514,116,2398,4477,1163,3314,402,300,102,1829,769,1060,2246,94,2152,890,505,385,455,324,131,365,178,187,70,3,67,1241,665,576,405,300,105,638,346,292,198,19,179
95VV,35031,10998,24033,6466,4394,2072,14316,6024,8292,14249,580,13669,24571,5645,18926,2341,1595,746,9353,3584,5769,12877,466,12411,3590,2096,1494,1819,1301,518,1525,782,743,246,13,233,6870,3257,3613,2306,1498,808,3438,1658,1780,1126,101,1025
95WW,33971,11832,22139,6933,4975,1958,14839,6458,8381,12199,399,11800,25252,6678,18574,2621,1794,827,11219,4557,6662,11412,327,11085,4481,2949,1532,2703,2039,664,1613,890,723,165,20,145,4238,2205,2033,1609,1142,467,2007,1011,996,622,52,570
95XX,33255,11702,21553,5815,4277,1538,14421,6959,7462,13019,466,12553,25131,7127,18004,2336,1658,678,10753,5082,5671,12042,387,11655,3276,2120,1156,1854,1453,401,1277,652,625,145,15,130,4848,2455,2393,1625,1166,459,2391,1225,1166,832,64,768
95YY,18443,5872,12571,3149,2303,846,7190,3257,3933,8104,312,7792,12941,2896,10045,907,667,240,4652,1968,2684,7382,261,7121,1813,1123,690,955,719,236,753,395,358,105,9,96,3689,1853,1836,1287,917,370,1785,894,891,617,42,575
95ZZ,14817,5171,9646,3357,2387,970,6234,2584,3650,5226,200,5026,9674,2160,7514,951,635,316,3949,1356,2593,4774,169,4605,2338,1387,951,1250,883,367,944,498,446,144,6,138,2805,1624,1181,1156,869,287,1341,730,611,308,25,283
