GeographyCode,LC6113NI0001,LC6113NI0002,LC6113NI0003,LC6113NI0004,LC6113NI0005,LC6113NI0006,LC6113NI0007,LC6113NI0008,LC6113NI0009,LC6113NI0010,LC6113NI0011,LC6113NI0012,LC6113NI0013,LC6113NI0014,LC6113NI0015,LC6113NI0016,LC6113NI0017,LC6113NI0018,LC6113NI0019,LC6113NI0020,LC6113NI0021,LC6113NI0022,LC6113NI0023,LC6113NI0024,LC6113NI0025,LC6113NI0026,LC6113NI0027,LC6113NI0028,LC6113NI0029,LC6113NI0030
N92000002,1301310,706318,594992,865281,497430,367851,201611,107246,94365,472438,283712,188726,117531,87146,30385,73701,19326,54375,436029,208888,227141,168807,114428,54379,92744,38495,54249,174478,55965,118513
BHSCT,253881,114321,139560,165519,80373,85146,41579,17206,24373,93876,50225,43651,14604,9999,4605,15460,2943,12517,88362,33948,54414,31046,18842,12204,21568,6540,15028,35748,8566,27182
NHSCT,332241,192211,140030,225539,136957,88582,51500,29344,22156,125525,78736,46789,31873,24067,7806,16641,4810,11831,106702,55254,51448,45462,31744,13718,19945,9162,10783,41295,14348,26947
SEHSCT,249201,147508,101693,169360,104565,64795,40065,22973,17092,93373,59951,33422,23938,18273,5665,11984,3368,8616,79841,42943,36898,37220,26924,10296,13960,6241,7719,28661,9778,18883
SHSCT,255225,143437,111788,172086,102196,69890,38379,22084,16295,92643,55816,36827,26543,19908,6635,14521,4388,10133,83139,41241,41898,29638,20031,9607,18446,8724,9722,35055,12486,22569
WHSCT,210762,108841,101921,132777,73339,59438,30088,15639,14449,67021,38984,28037,20573,14899,5674,15095,3817,11278,77985,35502,42483,25441,16887,8554,18825,7828,10997,33719,10787,22932
BELB,205649,85643,120006,131578,59218,72360,33646,12699,20947,73180,36739,36441,11152,7364,3788,13600,2416,11184,74071,26425,47646,23882,13831,10051,19319,5548,13771,30870,7046,23824
NEELB,305705,177414,128291,208156,126806,81350,47571,27137,20434,116643,73615,43028,28716,21672,7044,15226,4382,10844,97549,50608,46941,42514,29716,12798,17809,8074,9735,37226,12818,24408
SEELB,297433,176186,121247,203301,125720,77581,47998,27480,20518,114069,73437,40632,27390,20908,6482,13844,3895,9949,94132,50466,43666,44384,31935,12449,16209,7233,8976,33539,11298,22241
SELB,281761,158234,123527,189469,112347,77122,42308,24291,18017,101525,60937,40588,29700,22303,7397,15936,4816,11120,92292,45887,46405,32586,22059,10527,20582,9812,10770,39124,14016,25108
WELB,210762,108841,101921,132777,73339,59438,30088,15639,14449,67021,38984,28037,20573,14899,5674,15095,3817,11278,77985,35502,42483,25441,16887,8554,18825,7828,10997,33719,10787,22932
UKN01,205649,85643,120006,131578,59218,72360,33646,12699,20947,73180,36739,36441,11152,7364,3788,13600,2416,11184,74071,26425,47646,23882,13831,10051,19319,5548,13771,30870,7046,23824
UKN02,279535,165029,114506,193287,119185,74102,45967,25824,20143,113008,73238,39770,21612,16669,4943,12700,3454,9246,86248,45844,40404,40956,29320,11636,14684,6442,8242,30608,10082,20526
UKN03,315917,185650,130267,215964,132970,82994,48958,28405,20553,120507,76485,44022,30952,23542,7410,15547,4538,11009,99953,52680,47273,43869,30962,12907,19603,9052,10551,36481,12666,23815
UKN04,207332,107627,99705,129186,71389,57797,30424,15546,14878,64340,38178,26162,19079,13870,5209,15343,3795,11548,78146,36238,41908,27005,18184,8821,18181,7601,10580,32960,10453,22507
UKN05,292877,162369,130508,195266,114668,80598,42616,24772,17844,101403,59072,42331,34736,25701,9035,16511,5123,11388,97611,47701,49910,33095,22131,10964,20957,9852,11105,43559,15718,27841
95AA,38045,22572,15473,27124,16869,10255,6100,3418,2682,15709,10162,5547,3549,2751,798,1766,538,1228,10921,5703,5218,4718,3313,1405,2091,919,1172,4112,1471,2641
95BB,57165,35327,21838,38357,24319,14038,9051,5546,3505,20837,13488,7349,5841,4470,1371,2628,815,1813,18808,11008,7800,9633,7175,2458,3169,1593,1576,6006,2240,3766
95CC,42198,24091,18107,28876,17368,11508,6366,3792,2574,15288,9169,6119,4907,3722,1185,2315,685,1630,13322,6723,6599,5205,3582,1623,2511,1220,1291,5606,1921,3685
95DD,46176,27258,18918,31985,19643,12342,7176,4235,2941,18087,11238,6849,4639,3566,1073,2083,604,1479,14191,7615,6576,6607,4701,1906,2421,1069,1352,5163,1845,3318
95EE,22525,13362,9163,14739,9341,5398,3055,1935,1120,7672,4903,2769,2698,2104,594,1314,399,915,7786,4021,3765,2891,1974,917,1550,793,757,3345,1254,2091
95FF,34512,20934,13578,24181,15421,8760,5177,3215,1962,13443,8663,4780,3995,3054,941,1566,489,1077,10331,5513,4818,4261,2992,1269,2126,1069,1057,3944,1452,2492
95GG,205649,85643,120006,131578,59218,72360,33646,12699,20947,73180,36739,36441,11152,7364,3788,13600,2416,11184,74071,26425,47646,23882,13831,10051,19319,5548,13771,30870,7046,23824
95HH,28580,16860,11720,19594,12031,7563,4618,2625,1993,11598,7542,4056,1886,1459,427,1492,405,1087,8986,4829,4157,4312,3062,1250,1624,746,878,3050,1021,2029
95II,48232,28678,19554,33941,21155,12786,7933,4507,3426,20696,13486,7210,3452,2635,817,1860,527,1333,14291,7523,6768,7164,5011,2153,2249,992,1257,4878,1520,3358
95JJ,42384,23677,18707,27308,16054,11254,6895,3665,3230,13832,8657,5175,4172,3094,1078,2409,638,1771,15076,7623,7453,6491,4471,2020,2577,1098,1479,6008,2054,3954
95KK,26536,14797,11739,17383,10151,7232,3929,2207,1722,8882,5121,3761,3157,2395,762,1415,428,987,9153,4646,4507,2948,2028,920,2136,1088,1048,4069,1530,2539
95LL,66932,37973,28959,44983,27102,17881,10216,5643,4573,26113,16615,9498,4982,3814,1168,3672,1030,2642,21949,10871,11078,8338,5667,2671,5166,2402,2764,8445,2802,5643
95MM,77467,35691,41776,47100,23221,23879,11705,5006,6699,23422,13219,10203,5235,3656,1579,6738,1340,5398,30367,12470,17897,9241,5979,3262,8135,2979,5156,12991,3512,9479
95NN,49605,27997,21608,33408,20035,13373,7666,4328,3338,17177,10643,6534,5829,4305,1524,2736,759,1977,16197,7962,8235,6579,4516,2063,3260,1425,1835,6358,2021,4337
95OO,41220,22630,18590,27878,16192,11686,6002,3462,2540,14927,8517,6410,4716,3536,1180,2233,677,1556,13342,6438,6904,4310,2845,1465,2952,1403,1549,6080,2190,3890
95PP,44176,24787,19389,29787,17732,12055,6447,3875,2572,15568,9129,6439,5494,4009,1485,2278,719,1559,14389,7055,7334,5503,3600,1903,2597,1112,1485,6289,2343,3946
95QQ,23482,13589,9893,15926,9581,6345,3572,2020,1552,9141,5676,3465,2117,1582,535,1096,303,793,7556,4008,3548,3733,2598,1135,1370,575,795,2453,835,1618
95RR,24082,13489,10593,15009,8987,6022,3227,1907,1320,7493,4704,2789,2443,1781,662,1846,595,1251,9073,4502,4571,2927,2102,825,2048,997,1051,4098,1403,2695
95SS,85370,49219,36151,58578,35605,22973,14095,7642,6453,33181,21350,11831,7225,5567,1658,4077,1046,3031,26792,13614,13178,11113,7988,3125,5075,2190,2885,10604,3436,7168
95TT,31890,18144,13746,21501,13048,8453,4395,2683,1712,11618,6969,4649,3966,2876,1090,1522,520,1002,10389,5096,5293,3396,2314,1082,2023,1036,987,4970,1746,3224
95UU,12331,6645,5686,7822,4451,3371,1692,963,729,3631,2078,1553,1683,1163,520,816,247,569,4509,2194,2315,1894,1269,625,873,357,516,1742,568,1174
95VV,70363,37809,32554,46168,26113,20055,10618,5972,4646,22872,12852,10020,7943,5782,2161,4735,1507,3228,24195,11696,12499,7524,4945,2579,5691,2630,3061,10980,4121,6859
95WW,60292,35307,24985,42157,25788,16369,10068,5593,4475,25355,16390,8965,4006,3077,929,2728,728,2000,18135,9519,8616,8472,6014,2458,3280,1481,1799,6383,2024,4359
95XX,57061,34965,22096,39017,24606,14411,9253,5457,3796,22178,14470,7708,5043,3931,1112,2543,748,1795,18044,10359,7685,9895,7245,2650,2456,1033,1423,5693,2081,3612
95YY,36494,20111,16383,23673,14064,9609,4859,2781,2078,12248,7315,4933,4553,3381,1172,2013,587,1426,12821,6047,6774,4209,2817,1392,3047,1363,1684,5565,1867,3698
95ZZ,28543,14763,13780,17208,9335,7873,3850,2070,1780,8290,4617,3673,2848,2072,776,2220,576,1644,11335,5428,5907,3561,2389,1172,2998,1377,1621,4776,1662,3114
