GeographyCode,LC2117NI0001,LC2117NI0002,LC2117NI0003,LC2117NI0004,LC2117NI0005,LC2117NI0006,LC2117NI0007,LC2117NI0008,LC2117NI0009,LC2117NI0010,LC2117NI0011,LC2117NI0012,LC2117NI0013,LC2117NI0014,LC2117NI0015,LC2117NI0016,LC2117NI0017,LC2117NI0018,LC2117NI0019,LC2117NI0020,LC2117NI0021,LC2117NI0022,LC2117NI0023,LC2117NI0024,LC2117NI0025,LC2117NI0026,LC2117NI0027,LC2117NI0028
N92000002,703275,263153,312808,127314,196414,64591,90401,41422,455076,175296,205865,73915,269421,105066,125118,39237,100230,44470,37035,18725,85425,25760,43712,15953,51785,23266,16542,11977
BHSCT,148328,50967,62030,35331,50611,14970,22746,12895,82487,29469,35172,17846,40544,14200,17982,8362,24137,10330,8687,5120,17806,4939,8503,4364,15230,6528,4112,4590
NHSCT,177914,48294,98398,31222,46858,10672,26693,9493,119950,33886,66674,19390,73906,22151,40880,10875,23131,6752,11929,4450,22913,4983,13865,4065,11106,3736,5031,2339
SEHSCT,136698,34368,73335,28995,36574,7746,20439,8389,92625,24125,49731,18769,55946,14270,30844,10832,17532,6018,7569,3945,19147,3837,11318,3992,7499,2497,3165,1837
SHSCT,131129,64273,48215,18641,32965,14701,12367,5897,88923,44486,33553,10884,56199,28384,22109,5706,17986,9861,5163,2962,14738,6241,6281,2216,9241,5086,2295,1860
WHSCT,109206,65251,30830,13125,29406,16502,8156,4748,71091,43330,20735,7026,42826,26061,13303,3462,17444,11509,3687,2248,10821,5760,3745,1316,8709,5419,1939,1351
BELB,120595,46467,45058,29070,42401,13984,17398,11019,64315,26216,24205,13894,29604,11925,11668,6011,21020,9936,6727,4357,13691,4355,5810,3526,13879,6267,3455,4157
NEELB,165010,41682,93598,29730,43835,9285,25541,9009,110991,29179,63280,18532,67975,18902,38659,10414,21435,5834,11380,4221,21581,4443,13241,3897,10184,3218,4777,2189
SEELB,164431,38868,90307,35256,44784,8732,25787,10265,110797,27378,60698,22721,66886,16545,37158,13183,20649,6412,9529,4708,23262,4421,14011,4830,8850,2758,3822,2270
SELB,144033,70885,53015,20133,35988,16088,13519,6381,97882,49193,36947,11742,62130,31633,24330,6167,19682,10779,5712,3191,16070,6781,6905,2384,10163,5604,2549,2010
WELB,109206,65251,30830,13125,29406,16502,8156,4748,71091,43330,20735,7026,42826,26061,13303,3462,17444,11509,3687,2248,10821,5760,3745,1316,8709,5419,1939,1351
UKN01,120595,46467,45058,29070,42401,13984,17398,11019,64315,26216,24205,13894,29604,11925,11668,6011,21020,9936,6727,4357,13691,4355,5810,3526,13879,6267,3455,4157
UKN02,156882,28442,93220,35220,43525,6014,27276,10235,105299,20420,62106,22773,62440,12149,37204,13087,20429,4912,10682,4835,22430,3359,14220,4851,8058,2008,3838,2212
UKN03,170132,50801,89192,30139,44655,12037,23546,9072,115487,35093,61524,18870,71084,21556,38844,10684,22038,7879,9919,4240,22365,5658,12761,3946,9990,3671,4122,2197
UKN04,109318,53129,40975,15214,29564,13266,11017,5281,70880,35141,27336,8403,41354,20457,16660,4237,17542,9923,5131,2488,11984,4761,5545,1678,8874,4722,2622,1530
UKN05,146348,84314,44363,17671,36269,19290,11164,5815,99095,58426,30694,9975,64939,38979,20742,5218,19201,11820,4576,2805,14955,7627,5376,1952,10984,6598,2505,1881
95AA,20064,6861,9419,3784,5093,1489,2501,1103,13696,4874,6433,2389,8619,3139,4050,1430,2555,1014,1061,480,2522,721,1322,479,1275,498,485,292
95BB,31514,3166,21213,7135,8310,788,5572,1950,21637,2154,14735,4748,13402,1387,9242,2773,3645,402,2296,947,4590,365,3197,1028,1567,224,906,437
95CC,21594,9266,9534,2794,5464,2242,2355,867,14810,6376,6762,1672,9669,4123,4630,916,2802,1376,1000,426,2339,877,1132,330,1320,648,417,255
95DD,24817,4582,16263,3972,6381,1036,4182,1163,16887,3149,11269,2469,10514,1988,7141,1385,3101,666,1870,565,3272,495,2258,519,1549,397,812,340
95EE,11508,2965,7000,1543,2741,576,1721,444,7931,2109,4857,965,5116,1462,3084,570,1281,313,770,198,1534,334,1003,197,836,280,422,134
95FF,18303,5099,10291,2913,4613,1257,2472,884,12732,3534,7349,1849,8303,2280,4928,1095,2173,719,1053,401,2256,535,1368,353,958,308,470,180
95GG,120595,46467,45058,29070,42401,13984,17398,11019,64315,26216,24205,13894,29604,11925,11668,6011,21020,9936,6727,4357,13691,4355,5810,3526,13879,6267,3455,4157
95HH,16200,1189,11071,3940,4674,337,3161,1176,10768,774,7429,2565,6397,443,4449,1505,2174,175,1428,571,2197,156,1552,489,758,78,481,199
95II,27733,4500,16972,6261,8210,986,5348,1876,18172,3253,10967,3952,10940,2275,6314,2351,3117,394,1960,763,4115,584,2693,838,1351,261,657,433
95JJ,23508,5267,13934,4307,6715,1322,3928,1465,15008,3442,9119,2447,8875,2171,5401,1303,2971,713,1663,595,3162,558,2055,549,1785,503,887,395
95KK,12904,6612,4800,1492,3023,1387,1152,484,8959,4707,3394,858,5931,3249,2221,461,1696,918,549,229,1332,540,624,168,922,518,254,150
95LL,35931,13953,16191,5787,9528,3166,4485,1877,24119,9672,11054,3393,14332,5715,6865,1752,5121,2339,1896,886,4666,1618,2293,755,2284,1115,652,517
95MM,40779,26374,8648,5757,11366,6769,2497,2100,25568,17022,5599,2947,13665,9021,3306,1338,8193,5853,1252,1088,3710,2148,1041,521,3845,2583,552,710
95NN,26206,14363,7727,4116,6888,3501,2079,1308,17647,9903,5214,2530,10822,6056,3329,1437,3613,2276,744,593,3212,1571,1141,500,1671,959,434,278
95OO,20270,11205,6590,2475,4856,2337,1720,799,13602,7743,4508,1351,8909,5152,3078,679,2667,1602,672,393,2026,989,758,279,1812,1125,362,325
95PP,23069,12168,8204,2697,6356,3212,2185,959,14998,8016,5489,1493,9759,5274,3701,784,2712,1514,802,396,2527,1228,986,313,1715,940,530,245
95QQ,13297,2777,8088,2432,3842,800,2255,787,8769,1807,5470,1492,5092,991,3289,812,1830,463,999,368,1847,353,1182,312,686,170,363,153
95RR,12098,6421,4443,1234,2811,1407,1029,375,8443,4539,3136,768,5240,2872,1967,401,1807,1036,571,200,1396,631,598,167,844,475,278,91
95SS,45723,13428,23634,8661,11384,2501,6514,2369,31580,9811,16097,5672,18708,5386,10059,3263,6718,2997,2426,1295,6154,1428,3612,1114,2759,1116,1023,620
95TT,15037,8750,4763,1524,3174,1577,1138,459,10694,6457,3322,915,7411,4661,2227,523,1780,1034,533,213,1503,762,562,179,1169,716,303,150
95UU,6608,3377,2278,953,1950,914,676,360,4220,2242,1453,525,2570,1443,850,277,879,453,291,135,771,346,312,113,438,221,149,68
95VV,35031,24750,5609,4672,8504,5699,1335,1470,23660,17161,3880,2619,14986,11114,2608,1264,5223,3825,542,856,3451,2222,730,499,2867,1890,394,583
95WW,33971,5914,20782,7275,9265,1234,5979,2052,23018,4325,13928,4765,13381,2604,8168,2609,4864,1003,2765,1096,4773,718,2995,1060,1688,355,875,458
95XX,33255,3411,20761,9083,9992,956,6274,2762,21761,2257,13685,5819,13014,1441,8214,3359,3556,343,2103,1110,5191,473,3368,1350,1502,198,802,502
95YY,18443,11563,4863,2017,4892,2836,1279,777,12372,7966,3339,1067,8274,5406,2277,591,2321,1551,478,292,1777,1009,584,184,1179,761,245,173
95ZZ,14817,8725,4672,1420,3981,2278,1166,537,9710,5787,3172,751,5888,3488,2052,348,2411,1555,584,272,1411,744,536,131,1126,660,334,132
