GeographyCode,LC6603NI0001,LC6603NI0002,LC6603NI0003,LC6603NI0004,LC6603NI0005,LC6603NI0006,LC6603NI0007,LC6603NI0008,LC6603NI0009,LC6603NI0010,LC6603NI0011,LC6603NI0012,LC6603NI0013,LC6603NI0014,LC6603NI0015,LC6603NI0016,LC6603NI0017,LC6603NI0018,LC6603NI0019,LC6603NI0020,LC6603NI0021,LC6603NI0022,LC6603NI0023,LC6603NI0024,LC6603NI0025,LC6603NI0026,LC6603NI0027,LC6603NI0028,LC6603NI0029,LC6603NI0030,LC6603NI0031,LC6603NI0032,LC6603NI0033,LC6603NI0034,LC6603NI0035,LC6603NI0036,LC6603NI0037,LC6603NI0038,LC6603NI0039,LC6603NI0040,LC6603NI0041,LC6603NI0042,LC6603NI0043,LC6603NI0044,LC6603NI0045
N92000002,1313420,869767,443653,339969,272701,67268,288750,218887,69863,463909,289936,173973,220792,88243,132549,647369,460771,186598,161996,133309,28687,143110,114363,28747,235268,165678,69590,106995,47421,59574,666051,408996,257055,177973,139392,38581,145640,104524,41116,228641,124258,104383,113797,40822,72975
BHSCT,257160,166648,90512,72035,59826,12209,46243,34234,12009,86449,50614,35835,52433,21974,30459,124707,85475,39232,35696,30342,5354,20300,15926,4374,43206,27586,15620,25505,11621,13884,132453,81173,51280,36339,29484,6855,25943,18308,7635,43243,23028,20215,26928,10353,16575
NHSCT,335761,227093,108668,85390,67998,17392,76865,58753,18112,123274,80120,43154,50232,20222,30010,165437,120791,44646,40269,33018,7251,37843,30467,7376,63501,46896,16605,23824,10410,13414,170324,106302,64022,45121,34980,10141,39022,28286,10736,59773,33224,26549,26408,9812,16596
SEHSCT,251647,170549,81098,76279,59435,16844,62107,46341,15766,79306,50679,28627,33955,14094,19861,123169,89022,34147,37649,29882,7767,30039,23868,6171,38788,27733,11055,16693,7539,9154,128478,81527,46951,38630,29553,9077,32068,22473,9595,40518,22946,17572,17262,6555,10707
SHSCT,256035,172195,83840,60356,49124,11232,57836,44498,13338,96408,62618,33790,41435,15955,25480,128028,93379,34649,27394,23104,4290,30034,24272,5762,50447,37156,13291,20153,8847,11306,128007,78816,49191,32962,26020,6942,27802,20226,7576,45961,25462,20499,21282,7108,14174
WHSCT,212817,133282,79535,45909,36318,9591,45699,35061,10638,78472,45905,32567,42737,15998,26739,106028,72104,33924,20988,16963,4025,24894,19830,5064,39326,26307,13019,20820,9004,11816,106789,61178,45611,24921,19355,5566,20805,15231,5574,39146,19598,19548,21917,6994,14923
BELB,208609,132666,75943,55030,45893,9137,35243,26213,9030,71978,41209,30769,46358,19351,27007,101270,68197,33073,27311,23408,3903,15529,12151,3378,35967,22386,13581,22463,10252,12211,107339,64469,42870,27719,22485,5234,19714,14062,5652,36011,18823,17188,23895,9099,14796
NEELB,309116,209675,99441,79977,63649,16328,70843,54098,16745,112831,73322,39509,45465,18606,26859,152114,111222,40892,37952,31078,6874,34459,27744,6715,58026,42810,15216,21677,9590,12087,157002,98453,58549,42025,32571,9454,36384,26354,10030,54805,30512,24293,23788,9016,14772
SEELB,300198,204531,95667,93284,73368,19916,73107,54362,18745,93777,60084,33693,40030,16717,23313,146606,106300,40306,46034,36816,9218,34810,27643,7167,46027,32933,13094,19735,8908,10827,153592,98231,55361,47250,36552,10698,38297,26719,11578,47750,27151,20599,20295,7809,12486
SELB,282680,189613,93067,65769,53473,12296,63858,49153,14705,106851,69416,37435,46202,17571,28631,141351,102948,38403,29711,25044,4667,33418,26995,6423,55922,41242,14680,22300,9667,12633,141329,86665,54664,36058,28429,7629,30440,22158,8282,50929,28174,22755,23902,7904,15998
