GeographyCode,LC2106NI0001,LC2106NI0002,LC2106NI0003,LC2106NI0004,LC2106NI0005,LC2106NI0006,LC2106NI0007,LC2106NI0008,LC2106NI0009,LC2106NI0010,LC2106NI0011,LC2106NI0012,LC2106NI0013,LC2106NI0014,LC2106NI0015,LC2106NI0016,LC2106NI0017,LC2106NI0018
N92000002,1810863,341428,1070413,375826,39634,21167,887323,171628,518278,186908,20465,10403,923540,169800,552135,188918,19169,10764
BHSCT,348204,53550,213719,74585,7716,7564,167364,26261,101781,36286,3932,3844,180840,27289,111938,38299,3784,3720
NHSCT,463297,94973,303954,60053,8362,4232,227074,47379,147377,30458,4426,2016,236223,47594,156577,29595,3936,2216
SEHSCT,346911,55111,244919,47581,3933,3745,169123,27178,119028,23684,1924,1824,177788,27933,125891,23897,2009,1921
SHSCT,358034,70037,180546,96073,15299,3088,177711,35692,88271,48246,7897,1468,180323,34345,92275,47827,7402,1620
WHSCT,294417,67757,127275,97534,4324,2538,146051,35118,61821,48234,2286,1251,148366,32639,65454,49300,2038,1287
BELB,280962,45310,162711,66716,6947,6570,135077,22324,77328,32374,3570,3337,145885,22986,85383,34342,3377,3233
NEELB,426284,85964,284805,51861,7273,4020,208609,42748,138056,26322,3813,1908,217675,43216,146749,25539,3460,2112
SEELB,414153,63351,295927,55450,4702,4739,201410,31115,143481,27596,2286,2331,212743,32236,152446,27854,2416,2408
SELB,395047,79046,199695,104265,16388,3300,196176,40323,97592,52382,8510,1576,198871,38723,102103,51883,7878,1724
WELB,294417,67757,127275,97534,4324,2538,146051,35118,61821,48234,2286,1251,148366,32639,65454,49300,2038,1287
UKN01,280962,45310,162711,66716,6947,6570,135077,22324,77328,32374,3570,3337,145885,22986,85383,34342,3377,3233
UKN02,390597,54272,290763,45023,4553,4966,188838,26325,140295,22371,2271,2427,201759,27947,150468,22652,2282,2539
UKN03,438823,84126,289090,60031,10127,3879,215591,41840,140914,30379,5212,1875,223232,42286,148176,29652,4915,2004
UKN04,288597,65367,142688,79633,3196,2510,142146,33417,69210,39247,1640,1225,146451,31950,73478,40386,1556,1285
UKN05,411884,92353,185161,124423,14811,3242,205671,47722,90531,62537,7772,1539,206213,44631,94630,61886,7039,1703
95AA,53428,9467,35149,7833,1410,664,26310,4790,17116,3924,748,324,27118,4677,18033,3909,662,340
95BB,78078,13301,59992,4999,682,632,38086,6522,29247,2543,326,307,39992,6779,30745,2456,356,325
95CC,59340,12243,30530,15450,1865,421,29509,6306,14923,7771,927,199,29831,5937,15607,7679,938,222
95DD,64044,14016,43624,5153,1783,480,31398,6809,21365,2646,926,230,32646,7207,22259,2507,857,250
95EE,31224,8383,19149,3608,351,104,15442,4216,9361,1857,186,44,15782,4167,9788,1751,165,60
95FF,48339,9473,32833,6014,561,349,23976,4748,16145,3107,298,161,24363,4725,16688,2907,263,188
95GG,280962,45310,162711,66716,6947,6570,135077,22324,77328,32374,3570,3337,145885,22986,85383,34342,3377,3233
95HH,39114,5898,31279,1876,348,395,18851,2825,15079,956,178,174,20263,3073,16200,920,170,221
95II,67242,8240,51008,7869,769,994,32287,3937,24453,3912,362,507,34955,4303,26555,3957,407,487
95JJ,59067,12508,39465,6407,1134,679,28742,6280,19038,3162,588,306,30325,6228,20427,3245,546,373
95KK,37013,9009,19149,8192,1089,212,18465,4631,9321,4136,613,108,18548,4378,9828,4056,476,104
95LL,93023,17255,53871,17935,4680,925,45776,8591,26151,9075,2419,445,47247,8664,27720,8860,2261,480
95MM,107877,20685,39838,47115,1008,1165,52648,10569,18990,22997,513,592,55229,10116,20848,24118,495,573
95NN,69731,13953,40321,15740,802,641,34385,7089,19629,7877,385,312,35346,6864,20692,7863,417,329
95OO,57852,12543,25027,16005,4864,474,28969,6371,12287,8111,2568,226,28883,6172,12740,7894,2296,248
95PP,61805,15364,28475,17027,1466,472,30977,8021,13986,8522,759,227,30828,7343,14489,8505,707,245
95QQ,32180,6661,23300,2357,209,188,15660,3291,11261,1207,110,96,16520,3370,12039,1150,99,92
95RR,33536,8551,18145,6842,247,238,16927,4379,9032,3515,133,129,16609,4172,9113,3327,114,109
95SS,120165,18624,80594,20873,1614,1283,58658,9222,39234,10278,810,617,61507,9402,41360,10595,804,666
95TT,45038,12085,20343,12328,930,288,22598,6120,9990,6353,506,133,22440,5965,10353,5975,424,155
95UU,17050,4669,8626,3863,121,117,8560,2421,4235,1978,53,60,8490,2248,4391,1885,68,57
95VV,99480,18523,38285,40669,3329,919,49481,9676,18765,20182,1685,437,49999,8847,19520,20487,1644,482
95WW,85139,12277,63870,8436,987,1105,41048,5996,30611,4239,518,541,44091,6281,33259,4197,469,564
95XX,78937,9233,64012,5969,835,1189,37994,4345,30918,2986,403,588,40943,4888,33094,2983,432,601
95YY,51356,12586,23352,14752,1268,456,25672,6597,11259,7462,714,209,25684,5989,12093,7290,554,247
95ZZ,39843,10571,17465,11798,335,207,19827,5552,8554,5738,167,94,20016,5019,8911,6060,168,113
