ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC3101NI0001,Count,PERSONS,"All categories: Age, All categories: Unpaid carers"
LC3101NI0002,Count,PERSONS,"All categories: Age, Provides no unpaid care"
LC3101NI0003,Count,PERSONS,"All categories: Age, Provides unpaid care"
LC3101NI0004,Count,PERSONS,"Aged 0 to 34, All categories: Unpaid carers"
LC3101NI0005,Count,PERSONS,"Aged 0 to 34, Provides no unpaid care"
LC3101NI0006,Count,PERSONS,"Aged 0 to 34, Provides unpaid care"
LC3101NI0007,Count,PERSONS,"Aged 35 to 44, All categories: Unpaid carers"
LC3101NI0008,Count,PERSONS,"Aged 35 to 44, Provides no unpaid care"
LC3101NI0009,Count,PERSONS,"Aged 35 to 44, Provides unpaid care"
LC3101NI0010,Count,PERSONS,"Aged 45 to 54, All categories: Unpaid carers"
LC3101NI0011,Count,PERSONS,"Aged 45 to 54, Provides no unpaid care"
LC3101NI0012,Count,PERSONS,"Aged 45 to 54, Provides unpaid care"
LC3101NI0013,Count,PERSONS,"Aged 55 to 64, All categories: Unpaid carers"
LC3101NI0014,Count,PERSONS,"Aged 55 to 64, Provides no unpaid care"
LC3101NI0015,Count,PERSONS,"Aged 55 to 64, Provides unpaid care"
LC3101NI0016,Count,PERSONS,"Aged 65 and over, All categories: Unpaid carers"
LC3101NI0017,Count,PERSONS,"Aged 65 and over, Provides no unpaid care"
LC3101NI0018,Count,PERSONS,"Aged 65 and over, Provides unpaid care"
