GeographyCode,LC2605NI0001,LC2605NI0002,LC2605NI0003,LC2605NI0004,LC2605NI0005,LC2605NI0006,LC2605NI0007,LC2605NI0008,LC2605NI0009,LC2605NI0010,LC2605NI0011,LC2605NI0012,LC2605NI0013,LC2605NI0014,LC2605NI0015
N92000002,795263,176791,203720,328877,85875,687643,151033,177499,288299,70812,107620,25758,26221,40578,15063
BHSCT,150870,39239,31132,61596,18903,126763,31534,25958,53825,15446,24107,7705,5174,7771,3457
NHSCT,210147,43770,56739,86653,22985,186792,38675,50864,77629,19624,23355,5095,5875,9024,3361
SEHSCT,158531,36696,40785,66622,14428,137997,31619,35287,58818,12273,20534,5077,5498,7804,2155
SHSCT,157636,33117,42993,64729,16797,133824,28969,37282,54832,12741,23812,4148,5711,9897,4056
WHSCT,118079,23969,32071,49277,12762,102267,20236,28108,43195,10728,15812,3733,3963,6082,2034
BELB,118754,30103,23976,48782,15893,98567,23775,19670,42262,12860,20187,6328,4306,6520,3033
NEELB,194151,40753,51790,80370,21238,172446,35916,46394,71990,18146,21705,4837,5396,8380,3092
SEELB,190647,45832,47941,79436,17438,166193,39378,41575,70381,14859,24454,6454,6366,9055,2579
SELB,173632,36134,47942,71012,18544,148170,31728,41752,60471,14219,25462,4406,6190,10541,4325
WELB,118079,23969,32071,49277,12762,102267,20236,28108,43195,10728,15812,3733,3963,6082,2034
UKN01,118754,30103,23976,48782,15893,98567,23775,19670,42262,12860,20187,6328,4306,6520,3033
UKN02,182067,44538,43103,77197,17229,158808,38244,37283,68548,14733,23259,6294,5820,8649,2496
UKN03,200970,41717,53382,84749,21122,176302,36792,47343,74710,17457,24668,4925,6039,10039,3665
UKN04,114548,23323,30279,48134,12812,101249,19943,26978,43111,11217,13299,3380,3301,5023,1595
UKN05,178924,37110,52980,70015,18819,152717,32279,46225,59668,14545,26207,4831,6755,10347,4274
95AA,25595,5529,6688,10318,3060,21442,4716,5638,8709,2379,4153,813,1050,1609,681
95BB,35743,7012,9639,15597,3495,32070,6189,8658,14173,3050,3673,823,981,1424,445
95CC,26586,5555,7439,10786,2806,23033,4919,6598,9344,2172,3553,636,841,1442,634
95DD,29920,6284,7959,12497,3180,26411,5616,7184,10997,2614,3509,668,775,1500,566
95EE,13426,2468,4061,5558,1339,12378,2249,3757,5127,1245,1048,219,304,431,94
95FF,22621,5020,6319,9199,2083,20401,4476,5703,8387,1835,2220,544,616,812,248
95GG,118754,30103,23976,48782,15893,98567,23775,19670,42262,12860,20187,6328,4306,6520,3033
95HH,18104,3782,4426,8010,1886,16094,3299,3914,7229,1652,2010,483,512,781,234
95II,32116,9136,7156,12814,3010,28196,7759,6288,11563,2586,3920,1377,868,1251,424
95JJ,25272,5458,6521,10296,2997,22030,4629,5683,9146,2572,3242,829,838,1150,425
95KK,15996,3017,4949,6283,1747,14346,2759,4470,5639,1478,1650,258,479,644,269
95LL,41320,8291,9738,18505,4786,35057,7323,8440,15641,3653,6263,968,1298,2864,1133
95MM,40612,9100,9185,17874,4453,35166,7508,8006,15851,3801,5446,1592,1179,2023,652
95NN,30910,6899,8933,12238,2840,27344,6057,7937,10919,2431,3566,842,996,1319,409
95OO,25646,5266,7567,10039,2774,20624,4658,6336,7822,1808,5022,608,1231,2217,966
95PP,27574,5164,8046,11402,2962,22631,4118,6792,9422,2299,4943,1046,1254,1980,663
95QQ,14861,2682,4106,6395,1678,13577,2415,3783,5884,1495,1284,267,323,511,183
95RR,13217,2391,3740,5551,1535,12028,2148,3407,5070,1403,1189,243,333,481,132
95SS,54962,13426,13250,23122,5164,47749,11530,11349,20494,4376,7213,1896,1901,2628,788
95TT,19983,4353,6399,7188,2043,18221,3984,5915,6575,1747,1762,369,484,613,296
95UU,7021,1362,2322,2522,815,6358,1195,2131,2293,739,663,167,191,229,76
95VV,41463,8985,11930,16200,4348,34709,7593,10205,13638,3273,6754,1392,1725,2562,1075
95WW,39969,8835,9308,17586,4240,35935,7813,8389,16030,3703,4034,1022,919,1556,537
95XX,36916,9359,8963,15665,2929,30834,7843,7343,13232,2416,6082,1516,1620,2433,513
95YY,21676,4770,6650,8117,2139,19153,4248,5909,7228,1768,2523,522,741,889,371
95ZZ,15000,2544,4450,6333,1673,13289,2214,3994,5624,1457,1711,330,456,709,216
