GeographyCode,LC3601NI0001,LC3601NI0002,LC3601NI0003,LC3601NI0004,LC3601NI0005,LC3601NI0006,LC3601NI0007,LC3601NI0008,LC3601NI0009,LC3601NI0010,LC3601NI0011,LC3601NI0012,LC3601NI0013,LC3601NI0014,LC3601NI0015,LC3601NI0016,LC3601NI0017,LC3601NI0018,LC3601NI0019,LC3601NI0020,LC3601NI0021,LC3601NI0022,LC3601NI0023,LC3601NI0024,LC3601NI0025,LC3601NI0026,LC3601NI0027,LC3601NI0028,LC3601NI0029,LC3601NI0030,LC3601NI0031,LC3601NI0032,LC3601NI0033,LC3601NI0034,LC3601NI0035,LC3601NI0036,LC3601NI0037,LC3601NI0038,LC3601NI0039,LC3601NI0040,LC3601NI0041,LC3601NI0042,LC3601NI0043,LC3601NI0044,LC3601NI0045,LC3601NI0046,LC3601NI0047,LC3601NI0048,LC3601NI0049,LC3601NI0050,LC3601NI0051,LC3601NI0052,LC3601NI0053,LC3601NI0054,LC3601NI0055,LC3601NI0056,LC3601NI0057,LC3601NI0058,LC3601NI0059,LC3601NI0060
N92000002,1313420,339969,288750,463909,220792,563450,173987,120466,157492,111505,465763,121441,111245,169257,63820,284207,44541,57039,137160,45467,647369,161996,143110,235268,106995,282597,81349,58644,86606,55998,228577,59358,54542,84155,30522,136195,21289,29924,64507,20475,666051,177973,145640,228641,113797,280853,92638,61822,70886,55507,237186,62083,56703,85102,33298,148012,23252,27115,72653,24992
BHSCT,257160,72035,46243,86449,52433,108717,38009,18543,26049,26116,86965,24920,17684,29773,14588,61478,9106,10016,30627,11729,124707,35696,20300,43206,25505,53590,18586,8134,13937,12933,41974,12597,7685,14520,7172,29143,4513,4481,14749,5400,132453,36339,25943,43243,26928,55127,19423,10409,12112,13183,44991,12323,9999,15253,7416,32335,4593,5535,15878,6329
NHSCT,335761,85390,76865,123274,50232,142628,42378,31635,42614,26001,124545,31738,30571,47131,15105,68588,11274,14659,33529,9126,165437,40269,37843,63501,23824,71847,19658,15279,24072,12838,60935,15285,14907,23752,6991,32655,5326,7657,15677,3995,170324,45121,39022,59773,26408,70781,22720,16356,18542,13163,63610,16453,15664,23379,8114,35933,5948,7002,17852,5131
SEHSCT,251647,76279,62107,79306,33955,108965,38191,25825,26880,18069,92662,28369,24463,29996,9834,50020,9719,11819,22430,6052,123169,37649,30039,38788,16693,54461,18569,12416,14179,9297,45044,14304,11628,14394,4718,23664,4776,5995,10215,2678,128478,38630,32068,40518,17262,54504,19622,13409,12701,8772,47618,14065,12835,15602,5116,26356,4943,5824,12215,3374
SHSCT,256035,60356,57836,96408,41435,112719,31771,25004,34731,21213,89444,20745,21596,35333,11770,53872,7840,11236,26344,8452,128028,27394,30034,50447,20153,57145,14098,12636,19640,10771,44715,9763,11082,18234,5636,26168,3533,6316,12573,3746,128007,32962,27802,45961,21282,55574,17673,12368,15091,10442,44729,10982,10514,17099,6134,27704,4307,4920,13771,4706
WHSCT,212817,45909,45699,78472,42737,90421,23638,19459,27218,20106,72147,15669,16931,27024,12523,50249,6602,9309,24230,10108,106028,20988,24894,39326,20820,45554,10438,10179,14778,10159,35909,7409,9240,13255,6005,24565,3141,5475,11293,4656,106789,24921,20805,39146,21917,44867,13200,9280,12440,9947,36238,8260,7691,13769,6518,25684,3461,3834,12937,5452
BELB,208609,55030,35243,71978,46358,87283,29134,14207,21315,22627,69230,18808,13251,24191,12980,52096,7088,7785,26472,10751,101270,27311,15529,35967,22463,42976,14293,6210,11331,11142,33485,9530,5796,11786,6373,24809,3488,3523,12850,4948,107339,27719,19714,36011,23895,44307,14841,7997,9984,11485,35745,9278,7455,12405,6607,27287,3600,4262,13622,5803
NEELB,309116,79977,70843,112831,45465,131589,39603,29244,39009,23733,115271,29876,28254,43376,13765,62256,10498,13345,30446,7967,152114,37952,34459,58026,21677,66200,18481,13977,21971,11771,56300,14491,13598,21816,6395,29614,4980,6884,14239,3511,157002,42025,36384,54805,23788,65389,21122,15267,17038,11962,58971,15385,14656,21560,7370,32642,5518,6461,16207,4456
SEELB,300198,93284,73107,93777,40030,130399,47066,30161,31614,21558,110397,34481,28896,35578,11442,59402,11737,14050,26585,7030,146606,46034,34810,46027,19735,65075,22862,14340,16785,11088,53533,17371,13517,17128,5517,27998,5801,6953,12114,3130,153592,47250,38297,47750,20295,65324,24204,15821,14829,10470,56864,17110,15379,18450,5925,31404,5936,7097,14471,3900
SELB,282680,65769,63858,106851,46202,123758,34546,27395,38336,23481,98718,22607,23913,39088,13110,60204,8616,12550,29427,9611,141351,29711,33418,55922,22300,62792,15275,13938,21741,11838,49350,10557,12391,20170,6232,29209,3879,7089,14011,4230,141329,36058,30440,50929,23902,60966,19271,13457,16595,11643,49368,12050,11522,18918,6878,30995,4737,5461,15416,5381
WELB,212817,45909,45699,78472,42737,90421,23638,19459,27218,20106,72147,15669,16931,27024,12523,50249,6602,9309,24230,10108,106028,20988,24894,39326,20820,45554,10438,10179,14778,10159,35909,7409,9240,13255,6005,24565,3141,5475,11293,4656,106789,24921,20805,39146,21917,44867,13200,9280,12440,9947,36238,8260,7691,13769,6518,25684,3461,3834,12937,5452
