GeographyCode,LC2115NI0001,LC2115NI0002,LC2115NI0003,LC2115NI0004,LC2115NI0005,LC2115NI0006,LC2115NI0007,LC2115NI0008,LC2115NI0009
N92000002,1735711,184898,1550813,849028,88352,760676,886683,96546,790137
BHSCT,334560,40329,294231,160393,19779,140614,174167,20550,153617
NHSCT,444578,35823,408755,217568,16760,200808,227010,19063,207947
SEHSCT,333088,21388,311700,162035,10138,151897,171053,11250,159803
SHSCT,341383,48625,292758,169224,23496,145728,172159,25129,147030
WHSCT,282102,38733,243369,139808,18179,121629,142294,20554,121740
BELB,269804,36837,232967,129391,18157,111234,140413,18680,121733
NEELB,409258,30691,378567,199953,14419,185534,209305,16272,193033
SEELB,397844,24880,372964,193037,11760,181277,204807,13120,191687
SELB,376703,53757,322946,186839,25837,161002,189864,27920,161944
WELB,282102,38733,243369,139808,18179,121629,142294,20554,121740
UKN01,269804,36837,232967,129391,18157,111234,140413,18680,121733
UKN02,374966,20547,354419,180804,9909,170895,194162,10638,183524
UKN03,420580,30487,390093,206261,14468,191793,214319,16019,198300
UKN04,277050,31630,245420,136360,14629,121731,140690,17001,123689
UKN05,393311,65397,327914,196212,31189,165023,197099,34208,162891
95AA,51042,4283,46759,25100,2067,23033,25942,2216,23726
95BB,75313,2328,72985,36665,1046,35619,38648,1282,37366
95CC,56792,7716,49076,28231,3706,24525,28561,4010,24551
95DD,61601,3261,58340,30129,1553,28576,31472,1708,29764
95EE,29937,2326,27611,14798,1035,13763,15139,1291,13848
95FF,46112,3027,43085,22862,1473,21389,23250,1554,21696
95GG,269804,36837,232967,129391,18157,111234,140413,18680,121733
95HH,37739,841,36898,18182,361,17821,19557,480,19077
95II,64756,3492,61264,31002,1622,29380,33754,1870,31884
95JJ,56990,3657,53333,27676,1630,26046,29314,2027,27287
95KK,35320,5132,30188,17615,2341,15274,17705,2791,14914
95LL,88565,9016,79549,43447,4352,39095,45118,4664,40454
95MM,103341,14605,88736,50381,6775,43606,52960,7830,45130
95NN,66882,7207,59675,32952,3343,29609,33930,3864,30066
95OO,55075,10050,45025,27602,4722,22880,27473,5328,22145
95PP,59282,7766,51516,29655,3773,25882,29627,3993,25634
95QQ,31065,1365,29700,15106,634,14472,15959,731,15228
95RR,32150,3270,28880,16252,1498,14754,15898,1772,14126
95SS,114825,9411,105414,55879,4614,51265,58946,4797,54149
95TT,42883,7924,34959,21516,3682,17834,21367,4242,17125
95UU,16423,2673,13750,8244,1280,6964,8179,1393,6786
95VV,94839,18816,76023,47082,9243,37839,47757,9573,38184
95WW,81578,4361,77217,39202,2177,37025,42376,2184,40192
95XX,76068,2442,73626,36539,1135,35404,39529,1307,38222
95YY,49120,7993,41127,24511,3722,20789,24609,4271,20338
95ZZ,38209,5099,33110,19009,2411,16598,19200,2688,16512
