GeographyCode,LC2405NI0001,LC2405NI0002,LC2405NI0003,LC2405NI0004,LC2405NI0005,LC2405NI0006,LC2405NI0007,LC2405NI0008,LC2405NI0009,LC2405NI0010,LC2405NI0011,LC2405NI0012,LC2405NI0013,LC2405NI0014,LC2405NI0015,LC2405NI0016,LC2405NI0017,LC2405NI0018,LC2405NI0019,LC2405NI0020,LC2405NI0021,LC2405NI0022,LC2405NI0023,LC2405NI0024
N92000002,703275,296577,372213,34485,196414,76670,110632,9112,212286,80631,121107,10548,117920,51724,59670,6526,176655,87552,80804,8299,2.54,2.72,2.41,2.53
BHSCT,148328,60176,77559,10593,50611,18470,28867,3274,45387,17450,24754,3183,23640,10371,11316,1953,28690,13885,12622,2183,2.31,2.47,2.17,2.39
NHSCT,177914,53944,115324,8646,46858,12528,32173,2157,55248,14411,38162,2675,30174,9369,19129,1676,45634,17636,25860,2138,2.57,2.84,2.44,2.55
SEHSCT,136698,39157,88981,8560,36574,9258,25288,2028,44255,10958,30596,2701,23269,7365,14269,1635,32600,11576,18828,2196,2.50,2.74,2.39,2.59
SHSCT,131129,71338,55496,4295,32965,17224,14748,993,37040,18761,16996,1283,22440,12340,9268,832,38684,23013,14484,1187,2.71,2.82,2.57,2.69
WHSCT,109206,71962,34853,2391,29406,19190,9556,660,30356,19051,10599,706,18397,12279,5688,430,31047,21442,9010,595,2.66,2.72,2.56,2.54
BELB,120595,54899,57007,8689,42401,17293,22312,2796,36385,15972,17797,2616,19166,9350,8215,1601,22643,12284,8683,1676,2.29,2.44,2.13,2.35
NEELB,165010,46779,109895,8336,43835,10930,30801,2104,51762,12708,36490,2564,28079,8216,18243,1620,41334,14925,24361,2048,2.55,2.81,2.44,2.55
SEELB,164431,44434,109533,10464,44784,10435,31843,2506,53257,12436,37553,3268,27743,8386,17370,1987,38647,13177,22767,2703,2.49,2.74,2.37,2.59
SELB,144033,78503,60925,4605,35988,18822,16120,1046,40526,20464,18668,1394,24535,13493,10154,888,42984,25724,15983,1277,2.72,2.84,2.58,2.70
WELB,109206,71962,34853,2391,29406,19190,9556,660,30356,19051,10599,706,18397,12279,5688,430,31047,21442,9010,595,2.66,2.72,2.56,2.54
UKN01,120595,54899,57007,8689,42401,17293,22312,2796,36385,15972,17797,2616,19166,9350,8215,1601,22643,12284,8683,1676,2.29,2.44,2.13,2.35
UKN02,156882,33156,112961,10765,43525,7301,33583,2641,51209,9511,38391,3307,26741,6532,18086,2123,35407,9812,22901,2694,2.45,2.75,2.35,2.57
UKN03,170132,56873,104754,8505,44655,14154,28455,2046,53121,15623,34879,2619,29312,10318,17391,1603,43044,16778,24029,2237,2.55,2.72,2.46,2.61
UKN04,109318,59110,47140,3068,29564,15569,13143,852,32001,15887,15171,943,18607,10315,7749,543,29146,17339,11077,730,2.60,2.70,2.49,2.50
UKN05,146348,92539,50351,3458,36269,22353,13139,777,39570,23638,14869,1063,24094,15209,8229,656,46415,31339,14114,962,2.79,2.87,2.65,2.70
95AA,20064,7702,11176,1186,5093,1762,3060,271,5960,2031,3584,345,3555,1430,1892,233,5456,2479,2640,337,2.62,2.81,2.48,2.66
95BB,31514,3774,25541,2199,8310,971,6826,513,10811,1090,9002,719,5258,650,4225,383,7135,1063,5488,584,2.46,2.66,2.42,2.60
95CC,21594,10165,10821,608,5464,2584,2764,116,6080,2685,3199,196,3655,1675,1862,118,6395,3221,2996,178,2.72,2.78,2.65,2.77
95DD,24817,5152,18604,1061,6381,1211,4931,239,7927,1399,6203,325,4335,957,3150,228,6174,1585,4320,269,2.55,2.79,2.48,2.63
95EE,11508,3212,7896,400,2741,651,1990,100,3451,766,2568,117,1978,551,1332,95,3338,1244,2006,88,2.70,3.06,2.56,2.54
95FF,18303,5673,11847,783,4613,1445,2954,214,5539,1585,3719,235,3067,1003,1931,133,5084,1640,3243,201,2.62,2.71,2.59,2.54
95GG,120595,54899,57007,8689,42401,17293,22312,2796,36385,15972,17797,2616,19166,9350,8215,1601,22643,12284,8683,1676,2.29,2.44,2.13,2.35
95HH,16200,1543,13422,1235,4674,440,3887,347,5293,449,4467,377,2808,285,2287,236,3425,369,2781,275,2.39,2.49,2.38,2.45
95II,27733,5277,20552,1904,8210,1177,6555,478,9002,1478,6957,567,4474,1021,3101,352,6047,1601,3939,507,2.40,2.75,2.29,2.61
95JJ,23508,6029,16377,1102,6715,1600,4801,314,7651,1741,5544,366,3819,1023,2616,180,5323,1665,3416,242,2.46,2.65,2.39,2.43
95KK,12904,7165,5429,310,3023,1598,1372,53,3486,1703,1672,111,2095,1153,886,56,4300,2711,1499,90,2.84,3.01,2.63,2.73
95LL,35931,15511,18756,1664,9528,3742,5391,395,10740,4195,6049,496,6389,2908,3147,334,9274,4666,4169,439,2.57,2.74,2.43,2.66
95MM,40779,29734,10087,958,11366,8072,3007,287,11364,8044,3049,271,7079,5235,1678,166,10970,8383,2353,234,2.61,2.66,2.48,2.49
95NN,26206,15870,9363,973,6888,4071,2585,232,7708,4353,3061,294,4477,2820,1483,174,7133,4626,2234,273,2.62,2.70,2.49,2.65
95OO,20270,12372,7412,486,4856,2754,1997,105,5341,2992,2211,138,3424,2139,1182,103,6649,4487,2022,140,2.83,2.97,2.61,2.79
95PP,23069,13235,9231,603,6356,3655,2541,160,6549,3490,2860,199,3696,2168,1428,100,6468,3922,2402,144,2.65,2.71,2.57,2.53
95QQ,13297,3191,9467,639,3842,952,2708,182,4436,970,3261,205,2231,550,1563,118,2788,719,1935,134,2.40,2.45,2.38,2.43
95RR,12098,6878,4949,271,2811,1559,1186,66,3562,1840,1641,81,2219,1293,870,56,3506,2186,1252,68,2.72,2.82,2.57,2.56
95SS,45723,15205,28044,2474,11384,2970,7858,556,14276,4223,9305,748,8238,3127,4598,513,11825,4885,6283,657,2.59,2.87,2.44,2.65
95TT,15037,9366,5366,305,3174,1774,1328,72,3933,2270,1567,96,2420,1499,870,51,5510,3823,1601,86,2.98,3.15,2.71,2.69
95UU,6608,3761,2677,170,1950,1072,832,46,1933,1013,862,58,1008,590,396,22,1717,1086,587,44,2.56,2.67,2.40,2.55
95VV,35031,27617,6660,754,8504,6699,1642,163,9340,7304,1818,218,5905,4615,1146,144,11282,8999,2054,229,2.82,2.83,2.78,2.81
95WW,33971,6823,24910,2238,9265,1468,7264,533,11178,2069,8434,675,5925,1331,4137,457,7603,1955,5075,573,2.45,2.70,2.37,2.58
95XX,33255,4308,26033,2914,9992,1246,8019,727,11460,1292,9228,940,5296,768,3963,565,6507,1002,4823,682,2.33,2.47,2.29,2.52
95YY,18443,12619,5432,392,4892,3289,1495,108,4841,3194,1542,105,2899,1960,855,84,5811,4176,1540,95,2.76,2.82,2.63,2.56
95ZZ,14817,9496,5154,167,3981,2615,1327,39,4040,2483,1507,50,2504,1623,857,24,4292,2775,1463,54,2.67,2.68,2.66,2.74
