GeographyCode,LC1104NI0001,LC1104NI0002,LC1104NI0003,LC1104NI0004,LC1104NI0005,LC1104NI0006,LC1104NI0007,LC1104NI0008,LC1104NI0009,LC1104NI0010,LC1104NI0011,LC1104NI0012,LC1104NI0013,LC1104NI0014,LC1104NI0015,LC1104NI0016,LC1104NI0017,LC1104NI0018,LC1104NI0019,LC1104NI0020,LC1104NI0021,LC1104NI0022,LC1104NI0023,LC1104NI0024,LC1104NI0025,LC1104NI0026,LC1104NI0027,LC1104NI0028,LC1104NI0029,LC1104NI0030,LC1104NI0031,LC1104NI0032,LC1104NI0033,LC1104NI0034,LC1104NI0035,LC1104NI0036,LC1104NI0037,LC1104NI0038,LC1104NI0039,LC1104NI0040,LC1104NI0041,LC1104NI0042,LC1104NI0043,LC1104NI0044,LC1104NI0045,LC1104NI0046,LC1104NI0047,LC1104NI0048,LC1104NI0049,LC1104NI0050,LC1104NI0051,LC1104NI0052,LC1104NI0053,LC1104NI0054
N92000002,1409368,750247,659121,683400,375102,308298,725968,375145,350823,464594,130737,333857,230759,57176,173583,233835,73561,160274,253097,169675,83422,123974,83640,40334,129123,86035,43088,247313,171961,75352,122017,86541,35476,125296,85420,39876,192395,137985,54410,95282,70704,24578,97113,67281,29832,251969,139889,112080,111368,77041,34327,140601,62848,77753
BHSCT,277668,123308,154360,131909,61867,70042,145759,61441,84318,101262,24495,76767,49547,10996,38551,51715,13499,38216,46045,25542,20503,22678,12902,9776,23367,12640,10727,46656,27533,19123,22336,13699,8637,24320,13834,10486,33525,20964,12561,16536,10883,5653,16989,10081,6908,50180,24774,25406,20812,13387,7425,29368,11387,17981
NHSCT,360672,204341,156331,175253,102090,73163,185419,102251,83168,112504,34204,78300,55991,14867,41124,56513,19337,37176,65882,46456,19426,32143,22816,9327,33739,23640,10099,64188,46743,17445,31918,23551,8367,32270,23192,9078,50739,37879,12860,25136,19318,5818,25603,18561,7042,67359,39059,28300,30065,21538,8527,37294,17521,19773
SEHSCT,270942,157144,113798,130020,78524,51496,140922,78620,62302,81190,25037,56153,40082,10974,29108,41108,14063,27045,47881,34131,13750,22848,16624,6224,25033,17507,7526,48913,35821,13092,23748,17913,5835,25165,17908,7257,40684,30788,9896,19921,15735,4186,20763,15053,5710,52274,31367,20907,23421,17278,6143,28853,14089,14764
SHSCT,274244,150898,123346,135209,75375,59834,139035,75523,63512,94034,28913,65121,47299,12603,34696,46735,16310,30425,51467,36268,15199,25753,17950,7803,25714,18318,7396,47488,34496,12992,24000,17560,6440,23488,16936,6552,35950,26247,9703,17889,13426,4463,18061,12821,5240,45305,24974,20331,20268,13836,6432,25037,11138,13899
WHSCT,225842,114556,111286,111009,57246,53763,114833,57310,57523,75604,18088,57516,37840,7736,30104,37764,10352,27412,41822,27278,14544,20552,13348,7204,21270,13930,7340,40068,27368,12700,20015,13818,6197,20053,13550,6503,31497,22107,9390,15800,11342,4458,15697,10765,4932,36851,19715,17136,16802,11002,5800,20049,8713,11336
BELB,224006,92136,131870,106551,46243,60308,117455,45893,71562,86151,19660,66491,42182,8897,33285,43969,10763,33206,36318,18578,17740,17905,9409,8496,18413,9169,9244,36209,19938,16271,17366,9920,7446,18843,10018,8825,26482,15776,10706,13092,8187,4905,13390,7589,5801,38846,18184,20662,16006,9830,6176,22840,8354,14486
NEELB,332245,188793,143452,161188,94324,66864,171057,94469,76588,102224,31238,70986,50792,13580,37212,51432,17658,33774,60688,42710,17978,29542,20955,8587,31146,21755,9391,59413,43146,16267,29499,21724,7775,29914,21422,8492,47113,35173,11940,23354,17951,5403,23759,17222,6537,62807,36526,26281,28001,20114,7887,34806,16412,18394
SEELB,324604,188316,136288,155378,94148,61230,169226,94168,75058,96301,29872,66429,47447,13073,34374,48854,16799,32055,57608,41095,16513,27621,20117,7504,29987,20978,9009,59360,43416,15944,28718,21692,7026,30642,21724,8918,47727,35976,11751,23365,18431,4934,24362,17545,6817,63608,37957,25651,28227,20835,7392,35381,17122,18259
SELB,302671,166446,136225,149274,83141,66133,153397,83305,70092,104314,31879,72435,52498,13890,38608,51816,17989,33827,56661,40014,16647,28354,19811,8543,28307,20203,8104,52263,38093,14170,26419,19387,7032,25844,18706,7138,39576,28953,10623,19671,14793,4878,19905,14160,5745,49857,27507,22350,22332,15260,7072,27525,12247,15278
WELB,225842,114556,111286,111009,57246,53763,114833,57310,57523,75604,18088,57516,37840,7736,30104,37764,10352,27412,41822,27278,14544,20552,13348,7204,21270,13930,7340,40068,27368,12700,20015,13818,6197,20053,13550,6503,31497,22107,9390,15800,11342,4458,15697,10765,4932,36851,19715,17136,16802,11002,5800,20049,8713,11336
