GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
95MM,40612,13373,27239,9100,1282,7818,9185,1730,7455,17874,7803,10071,4453,2558,1895,20649,4139,16510,4292,355,3937,6763,899,5864,7252,2041,5211,2342,844,1498,19963,9234,10729,4808,927,3881,2422,831,1591,10622,5762,4860,2111,1714,397
95NN,30910,8928,21982,6899,1300,5599,8933,1443,7490,12238,4722,7516,2840,1463,1377,15918,2249,13669,3223,243,2980,6851,718,6133,4336,820,3516,1508,468,1040,14992,6679,8313,3676,1057,2619,2082,725,1357,7902,3902,4000,1332,995,337
95OO,25646,7000,18646,5266,929,4337,7567,1168,6399,10039,3706,6333,2774,1197,1577,13955,1918,12037,2354,170,2184,6077,691,5386,4119,726,3393,1405,331,1074,11691,5082,6609,2912,759,2153,1490,477,1013,5920,2980,2940,1369,866,503
95PP,27574,7549,20025,5164,851,4313,8046,1335,6711,11402,4105,7297,2962,1258,1704,14749,2261,12488,2171,154,2017,6377,799,5578,4512,899,3613,1689,409,1280,12825,5288,7537,2993,697,2296,1669,536,1133,6890,3206,3684,1273,849,424
95QQ,14861,4073,10788,2682,529,2153,4106,551,3555,6395,2274,4121,1678,719,959,7695,908,6787,1233,95,1138,3139,253,2886,2391,359,2032,932,201,731,7166,3165,4001,1449,434,1015,967,298,669,4004,1915,2089,746,518,228
95RR,13217,3686,9531,2391,340,2051,3740,574,3166,5551,1988,3563,1535,784,751,7010,1000,6010,1023,76,947,2983,313,2670,2210,392,1818,794,219,575,6207,2686,3521,1368,264,1104,757,261,496,3341,1596,1745,741,565,176
95SS,54962,15966,38996,13426,2242,11184,13250,2075,11175,23122,9193,13929,5164,2456,2708,28211,3850,24361,6733,344,6389,9763,948,8815,8827,1771,7056,2888,787,2101,26751,12116,14635,6693,1898,4795,3487,1127,2360,14295,7422,6873,2276,1669,607
95TT,19983,5066,14917,4353,671,3682,6399,871,5528,7188,2660,4528,2043,864,1179,11010,1268,9742,1906,99,1807,5275,488,4787,2658,444,2214,1171,237,934,8973,3798,5175,2447,572,1875,1124,383,741,4530,2216,2314,872,627,245
95UU,7021,2017,5004,1362,262,1100,2322,340,1982,2522,1026,1496,815,389,426,3793,526,3267,582,45,537,1817,166,1651,924,188,736,470,127,343,3228,1491,1737,780,217,563,505,174,331,1598,838,760,345,262,83
95VV,41463,12221,29242,8985,1626,7359,11930,1956,9974,16200,6710,9490,4348,1929,2419,22034,3422,18612,4061,324,3737,9498,1191,8307,6137,1334,4803,2338,573,1765,19429,8799,10630,4924,1302,3622,2432,765,1667,10063,5376,4687,2010,1356,654
95WW,39969,11632,28337,8835,1320,7515,9308,1312,7996,17586,7073,10513,4240,1927,2313,20151,2733,17418,4413,218,4195,6818,565,6253,6461,1346,5115,2459,604,1855,19818,8899,10919,4422,1102,3320,2490,747,1743,11125,5727,5398,1781,1323,458
95XX,36916,10767,26149,9359,1750,7609,8963,1600,7363,15665,5947,9718,2929,1470,1459,18887,2689,16198,4789,332,4457,6392,710,5682,6068,1119,4949,1638,528,1110,18029,8078,9951,4570,1418,3152,2571,890,1681,9597,4828,4769,1291,942,349
95YY,21676,5701,15975,4770,743,4027,6650,981,5669,8117,2943,5174,2139,1034,1105,11603,1636,9967,1978,122,1856,5351,561,4790,3141,632,2509,1133,321,812,10073,4065,6008,2792,621,2171,1299,420,879,4976,2311,2665,1006,713,293
95ZZ,15000,4370,10630,2544,379,2165,4450,696,3754,6333,2464,3869,1673,831,842,8153,1348,6805,1120,67,1053,3575,424,3151,2489,554,1935,969,303,666,6847,3022,3825,1424,312,1112,875,272,603,3844,1910,1934,704,528,176
