GeographyCode,LC3303NI0001,LC3303NI0002,LC3303NI0003,LC3303NI0004,LC3303NI0005,LC3303NI0006,LC3303NI0007,LC3303NI0008,LC3303NI0009,LC3303NI0010,LC3303NI0011,LC3303NI0012,LC3303NI0013,LC3303NI0014,LC3303NI0015,LC3303NI0016,LC3303NI0017,LC3303NI0018,LC3303NI0019,LC3303NI0020,LC3303NI0021,LC3303NI0022,LC3303NI0023,LC3303NI0024,LC3303NI0025,LC3303NI0026,LC3303NI0027
N92000002,1788339,287531,1500808,1428383,183260,1245123,359956,104271,255685,1429222,181940,1247282,84996,18447,66549,1344226,163493,1180733,359117,105591,253526,274960,85824,189136,84157,19767,64390
BHSCT,342643,99595,243048,265637,65153,200484,77006,34442,42564,264200,63920,200280,16355,5652,10703,247845,58268,189577,78443,35675,42768,60651,28790,31861,17792,6885,10907
NHSCT,457038,57276,399762,369681,35892,333789,87357,21384,65973,369457,35745,333712,21629,4062,17567,347828,31683,316145,87581,21531,66050,65728,17322,48406,21853,4209,17644
SEHSCT,342197,42321,299876,276634,26240,250394,65563,16081,49482,278278,26511,251767,17354,3105,14249,260924,23406,237518,63919,15810,48109,48209,12976,35233,15710,2834,12876
SHSCT,355580,41478,314102,287468,25962,261506,68112,15516,52596,287847,25937,261910,16047,2731,13316,271800,23206,248594,67733,15541,52192,52065,12785,39280,15668,2756,12912
WHSCT,290881,46861,244020,228963,30013,198950,61918,16848,45070,229440,29827,199613,13611,2897,10714,215829,26930,188899,61441,17034,44407,48307,13951,34356,13134,3083,10051
BELB,276141,91495,184646,212014,60549,151465,64127,30946,33181,210442,59275,151167,12985,5008,7977,197457,54267,143190,65699,32220,33479,51142,25938,25204,14557,6282,8275
NEELB,420327,53936,366391,340517,33901,306616,79810,20035,59775,340585,33846,306739,20081,3871,16210,320504,29975,290529,79742,20090,59652,59729,16164,43565,20013,3926,16087
SEELB,408699,50421,358278,330257,30844,299413,78442,19577,58865,332036,31156,300880,20724,3749,16975,311312,27407,283905,76663,19265,57398,57718,15828,41890,18945,3437,15508
SELB,392291,44818,347473,316632,27953,288679,75659,16865,58794,316719,27836,288883,17595,2922,14673,299124,24914,274210,75572,16982,58590,58064,13943,44121,17508,3039,14469
