GeographyCode,LC4408NI0001,LC4408NI0002,LC4408NI0003,LC4408NI0004,LC4408NI0005,LC4408NI0006,LC4408NI0007,LC4408NI0008,LC4408NI0009,LC4408NI0010,LC4408NI0011,LC4408NI0012,LC4408NI0013,LC4408NI0014,LC4408NI0015,LC4408NI0016,LC4408NI0017,LC4408NI0018,LC4408NI0019,LC4408NI0020
N92000002,703275,474751,104885,123639,196414,107202,46623,42589,212286,146579,27823,37884,117920,82424,14710,20786,176655,138546,15729,22380
BHSCT,148328,83915,34700,29713,50611,24640,15280,10691,45387,26630,9237,9520,23640,13743,5004,4893,28690,18902,5179,4609
NHSCT,177914,127620,21174,29120,46858,27056,10121,9681,55248,40594,5645,9009,30174,22493,2753,4928,45634,37477,2655,5502
SEHSCT,136698,99826,17644,19228,36574,22087,7567,6920,44255,33676,4748,5831,23269,17554,2567,3148,32600,26509,2762,3329
SHSCT,131129,92001,14218,24910,32965,18624,6629,7712,37040,26005,3615,7420,22440,16074,1819,4547,38684,31298,2155,5231
WHSCT,109206,71389,17149,20668,29406,14795,7026,7585,30356,19674,4578,6104,18397,12560,2567,3270,31047,24360,2978,3709
BELB,120595,63019,30818,26758,42401,19300,13311,9790,36385,19684,8200,8501,19166,10260,4540,4366,22643,13775,4767,4101
NEELB,165010,118144,20122,26744,43835,25263,9648,8924,51762,38063,5365,8334,28079,20970,2605,4504,41334,33848,2504,4982
SEELB,164431,120722,21526,22183,44784,27427,9536,7821,53257,40622,5785,6850,27743,21037,3031,3675,38647,31636,3174,3837
SELB,144033,101477,15270,27286,35988,20417,7102,8469,40526,28536,3895,8095,24535,17597,1967,4971,42984,34927,2306,5751
WELB,109206,71389,17149,20668,29406,14795,7026,7585,30356,19674,4578,6104,18397,12560,2567,3270,31047,24360,2978,3709
UKN01,120595,63019,30818,26758,42401,19300,13311,9790,36385,19684,8200,8501,19166,10260,4540,4366,22643,13775,4767,4101
UKN02,156882,115712,21552,19618,43525,26930,10016,6579,51209,39093,5739,6377,26741,20485,2946,3310,35407,29204,2851,3352
UKN03,170132,121340,19772,29020,44655,25223,9403,10029,53121,39101,5157,8863,29312,21817,2577,4918,43044,35199,2635,5210
UKN04,109318,69848,18728,20742,29564,14623,7567,7374,32001,20669,5108,6224,18607,12388,2822,3397,29146,22168,3231,3747
UKN05,146348,104832,14015,27501,36269,21126,6326,8817,39570,28032,3619,7919,24094,17474,1825,4795,46415,38200,2245,5970
95AA,20064,14372,2385,3307,5093,2905,1144,1044,5960,4423,580,957,3555,2574,349,632,5456,4470,312,674
95BB,31514,23303,4094,4117,8310,5010,1807,1493,10811,8239,1225,1347,5258,4129,529,600,7135,5925,533,677
95CC,21594,15928,2029,3637,5464,3293,1021,1150,6080,4516,480,1084,3655,2731,270,654,6395,5388,258,749
95DD,24817,17844,2778,4195,6381,3657,1333,1391,7927,5917,697,1313,4335,3263,378,694,6174,5007,370,797
95EE,11508,8120,1437,1951,2741,1479,617,645,3451,2483,392,576,1978,1433,213,332,3338,2725,215,398
95FF,18303,13545,1806,2952,4613,2642,912,1059,5539,4103,478,958,3067,2411,194,462,5084,4389,222,473
95GG,120595,63019,30818,26758,42401,19300,13311,9790,36385,19684,8200,8501,19166,10260,4540,4366,22643,13775,4767,4101
95HH,16200,11747,2214,2239,4674,2680,1170,824,5293,3945,603,745,2808,2223,248,337,3425,2899,193,333
95II,27733,20896,3882,2955,8210,5340,1969,901,9002,6946,1037,1019,4474,3483,464,527,6047,5127,412,508
95JJ,23508,15585,3235,4688,6715,3711,1431,1573,7651,5352,928,1371,3819,2566,430,823,5323,3956,446,921
95KK,12904,9476,1052,2376,3023,1793,473,757,3486,2531,280,675,2095,1523,148,424,4300,3629,151,520
95LL,35931,23929,4710,7292,9528,4925,2300,2303,10740,7375,1166,2199,6389,4427,598,1364,9274,7202,646,1426
95MM,40779,23600,9271,7908,11366,4962,3462,2942,11364,6436,2503,2425,7079,4357,1472,1250,10970,7845,1834,1291
95NN,26206,18706,2575,4925,6888,3850,1153,1885,7708,5715,634,1359,4477,3287,362,828,7133,5854,426,853
95OO,20270,14028,2083,4159,4856,2828,895,1133,5341,3710,551,1080,3424,2370,260,794,6649,5120,377,1152
95PP,23069,16782,2170,4117,6356,3806,1017,1533,6549,4792,580,1177,3696,2793,275,628,6468,5391,298,779
95QQ,13297,9641,1424,2232,3842,2234,754,854,4436,3329,377,730,2231,1726,167,338,2788,2352,126,310
95RR,12098,8392,1557,2149,2811,1499,680,632,3562,2432,412,718,2219,1614,225,380,3506,2847,240,419
95SS,45723,32686,7699,5338,11384,6810,2888,1686,14276,10534,2049,1693,8238,5993,1304,941,11825,9349,1458,1018
95TT,15037,11106,1278,2653,3174,1834,536,804,3933,2797,343,793,2420,1823,143,454,5510,4652,256,602
95UU,6608,4477,890,1241,1950,1080,393,477,1933,1337,235,361,1008,721,119,168,1717,1339,143,235
95VV,35031,24571,3590,6870,8504,4936,1501,2067,9340,6301,940,2099,5905,4135,497,1273,11282,9199,652,1431
95WW,33971,25252,4481,4238,9265,5683,2270,1312,11178,8480,1210,1488,5925,4641,558,726,7603,6448,443,712
95XX,33255,25131,3276,4848,9992,6417,1719,1856,11460,9188,840,1432,5296,4145,372,779,6507,5381,345,781
95YY,18443,12941,1813,3689,4892,2636,883,1373,4841,3385,445,1011,2899,2099,232,568,5811,4821,253,737
95ZZ,14817,9674,2338,2805,3981,1892,984,1105,4040,2629,638,773,2504,1697,363,444,4292,3456,353,483
