GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
N92000002,1313420,334159,161645,208549,173483,324415,111169,339969,18385,20035,33360,33677,221118,13394,288750,58150,40394,58825,48243,52181,30957,463909,181592,72378,67052,49661,34271,58955,220792,76032,28838,49312,41902,16845,7863
BHSCT,257160,64901,29910,35534,36015,72565,18235,72035,3379,3678,5991,6538,49943,2506,46243,7748,6624,9556,7669,10666,3980,86449,36673,13312,11168,8477,6772,10047,52433,17101,6296,8819,13331,5184,1702
NHSCT,335761,84399,42637,55649,44868,78676,29532,85390,4974,5441,9063,8707,53640,3565,76865,15936,10898,16200,12649,12856,8326,123274,47463,19714,18331,13339,8505,15922,50232,16026,6584,12055,10173,3675,1719
SEHSCT,251647,52495,32088,42875,34037,69020,21132,76279,3656,4789,8200,8043,48445,3146,62107,10649,9034,13178,10791,11555,6900,79306,27474,13475,12665,9198,6489,10005,33955,10716,4790,8832,6005,2531,1081
SHSCT,256035,67755,30951,41168,32248,58240,25673,60356,3505,3426,5841,5988,39212,2384,57836,12735,7657,11332,9802,9349,6961,96408,36504,14321,13930,10238,6950,14465,41435,15011,5547,10065,6220,2729,1863
WHSCT,212817,64609,26059,33323,26315,45914,16597,45909,2871,2701,4265,4401,29878,1793,45699,11082,6181,8559,7332,7755,4790,78472,33478,11556,10958,8409,5555,8516,42737,17178,5621,9541,6173,2726,1498
BELB,208609,55631,24041,27888,29599,56983,14467,55030,2636,2776,4451,4965,38318,1884,35243,5894,4988,7178,5867,8428,2888,71978,31574,10837,9040,6810,5564,8153,46358,15527,5440,7219,11957,4673,1542
NEELB,309116,76366,39320,51350,41534,73441,27105,79977,4575,5118,8529,8173,50199,3383,70843,14315,10084,15118,11709,11995,7622,112831,43248,18163,16787,12260,7854,14519,45465,14228,5955,10916,9392,3393,1581
SEELB,300198,61765,37957,50521,40453,84602,24900,93284,4399,5691,9740,9616,60070,3768,73107,12503,10670,15556,12593,13793,7992,93777,32573,15950,14793,10865,7697,11899,40030,12290,5646,10432,7379,3042,1241
SELB,282680,75788,34268,45467,35582,63475,28100,65769,3904,3749,6375,6522,42653,2566,63858,14356,8471,12414,10742,10210,7665,106851,40719,15872,15474,11317,7601,15868,46202,16809,6176,11204,7001,3011,2001
