GeographyCode,LC2111NI0001,LC2111NI0002,LC2111NI0003,LC2111NI0004,LC2111NI0005,LC2111NI0006,LC2111NI0007,LC2111NI0008,LC2111NI0009,LC2111NI0010,LC2111NI0011,LC2111NI0012,LC2111NI0013,LC2111NI0014,LC2111NI0015,LC2111NI0016,LC2111NI0017,LC2111NI0018,LC2111NI0019,LC2111NI0020,LC2111NI0021,LC2111NI0022,LC2111NI0023,LC2111NI0024
N92000002,1810863,738033,752555,345101,248821,158633,320275,183164,887323,355642,359229,165981,118648,74600,172452,102865,923540,382391,393326,179120,130173,84033,147823,80299
BHSCT,348204,130813,134436,57385,43155,33896,82955,48241,167364,60632,61858,26632,19864,15362,44874,27308,180840,70181,72578,30753,23291,18534,38081,20933
NHSCT,463297,141816,240423,127421,65547,47455,81058,50147,227074,68728,114876,61359,31251,22266,43470,27790,236223,73088,125547,66062,34296,25189,37588,22357
SEHSCT,346911,96805,175255,83481,54136,37638,74851,50833,169123,46082,82869,39672,25341,17856,40172,28224,177788,50723,92386,43809,28795,19782,34679,22609
SHSCT,358034,185603,123822,47461,48829,27532,48609,21744,177711,91180,60415,23537,23705,13173,26116,12396,180323,94423,63407,23924,25124,14359,22493,9348
WHSCT,294417,182996,78619,29353,37154,12112,32802,12199,146051,89020,39211,14781,18487,5943,17820,7147,148366,93976,39408,14572,18667,6169,14982,5052
BELB,280962,117712,95919,40463,32035,23421,67331,37239,135077,54564,44015,18671,14799,10545,36498,21167,145885,63148,51904,21792,17236,12876,30833,16072
NEELB,426284,121437,227855,122568,60074,45213,76992,48555,208609,58652,108672,58944,28543,21185,41285,26882,217675,62785,119183,63624,31531,24028,35707,21673
SEELB,414153,109906,213772,100403,65256,48113,90475,61835,201410,52150,100712,47633,30406,22673,48548,34365,212743,57756,113060,52770,34850,25440,41927,27470
SELB,395047,205982,136390,52314,54302,29774,52675,23336,196176,101256,66619,25952,26413,14254,28301,13304,198871,104726,69771,26362,27889,15520,24374,10032
WELB,294417,182996,78619,29353,37154,12112,32802,12199,146051,89020,39211,14781,18487,5943,17820,7147,148366,93976,39408,14572,18667,6169,14982,5052
UKN01,280962,117712,95919,40463,32035,23421,67331,37239,135077,54564,44015,18671,14799,10545,36498,21167,145885,63148,51904,21792,17236,12876,30833,16072
UKN02,390597,81243,219255,98142,66825,54288,90099,62670,188838,37920,102651,46239,31121,25291,48267,34747,201759,43323,116604,51903,35704,28997,41832,27923
UKN03,438823,142092,218755,112743,61428,44584,77976,48312,215591,68746,104931,54552,29196,21183,41914,26920,223232,73346,113824,58191,32232,23401,36062,21392
UKN04,288597,148769,101454,52269,36270,12915,38374,17621,142146,71818,49552,25716,17674,6162,20776,10042,146451,76951,51902,26553,18596,6753,17598,7579
UKN05,411884,248217,117172,41484,52263,23425,46495,17322,205671,122594,58080,20803,25858,11419,24997,9989,206213,125623,59092,20681,26405,12006,21498,7333
95AA,53428,20050,23101,13343,5958,3800,10277,6515,26310,9654,11126,6487,2776,1863,5530,3660,27118,10396,11975,6856,3182,1937,4747,2855
95BB,78078,8521,51102,28715,12390,9997,18455,13175,38086,4086,24173,13726,5790,4657,9827,7219,39992,4435,26929,14989,6600,5340,8628,5956
95CC,59340,26563,25528,9717,10485,5326,7249,3141,29509,13100,12540,4889,5122,2529,3869,1796,29831,13463,12988,4828,5363,2797,3380,1345
95DD,64044,13071,40531,26073,6856,7602,10442,5946,31398,6278,19535,12622,3304,3609,5585,3271,32646,6793,20996,13451,3552,3993,4857,2675
95EE,31224,9252,17717,10897,3974,2846,4255,2519,15442,4576,8626,5310,1938,1378,2240,1365,15782,4676,9091,5587,2036,1468,2015,1154
95FF,48339,14235,26715,13623,8060,5032,7389,4657,23976,6957,13043,6742,3907,2394,3976,2592,24363,7278,13672,6881,4153,2638,3413,2065
95GG,280962,117712,95919,40463,32035,23421,67331,37239,135077,54564,44015,18671,14799,10545,36498,21167,145885,63148,51904,21792,17236,12876,30833,16072
95HH,39114,2958,26284,11668,7423,7193,9872,7296,18851,1320,12269,5460,3500,3309,5262,3962,20263,1638,14015,6208,3923,3884,4610,3334
95II,67242,13101,38517,16922,11120,10475,15624,11002,32287,6068,17843,7961,5065,4817,8376,6141,34955,7033,20674,8961,6055,5658,7248,4861
95JJ,59067,14774,33524,16384,12540,4600,10769,6575,28742,7065,15896,7827,5952,2117,5781,3671,30325,7709,17628,8557,6588,2483,4988,2904
95KK,37013,20379,12568,4853,5473,2242,4066,1592,18465,10076,6204,2415,2708,1081,2185,908,18548,10303,6364,2438,2765,1161,1881,684
95LL,93023,39138,39190,9731,18432,11027,14695,7876,45776,19071,18772,4689,8861,5222,7933,4493,47247,20067,20418,5042,9571,5805,6762,3383
95MM,107877,72748,20959,9955,8394,2610,14170,4885,52648,34708,10175,4873,4080,1222,7765,2915,55229,38040,10784,5082,4314,1388,6405,1970
95NN,69731,40068,18910,9300,5887,3723,10753,6272,34385,19398,9138,4525,2773,1840,5849,3540,35346,20670,9772,4775,3114,1883,4904,2732
95OO,57852,33981,17238,5724,8141,3373,6633,2242,28969,16948,8432,2826,3963,1643,3589,1272,28883,17033,8806,2898,4178,1730,3044,970
95PP,61805,33951,21186,1878,14228,5080,6668,3005,30977,16871,10535,937,7120,2478,3571,1750,30828,17080,10651,941,7108,2602,3097,1255
95QQ,32180,7009,19206,11958,3845,3403,5965,3871,15660,3302,9144,5761,1785,1598,3214,2145,16520,3707,10062,6197,2060,1805,2751,1726
95RR,33536,18784,11489,6123,4329,1037,3263,1615,16927,9312,5802,3099,2173,530,1813,944,16609,9472,5687,3024,2156,507,1450,671
95SS,120165,39402,57606,22348,22000,13258,23157,14554,58658,18613,27593,10759,10424,6410,12452,8197,61507,20789,30013,11589,11576,6848,10705,6357
95TT,45038,28088,12767,5526,4662,2579,4183,1781,22598,13925,6371,2760,2335,1276,2302,1017,22440,14163,6396,2766,2327,1303,1881,764
95UU,17050,9267,5514,2633,2393,488,2269,1066,8560,4598,2724,1320,1175,229,1238,612,8490,4669,2790,1313,1218,259,1031,454
95VV,99480,71686,15151,8666,3711,2774,12643,3828,49481,35104,7628,4391,1852,1385,6749,2243,49999,36582,7523,4275,1859,1389,5894,1585
95WW,85139,16968,49211,24086,12423,12702,18960,12986,41048,7934,22981,11397,5778,5806,10133,7179,44091,9034,26230,12689,6645,6896,8827,5807
95XX,78937,8814,47637,23118,13859,10660,22486,16832,37994,3985,21965,10662,6354,4949,12044,9268,40943,4829,25672,12456,7505,5711,10442,7564
95YY,51356,33569,12734,5120,5563,2051,5053,1733,25672,16570,6370,2585,2758,1027,2732,1003,25684,16999,6364,2535,2805,1024,2321,730
95ZZ,39843,23944,12251,6277,4640,1334,3648,961,19827,11559,6329,3287,2356,686,1939,535,20016,12385,5922,2990,2284,648,1709,426
