GeographyCode,LC2206NI0001,LC2206NI0002,LC2206NI0003,LC2206NI0004,LC2206NI0005,LC2206NI0006,LC2206NI0007,LC2206NI0008,LC2206NI0009,LC2206NI0010,LC2206NI0011,LC2206NI0012,LC2206NI0013,LC2206NI0014,LC2206NI0015
N92000002,1735711,696590,436051,362403,240667,184898,12950,126137,31949,13862,1550813,683640,309914,330454,226805
BHSCT,334560,129693,90563,62513,51791,40329,2430,29780,5005,3114,294231,127263,60783,57508,48677
NHSCT,444578,218570,69585,91686,64737,35823,3789,21226,7579,3229,408755,214781,48359,84107,61508
SEHSCT,333088,161858,50864,67766,52600,21388,2616,13098,3628,2046,311700,159242,37766,64138,50554
SHSCT,341383,111997,109923,73939,45524,48625,2377,33862,9027,3359,292758,109620,76061,64912,42165
WHSCT,282102,74472,115116,66499,26015,38733,1738,28171,6710,2114,243369,72734,86945,59789,23901
BELB,269804,95017,83552,50511,40724,36837,1921,27748,4444,2724,232967,93096,55804,46067,38000
NEELB,409258,207160,58770,82506,60822,30691,3577,17952,6269,2893,378567,203583,40818,76237,57929
SEELB,397844,196534,57875,79768,63667,24880,3125,15130,4189,2436,372964,193409,42745,75579,61231
SELB,376703,123407,120738,83119,49439,53757,2589,37136,10337,3695,322946,120818,83602,72782,45744
WELB,282102,74472,115116,66499,26015,38733,1738,28171,6710,2114,243369,72734,86945,59789,23901
UKN01,269804,95017,83552,50511,40724,36837,1921,27748,4444,2724,232967,93096,55804,46067,38000
UKN02,374966,197483,45062,69885,62536,20547,2750,12481,3186,2130,354419,194733,32581,66699,60406
UKN03,420580,204002,65422,87863,63293,30487,3676,17385,6302,3124,390093,200326,48037,81561,60169
UKN04,277050,93564,92600,61301,29585,31630,2108,22053,5507,1962,245420,91456,70547,55794,27623
UKN05,393311,106524,149415,92843,44529,65397,2495,46470,12510,3922,327914,104029,102945,80333,40607
95AA,51042,23483,8721,10958,7880,4283,436,2567,850,430,46759,23047,6154,10108,7450
95BB,75313,44860,3725,13902,12826,2328,711,834,496,287,72985,44149,2891,13406,12539
95CC,56792,21501,16925,11471,6895,7716,409,5517,1293,497,49076,21092,11408,10178,6398
95DD,61601,35832,5381,10509,9879,3261,575,1524,694,468,58340,35257,3857,9815,9411
95EE,29937,15415,4225,6504,3793,2326,338,1207,621,160,27611,15077,3018,5883,3633
95FF,46112,23694,6087,10151,6180,3027,390,1663,716,258,43085,23304,4424,9435,5922
95GG,269804,95017,83552,50511,40724,36837,1921,27748,4444,2724,232967,93096,55804,46067,38000
95HH,37739,23626,1181,6420,6512,841,250,296,153,142,36898,23376,885,6267,6370
95II,64756,34676,7011,12002,11067,3492,509,2032,561,390,61264,34167,4979,11441,10677
95JJ,56990,29425,6491,11919,9155,3657,551,1931,733,442,53333,28874,4560,11186,8713
95KK,35320,11410,10815,9180,3915,5132,212,3274,1310,336,30188,11198,7541,7870,3579
95LL,88565,35956,20323,18246,14040,9016,674,5604,1825,913,79549,35282,14719,16421,13127
95MM,103341,20554,53442,20462,8883,14605,464,11596,1807,738,88736,20090,41846,18655,8145
95NN,66882,22275,18805,17974,7828,7207,573,4592,1428,614,59675,21702,14213,16546,7214
95OO,55075,14721,19585,12093,8676,10050,323,7063,1925,739,45025,14398,12522,10168,7937
95PP,59282,18967,19772,14188,6355,7766,429,5511,1374,452,51516,18538,14261,12814,5903
95QQ,31065,17902,2380,6123,4660,1365,317,601,293,154,29700,17585,1779,5830,4506
95RR,32150,11860,9345,7994,2951,3270,294,2084,688,204,28880,11566,7261,7306,2747
95SS,114825,52058,24364,21407,16996,9411,696,6751,1271,693,105414,51362,17613,20136,16303
95TT,42883,11612,16792,10221,4258,7924,254,5623,1590,457,34959,11358,11169,8631,3801
95UU,16423,5407,5063,4279,1674,2673,197,1722,567,187,13750,5210,3341,3712,1487
95VV,94839,16125,47003,21978,9733,18816,581,14015,3268,952,76023,15544,32988,18710,8781
95WW,81578,44458,8536,15573,13011,4361,659,2481,768,453,77217,43799,6055,14805,12558
95XX,76068,42665,3970,14483,14950,2442,636,921,433,452,73626,42029,3049,14050,14498
95YY,49120,12188,18523,13712,4697,7993,287,5467,1750,489,41127,11901,13056,11962,4208
95ZZ,38209,10903,14034,10143,3129,5099,264,3513,1091,231,33110,10639,10521,9052,2898
