GeographyCode,LC2103NI0001,LC2103NI0002,LC2103NI0003,LC2103NI0004,LC2103NI0005,LC2103NI0006,LC2103NI0007,LC2103NI0008,LC2103NI0009,LC2103NI0010,LC2103NI0011,LC2103NI0012,LC2103NI0013,LC2103NI0014,LC2103NI0015,LC2103NI0016
N92000002,1810863,1608853,120657,81353,606957,560504,23530,22923,243938,202034,15661,26243,959968,846315,81466,32187
BHSCT,348204,306518,20447,21239,115633,105800,4458,5375,52889,41447,3787,7655,179682,159271,12202,8209
NHSCT,463297,419808,26187,17302,152790,142574,5384,4832,58602,49957,3163,5482,251905,227277,17640,6988
SEHSCT,346911,309263,25796,11852,110982,102533,5363,3086,42860,36360,3254,3246,193069,170370,17179,5520
SHSCT,358034,313382,22680,21972,125236,114357,4018,6861,50333,40397,2695,7241,182465,158628,15967,7870
WHSCT,294417,259882,25547,8988,102316,95240,4307,2769,39254,33873,2762,2619,152847,130769,18478,3600
BELB,280962,245839,16703,18420,95456,86708,3982,4766,44992,34830,3254,6908,140514,124301,9467,6746
NEELB,426284,385964,24600,15720,139584,130173,5066,4345,53172,45303,2945,4924,233528,210488,16589,6451
SEELB,414153,369942,29540,14671,131159,121625,5839,3695,50757,42977,3787,3993,232237,205340,19914,6983
SELB,395047,347226,24267,23554,138442,126758,4336,7348,55763,45051,2913,7799,200842,175417,17018,8407
WELB,294417,259882,25547,8988,102316,95240,4307,2769,39254,33873,2762,2619,152847,130769,18478,3600
UKN01,280962,245839,16703,18420,95456,86708,3982,4766,44992,34830,3254,6908,140514,124301,9467,6746
UKN02,390597,349183,26652,14762,124206,115146,5297,3763,48873,41178,3608,4087,217518,192859,17747,6912
UKN03,438823,394099,26030,18694,143142,132888,5001,5253,56023,46991,3141,5891,239658,214220,17888,7550
UKN04,288597,258675,22035,7887,99195,92843,4103,2249,36986,32513,2272,2201,152416,133319,15660,3437
UKN05,411884,361057,29237,21590,144958,132919,5147,6892,57064,46522,3386,7156,209862,181616,20704,7542
95AA,53428,46523,4062,2843,18135,16429,969,737,7231,5570,655,1006,28062,24524,2438,1100
95BB,78078,71048,4926,2104,23466,22192,759,515,8892,7881,472,539,45720,40975,3695,1050
95CC,59340,52579,3950,2811,20468,18919,671,878,7822,6466,433,923,31050,27194,2846,1010
95DD,64044,58007,2969,3068,20018,18610,530,878,7947,6595,328,1024,36079,32802,2111,1166
95EE,31224,29012,1563,649,10329,9788,341,200,4098,3767,163,168,16797,15457,1059,281
95FF,48339,44322,2695,1322,16199,15299,540,360,6338,5629,343,366,25802,23394,1812,596
95GG,280962,245839,16703,18420,95456,86708,3982,4766,44992,34830,3254,6908,140514,124301,9467,6746
95HH,39114,35363,2591,1160,12266,11522,458,286,4469,3904,290,275,22379,19937,1843,599
95II,67242,60679,3744,2819,20177,19092,476,609,7897,6617,533,747,39168,34970,2735,1463
95JJ,59067,52377,4244,2446,19293,17655,974,664,6603,5428,436,739,33171,29294,2834,1043
95KK,37013,33844,1587,1582,13206,12401,318,487,5430,4654,218,558,18377,16789,1051,537
95LL,93023,81682,4629,6712,31878,29027,811,2040,13513,10692,599,2222,47632,41963,3219,2450
95MM,107877,95583,9202,3092,38920,36466,1594,860,14848,12958,1031,859,54109,46159,6577,1373
95NN,69731,62894,4785,2052,23679,21980,1118,581,8554,7419,545,590,37498,33495,3122,881
95OO,57852,48818,3035,5999,20738,18152,590,1996,8678,6302,350,2026,28436,24364,2095,1977
95PP,61805,51917,7497,2391,20204,18209,1235,760,7942,6435,797,710,33659,27273,5465,921
95QQ,32180,29623,1964,593,9767,9351,274,142,3548,3205,199,144,18865,17067,1491,307
95RR,33536,30806,2063,667,11536,10928,384,224,4480,4114,224,142,17520,15764,1455,301
95SS,120165,107566,8154,4445,41142,38129,1795,1218,15919,13387,1250,1282,63104,56050,5109,1945
95TT,45038,41784,1729,1525,16421,15577,375,469,6304,5545,227,532,22313,20662,1127,524
95UU,17050,15455,1246,349,5429,5070,268,91,1879,1692,99,88,9742,8693,879,170
95VV,99480,85981,8371,5128,35953,32960,1406,1587,13982,11308,970,1704,49545,41713,5995,1837
95WW,85139,77820,4232,3087,27926,26171,877,878,11093,9597,548,948,46120,42052,2807,1261
95XX,78937,67755,7931,3251,22695,20232,1691,772,9495,7673,987,835,46747,39850,5253,1644
95YY,51356,46134,3068,2154,17968,16701,552,715,6906,5812,391,703,26482,23621,2125,736
95ZZ,39843,35442,3717,684,13688,12936,542,210,5078,4554,319,205,21077,17952,2856,269
