GeographyCode,LC2201NI0001,LC2201NI0002,LC2201NI0003,LC2201NI0004,LC2201NI0005,LC2201NI0006,LC2201NI0007,LC2201NI0008,LC2201NI0009,LC2201NI0010,LC2201NI0011,LC2201NI0012,LC2201NI0013,LC2201NI0014,LC2201NI0015,LC2201NI0016,LC2201NI0017,LC2201NI0018,LC2201NI0019,LC2201NI0020,LC2201NI0021,LC2201NI0022,LC2201NI0023,LC2201NI0024,LC2201NI0025
N92000002,1810863,738033,752555,320275,183164,722379,75868,513806,132705,78517,457482,392323,15692,49467,17276,379267,198605,108865,71797,43397,251735,71237,114192,66306,43974
BHSCT,348204,130813,134436,82955,48241,134285,12277,90644,31364,18511,94702,77160,2988,14554,5968,65169,28214,19241,17714,11427,54048,13162,21563,19323,12335
NHSCT,463297,141816,240423,81058,50147,226455,20438,166509,39508,24155,73074,62195,3744,7135,2800,96118,43440,34378,18300,11957,67650,15743,35792,16115,11235
SEHSCT,346911,96805,175255,74851,50833,167650,16174,115919,35557,24026,53389,43547,3221,6621,3100,71018,27369,26448,17201,12113,54854,9715,29667,15472,11594
SHSCT,358034,185603,123822,48609,21744,116635,12896,86639,17100,8106,115787,102694,2670,10423,2699,77575,49504,17093,10978,5070,48037,20509,17420,10108,5869
WHSCT,294417,182996,78619,32802,12199,77354,14083,54095,9176,3719,120530,106727,3069,10734,2709,69387,50078,11705,7604,2830,27146,12108,9750,5288,2941
BELB,280962,117712,95919,67331,37239,98532,10307,64475,23750,13285,87312,71422,2439,13451,5291,52633,24712,13843,14078,8708,42485,11271,15162,16052,9955
NEELB,426284,121437,227855,76992,48555,214610,19157,157352,38101,23613,61678,51908,3477,6293,2606,86458,36387,32787,17284,11577,63538,13985,34239,15314,10759
SEELB,414153,109906,213772,90475,61835,203403,18144,142088,43171,29252,60779,49285,3770,7724,3777,83554,30871,31846,20837,14832,66417,11606,36068,18743,13974
SELB,395047,205982,136390,52675,23336,128480,14177,95796,18507,8648,127183,112981,2937,11265,2893,87235,56557,18684,11994,5450,52149,22267,18973,10909,6345
WELB,294417,182996,78619,32802,12199,77354,14083,54095,9176,3719,120530,106727,3069,10734,2709,69387,50078,11705,7604,2830,27146,12108,9750,5288,2941
UKN01,280962,117712,95919,67331,37239,98532,10307,64475,23750,13285,87312,71422,2439,13451,5291,52633,24712,13843,14078,8708,42485,11271,15162,16052,9955
UKN02,390597,81243,219255,90099,62670,204501,13394,146588,44519,30415,47437,37235,3567,6635,3375,73323,20644,32290,20389,15114,65336,9970,36810,18556,13766
UKN03,438823,142092,218755,77976,48312,211619,23534,151149,36936,22583,68741,58301,3304,7136,2951,92176,43669,30761,17746,11426,66287,16588,33541,16158,11352
UKN04,288597,148769,101454,38374,17621,96989,14010,69362,13617,6794,96913,84615,2854,9444,2652,63916,39728,15467,8721,4163,30779,10416,13771,6592,4012
UKN05,411884,248217,117172,46495,17322,110738,14623,82232,13883,5440,157079,140750,3528,12801,3007,97219,69852,16504,10863,3986,46848,22992,14908,8948,4889
95AA,53428,20050,23101,10277,6515,24456,3617,15883,4956,3155,9197,8017,302,878,360,11521,5899,3331,2291,1505,8254,2517,3585,2152,1495
95BB,78078,8521,51102,18455,13175,46385,2323,34278,9784,6733,3867,2376,756,735,443,14526,2710,7724,4092,3036,13300,1112,8344,3844,2963
95CC,59340,26563,25528,7249,3141,22357,1419,18084,2854,1225,17751,15831,505,1415,412,11962,6902,3497,1563,688,7270,2411,3442,1417,816
95DD,64044,13071,40531,10442,5946,37060,2476,28956,5628,3042,5642,4551,478,613,252,11017,3828,5051,2138,1345,10325,2216,6046,2063,1307
95EE,31224,9252,17717,4255,2519,16028,1402,12363,2263,1336,4418,3817,251,350,131,6802,3209,2672,921,548,3976,824,2431,721,504
95FF,48339,14235,26715,7389,4657,24679,2562,18593,3524,2149,6473,5370,451,652,312,10685,4919,3869,1897,1260,6502,1384,3802,1316,936
95GG,280962,117712,95919,67331,37239,98532,10307,64475,23750,13285,87312,71422,2439,13451,5291,52633,24712,13843,14078,8708,42485,11271,15162,16052,9955
95HH,39114,2958,26284,9872,7296,24436,973,18015,5448,3880,1225,566,282,377,201,6692,858,3694,2140,1704,6761,561,4293,1907,1511
95II,67242,13101,38517,15624,11002,35753,1970,26169,7614,5226,7390,5738,549,1103,677,12536,3502,5398,3636,2719,11563,1891,6401,3271,2380
95JJ,59067,14774,33524,10769,6575,30378,2861,22525,4992,2843,6776,5192,679,905,455,12420,4571,5297,2552,1660,9493,2150,5023,2320,1617
95KK,37013,20379,12568,4066,1592,11845,1281,9157,1407,542,11396,10287,267,842,194,9660,7053,1591,1016,380,4112,1758,1553,801,476
95LL,93023,39138,39190,14695,7876,37475,3754,27654,6067,3182,21426,18930,611,1885,636,19246,11066,5000,3180,1775,14876,5388,5925,3563,2283
95MM,107877,72748,20959,14170,4885,21369,4071,14063,3235,1186,55949,49069,1013,5867,1511,21310,15361,2993,2956,1101,9249,4247,2890,2112,1087
95NN,69731,40068,18910,10753,6272,23056,6495,12550,4011,2448,19681,17267,484,1930,786,18814,13035,3000,2779,1573,8180,3271,2876,2033,1465
95OO,57852,33981,17238,6633,2242,15338,1420,12164,1754,636,20644,18453,500,1691,264,12704,8785,2438,1481,509,9166,5323,2136,1707,833
95PP,61805,33951,21186,6668,3005,19729,3108,14460,2161,984,20635,18177,860,1598,506,14799,10014,3218,1567,684,6642,2652,2648,1342,831
95QQ,32180,7009,19206,5965,3871,18508,2307,13235,2966,1874,2455,1790,222,443,162,6367,2212,2786,1369,932,4850,700,2963,1187,903
95RR,33536,18784,11489,3263,1615,12295,2857,8164,1274,697,9825,8902,292,631,170,8363,5841,1711,811,407,3053,1184,1322,547,341
95SS,120165,39402,57606,23157,14554,54098,4932,38614,10552,6801,25744,21651,1149,2944,1147,22527,9172,8222,5133,3389,17796,3647,9621,4528,3217
95TT,45038,28088,12767,4183,1781,12043,1330,9341,1372,607,17705,16348,347,1010,246,10781,8219,1524,1038,463,4509,2191,1555,763,465
95UU,17050,9267,5514,2269,1066,5598,1096,3721,781,412,5279,4600,161,518,173,4441,2931,958,552,233,1732,640,674,418,248
95VV,99480,71686,15151,12643,3828,16786,3741,10144,2901,914,49493,44110,603,4780,1075,22978,17832,2289,2857,838,10223,6003,2115,2105,1001
95WW,85139,16968,49211,18960,12986,46103,3095,33313,9695,6464,8981,7027,755,1199,626,16417,4660,7474,4283,3187,13638,2186,7669,3783,2709
95XX,78937,8814,47637,22486,16832,44111,2424,30477,11210,8044,4097,2253,832,1012,724,15151,2452,7502,5197,4115,15578,1685,8826,5067,3949
95YY,51356,33569,12734,5053,1733,12640,2324,8882,1434,532,19455,17544,446,1465,310,14335,11047,1947,1341,424,4926,2654,1459,813,467
95ZZ,39843,23944,12251,3648,961,11321,1723,8526,1072,320,14666,13035,458,1173,212,10580,7815,1836,929,214,3276,1371,1431,474,215
