GeographyCode,LC3603NI0001,LC3603NI0002,LC3603NI0003,LC3603NI0004,LC3603NI0005,LC3603NI0006,LC3603NI0007,LC3603NI0008,LC3603NI0009,LC3603NI0010,LC3603NI0011,LC3603NI0012,LC3603NI0013,LC3603NI0014,LC3603NI0015,LC3603NI0016,LC3603NI0017,LC3603NI0018,LC3603NI0019,LC3603NI0020,LC3603NI0021,LC3603NI0022,LC3603NI0023,LC3603NI0024,LC3603NI0025,LC3603NI0026,LC3603NI0027,LC3603NI0028,LC3603NI0029,LC3603NI0030,LC3603NI0031,LC3603NI0032
N92000002,1313420,563450,465763,284207,795263,410525,306067,78671,230721,113725,89949,27047,564542,296800,216118,51624,518157,152925,159696,205536,170016,28557,59956,81503,95480,4456,11547,79477,252661,119912,88193,44556
BHSCT,257160,108717,86965,61478,150870,78486,56813,15571,46410,23347,17459,5604,104460,55139,39354,9967,106290,30231,30152,45907,31330,4674,9988,16668,22198,911,2241,19046,52762,24646,17923,10193
NHSCT,335761,142628,124545,68588,210147,105445,83650,21052,59485,28376,24128,6981,150662,77069,59522,14071,125614,37183,40895,47536,45739,7896,17125,20718,20527,965,2663,16899,59348,28322,21107,9919
SEHSCT,251647,108965,92662,50020,158531,81124,61859,15548,46157,22592,18170,5395,112374,58532,43689,10153,93116,27841,30803,34472,37460,7379,14483,15598,14501,684,1838,11979,41155,19778,14482,6895
SHSCT,256035,112719,89444,53872,157636,82937,59707,14992,43990,22181,16829,4980,113646,60756,42878,10012,98399,29782,29737,38880,29837,4768,9990,15079,18821,968,2416,15437,49741,24046,17331,8364
WHSCT,212817,90421,72147,50249,118079,62533,44038,11508,34679,17229,13363,4087,83400,45304,30675,7421,94738,27888,28109,38741,25650,3840,8370,13440,19433,928,2389,16116,49655,23120,17350,9185
BELB,208609,87283,69230,52096,118754,61932,44329,12493,37529,19010,13962,4557,81225,42922,30367,7936,89855,25351,24901,39603,24126,3362,7244,13520,19833,818,1964,17051,45896,21171,15693,9032
NEELB,309116,131589,115271,62256,194151,97451,77394,19306,54881,26256,22257,6368,139270,71195,55137,12938,114965,34138,37877,42950,42768,7496,16276,18996,18368,852,2431,15085,53829,25790,19170,8869
SEELB,300198,130399,110397,59402,190647,97678,74343,18626,55038,26929,21667,6442,135609,70749,52676,12184,109551,32721,36054,40776,44664,8691,17227,18746,16866,777,2115,13974,48021,23253,16712,8056
SELB,282680,123758,98718,60204,173632,90931,65963,16738,48594,24301,18700,5593,125038,66630,47263,11145,109048,32827,32755,43466,32808,5168,10839,16801,20980,1081,2648,17251,55260,26578,19268,9414
WELB,212817,90421,72147,50249,118079,62533,44038,11508,34679,17229,13363,4087,83400,45304,30675,7421,94738,27888,28109,38741,25650,3840,8370,13440,19433,928,2389,16116,49655,23120,17350,9185
UKN01,208609,87283,69230,52096,118754,61932,44329,12493,37529,19010,13962,4557,81225,42922,30367,7936,89855,25351,24901,39603,24126,3362,7244,13520,19833,818,1964,17051,45896,21171,15693,9032
UKN02,283218,123233,104636,55349,182067,92751,71400,17916,52421,25511,20794,6116,129646,67240,50606,11800,101151,30482,33236,37433,41199,7790,16057,17352,15225,689,1798,12738,44727,22003,15381,7343
UKN03,317543,134602,116832,66109,200970,101365,79379,20226,55932,26991,22264,6677,145038,74374,57115,13549,116573,33237,37453,45883,44138,7813,16155,20170,20220,848,2641,16731,52215,24576,18657,8982
UKN04,209839,87677,73067,49095,114548,59525,43835,11188,35289,17391,13892,4006,79259,42134,29943,7182,95291,28152,29232,37907,27182,4304,9461,13417,18605,892,2263,15450,49504,22956,17508,9040
UKN05,294211,130655,101998,61558,178924,94952,67124,16848,49550,24822,19037,5691,129374,70130,48087,11157,115287,35703,34874,44710,33371,5288,11039,17044,21597,1209,2881,17507,60319,29206,20954,10159
95AA,38597,16967,14250,7380,25595,13088,10061,2446,6910,3365,2771,774,18685,9723,7290,1672,13002,3879,4189,4934,4778,877,1747,2154,2317,112,348,1857,5907,2890,2094,923
95BB,57290,22963,21998,12329,35743,17175,14764,3804,10496,4833,4304,1359,25247,12342,10460,2445,21547,5788,7234,8525,9681,1745,3652,4284,3219,124,403,2692,8647,3919,3179,1549
95CC,42544,19200,14797,8547,26586,14186,9843,2557,7409,3805,2760,844,19177,10381,7083,1713,15958,5014,4954,5990,5267,843,1852,2572,2716,131,397,2188,7975,4040,2705,1230
95DD,46337,20016,17521,8800,29920,15159,11935,2826,8165,3969,3302,894,21755,11190,8633,1932,16417,4857,5586,5974,6641,1297,2568,2776,2482,119,357,2006,7294,3441,2661,1192
95EE,22558,9487,8347,4724,13426,6818,5367,1241,3604,1714,1488,402,9822,5104,3879,839,9132,2669,2980,3483,2901,436,1048,1417,1572,79,207,1286,4659,2154,1725,780
95FF,34555,15314,12355,6886,22621,11829,8637,2155,5991,2987,2281,723,16630,8842,6356,1432,11934,3485,3718,4731,4276,746,1529,2001,2144,88,245,1811,5514,2651,1944,919
95GG,208609,87283,69230,52096,118754,61932,44329,12493,37529,19010,13962,4557,81225,42922,30367,7936,89855,25351,24901,39603,24126,3362,7244,13520,19833,818,1964,17051,45896,21171,15693,9032
95HH,28657,11548,10925,6184,18104,8632,7436,2036,5175,2359,2154,662,12929,6273,5282,1374,10553,2916,3489,4148,4333,733,1653,1947,1672,64,193,1415,4548,2119,1643,786
95II,48551,21434,17735,9382,32116,16554,12484,3078,8881,4337,3497,1047,23235,12217,8987,2031,16435,4880,5251,6304,7204,1312,2744,3148,2365,93,277,1995,6866,3475,2230,1161
95JJ,43277,18309,16286,8682,25272,12700,10126,2446,8239,4060,3276,903,17033,8640,6850,1543,18005,5609,6160,6236,6530,1254,2635,2641,2609,153,348,2108,8866,4202,3177,1487
95KK,26645,11039,9274,6332,15996,7994,6256,1746,4604,2120,1871,613,11392,5874,4385,1133,10649,3045,3018,4586,2971,400,849,1722,2159,113,232,1814,5519,2532,1937,1050
95LL,67061,27855,23796,15410,41320,20767,16177,4376,11369,5493,4445,1431,29951,15274,11732,2945,25741,7088,7619,11034,8379,1248,2751,4380,5202,210,610,4382,12160,5630,4258,2272
95MM,78409,33200,25772,19437,40612,21934,14831,3847,13373,6890,5035,1448,27239,15044,9796,2399,37797,11266,10941,15590,9323,1400,2968,4955,8369,357,1000,7012,20105,9509,6973,3623
95NN,50138,22017,17835,10286,30910,16232,11663,3015,8928,4511,3423,994,21982,11721,8240,2021,19228,5785,6172,7271,6632,1238,2458,2936,3460,153,490,2817,9136,4394,3224,1518
95OO,41315,18107,14751,8457,25646,13276,9958,2412,7000,3433,2797,770,18646,9843,7161,1642,15669,4831,4793,6045,4343,660,1416,2267,2980,157,371,2452,8346,4014,3006,1326
95PP,44465,19894,15922,8649,27574,14594,10514,2466,7549,3710,2962,877,20025,10884,7552,1589,16891,5300,5408,6183,5558,988,1999,2571,2714,140,409,2165,8619,4172,3000,1447
95QQ,23565,9470,9077,5018,14861,7115,6142,1604,4073,1833,1738,502,10788,5282,4404,1102,8704,2355,2935,3414,3751,662,1450,1639,1396,42,188,1166,3557,1651,1297,609
95RR,24610,10232,8715,5663,13217,6820,5123,1274,3686,1736,1516,434,9531,5084,3607,840,11393,3412,3592,4389,2948,442,1044,1462,2133,101,279,1753,6312,2869,2269,1174
